
Intensity Min Ch=11 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,Set 1,TrackID,ID,
12.9343,,Spot,11,Image 1,1,Untracked,1000025043,25043,
38.8929,,Spot,11,Image 1,1,Untracked,1000025044,25044,
0,,Spot,11,Image 1,1,Untracked,1000025056,25056,
0,,Spot,11,Image 1,1,Untracked,1000025057,25057,
0,,Spot,11,Image 1,1,Untracked,1000025059,25059,
0,,Spot,11,Image 1,1,Untracked,1000025060,25060,
0,,Spot,11,Image 1,1,Untracked,1000025061,25061,
0,,Spot,11,Image 1,1,Untracked,1000025062,25062,
0,,Spot,11,Image 1,1,Untracked,1000025063,25063,
0,,Spot,11,Image 1,1,Untracked,1000025064,25064,
0,,Spot,11,Image 1,1,Untracked,1000025066,25066,
0,,Spot,11,Image 1,1,Untracked,1000025067,25067,
0,,Spot,11,Image 1,1,Untracked,1000025068,25068,
0,,Spot,11,Image 1,1,Untracked,1000025070,25070,
0,,Spot,11,Image 1,1,Untracked,1000025071,25071,
0,,Spot,11,Image 1,1,Untracked,1000025072,25072,
0,,Spot,11,Image 1,1,Untracked,1000025073,25073,
0,,Spot,11,Image 1,1,Untracked,1000025074,25074,
0,,Spot,11,Image 1,1,Untracked,1000025075,25075,
0,,Spot,11,Image 1,1,Untracked,1000025080,25080,
0,,Spot,11,Image 1,1,Untracked,1000025081,25081,
0,,Spot,11,Image 1,1,Untracked,1000025082,25082,
0,,Spot,11,Image 1,1,Untracked,1000025083,25083,
0,,Spot,11,Image 1,1,Untracked,1000025084,25084,
0,,Spot,11,Image 1,1,Untracked,1000025085,25085,
0,,Spot,11,Image 1,1,Untracked,1000025086,25086,
0,,Spot,11,Image 1,1,Untracked,1000025087,25087,
0,,Spot,11,Image 1,1,Untracked,1000025088,25088,
0,,Spot,11,Image 1,1,Untracked,1000025089,25089,
0,,Spot,11,Image 1,1,Untracked,1000025091,25091,
0,,Spot,11,Image 1,1,Untracked,1000025092,25092,
0,,Spot,11,Image 1,1,Untracked,1000025093,25093,
0,,Spot,11,Image 1,1,Untracked,1000025102,25102,
4.2544,,Spot,11,Image 1,1,Untracked,1000025103,25103,
0,,Spot,11,Image 1,1,Untracked,1000025104,25104,
0,,Spot,11,Image 1,1,Untracked,1000025105,25105,
0,,Spot,11,Image 1,1,Untracked,1000025106,25106,
0,,Spot,11,Image 1,1,Untracked,1000025107,25107,
0,,Spot,11,Image 1,1,Untracked,1000025108,25108,
0,,Spot,11,Image 1,1,Untracked,1000025109,25109,
0,,Spot,11,Image 1,1,Untracked,1000025110,25110,
0,,Spot,11,Image 1,1,Untracked,1000025111,25111,
0,,Spot,11,Image 1,1,Untracked,1000025112,25112,
0,,Spot,11,Image 1,1,Untracked,1000025113,25113,
0,,Spot,11,Image 1,1,Untracked,1000025114,25114,
0,,Spot,11,Image 1,1,Untracked,1000025115,25115,
