
Displacement Length
 ==================== 
Displacement Length,Unit,Category,Time,Set 1,TrackID,ID,
2.63153,um,Spot,2,Untracked,1000000057,7433,
0,um,Spot,2,Untracked,1000007434,7434,
0,um,Spot,2,Untracked,1000007435,7435,
9.0857,um,Spot,2,Untracked,1000000055,7436,
4.03461,um,Spot,2,Untracked,1000000063,7437,
5.94166,um,Spot,2,Untracked,1000000061,7438,
7.89112,um,Spot,2,Untracked,1000000062,7439,
2.33116,um,Spot,2,Tracked,1000000070,7440,
2.29464,um,Spot,2,Untracked,1000000069,7441,
2.17372,um,Spot,2,Tracked,1000000071,7442,
2.62342,um,Spot,2,Tracked,1000000073,7443,
1.96381,um,Spot,2,Tracked,1000000074,7444,
5.66364,um,Spot,2,Tracked,1000000072,7445,
4.91001,um,Spot,2,Untracked,1000000075,7446,
3.29131,um,Spot,2,Tracked,1000000076,7447,
4.67181,um,Spot,2,Tracked,1000000077,7448,
3.40978,um,Spot,2,Untracked,1000000080,7449,
2.39225,um,Spot,2,Untracked,1000000066,7450,
10.8262,um,Spot,2,Untracked,1000000012,7451,
8.38544,um,Spot,2,Untracked,1000000015,7452,
8.96333,um,Spot,2,Untracked,1000000016,7453,
14.2465,um,Spot,2,Untracked,1000000013,7454,
10.7268,um,Spot,2,Untracked,1000000085,7455,
0,um,Spot,2,Untracked,1000007456,7456,
12.24,um,Spot,2,Untracked,1000000088,7457,
13.343,um,Spot,2,Untracked,1000000086,7458,
12.3489,um,Spot,2,Untracked,1000000091,7459,
14.5194,um,Spot,2,Untracked,1000000092,7460,
13.7996,um,Spot,2,Untracked,1000000095,7461,
9.64926,um,Spot,2,Untracked,1000000100,7462,
13.7569,um,Spot,2,Untracked,1000000096,7463,
0,um,Spot,2,Untracked,1000007464,7464,
13.8133,um,Spot,2,Untracked,1000000098,7465,
12.9886,um,Spot,2,Untracked,1000000099,7466,
8.8513,um,Spot,2,Untracked,1000000031,7467,
11.1454,um,Spot,2,Untracked,1000000032,7468,
11.0628,um,Spot,2,Untracked,1000000115,7469,
8.01433,um,Spot,2,Untracked,1000000090,7470,
9.07575,um,Spot,2,Untracked,1000000129,7471,
6.7884,um,Spot,2,Tracked,1000000131,7472,
3.46291,um,Spot,2,Untracked,1000000151,7473,
3.42882,um,Spot,2,Untracked,1000000152,7474,
3.95244,um,Spot,2,Untracked,1000000153,7475,
9.65143,um,Spot,2,Untracked,1000000157,7476,
9.15763,um,Spot,2,Untracked,1000000158,7477,
3.14429,um,Spot,2,Tracked,1000000168,7478,
14.0234,um,Spot,2,Untracked,1000000106,7479,
0,um,Spot,2,Untracked,1000007480,7480,
13.8577,um,Spot,2,Untracked,1000000173,7481,
0,um,Spot,2,Untracked,1000007482,7482,
0,um,Spot,2,Untracked,1000007483,7483,
13.8406,um,Spot,2,Untracked,1000000181,7484,
12.3875,um,Spot,2,Untracked,1000000187,7485,
0,um,Spot,2,Untracked,1000007486,7486,
9.89699,um,Spot,2,Untracked,1000000209,7487,
0,um,Spot,2,Untracked,1000007488,7488,
0,um,Spot,2,Untracked,1000007489,7489,
12.5217,um,Spot,2,Untracked,1000000210,7490,
3.98295,um,Spot,2,Tracked,1000007327,7491,
11.6731,um,Spot,2,Tracked,1000007334,7492,
2.27697,um,Spot,2,Tracked,1000007341,7493,
1.90865,um,Spot,2,Tracked,1000007347,7494,
7.51546,um,Spot,2,Tracked,1000007354,7495,
5.63086,um,Spot,2,Tracked,1000007361,7496,
3.66795,um,Spot,2,Tracked,1000007367,7497,
10.4709,um,Spot,2,Tracked,1000007373,7498,
4.92907,um,Spot,2,Tracked,1000007379,7499,
2.89701,um,Spot,2,Tracked,1000007386,7500,
0.917034,um,Spot,2,Tracked,1000007392,7501,
0,um,Spot,2,Tracked,1000007502,7502,
17.3203,um,Spot,2,Tracked,1000007402,7503,
15.9129,um,Spot,3,Untracked,1000000000,7504,
19.7336,um,Spot,3,Untracked,1000000002,7505,
24.3872,um,Spot,3,Untracked,1000000001,7506,
10.0052,um,Spot,3,Untracked,1000000007,7507,
10.9639,um,Spot,3,Untracked,1000000009,7508,
5.22802,um,Spot,3,Tracked,1000000018,7509,
4.88694,um,Spot,3,Tracked,1000000024,7510,
8.04155,um,Spot,3,Tracked,1000000023,7511,
6.47978,um,Spot,3,Untracked,1000000025,7512,
8.71438,um,Spot,3,Untracked,1000000026,7513,
7.88196,um,Spot,3,Untracked,1000000029,7514,
5.89184,um,Spot,3,Untracked,1000000037,7515,
5.20984,um,Spot,3,Untracked,1000000039,7516,
6.76391,um,Spot,3,Tracked,1000000040,7517,
0,um,Spot,3,Untracked,1000007518,7518,
5.32082,um,Spot,3,Untracked,1000000045,7519,
4.51425,um,Spot,3,Untracked,1000000052,7520,
4.35498,um,Spot,3,Untracked,1000000053,7521,
3.15049,um,Spot,3,Untracked,1000000056,7522,
3.48701,um,Spot,3,Untracked,1000000057,7523,
10.9149,um,Spot,3,Untracked,1000000050,7524,
9.59133,um,Spot,3,Untracked,1000000048,7525,
6.21441,um,Spot,3,Untracked,1000000051,7526,
3.25834,um,Spot,3,Untracked,1000007430,7527,
13.2318,um,Spot,3,Untracked,1000007422,7528,
10.8642,um,Spot,3,Untracked,1000000046,7529,
3.27674,um,Spot,3,Untracked,1000007435,7530,
1.54385,um,Spot,3,Untracked,1000000060,7531,
3.47747,um,Spot,3,Untracked,1000007434,7532,
9.39696,um,Spot,3,Untracked,1000000055,7533,
7.17887,um,Spot,3,Untracked,1000000059,7534,
4.06969,um,Spot,3,Untracked,1000000061,7535,
4.97158,um,Spot,3,Untracked,1000000063,7536,
4.38436,um,Spot,3,Untracked,1000000066,7537,
7.5643,um,Spot,3,Untracked,1000000062,7538,
4.59721,um,Spot,3,Untracked,1000000146,7539,
3.03395,um,Spot,3,Untracked,1000000147,7540,
6.38275,um,Spot,3,Tracked,1000000070,7541,
2.06282,um,Spot,3,Untracked,1000000069,7542,
2.92901,um,Spot,3,Tracked,1000000072,7543,
2.82952,um,Spot,3,Tracked,1000000073,7544,
1.77314,um,Spot,3,Tracked,1000000071,7545,
2.26189,um,Spot,3,Tracked,1000000074,7546,
6.66827,um,Spot,3,Tracked,1000000076,7547,
4.294,um,Spot,3,Untracked,1000000075,7548,
15.6959,um,Spot,3,Tracked,1000000077,7549,
2.60403,um,Spot,3,Untracked,1000000080,7550,
22.6365,um,Spot,3,Untracked,1000000003,7551,
21.4616,um,Spot,3,Untracked,1000000004,7552,
13.2016,um,Spot,3,Untracked,1000000008,7553,
13.1041,um,Spot,3,Untracked,1000000010,7554,
9.50746,um,Spot,3,Untracked,1000000015,7555,
10.9053,um,Spot,3,Untracked,1000000016,7556,
21.0171,um,Spot,3,Untracked,1000000012,7557,
12.0894,um,Spot,3,Untracked,1000000085,7558,
0,um,Spot,3,Untracked,1000007559,7559,
23.9993,um,Spot,3,Untracked,1000000013,7560,
4.1206,um,Spot,3,Untracked,1000007456,7561,
15.915,um,Spot,3,Untracked,1000000088,7562,
21.8433,um,Spot,3,Untracked,1000000086,7563,
19.0604,um,Spot,3,Untracked,1000000092,7564,
20.6457,um,Spot,3,Untracked,1000000091,7565,
10.2273,um,Spot,3,Untracked,1000000100,7566,
12.3945,um,Spot,3,Untracked,1000000097,7567,
19.133,um,Spot,3,Untracked,1000000098,7568,
22.496,um,Spot,3,Untracked,1000000095,7569,
21.4304,um,Spot,3,Untracked,1000000096,7570,
16.645,um,Spot,3,Untracked,1000000099,7571,
6.02007,um,Spot,3,Untracked,1000007464,7572,
0,um,Spot,3,Untracked,1000007573,7573,
14.199,um,Spot,3,Untracked,1000000030,7574,
23.7693,um,Spot,3,Untracked,1000000027,7575,
