
Intensity Mean Ch=4 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,Set 1,TrackID,ID,
353.078,,Spot,4,Image 1,1,Untrecked,1000000001,1,
306.435,,Spot,4,Image 1,1,Untrecked,1000000002,2,
244.081,,Spot,4,Image 1,1,Untrecked,1000000003,3,
434.151,,Spot,4,Image 1,1,,1000000004,4,
309.343,,Spot,4,Image 1,1,Untrecked,1000000005,5,
186.444,,Spot,4,Image 1,1,Tracked,1000000006,6,
181.877,,Spot,4,Image 1,1,Tracked,1000000007,7,
229.242,,Spot,4,Image 1,1,Tracked,1000000008,8,
227.895,,Spot,4,Image 1,1,Tracked,1000000009,9,
553.644,,Spot,4,Image 1,1,Untrecked,1000000010,10,
423.637,,Spot,4,Image 1,1,Untrecked,1000000011,11,
396.785,,Spot,4,Image 1,1,Untrecked,1000000012,12,
534.816,,Spot,4,Image 1,1,Untrecked,1000000013,13,
399.753,,Spot,4,Image 1,1,Untrecked,1000000016,16,
268.324,,Spot,4,Image 1,1,,1000000017,17,
389.626,,Spot,4,Image 1,1,,1000000018,18,
328.596,,Spot,4,Image 1,1,Untrecked,1000000019,19,
280.091,,Spot,4,Image 1,1,Untrecked,1000000021,21,
278.525,,Spot,4,Image 1,1,Untrecked,1000000022,22,
263.35,,Spot,4,Image 1,1,Untrecked,1000000023,23,
306.076,,Spot,4,Image 1,1,Untrecked,1000000024,24,
313.966,,Spot,4,Image 1,1,Untrecked,1000000025,25,
351.046,,Spot,4,Image 1,1,Tracked,1000000026,26,
340.163,,Spot,4,Image 1,1,Untrecked,1000000027,27,
202.472,,Spot,4,Image 1,1,Untrecked,1000000028,28,
250.012,,Spot,4,Image 1,1,Untrecked,1000000029,29,
230.808,,Spot,4,Image 1,1,Untrecked,1000000030,30,
123.876,,Spot,4,Image 1,1,Tracked,1000000034,34,
168.197,,Spot,4,Image 1,1,Untrecked,1000000035,35,
171.227,,Spot,4,Image 1,1,Untrecked,1000000036,36,
171.18,,Spot,4,Image 1,1,Untrecked,1000000037,37,
130.685,,Spot,4,Image 1,1,Untrecked,1000000038,38,
148.863,,Spot,4,Image 1,1,Tracked,1000000045,45,
168.679,,Spot,4,Image 1,1,Tracked,1000000046,46,
143.542,,Spot,4,Image 1,1,Tracked,1000000047,47,
