
Displacement Delta Length
 ==================== 
Displacement Delta Length,Unit,Category,Time,Set 1,TrackID,ID,
0,,Spot,1,Tracked,1000004471,4471,
0,,Spot,1,Tracked,1000004487,4487,
0,,Spot,1,Tracked,1000004496,4496,
0,,Spot,1,Tracked,1000004505,4505,
0,,Spot,1,Tracked,1000004514,4514,
0,,Spot,1,Tracked,1000004523,4523,
0,,Spot,1,Tracked,1000004532,4532,
0,,Spot,1,Tracked,1000004541,4541,
0,,Spot,1,Tracked,1000004550,4550,
0,,Spot,1,Tracked,1000004559,4559,
0,,Spot,1,Tracked,1000004568,4568,
0,,Spot,1,Tracked,1000004577,4577,
0,,Spot,1,Tracked,1000004586,4586,
0,,Spot,1,Untracked,1000004595,4595,
0,,Spot,1,Tracked,1000004603,4603,
0,,Spot,1,Untracked,1000004612,4612,
0,,Spot,1,Tracked,1000004621,4621,
0,,Spot,1,Tracked,1000004630,4630,
0,,Spot,1,Tracked,1000004639,4639,
0,,Spot,1,Tracked,1000004648,4648,
0,,Spot,1,Tracked,1000004657,4657,
0,,Spot,1,Tracked,1000004666,4666,
0,,Spot,1,Tracked,1000005960,5960,
10.4432,,Spot,2,Untracked,1000000050,5961,
11.4636,,Spot,2,Untracked,1000000051,5962,
0,,Spot,2,Untracked,1000005963,5963,
0,,Spot,2,Untracked,1000005964,5964,
0,,Spot,2,Untracked,1000005965,5965,
8.45962,,Spot,2,Untracked,1000000093,5966,
10.2561,,Spot,2,Untracked,1000000094,5967,
6.18097,,Spot,2,Untracked,1000000092,5968,
0,,Spot,2,Untracked,1000005969,5969,
12.158,,Spot,2,Untracked,1000000097,5970,
8.64797,,Spot,2,Untracked,1000000168,5971,
8.56968,,Spot,2,Untracked,1000000167,5972,
8.16789,,Spot,2,Untracked,1000000053,5973,
0,,Spot,2,Untracked,1000005974,5974,
0,,Spot,2,Untracked,1000005975,5975,
10.6638,,Spot,2,Untracked,1000000117,5976,
11.726,,Spot,2,Untracked,1000000188,5977,
0,,Spot,2,Untracked,1000005978,5978,
11.5344,,Spot,2,Untracked,1000000140,5979,
0,,Spot,2,Untracked,1000005980,5980,
0,,Spot,2,Untracked,1000005981,5981,
7.95283,,Spot,2,Untracked,1000000142,5982,
6.73834,,Spot,2,Untracked,1000000198,5983,
0,,Spot,2,Untracked,1000005984,5984,
