
Intensity Mean Ch=8 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,Set 1,TrackID,ID,
0,,Spot,8,Image 1,1,Untrecked,1000000001,1,
19.6148,,Spot,8,Image 1,1,Untrecked,1000000002,2,
23.9564,,Spot,8,Image 1,1,Untrecked,1000000003,3,
3.77404,,Spot,8,Image 1,1,,1000000004,4,
0,,Spot,8,Image 1,1,Untrecked,1000000005,5,
221.575,,Spot,8,Image 1,1,Tracked,1000000006,6,
202.329,,Spot,8,Image 1,1,Tracked,1000000007,7,
125.314,,Spot,8,Image 1,1,Tracked,1000000008,8,
101.796,,Spot,8,Image 1,1,Tracked,1000000009,9,
2.04225,,Spot,8,Image 1,1,Untrecked,1000000010,10,
28.1631,,Spot,8,Image 1,1,Untrecked,1000000011,11,
0,,Spot,8,Image 1,1,Untrecked,1000000012,12,
7.33775,,Spot,8,Image 1,1,Untrecked,1000000013,13,
0,,Spot,8,Image 1,1,Untrecked,1000000016,16,
0,,Spot,8,Image 1,1,,1000000017,17,
47.4736,,Spot,8,Image 1,1,,1000000018,18,
53.9588,,Spot,8,Image 1,1,Untrecked,1000000019,19,
0,,Spot,8,Image 1,1,Untrecked,1000000021,21,
29.1473,,Spot,8,Image 1,1,Untrecked,1000000022,22,
0,,Spot,8,Image 1,1,Untrecked,1000000023,23,
0,,Spot,8,Image 1,1,Untrecked,1000000024,24,
0,,Spot,8,Image 1,1,Untrecked,1000000025,25,
65.5962,,Spot,8,Image 1,1,Tracked,1000000026,26,
0,,Spot,8,Image 1,1,Untrecked,1000000027,27,
0.00404215,,Spot,8,Image 1,1,Untrecked,1000000028,28,
0,,Spot,8,Image 1,1,Untrecked,1000000029,29,
165.737,,Spot,8,Image 1,1,Untrecked,1000000030,30,
167.683,,Spot,8,Image 1,1,Tracked,1000000034,34,
84.8864,,Spot,8,Image 1,1,Untrecked,1000000035,35,
122.648,,Spot,8,Image 1,1,Untrecked,1000000036,36,
90.4651,,Spot,8,Image 1,1,Untrecked,1000000037,37,
77.3289,,Spot,8,Image 1,1,Untrecked,1000000038,38,
174.349,,Spot,8,Image 1,1,Tracked,1000000045,45,
132.856,,Spot,8,Image 1,1,Tracked,1000000046,46,
164.74,,Spot,8,Image 1,1,Tracked,1000000047,47,
123.794,,Spot,8,Image 1,1,Tracked,1000000048,48,
150.384,,Spot,8,Image 1,1,Tracked,1000000049,49,
135.654,,Spot,8,Image 1,1,Tracked,1000000051,51,
147.242,,Spot,8,Image 1,1,Tracked,1000000052,52,
145.407,,Spot,8,Image 1,1,Tracked,1000000053,53,
121.903,,Spot,8,Image 1,1,Tracked,1000000054,54,
7.24928,,Spot,8,Image 1,1,Untrecked,1000000055,55,
30.7409,,Spot,8,Image 1,1,Untrecked,1000000056,56,
29.2557,,Spot,8,Image 1,1,Tracked,1000000057,57,
0,,Spot,8,Image 1,1,Untrecked,1000000058,58,
7.58394,,Spot,8,Image 1,1,Untrecked,1000000060,60,
83.9395,,Spot,8,Image 1,1,,1000000061,61,
29.7102,,Spot,8,Image 1,1,Untrecked,1000000062,62,
61.5802,,Spot,8,Image 1,1,Untrecked,1000000063,63,
84.1836,,Spot,8,Image 1,1,Tracked,1000000064,64,
34.3049,,Spot,8,Image 1,1,Untrecked,1000000065,65,
16.9597,,Spot,8,Image 1,1,Untrecked,1000000066,66,
0,,Spot,8,Image 1,1,Untrecked,1000000068,68,
22.3171,,Spot,8,Image 1,1,Untrecked,1000000069,69,
