
Intensity Min Ch=11 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,Set 1,TrackID,ID,
206.887,,Spot,11,Image 1,2,Tracked,1000000000,1404,
221.714,,Spot,11,Image 1,2,Tracked,1000000013,1405,
241.513,,Spot,11,Image 1,2,Tracked,1000000026,1406,
261.668,,Spot,11,Image 1,2,Tracked,1000000039,1407,
191.756,,Spot,11,Image 1,2,Tracked,1000000052,1408,
191.214,,Spot,11,Image 1,2,Tracked,1000000066,1409,
170.422,,Spot,11,Image 1,2,Tracked,1000000080,1410,
166.119,,Spot,11,Image 1,2,Tracked,1000000094,1411,
159.841,,Spot,11,Image 1,2,Tracked,1000000108,1412,
169.935,,Spot,11,Image 1,2,Tracked,1000000122,1413,
178.099,,Spot,11,Image 1,2,Tracked,1000000135,1414,
161.033,,Spot,11,Image 1,2,Tracked,1000000148,1415,
146.902,,Spot,11,Image 1,2,Tracked,1000000162,1416,
136.496,,Spot,11,Image 1,2,Tracked,1000000176,1417,
171.728,,Spot,11,Image 1,2,Tracked,1000000190,1418,
206.463,,Spot,11,Image 1,2,Tracked,1000000203,1419,
188.623,,Spot,11,Image 1,2,Tracked,1000000216,1420,
141.774,,Spot,11,Image 1,2,Tracked,1000000230,1421,
134.968,,Spot,11,Image 1,2,Tracked,1000000244,1422,
112.558,,Spot,11,Image 1,2,Tracked,1000000259,1423,
138.837,,Spot,11,Image 1,2,Tracked,1000000273,1424,
142.58,,Spot,11,Image 1,2,Tracked,1000000287,1425,
170.512,,Spot,11,Image 1,2,Tracked,1000000302,1426,
169.089,,Spot,11,Image 1,2,Tracked,1000000314,1427,
158.328,,Spot,11,Image 1,2,Tracked,1000000325,1428,
154.979,,Spot,11,Image 1,2,Tracked,1000000338,1429,
144.327,,Spot,11,Image 1,2,Tracked,1000000358,1430,
129.87,,Spot,11,Image 1,2,Tracked,1000000371,1431,
127.602,,Spot,11,Image 1,2,Tracked,1000000385,1432,
112.516,,Spot,11,Image 1,2,Tracked,1000000400,1433,
125.088,,Spot,11,Image 1,2,Tracked,1000000414,1434,
135.483,,Spot,11,Image 1,2,Tracked,1000000428,1435,
127.276,,Spot,11,Image 1,2,Tracked,1000000442,1436,
117.829,,Spot,11,Image 1,2,Tracked,1000000479,1437,
119.131,,Spot,11,Image 1,2,Tracked,1000000493,1438,
104.102,,Spot,11,Image 1,2,Tracked,1000000507,1439,
87.5669,,Spot,11,Image 1,2,Tracked,1000000521,1440,
81.5235,,Spot,11,Image 1,2,Tracked,1000000535,1441,
113.833,,Spot,11,Image 1,2,Tracked,1000000549,1442,
139.442,,Spot,11,Image 1,2,Tracked,1000000563,1443,
132.472,,Spot,11,Image 1,2,Tracked,1000000577,1444,
128.69,,Spot,11,Image 1,2,Tracked,1000000590,1445,
115.136,,Spot,11,Image 1,2,Tracked,1000000604,1446,
109.087,,Spot,11,Image 1,2,Tracked,1000000618,1447,
101.939,,Spot,11,Image 1,2,Tracked,1000000632,1448,
133.095,,Spot,11,Image 1,2,Tracked,1000000646,1449,
143.491,,Spot,11,Image 1,2,Tracked,1000000664,1450,
118.534,,Spot,11,Image 1,2,Tracked,1000000678,1451,
122.943,,Spot,11,Image 1,2,Tracked,1000000692,1452,
167.683,,Spot,11,Image 1,2,Tracked,1000000701,1453,
161.293,,Spot,11,Image 1,2,Tracked,1000000706,1454,
175.025,,Spot,11,Image 1,2,Tracked,1000000724,1455,
86.9965,,Spot,11,Image 1,2,Tracked,1000000738,1456,
88.4769,,Spot,11,Image 1,2,Tracked,1000000752,1457,
79.2217,,Spot,11,Image 1,2,Tracked,1000000766,1458,
45.7616,,Spot,11,Image 1,2,Tracked,1000000780,1459,
78.8984,,Spot,11,Image 1,2,Tracked,1000000794,1460,
63.9925,,Spot,11,Image 1,2,Tracked,1000000808,1461,
88.5668,,Spot,11,Image 1,2,Tracked,1000000822,1462,
62.7992,,Spot,11,Image 1,2,Tracked,1000000827,1463,
67.6781,,Spot,11,Image 1,2,Tracked,1000000841,1464,
67.2751,,Spot,11,Image 1,2,Tracked,1000000869,1465,
65.6181,,Spot,11,Image 1,2,Tracked,1000000883,1466,
98.0502,,Spot,11,Image 1,2,Tracked,1000000897,1467,
58.4111,,Spot,11,Image 1,2,Tracked,1000000911,1468,
67.555,,Spot,11,Image 1,2,Tracked,1000000925,1469,
82.4246,,Spot,11,Image 1,2,Tracked,1000000939,1470,
70.4291,,Spot,11,Image 1,2,Tracked,1000000953,1471,
71.5186,,Spot,11,Image 1,2,Tracked,1000000966,1472,
68.0465,,Spot,11,Image 1,2,Tracked,1000000980,1473,
55.9264,,Spot,11,Image 1,2,Tracked,1000000994,1474,
35.7101,,Spot,11,Image 1,2,Tracked,1000001004,1475,
95.775,,Spot,11,Image 1,2,Tracked,1000001018,1476,
90.4402,,Spot,11,Image 1,2,Tracked,1000001031,1477,
88.5682,,Spot,11,Image 1,2,Tracked,1000001045,1478,
94.034,,Spot,11,Image 1,2,Tracked,1000001059,1479,
134.721,,Spot,11,Image 1,2,Tracked,1000001073,1480,
140.38,,Spot,11,Image 1,2,Tracked,1000001075,1481,
97.9332,,Spot,11,Image 1,2,Tracked,1000001089,1482,
83.4897,,Spot,11,Image 1,2,Tracked,1000001103,1483,
70.25,,Spot,11,Image 1,2,Tracked,1000001117,1484,
81.6173,,Spot,11,Image 1,2,Tracked,1000001131,1485,
72.2833,,Spot,11,Image 1,2,Tracked,1000001145,1486,
65.0581,,Spot,11,Image 1,2,Tracked,1000001159,1487,
69.3941,,Spot,11,Image 1,2,Tracked,1000001173,1488,
