
Intensity Mean Ch=7 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,Set 1,TrackID,ID,
116.122,,Spot,7,Image 1,1,Untracked,1000000203,203,
125.746,,Spot,7,Image 1,1,Untracked,1000000204,204,
118.91,,Spot,7,Image 1,1,Untracked,1000000205,205,
110.247,,Spot,7,Image 1,1,Untracked,1000000208,208,
150,,Spot,7,Image 1,1,Untracked,1000000212,212,
118.852,,Spot,7,Image 1,1,Tracked,1000000216,216,
103.117,,Spot,7,Image 1,1,Tracked,1000000217,217,
103.094,,Spot,7,Image 1,1,Tracked,1000000218,218,
122.492,,Spot,7,Image 1,1,Untracked,1000000219,219,
133.371,,Spot,7,Image 1,1,Untracked,1000000251,251,
138.698,,Spot,7,Image 1,1,Untracked,1000000254,254,
108.615,,Spot,7,Image 1,1,Untracked,1000000257,257,
126.996,,Spot,7,Image 1,1,Tracked,1000000262,262,
107.787,,Spot,7,Image 1,1,Untracked,1000000268,268,
119.631,,Spot,7,Image 1,1,Tracked,1000000272,272,
143.63,,Spot,7,Image 1,1,Untracked,1000000284,284,
110.034,,Spot,7,Image 1,1,Untracked,1000000285,285,
110.955,,Spot,7,Image 1,1,Untracked,1000000289,289,
102.508,,Spot,7,Image 1,1,Tracked,1000000309,309,
115.906,,Spot,7,Image 1,1,Untracked,1000000314,314,
130.337,,Spot,7,Image 1,1,Untracked,1000000316,316,
130.595,,Spot,7,Image 1,1,Untracked,1000000317,317,
146.9,,Spot,7,Image 1,1,Untracked,1000000323,323,
107.771,,Spot,7,Image 1,1,Untracked,1000000324,324,
111.824,,Spot,7,Image 1,1,Untracked,1000000325,325,
114.365,,Spot,7,Image 1,1,Untracked,1000000379,379,
90.0185,,Spot,7,Image 1,1,Tracked,1000006624,6624,
114.202,,Spot,7,Image 1,1,Tracked,1000006651,6651,
118.755,,Spot,7,Image 1,1,Tracked,1000006677,6677,
123.929,,Spot,7,Image 1,1,Tracked,1000006690,6690,
108.314,,Spot,7,Image 1,1,Tracked,1000006703,6703,
47.634,,Spot,7,Image 1,2,,1000000003,6704,
177.16,,Spot,7,Image 1,2,,1000006705,6705,
98.3232,,Spot,7,Image 1,2,Untracked,1000000010,6706,
79.25,,Spot,7,Image 1,2,Untracked,1000000013,6707,
150.055,,Spot,7,Image 1,2,Tracked,1000000016,6708,
87.7143,,Spot,7,Image 1,2,Untracked,1000000018,6709,
152.9,,Spot,7,Image 1,2,Tracked,1000000022,6710,
138.375,,Spot,7,Image 1,2,Untracked,1000000024,6711,
101.376,,Spot,7,Image 1,2,Untracked,1000000026,6712,
96.2214,,Spot,7,Image 1,2,Untracked,1000000027,6713,
95.7865,,Spot,7,Image 1,2,Untracked,1000000028,6714,
124.314,,Spot,7,Image 1,2,Untracked,1000000029,6715,
151.461,,Spot,7,Image 1,2,Untracked,1000006716,6716,
118.978,,Spot,7,Image 1,2,Untracked,1000000030,6717,
91.7704,,Spot,7,Image 1,2,Untracked,1000000033,6718,
108.349,,Spot,7,Image 1,2,Untracked,1000000031,6719,
185.434,,Spot,7,Image 1,2,Untracked,1000000034,6720,
119.649,,Spot,7,Image 1,2,Untracked,1000000042,6721,
107.487,,Spot,7,Image 1,2,Tracked,1000000045,6722,
151.899,,Spot,7,Image 1,2,Untracked,1000000044,6723,
114.135,,Spot,7,Image 1,2,Untracked,1000000047,6724,
124.887,,Spot,7,Image 1,2,Tracked,1000000046,6725,
107.167,,Spot,7,Image 1,2,Untracked,1000000048,6726,
94.4129,,Spot,7,Image 1,2,Tracked,1000000052,6727,
81.4885,,Spot,7,Image 1,2,Tracked,1000000053,6728,
105.464,,Spot,7,Image 1,2,Tracked,1000000054,6729,
91.8517,,Spot,7,Image 1,2,Tracked,1000000178,6730,
122.161,,Spot,7,Image 1,2,Tracked,1000000056,6731,
140.45,,Spot,7,Image 1,2,Untracked,1000000061,6732,
73.5,,Spot,7,Image 1,2,Untracked,1000006733,6733,
102.485,,Spot,7,Image 1,2,Untracked,1000000063,6734,
83.4709,,Spot,7,Image 1,2,Untracked,1000006735,6735,
134.274,,Spot,7,Image 1,2,Untracked,1000000064,6736,
52.0075,,Spot,7,Image 1,2,Untracked,1000000066,6737,
70.1328,,Spot,7,Image 1,2,Untracked,1000000065,6738,
54.4176,,Spot,7,Image 1,2,,1000000073,6739,
71.9236,,Spot,7,Image 1,2,Untracked,1000006740,6740,
84.4226,,Spot,7,Image 1,2,,1000006741,6741,
77.6543,,Spot,7,Image 1,2,,1000000082,6742,
50.4699,,Spot,7,Image 1,2,,1000000084,6743,
46.2159,,Spot,7,Image 1,2,Untracked,1000000088,6744,
84.0226,,Spot,7,Image 1,2,Untracked,1000000089,6745,
82.6731,,Spot,7,Image 1,2,Untracked,1000000092,6746,
124.34,,Spot,7,Image 1,2,Untracked,1000000096,6747,
95.457,,Spot,7,Image 1,2,Tracked,1000000005,6748,
99.722,,Spot,7,Image 1,2,Tracked,1000000102,6749,
88.4411,,Spot,7,Image 1,2,Tracked,1000000105,6750,
101.934,,Spot,7,Image 1,2,Untracked,1000000014,6751,
107.041,,Spot,7,Image 1,2,Untracked,1000000106,6752,
77.3023,,Spot,7,Image 1,2,Untracked,1000000112,6753,
129.494,,Spot,7,Image 1,2,Untracked,1000000107,6754,
66.0863,,Spot,7,Image 1,2,Untracked,1000000108,6755,
169.602,,Spot,7,Image 1,2,Untracked,1000000111,6756,
112.837,,Spot,7,Image 1,2,Untracked,1000000116,6757,
89.7778,,Spot,7,Image 1,2,Untracked,1000000114,6758,
113.664,,Spot,7,Image 1,2,Untracked,1000000115,6759,
81.9664,,Spot,7,Image 1,2,Untracked,1000000122,6760,
94.5977,,Spot,7,Image 1,2,Untracked,1000000120,6761,
220.068,,Spot,7,Image 1,2,Tracked,1000000021,6762,
129.115,,Spot,7,Image 1,2,Tracked,1000000124,6763,
89.5547,,Spot,7,Image 1,2,Tracked,1000000125,6764,
261.433,,Spot,7,Image 1,2,Untracked,1000000020,6765,
163.789,,Spot,7,Image 1,2,Tracked,1000000126,6766,
68.019,,Spot,7,Image 1,2,Untracked,1000000127,6767,
125.674,,Spot,7,Image 1,2,Tracked,1000000128,6768,
84.9962,,Spot,7,Image 1,2,Tracked,1000000130,6769,
126.405,,Spot,7,Image 1,2,Tracked,1000000131,6770,
89.4358,,Spot,7,Image 1,2,Tracked,1000000133,6771,
79.3071,,Spot,7,Image 1,2,Tracked,1000000023,6772,
111.432,,Spot,7,Image 1,2,Tracked,1000000137,6773,
136.748,,Spot,7,Image 1,2,Tracked,1000000134,6774,
141.589,,Spot,7,Image 1,2,Tracked,1000000135,6775,
98.5654,,Spot,7,Image 1,2,Tracked,1000000140,6776,
77.6654,,Spot,7,Image 1,2,Tracked,1000006777,6777,
120.078,,Spot,7,Image 1,2,Tracked,1000000139,6778,
79.3895,,Spot,7,Image 1,2,Tracked,1000000145,6779,
105.226,,Spot,7,Image 1,2,Untracked,1000000151,6780,
144.779,,Spot,7,Image 1,2,Untracked,1000000037,6781,
130.093,,Spot,7,Image 1,2,Untracked,1000000150,6782,
100.291,,Spot,7,Image 1,2,Untracked,1000000156,6783,
119.617,,Spot,7,Image 1,2,Untracked,1000000161,6784,
112.981,,Spot,7,Image 1,2,Untracked,1000000162,6785,
77.444,,Spot,7,Image 1,2,Untracked,1000000155,6786,
106.455,,Spot,7,Image 1,2,Untracked,1000000164,6787,
96.6154,,Spot,7,Image 1,2,Tracked,1000000051,6788,
116.091,,Spot,7,Image 1,2,,1000000172,6789,
98.0556,,Spot,7,Image 1,2,Untracked,1000000175,6790,
129.939,,Spot,7,Image 1,2,Tracked,1000006791,6791,
86.1241,,Spot,7,Image 1,2,Tracked,1000000218,6792,
92.3059,,Spot,7,Image 1,2,Tracked,1000000191,6793,
104.43,,Spot,7,Image 1,2,Tracked,1000006794,6794,
148.969,,Spot,7,Image 1,2,Untracked,1000000068,6795,
75.7615,,Spot,7,Image 1,2,Untracked,1000000071,6796,
67.5209,,Spot,7,Image 1,2,Untracked,1000000072,6797,
85.104,,Spot,7,Image 1,2,Untracked,1000000067,6798,
91.2649,,Spot,7,Image 1,2,Untracked,1000000201,6799,
79.1911,,Spot,7,Image 1,2,Untracked,1000000204,6800,
109.496,,Spot,7,Image 1,2,Untracked,1000006801,6801,
109.248,,Spot,7,Image 1,2,Untracked,1000000205,6802,
97.9902,,Spot,7,Image 1,2,Untracked,1000000203,6803,
142.198,,Spot,7,Image 1,2,Untracked,1000000212,6804,
89.4355,,Spot,7,Image 1,2,Tracked,1000000217,6805,
104.922,,Spot,7,Image 1,2,Tracked,1000000216,6806,
104.24,,Spot,7,Image 1,2,Untracked,1000000219,6807,
60.9046,,Spot,7,Image 1,2,Untracked,1000000091,6808,
77.06,,Spot,7,Image 1,2,,1000006809,6809,
93.4981,,Spot,7,Image 1,2,Untracked,1000000121,6810,
90.6236,,Spot,7,Image 1,2,Untracked,1000006811,6811,
93.921,,Spot,7,Image 1,2,Untracked,1000000123,6812,
135.163,,Spot,7,Image 1,2,Untracked,1000000251,6813,
125.408,,Spot,7,Image 1,2,Tracked,1000000262,6814,
86.806,,Spot,7,Image 1,2,Untracked,1000000268,6815,
112.733,,Spot,7,Image 1,2,Untracked,1000000166,6816,
87.4769,,Spot,7,Image 1,2,Untracked,1000000285,6817,
147.15,,Spot,7,Image 1,2,Untracked,1000000284,6818,
83.6031,,Spot,7,Image 1,2,Tracked,1000000309,6819,
144.974,,Spot,7,Image 1,2,Untracked,1000006820,6820,
96.0263,,Spot,7,Image 1,2,Untracked,1000000208,6821,
118.174,,Spot,7,Image 1,2,Untracked,1000000317,6822,
120.34,,Spot,7,Image 1,2,Untracked,1000000314,6823,
99.5695,,Spot,7,Image 1,2,Untracked,1000006824,6824,
89.8213,,Spot,7,Image 1,2,Untracked,1000000324,6825,
85.313,,Spot,7,Image 1,2,Untracked,1000000325,6826,
94.5192,,Spot,7,Image 1,2,Untracked,1000000379,6827,
72.3764,,Spot,7,Image 1,2,Tracked,1000006624,6828,
95.4868,,Spot,7,Image 1,2,Tracked,1000006829,6829,
86.6444,,Spot,7,Image 1,2,Tracked,1000006651,6830,
85.6264,,Spot,7,Image 1,2,Tracked,1000006831,6831,
104.199,,Spot,7,Image 1,2,Tracked,1000006677,6832,
113.234,,Spot,7,Image 1,2,Tracked,1000006690,6833,
89.618,,Spot,7,Image 1,2,Tracked,1000006703,6834,
223.606,,Spot,7,Image 1,3,,1000006705,6835,
60.8968,,Spot,7,Image 1,3,,1000000003,6836,
116.906,,Spot,7,Image 1,3,Untracked,1000000011,6837,
106.42,,Spot,7,Image 1,3,Untracked,1000000010,6838,
88.5846,,Spot,7,Image 1,3,Untracked,1000000012,6839,
90.1053,,Spot,7,Image 1,3,Untracked,1000000013,6840,
133.019,,Spot,7,Image 1,3,Tracked,1000000016,6841,
112.256,,Spot,7,Image 1,3,Untracked,1000000018,6842,
250.7,,Spot,7,Image 1,3,Tracked,1000000021,6843,
148.087,,Spot,7,Image 1,3,Tracked,1000000022,6844,
157.663,,Spot,7,Image 1,3,Untracked,1000000024,6845,
112.981,,Spot,7,Image 1,3,Untracked,1000000026,6846,
105.459,,Spot,7,Image 1,3,Untracked,1000000027,6847,
99.3308,,Spot,7,Image 1,3,Untracked,1000000028,6848,
126.489,,Spot,7,Image 1,3,Untracked,1000000029,6849,
163.947,,Spot,7,Image 1,3,Untracked,1000006716,6850,
85.756,,Spot,7,Image 1,3,Untracked,1000000033,6851,
122.925,,Spot,7,Image 1,3,Untracked,1000000031,6852,
131.988,,Spot,7,Image 1,3,Untracked,1000000038,6853,
137.223,,Spot,7,Image 1,3,Untracked,1000000030,6854,
169.038,,Spot,7,Image 1,3,Untracked,1000000034,6855,
201.477,,Spot,7,Image 1,3,Tracked,1000000041,6856,
101.817,,Spot,7,Image 1,3,Untracked,1000000042,6857,
135.865,,Spot,7,Image 1,3,Tracked,1000006858,6858,
97.1629,,Spot,7,Image 1,3,Tracked,1000000045,6859,
140.6,,Spot,7,Image 1,3,Untracked,1000000044,6860,
122.487,,Spot,7,Image 1,3,Untracked,1000000047,6861,
126.919,,Spot,7,Image 1,3,Tracked,1000000046,6862,
122.322,,Spot,7,Image 1,3,Untracked,1000000048,6863,
92.6404,,Spot,7,Image 1,3,Tracked,1000000052,6864,
98.3295,,Spot,7,Image 1,3,Tracked,1000000053,6865,
102.363,,Spot,7,Image 1,3,Tracked,1000000054,6866,
109.757,,Spot,7,Image 1,3,Tracked,1000000178,6867,
115.076,,Spot,7,Image 1,3,Tracked,1000000056,6868,
155.996,,Spot,7,Image 1,3,Untracked,1000000061,6869,
68.5762,,Spot,7,Image 1,3,Untracked,1000006733,6870,
148.948,,Spot,7,Image 1,3,Untracked,1000000064,6871,
