
Speed
 ==================== 
Speed,Unit,Category,Time,Set 1,TrackID,ID,
14.0712,um/h,Spot,1,Untracked,1000000184,184,
20.1312,um/h,Spot,1,Untracked,1000001235,1235,
22.6001,um/h,Spot,1,Untracked,1000001240,1240,
25.4782,um/h,Spot,1,Untracked,1000001244,1244,
21.0121,um/h,Spot,1,Untracked,1000001245,1245,
17.0195,um/h,Spot,1,Untracked,1000001250,1250,
26.0504,um/h,Spot,1,Untracked,1000001252,1252,
27.9687,um/h,Spot,1,Untracked,1000001255,1255,
19.2481,um/h,Spot,1,Untracked,1000001259,1259,
9.94929,um/h,Spot,1,Untracked,1000001386,1386,
12.8942,um/h,Spot,1,Untracked,1000001389,1389,
13.4347,um/h,Spot,1,Untracked,1000001390,1390,
9.10196,um/h,Spot,1,Untracked,1000001391,1391,
15.9787,um/h,Spot,1,Untracked,1000001393,1393,
23.9961,um/h,Spot,1,Untracked,1000001396,1396,
11.8908,um/h,Spot,1,Untracked,1000001397,1397,
9.38029,um/h,Spot,1,Untracked,1000001398,1398,
13.2437,um/h,Spot,1,Untracked,1000001400,1400,
11.2082,um/h,Spot,1,Untracked,1000001401,1401,
8.95271,um/h,Spot,1,Untracked,1000001416,1416,
5.78844,um/h,Spot,1,Untracked,1000001418,1418,
23.0857,um/h,Spot,1,Untracked,1000001426,1426,
8.31699,um/h,Spot,1,Untracked,1000001428,1428,
11.1699,um/h,Spot,1,Untracked,1000001601,1601,
29.9442,um/h,Spot,1,Untracked,1000002144,2144,
9.47609,um/h,Spot,1,Untracked,1000002145,2145,
21.3332,um/h,Spot,1,Untracked,1000002146,2146,
24.2447,um/h,Spot,1,Untracked,1000002147,2147,
22.5486,um/h,Spot,1,Untracked,1000002149,2149,
26.9153,um/h,Spot,1,Untracked,1000002150,2150,
15.6424,um/h,Spot,1,Untracked,1000002151,2151,
17.8446,um/h,Spot,1,Untracked,1000002152,2152,
15.4183,um/h,Spot,1,Untracked,1000002153,2153,
28.98,um/h,Spot,1,Untracked,1000002154,2154,
22.4381,um/h,Spot,1,Untracked,1000002155,2155,
22.845,um/h,Spot,1,Untracked,1000002156,2156,
10.6426,um/h,Spot,1,Untracked,1000002157,2157,
21.9338,um/h,Spot,1,Untracked,1000002158,2158,
21.2067,um/h,Spot,1,Untracked,1000002159,2159,
21.4149,um/h,Spot,1,Untracked,1000002160,2160,
19.3763,um/h,Spot,1,Untracked,1000002162,2162,
22.7987,um/h,Spot,1,Untracked,1000002163,2163,
23.2203,um/h,Spot,1,Untracked,1000002164,2164,
20.5978,um/h,Spot,1,Untracked,1000002170,2170,
22.5611,um/h,Spot,1,Untracked,1000002171,2171,
20.0641,um/h,Spot,1,Untracked,1000002172,2172,
6.6986,um/h,Spot,1,Untracked,1000002179,2179,
16.8409,um/h,Spot,1,Untracked,1000002181,2181,
13.7866,um/h,Spot,1,Untracked,1000002185,2185,
14.4838,um/h,Spot,1,Untracked,1000002188,2188,
9.87682,um/h,Spot,1,Untracked,1000002190,2190,
22.9723,um/h,Spot,1,Untracked,1000002197,2197,
18.2912,um/h,Spot,1,Untracked,1000002199,2199,
14.1546,um/h,Spot,1,Untracked,1000002249,2249,
16.7152,um/h,Spot,1,Untracked,1000002251,2251,
17.7167,um/h,Spot,1,Untracked,1000002252,2252,
13.7015,um/h,Spot,1,Untracked,1000002253,2253,
16.1774,um/h,Spot,1,Untracked,1000002254,2254,
