
Displacement^2
 ==================== 
Displacement^2,Unit,Category,Time,Set 1,TrackID,ID,
0,um^2,Spot,1,Untracked,1000000379,379,
0,um^2,Spot,1,Tracked,1000006624,6624,
0,um^2,Spot,1,Tracked,1000006651,6651,
0,um^2,Spot,1,Tracked,1000006677,6677,
0,um^2,Spot,1,Tracked,1000006690,6690,
0,um^2,Spot,1,Tracked,1000006703,6703,
20.9503,um^2,Spot,2,,1000000003,6704,
0,um^2,Spot,2,,1000006705,6705,
10.4002,um^2,Spot,2,Untracked,1000000010,6706,
47.8829,um^2,Spot,2,Untracked,1000000013,6707,
8.0026,um^2,Spot,2,Tracked,1000000016,6708,
4.47512,um^2,Spot,2,Untracked,1000000018,6709,
13.2642,um^2,Spot,2,Tracked,1000000022,6710,
23.0888,um^2,Spot,2,Untracked,1000000024,6711,
13.4239,um^2,Spot,2,Untracked,1000000026,6712,
103.426,um^2,Spot,2,Untracked,1000000027,6713,
11.5384,um^2,Spot,2,Untracked,1000000028,6714,
0.14649,um^2,Spot,2,Untracked,1000000029,6715,
0,um^2,Spot,2,Untracked,1000006716,6716,
22.6778,um^2,Spot,2,Untracked,1000000030,6717,
1.73574,um^2,Spot,2,Untracked,1000000033,6718,
15.9691,um^2,Spot,2,Untracked,1000000031,6719,
32.2074,um^2,Spot,2,Untracked,1000000034,6720,
5.82558,um^2,Spot,2,Untracked,1000000042,6721,
6.07255,um^2,Spot,2,Tracked,1000000045,6722,
60.0524,um^2,Spot,2,Untracked,1000000044,6723,
3.54162,um^2,Spot,2,Untracked,1000000047,6724,
36.3938,um^2,Spot,2,Tracked,1000000046,6725,
16.6584,um^2,Spot,2,Untracked,1000000048,6726,
0.871639,um^2,Spot,2,Tracked,1000000052,6727,
6.07724,um^2,Spot,2,Tracked,1000000053,6728,
18.31,um^2,Spot,2,Tracked,1000000054,6729,
33.2212,um^2,Spot,2,Tracked,1000000178,6730,
3.8444,um^2,Spot,2,Tracked,1000000056,6731,
18.8869,um^2,Spot,2,Untracked,1000000061,6732,
0,um^2,Spot,2,Untracked,1000006733,6733,
15.4062,um^2,Spot,2,Untracked,1000000063,6734,
0,um^2,Spot,2,Untracked,1000006735,6735,
39.6193,um^2,Spot,2,Untracked,1000000064,6736,
49.8086,um^2,Spot,2,Untracked,1000000066,6737,
182.635,um^2,Spot,2,Untracked,1000000065,6738,
11.0153,um^2,Spot,2,,1000000073,6739,
0,um^2,Spot,2,Untracked,1000006740,6740,
0,um^2,Spot,2,,1000006741,6741,
0.262847,um^2,Spot,2,,1000000082,6742,
18.6063,um^2,Spot,2,,1000000084,6743,
41.8831,um^2,Spot,2,Untracked,1000000088,6744,
55.466,um^2,Spot,2,Untracked,1000000089,6745,
10.0134,um^2,Spot,2,Untracked,1000000092,6746,
13.9063,um^2,Spot,2,Untracked,1000000096,6747,
16.0886,um^2,Spot,2,Tracked,1000000005,6748,
2.50521,um^2,Spot,2,Tracked,1000000102,6749,
4.4986,um^2,Spot,2,Tracked,1000000105,6750,
85.5507,um^2,Spot,2,Untracked,1000000014,6751,
23.6829,um^2,Spot,2,Untracked,1000000106,6752,
15.6804,um^2,Spot,2,Untracked,1000000112,6753,
94.8693,um^2,Spot,2,Untracked,1000000107,6754,
25.6029,um^2,Spot,2,Untracked,1000000108,6755,
31.1793,um^2,Spot,2,Untracked,1000000111,6756,
21.8978,um^2,Spot,2,Untracked,1000000116,6757,
23.8,um^2,Spot,2,Untracked,1000000114,6758,
32.077,um^2,Spot,2,Untracked,1000000115,6759,
3.18924,um^2,Spot,2,Untracked,1000000122,6760,
23.9035,um^2,Spot,2,Untracked,1000000120,6761,
28.0604,um^2,Spot,2,Tracked,1000000021,6762,
17.8997,um^2,Spot,2,Tracked,1000000124,6763,
10.7326,um^2,Spot,2,Tracked,1000000125,6764,
80.0815,um^2,Spot,2,Untracked,1000000020,6765,
17.3667,um^2,Spot,2,Tracked,1000000126,6766,
20.3781,um^2,Spot,2,Untracked,1000000127,6767,
14.7453,um^2,Spot,2,Tracked,1000000128,6768,
11.2908,um^2,Spot,2,Tracked,1000000130,6769,
109.917,um^2,Spot,2,Tracked,1000000131,6770,
8.55083,um^2,Spot,2,Tracked,1000000133,6771,
19.731,um^2,Spot,2,Tracked,1000000023,6772,
55.7912,um^2,Spot,2,Tracked,1000000137,6773,
3.86751,um^2,Spot,2,Tracked,1000000134,6774,
12.9157,um^2,Spot,2,Tracked,1000000135,6775,
5.61228,um^2,Spot,2,Tracked,1000000140,6776,
0,um^2,Spot,2,Tracked,1000006777,6777,
26.1565,um^2,Spot,2,Tracked,1000000139,6778,
5.6164,um^2,Spot,2,Tracked,1000000145,6779,
6.32042,um^2,Spot,2,Untracked,1000000151,6780,
28.6298,um^2,Spot,2,Untracked,1000000037,6781,
61.2617,um^2,Spot,2,Untracked,1000000150,6782,
1.05516,um^2,Spot,2,Untracked,1000000156,6783,
11.0914,um^2,Spot,2,Untracked,1000000161,6784,
38.5667,um^2,Spot,2,Untracked,1000000162,6785,
198.107,um^2,Spot,2,Untracked,1000000155,6786,
8.58236,um^2,Spot,2,Untracked,1000000164,6787,
13.5723,um^2,Spot,2,Tracked,1000000051,6788,
32.1983,um^2,Spot,2,,1000000172,6789,
6.64869,um^2,Spot,2,Untracked,1000000175,6790,
0,um^2,Spot,2,Tracked,1000006791,6791,
87.6786,um^2,Spot,2,Tracked,1000000218,6792,
2.95142,um^2,Spot,2,Tracked,1000000191,6793,
0,um^2,Spot,2,Tracked,1000006794,6794,
13.3273,um^2,Spot,2,Untracked,1000000068,6795,
49.2205,um^2,Spot,2,Untracked,1000000071,6796,
73.2649,um^2,Spot,2,Untracked,1000000072,6797,
159.303,um^2,Spot,2,Untracked,1000000067,6798,
36.8682,um^2,Spot,2,Untracked,1000000201,6799,
9.25819,um^2,Spot,2,Untracked,1000000204,6800,
0,um^2,Spot,2,Untracked,1000006801,6801,
59.038,um^2,Spot,2,Untracked,1000000205,6802,
126.236,um^2,Spot,2,Untracked,1000000203,6803,
11.8866,um^2,Spot,2,Untracked,1000000212,6804,
5.12544,um^2,Spot,2,Tracked,1000000217,6805,
35.7696,um^2,Spot,2,Tracked,1000000216,6806,
17.0475,um^2,Spot,2,Untracked,1000000219,6807,
36.0997,um^2,Spot,2,Untracked,1000000091,6808,
0,um^2,Spot,2,,1000006809,6809,
88.5161,um^2,Spot,2,Untracked,1000000121,6810,
0,um^2,Spot,2,Untracked,1000006811,6811,
83.3605,um^2,Spot,2,Untracked,1000000123,6812,
50.3108,um^2,Spot,2,Untracked,1000000251,6813,
29.0542,um^2,Spot,2,Tracked,1000000262,6814,
19.8532,um^2,Spot,2,Untracked,1000000268,6815,
32.4665,um^2,Spot,2,Untracked,1000000166,6816,
27.4216,um^2,Spot,2,Untracked,1000000285,6817,
45.1636,um^2,Spot,2,Untracked,1000000284,6818,
7.04514,um^2,Spot,2,Tracked,1000000309,6819,
0,um^2,Spot,2,Untracked,1000006820,6820,
80.7854,um^2,Spot,2,Untracked,1000000208,6821,
8.72852,um^2,Spot,2,Untracked,1000000317,6822,
80.631,um^2,Spot,2,Untracked,1000000314,6823,
0,um^2,Spot,2,Untracked,1000006824,6824,
9.13069,um^2,Spot,2,Untracked,1000000324,6825,
29.2332,um^2,Spot,2,Untracked,1000000325,6826,
131.427,um^2,Spot,2,Untracked,1000000379,6827,
4.36265,um^2,Spot,2,Tracked,1000006624,6828,
0,um^2,Spot,2,Tracked,1000006829,6829,
6.79247,um^2,Spot,2,Tracked,1000006651,6830,
0,um^2,Spot,2,Tracked,1000006831,6831,
16.814,um^2,Spot,2,Tracked,1000006677,6832,
9.00311,um^2,Spot,2,Tracked,1000006690,6833,
5.30078,um^2,Spot,2,Tracked,1000006703,6834,
