
Time
 ==================== 
Time,Unit,Category,Time,Set 1,TrackID,ID,
0,h,Spot,1,Untracked,1000000000,0,
0,h,Spot,1,Untracked,1000000002,2,
0,h,Spot,1,Untracked,1000000004,4,
0,h,Spot,1,Untracked,1000000005,5,
0,h,Spot,1,Untracked,1000000006,6,
0,h,Spot,1,Untracked,1000000007,7,
0,h,Spot,1,Untracked,1000000008,8,
0,h,Spot,1,Untracked,1000000010,10,
0,h,Spot,1,Untracked,1000000011,11,
0,h,Spot,1,Untracked,1000000015,15,
0,h,Spot,1,Untracked,1000000031,31,
0,h,Spot,1,Untracked,1000000032,32,
0,h,Spot,1,Untracked,1000000033,33,
0,h,Spot,1,Untracked,1000000034,34,
0,h,Spot,1,Untracked,1000000043,43,
0,h,Spot,1,Untracked,1000000063,63,
0,h,Spot,1,Untracked,1000000064,64,
0,h,Spot,1,Untracked,1000000065,65,
0,h,Spot,1,Untracked,1000000066,66,
0,h,Spot,1,Untracked,1000000067,67,
0,h,Spot,1,Untracked,1000000070,70,
0,h,Spot,1,Untracked,1000000073,73,
0,h,Spot,1,Untracked,1000000074,74,
0,h,Spot,1,Untracked,1000000075,75,
0,h,Spot,1,Untracked,1000000080,80,
0,h,Spot,1,Untracked,1000000082,82,
0,h,Spot,1,Untracked,1000000084,84,
0,h,Spot,1,Untracked,1000000085,85,
0,h,Spot,1,Untracked,1000000086,86,
0,h,Spot,1,Untracked,1000000088,88,
0,h,Spot,1,Untracked,1000000089,89,
0,h,Spot,1,Untracked,1000000090,90,
0,h,Spot,1,Untracked,1000000091,91,
0,h,Spot,1,Untracked,1000000092,92,
0,h,Spot,1,Untracked,1000000093,93,
0,h,Spot,1,Untracked,1000000094,94,
0,h,Spot,1,Untracked,1000000095,95,
0,h,Spot,1,Untracked,1000000096,96,
0,h,Spot,1,Untracked,1000000097,97,
0,h,Spot,1,Untracked,1000000106,106,
0,h,Spot,1,Untracked,1000000107,107,
0,h,Spot,1,Untracked,1000000108,108,
0,h,Spot,1,Untracked,1000000109,109,
0,h,Spot,1,Untracked,1000000110,110,
0,h,Spot,1,Untracked,1000000111,111,
0,h,Spot,1,Untracked,1000000112,112,
0,h,Spot,1,Untracked,1000000113,113,
0,h,Spot,1,Untracked,1000000115,115,
0,h,Spot,1,Untracked,1000000116,116,
0,h,Spot,1,Untracked,1000000117,117,
0,h,Spot,1,Untracked,1000000118,118,
0,h,Spot,1,Untracked,1000000119,119,
0,h,Spot,1,Untracked,1000000120,120,
0,h,Spot,1,Untracked,1000000122,122,
0,h,Spot,1,Untracked,1000000123,123,
0,h,Spot,1,Untracked,1000000124,124,
0,h,Spot,1,Untracked,1000000125,125,
0,h,Spot,1,Untracked,1000000126,126,
0,h,Spot,1,Untracked,1000000127,127,
0,h,Spot,1,Untracked,1000000128,128,
0,h,Spot,1,Untracked,1000000140,140,
0,h,Spot,1,Untracked,1000000141,141,
0,h,Spot,1,Untracked,1000000142,142,
0,h,Spot,1,Untracked,1000000143,143,
0,h,Spot,1,Untracked,1000000144,144,
0,h,Spot,1,Untracked,1000000145,145,
0,h,Spot,1,Untracked,1000000147,147,
0,h,Spot,1,Untracked,1000000148,148,
0,h,Spot,1,Untracked,1000000150,150,
0,h,Spot,1,Untracked,1000000151,151,
0,h,Spot,1,Untracked,1000000152,152,
0,h,Spot,1,Untracked,1000000153,153,
0,h,Spot,1,Untracked,1000000155,155,
0,h,Spot,1,Untracked,1000000156,156,
0,h,Spot,1,Untracked,1000000158,158,
0,h,Spot,1,Untracked,1000000159,159,
0,h,Spot,1,Untracked,1000000160,160,
0,h,Spot,1,Untracked,1000000161,161,
0,h,Spot,1,Untracked,1000000162,162,
0,h,Spot,1,Untracked,1000000164,164,
0,h,Spot,1,Untracked,1000000165,165,
0,h,Spot,1,Untracked,1000000166,166,
0,h,Spot,1,Untracked,1000000167,167,
0,h,Spot,1,Untracked,1000000169,169,
0,h,Spot,1,Untracked,1000000170,170,
0,h,Spot,1,Untracked,1000000173,173,
0,h,Spot,1,Untracked,1000000174,174,
0,h,Spot,1,Untracked,1000000176,176,
0,h,Spot,1,Untracked,1000000177,177,
0,h,Spot,1,Untracked,1000000179,179,
0,h,Spot,1,Untracked,1000000180,180,
0,h,Spot,1,Untracked,1000000182,182,
0,h,Spot,1,Untracked,1000000183,183,
0,h,Spot,1,Untracked,1000000185,185,
0,h,Spot,1,Untracked,1000000186,186,
0,h,Spot,1,Untracked,1000000187,187,
0,h,Spot,1,Untracked,1000000189,189,
0,h,Spot,1,Untracked,1000000191,191,
0,h,Spot,1,Untracked,1000000192,192,
0,h,Spot,1,Tracked,1000003129,3129,
0,h,Spot,1,Tracked,1000003143,3143,
0,h,Spot,1,Tracked,1000003157,3157,
0,h,Spot,1,Tracked,1000003171,3171,
0,h,Spot,1,Tracked,1000003185,3185,
0,h,Spot,1,Tracked,1000003199,3199,
0,h,Spot,1,Tracked,1000003216,3216,
0,h,Spot,1,Tracked,1000003227,3227,
0,h,Spot,1,Tracked,1000003241,3241,
0,h,Spot,1,Tracked,1000003255,3255,
0,h,Spot,1,Tracked,1000003269,3269,
0,h,Spot,1,Tracked,1000003283,3283,
0,h,Spot,1,Tracked,1000003297,3297,
0,h,Spot,1,Tracked,1000003310,3310,
0,h,Spot,1,Tracked,1000003323,3323,
0,h,Spot,1,Tracked,1000003336,3336,
0,h,Spot,1,Tracked,1000003350,3350,
0,h,Spot,1,Tracked,1000003363,3363,
0,h,Spot,1,Tracked,1000003377,3377,
0,h,Spot,1,Tracked,1000003391,3391,
0,h,Spot,1,Tracked,1000003405,3405,
0,h,Spot,1,Tracked,1000003432,3432,
0,h,Spot,1,Tracked,1000003446,3446,
0,h,Spot,1,Tracked,1000003476,3476,
0,h,Spot,1,Tracked,1000003490,3490,
0,h,Spot,1,Tracked,1000003504,3504,
0,h,Spot,1,Tracked,1000003518,3518,
0,h,Spot,1,Tracked,1000003532,3532,
0,h,Spot,1,Tracked,1000003558,3558,
0,h,Spot,1,Tracked,1000003572,3572,
0,h,Spot,1,Tracked,1000003586,3586,
0,h,Spot,1,Tracked,1000003600,3600,
0,h,Spot,1,Tracked,1000003614,3614,
0,h,Spot,1,Tracked,1000003652,3652,
0,h,Spot,1,Tracked,1000003666,3666,
0,h,Spot,1,Tracked,1000003692,3692,
0,h,Spot,1,Tracked,1000003706,3706,
0,h,Spot,1,Tracked,1000003716,3716,
0,h,Spot,1,Tracked,1000003738,3738,
0,h,Spot,1,Tracked,1000003752,3752,
0,h,Spot,1,Tracked,1000003766,3766,
0,h,Spot,1,Tracked,1000003791,3791,
0,h,Spot,1,Tracked,1000003805,3805,
0,h,Spot,1,Tracked,1000003819,3819,
0,h,Spot,1,Tracked,1000003833,3833,
0,h,Spot,1,Tracked,1000003847,3847,
0,h,Spot,1,Tracked,1000003861,3861,
0,h,Spot,1,Tracked,1000003875,3875,
0,h,Spot,1,Tracked,1000003889,3889,
0,h,Spot,1,Tracked,1000003913,3913,
0,h,Spot,1,Tracked,1000003927,3927,
0,h,Spot,1,Tracked,1000003941,3941,
0,h,Spot,1,Tracked,1000003954,3954,
0,h,Spot,1,Tracked,1000003968,3968,
0,h,Spot,1,Tracked,1000003982,3982,
0,h,Spot,1,Tracked,1000003996,3996,
0,h,Spot,1,Tracked,1000004010,4010,
0,h,Spot,1,Tracked,1000004034,4034,
0,h,Spot,1,Tracked,1000004084,4084,
0,h,Spot,1,Tracked,1000004098,4098,
0,h,Spot,1,Tracked,1000004112,4112,
0,h,Spot,1,Tracked,1000004126,4126,
0,h,Spot,1,Tracked,1000004140,4140,
0,h,Spot,1,Tracked,1000004154,4154,
0,h,Spot,1,Tracked,1000004168,4168,
0,h,Spot,1,Tracked,1000004182,4182,
0,h,Spot,1,Tracked,1000004220,4220,
0,h,Spot,1,Tracked,1000004234,4234,
0,h,Spot,1,Tracked,1000004248,4248,
0,h,Spot,1,Tracked,1000004262,4262,
0,h,Spot,1,Tracked,1000004276,4276,
0,h,Spot,1,Tracked,1000004290,4290,
0,h,Spot,1,Tracked,1000004304,4304,
0,h,Spot,1,Tracked,1000004318,4318,
0.418227,h,Spot,2,Untracked,1000000000,4319,
0.418227,h,Spot,2,Untracked,1000000002,4320,
0.418227,h,Spot,2,Untracked,1000000004,4321,
0.418227,h,Spot,2,Untracked,1000000006,4322,
0.418227,h,Spot,2,Untracked,1000000005,4323,
0.418227,h,Spot,2,Untracked,1000000010,4324,
0.418227,h,Spot,2,Untracked,1000000007,4325,
0.418227,h,Spot,2,Untracked,1000000008,4326,
0.418227,h,Spot,2,Untracked,1000000011,4327,
0.418227,h,Spot,2,Untracked,1000000015,4328,
0.418227,h,Spot,2,Untracked,1000000031,4329,
0.418227,h,Spot,2,Untracked,1000004330,4330,
0.418227,h,Spot,2,Untracked,1000000032,4331,
0.418227,h,Spot,2,Untracked,1000000033,4332,
0.418227,h,Spot,2,Untracked,1000000034,4333,
0.418227,h,Spot,2,Untracked,1000004334,4334,
0.418227,h,Spot,2,Untracked,1000000043,4335,
0.418227,h,Spot,2,Untracked,1000000108,4336,
0.418227,h,Spot,2,Untracked,1000000063,4337,
0.418227,h,Spot,2,Untracked,1000000065,4338,
0.418227,h,Spot,2,Untracked,1000000070,4339,
0.418227,h,Spot,2,Untracked,1000000074,4340,
0.418227,h,Spot,2,Untracked,1000000073,4341,
0.418227,h,Spot,2,Untracked,1000004342,4342,
0.418227,h,Spot,2,Untracked,1000000064,4343,
0.418227,h,Spot,2,Untracked,1000000084,4344,
0.418227,h,Spot,2,Untracked,1000000085,4345,
0.418227,h,Spot,2,Untracked,1000000075,4346,
0.418227,h,Spot,2,Untracked,1000000086,4347,
0.418227,h,Spot,2,Untracked,1000000088,4348,
0.418227,h,Spot,2,Untracked,1000000089,4349,
0.418227,h,Spot,2,Untracked,1000000090,4350,
0.418227,h,Spot,2,Untracked,1000000091,4351,
0.418227,h,Spot,2,Untracked,1000000092,4352,
0.418227,h,Spot,2,Untracked,1000000093,4353,
0.418227,h,Spot,2,Untracked,1000000094,4354,
0.418227,h,Spot,2,Untracked,1000000095,4355,
0.418227,h,Spot,2,Untracked,1000000096,4356,
0.418227,h,Spot,2,Untracked,1000000097,4357,
0.418227,h,Spot,2,Untracked,1000000109,4358,
0.418227,h,Spot,2,Untracked,1000000106,4359,
0.418227,h,Spot,2,Untracked,1000004360,4360,
0.418227,h,Spot,2,Untracked,1000000107,4361,
0.418227,h,Spot,2,Untracked,1000000110,4362,
0.418227,h,Spot,2,Untracked,1000000111,4363,
0.418227,h,Spot,2,Untracked,1000000113,4364,
0.418227,h,Spot,2,Untracked,1000000126,4365,
0.418227,h,Spot,2,Untracked,1000000115,4366,
0.418227,h,Spot,2,Untracked,1000000116,4367,
0.418227,h,Spot,2,Untracked,1000000117,4368,
0.418227,h,Spot,2,Untracked,1000000118,4369,
0.418227,h,Spot,2,Untracked,1000000120,4370,
0.418227,h,Spot,2,Untracked,1000000119,4371,
0.418227,h,Spot,2,Untracked,1000000123,4372,
0.418227,h,Spot,2,Untracked,1000000122,4373,
0.418227,h,Spot,2,Untracked,1000000124,4374,
0.418227,h,Spot,2,Untracked,1000000127,4375,
0.418227,h,Spot,2,Untracked,1000000125,4376,
0.418227,h,Spot,2,Untracked,1000000128,4377,
0.418227,h,Spot,2,Untracked,1000000177,4378,
0.418227,h,Spot,2,Untracked,1000000176,4379,
0.418227,h,Spot,2,Untracked,1000000141,4380,
0.418227,h,Spot,2,Untracked,1000000145,4381,
0.418227,h,Spot,2,Untracked,1000000140,4382,
0.418227,h,Spot,2,Untracked,1000000142,4383,
0.418227,h,Spot,2,Untracked,1000000066,4384,
0.418227,h,Spot,2,Untracked,1000000067,4385,
0.418227,h,Spot,2,Untracked,1000000150,4386,
0.418227,h,Spot,2,Untracked,1000000148,4387,
0.418227,h,Spot,2,Untracked,1000000143,4388,
0.418227,h,Spot,2,Untracked,1000000144,4389,
0.418227,h,Spot,2,Untracked,1000000147,4390,
0.418227,h,Spot,2,Untracked,1000000152,4391,
0.418227,h,Spot,2,Untracked,1000000151,4392,
0.418227,h,Spot,2,Untracked,1000000153,4393,
0.418227,h,Spot,2,Untracked,1000004394,4394,
0.418227,h,Spot,2,Untracked,1000000156,4395,
0.418227,h,Spot,2,Untracked,1000004396,4396,
0.418227,h,Spot,2,Untracked,1000000080,4397,
0.418227,h,Spot,2,Untracked,1000000082,4398,
0.418227,h,Spot,2,Untracked,1000000159,4399,
0.418227,h,Spot,2,Untracked,1000000158,4400,
0.418227,h,Spot,2,Untracked,1000000160,4401,
0.418227,h,Spot,2,Untracked,1000000161,4402,
0.418227,h,Spot,2,Untracked,1000000164,4403,
0.418227,h,Spot,2,Untracked,1000000165,4404,
0.418227,h,Spot,2,Untracked,1000000166,4405,
0.418227,h,Spot,2,Untracked,1000000167,4406,
0.418227,h,Spot,2,Untracked,1000000169,4407,
0.418227,h,Spot,2,Untracked,1000000170,4408,
0.418227,h,Spot,2,Untracked,1000000173,4409,
0.418227,h,Spot,2,Untracked,1000000174,4410,
0.418227,h,Spot,2,Untracked,1000000179,4411,
0.418227,h,Spot,2,Untracked,1000004412,4412,
0.418227,h,Spot,2,Untracked,1000000182,4413,
0.418227,h,Spot,2,Untracked,1000000183,4414,
0.418227,h,Spot,2,Untracked,1000000155,4415,
0.418227,h,Spot,2,Untracked,1000000186,4416,
0.418227,h,Spot,2,Untracked,1000000187,4417,
0.418227,h,Spot,2,Untracked,1000000189,4418,
0.418227,h,Spot,2,Untracked,1000000191,4419,
0.418227,h,Spot,2,Untracked,1000000162,4420,
0.418227,h,Spot,2,Untracked,1000000192,4421,
0.418227,h,Spot,2,Tracked,1000003129,4422,
0.418227,h,Spot,2,Tracked,1000003143,4423,
0.418227,h,Spot,2,Tracked,1000003157,4424,
0.418227,h,Spot,2,Tracked,1000003171,4425,
0.418227,h,Spot,2,Tracked,1000003185,4426,
0.418227,h,Spot,2,Tracked,1000003199,4427,
0.418227,h,Spot,2,Tracked,1000003216,4428,
0.418227,h,Spot,2,Tracked,1000003227,4429,
0.418227,h,Spot,2,Tracked,1000003241,4430,
0.418227,h,Spot,2,Tracked,1000003255,4431,
0.418227,h,Spot,2,Tracked,1000003269,4432,
0.418227,h,Spot,2,Tracked,1000003283,4433,
0.418227,h,Spot,2,Tracked,1000003297,4434,
0.418227,h,Spot,2,Tracked,1000003310,4435,
0.418227,h,Spot,2,Tracked,1000003323,4436,
0.418227,h,Spot,2,Tracked,1000003336,4437,
0.418227,h,Spot,2,Tracked,1000003350,4438,
0.418227,h,Spot,2,Tracked,1000003363,4439,
0.418227,h,Spot,2,Tracked,1000003377,4440,
0.418227,h,Spot,2,Tracked,1000003391,4441,
0.418227,h,Spot,2,Tracked,1000003405,4442,
0.418227,h,Spot,2,Tracked,1000004443,4443,
0.418227,h,Spot,2,Tracked,1000003432,4444,
0.418227,h,Spot,2,Tracked,1000003446,4445,
0.418227,h,Spot,2,Tracked,1000004446,4446,
0.418227,h,Spot,2,Tracked,1000003476,4447,
0.418227,h,Spot,2,Tracked,1000003490,4448,
0.418227,h,Spot,2,Tracked,1000003504,4449,
0.418227,h,Spot,2,Tracked,1000003518,4450,
0.418227,h,Spot,2,Tracked,1000003532,4451,
0.418227,h,Spot,2,Tracked,1000003558,4452,
0.418227,h,Spot,2,Tracked,1000003572,4453,
0.418227,h,Spot,2,Tracked,1000003586,4454,
0.418227,h,Spot,2,Tracked,1000003600,4455,
0.418227,h,Spot,2,Tracked,1000003614,4456,
0.418227,h,Spot,2,Tracked,1000003652,4457,
0.418227,h,Spot,2,Tracked,1000003666,4458,
0.418227,h,Spot,2,Tracked,1000003692,4459,
0.418227,h,Spot,2,Tracked,1000003706,4460,
0.418227,h,Spot,2,Tracked,1000003716,4461,
0.418227,h,Spot,2,Tracked,1000003738,4462,
0.418227,h,Spot,2,Tracked,1000003752,4463,
0.418227,h,Spot,2,Tracked,1000003766,4464,
0.418227,h,Spot,2,Tracked,1000003791,4465,
0.418227,h,Spot,2,Tracked,1000003805,4466,
0.418227,h,Spot,2,Tracked,1000003819,4467,
0.418227,h,Spot,2,Tracked,1000003833,4468,
0.418227,h,Spot,2,Tracked,1000003847,4469,
0.418227,h,Spot,2,Tracked,1000003861,4470,
0.418227,h,Spot,2,Tracked,1000003875,4471,
0.418227,h,Spot,2,Tracked,1000003889,4472,
0.418227,h,Spot,2,Tracked,1000003913,4473,
0.418227,h,Spot,2,Tracked,1000003927,4474,
0.418227,h,Spot,2,Tracked,1000003941,4475,
0.418227,h,Spot,2,Tracked,1000003954,4476,
0.418227,h,Spot,2,Tracked,1000003968,4477,
0.418227,h,Spot,2,Tracked,1000003982,4478,
0.418227,h,Spot,2,Tracked,1000003996,4479,
0.418227,h,Spot,2,Tracked,1000004010,4480,
0.418227,h,Spot,2,Tracked,1000004034,4481,
0.418227,h,Spot,2,Tracked,1000004482,4482,
0.418227,h,Spot,2,Tracked,1000004483,4483,
0.418227,h,Spot,2,Tracked,1000004084,4484,
0.418227,h,Spot,2,Tracked,1000004098,4485,
0.418227,h,Spot,2,Tracked,1000004112,4486,
0.418227,h,Spot,2,Tracked,1000004126,4487,
0.418227,h,Spot,2,Tracked,1000004140,4488,
0.418227,h,Spot,2,Tracked,1000004154,4489,
0.418227,h,Spot,2,Tracked,1000004168,4490,
0.418227,h,Spot,2,Tracked,1000004182,4491,
0.418227,h,Spot,2,Tracked,1000004220,4492,
0.418227,h,Spot,2,Tracked,1000004234,4493,
0.418227,h,Spot,2,Tracked,1000004248,4494,
0.418227,h,Spot,2,Tracked,1000004262,4495,
0.418227,h,Spot,2,Tracked,1000004276,4496,
0.418227,h,Spot,2,Tracked,1000004290,4497,
0.418227,h,Spot,2,Tracked,1000004304,4498,
0.418227,h,Spot,2,Tracked,1000004318,4499,
0.836453,h,Spot,3,Untracked,1000000002,4500,
0.836453,h,Spot,3,Untracked,1000000006,4501,
0.836453,h,Spot,3,Untracked,1000000005,4502,
0.836453,h,Spot,3,Untracked,1000000007,4503,
0.836453,h,Spot,3,Untracked,1000000008,4504,
0.836453,h,Spot,3,Untracked,1000000010,4505,
0.836453,h,Spot,3,Untracked,1000000000,4506,
0.836453,h,Spot,3,Untracked,1000000011,4507,
0.836453,h,Spot,3,Untracked,1000000004,4508,
0.836453,h,Spot,3,Untracked,1000000015,4509,
0.836453,h,Spot,3,Untracked,1000000031,4510,
0.836453,h,Spot,3,Untracked,1000004330,4511,
0.836453,h,Spot,3,Untracked,1000004512,4512,
0.836453,h,Spot,3,Untracked,1000000032,4513,
0.836453,h,Spot,3,Untracked,1000000034,4514,
0.836453,h,Spot,3,Untracked,1000000033,4515,
0.836453,h,Spot,3,Untracked,1000004334,4516,
0.836453,h,Spot,3,Untracked,1000000043,4517,
0.836453,h,Spot,3,Untracked,1000000108,4518,
0.836453,h,Spot,3,Untracked,1000000063,4519,
0.836453,h,Spot,3,Untracked,1000000145,4520,
0.836453,h,Spot,3,Untracked,1000000070,4521,
0.836453,h,Spot,3,Untracked,1000000074,4522,
0.836453,h,Spot,3,Untracked,1000000073,4523,
0.836453,h,Spot,3,Untracked,1000004342,4524,
0.836453,h,Spot,3,Untracked,1000004525,4525,
0.836453,h,Spot,3,Untracked,1000000064,4526,
0.836453,h,Spot,3,Untracked,1000000080,4527,
0.836453,h,Spot,3,Untracked,1000000082,4528,
0.836453,h,Spot,3,Untracked,1000000159,4529,
0.836453,h,Spot,3,Untracked,1000004530,4530,
0.836453,h,Spot,3,Untracked,1000000085,4531,
0.836453,h,Spot,3,Untracked,1000000084,4532,
0.836453,h,Spot,3,Untracked,1000000086,4533,
0.836453,h,Spot,3,Untracked,1000000075,4534,
0.836453,h,Spot,3,Untracked,1000000088,4535,
0.836453,h,Spot,3,Untracked,1000000089,4536,
0.836453,h,Spot,3,Untracked,1000000090,4537,
0.836453,h,Spot,3,Untracked,1000000091,4538,
0.836453,h,Spot,3,Untracked,1000000093,4539,
0.836453,h,Spot,3,Untracked,1000000092,4540,
0.836453,h,Spot,3,Untracked,1000000094,4541,
