
Intensity Min Ch=2 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,Set 1,TrackID,ID,
32,,Spot,2,Image 1,1,,1000000003,3,
31,,Spot,2,Image 1,1,Tracked,1000000005,5,
34,,Spot,2,Image 1,1,Untracked,1000000010,10,
33,,Spot,2,Image 1,1,Untracked,1000000011,11,
34,,Spot,2,Image 1,1,Untracked,1000000012,12,
32,,Spot,2,Image 1,1,Untracked,1000000013,13,
33,,Spot,2,Image 1,1,Untracked,1000000014,14,
29,,Spot,2,Image 1,1,Tracked,1000000016,16,
35,,Spot,2,Image 1,1,Untracked,1000000018,18,
34,,Spot,2,Image 1,1,Untracked,1000000020,20,
34,,Spot,2,Image 1,1,Tracked,1000000021,21,
31,,Spot,2,Image 1,1,Tracked,1000000022,22,
35,,Spot,2,Image 1,1,Tracked,1000000023,23,
33,,Spot,2,Image 1,1,Untracked,1000000024,24,
35,,Spot,2,Image 1,1,Untracked,1000000026,26,
34,,Spot,2,Image 1,1,Untracked,1000000027,27,
34,,Spot,2,Image 1,1,Untracked,1000000028,28,
33,,Spot,2,Image 1,1,Untracked,1000000029,29,
0,,Spot,2,Image 1,1,Untracked,1000000030,30,
33,,Spot,2,Image 1,1,Untracked,1000000031,31,
0,,Spot,2,Image 1,1,Untracked,1000000033,33,
25,,Spot,2,Image 1,1,Untracked,1000000034,34,
33,,Spot,2,Image 1,1,Untracked,1000000037,37,
36,,Spot,2,Image 1,1,Untracked,1000000038,38,
34,,Spot,2,Image 1,1,Tracked,1000000041,41,
33,,Spot,2,Image 1,1,Untracked,1000000042,42,
36,,Spot,2,Image 1,1,Untracked,1000000044,44,
35,,Spot,2,Image 1,1,Tracked,1000000045,45,
31,,Spot,2,Image 1,1,Tracked,1000000046,46,
33,,Spot,2,Image 1,1,Untracked,1000000047,47,
30,,Spot,2,Image 1,1,Untracked,1000000048,48,
35,,Spot,2,Image 1,1,Tracked,1000000051,51,
32,,Spot,2,Image 1,1,Tracked,1000000052,52,
35,,Spot,2,Image 1,1,Tracked,1000000053,53,
34,,Spot,2,Image 1,1,Tracked,1000000054,54,
25,,Spot,2,Image 1,1,Tracked,1000000056,56,
36,,Spot,2,Image 1,1,Untracked,1000000061,61,
29,,Spot,2,Image 1,1,Untracked,1000000063,63,
35,,Spot,2,Image 1,1,Untracked,1000000064,64,
32,,Spot,2,Image 1,1,Untracked,1000000065,65,
36,,Spot,2,Image 1,1,Untracked,1000000066,66,
0,,Spot,2,Image 1,1,Untracked,1000000067,67,
33,,Spot,2,Image 1,1,Untracked,1000000068,68,
40,,Spot,2,Image 1,1,Untracked,1000000071,71,
35,,Spot,2,Image 1,1,Untracked,1000000072,72,
33,,Spot,2,Image 1,1,,1000000073,73,
33,,Spot,2,Image 1,1,,1000000082,82,
32,,Spot,2,Image 1,1,,1000000084,84,
35,,Spot,2,Image 1,1,Untracked,1000000088,88,
