
Displacement^2
 ==================== 
Displacement^2,Unit,Category,Time,Set 1,TrackID,ID,
0,um^2,Spot,1,Untracked,1000000653,653,
0,um^2,Spot,1,Untracked,1000000664,664,
0,um^2,Spot,1,Untracked,1000000667,667,
0,um^2,Spot,1,Untracked,1000000684,684,
0,um^2,Spot,1,Untracked,1000000703,703,
0,um^2,Spot,1,Untracked,1000000709,709,
0,um^2,Spot,1,Untracked,1000000713,713,
0,um^2,Spot,1,Untracked,1000000723,723,
0,um^2,Spot,1,Untracked,1000000724,724,
0,um^2,Spot,1,Untracked,1000000725,725,
0,um^2,Spot,1,Untracked,1000000726,726,
0,um^2,Spot,1,Untracked,1000000727,727,
0,um^2,Spot,1,Untracked,1000000728,728,
0,um^2,Spot,1,Untracked,1000000730,730,
0,um^2,Spot,1,Untracked,1000000731,731,
0,um^2,Spot,1,Untracked,1000000732,732,
0,um^2,Spot,1,Untracked,1000000733,733,
0,um^2,Spot,1,Untracked,1000000740,740,
0,um^2,Spot,1,Untracked,1000000751,751,
0,um^2,Spot,1,Untracked,1000000752,752,
0,um^2,Spot,1,Untracked,1000000766,766,
0,um^2,Spot,1,Untracked,1000000779,779,
0,um^2,Spot,1,Untracked,1000001056,1056,
0,um^2,Spot,1,Untracked,1000001130,1130,
0,um^2,Spot,1,Tracked,1000020316,20316,
0,um^2,Spot,1,Tracked,1000020324,20324,
0,um^2,Spot,1,Tracked,1000020332,20332,
0,um^2,Spot,1,Tracked,1000020340,20340,
0,um^2,Spot,1,Tracked,1000020348,20348,
0,um^2,Spot,1,Tracked,1000020356,20356,
0,um^2,Spot,1,Tracked,1000020364,20364,
0,um^2,Spot,1,Tracked,1000020372,20372,
0,um^2,Spot,1,Tracked,1000020380,20380,
0,um^2,Spot,1,Tracked,1000020395,20395,
0,um^2,Spot,1,Tracked,1000020403,20403,
0,um^2,Spot,1,Tracked,1000020411,20411,
0,um^2,Spot,1,Tracked,1000020418,20418,
0,um^2,Spot,1,Tracked,1000020426,20426,
0,um^2,Spot,1,Tracked,1000020434,20434,
0,um^2,Spot,1,Tracked,1000020441,20441,
0,um^2,Spot,1,Tracked,1000020448,20448,
0,um^2,Spot,1,Tracked,1000020464,20464,
0,um^2,Spot,1,Tracked,1000020472,20472,
0,um^2,Spot,1,Tracked,1000020481,20481,
0,um^2,Spot,1,Tracked,1000020489,20489,
0,um^2,Spot,1,Tracked,1000020497,20497,
0,um^2,Spot,1,Tracked,1000020505,20505,
0,um^2,Spot,1,Tracked,1000020513,20513,
0,um^2,Spot,1,Tracked,1000020521,20521,
0,um^2,Spot,1,Tracked,1000020529,20529,
0,um^2,Spot,1,Tracked,1000020537,20537,
0,um^2,Spot,1,Tracked,1000020544,20544,
0,um^2,Spot,1,Tracked,1000020552,20552,
0,um^2,Spot,2,Untracked,1000020553,20553,
3.52548,um^2,Spot,2,Untracked,1000000138,20554,
0,um^2,Spot,2,Untracked,1000020555,20555,
7.09026,um^2,Spot,2,Untracked,1000000178,20556,
1.82792,um^2,Spot,2,Untracked,1000000182,20557,
77.1491,um^2,Spot,2,Untracked,1000000183,20558,
14.2478,um^2,Spot,2,Untracked,1000000180,20559,
1.57687,um^2,Spot,2,Untracked,1000000187,20560,
10.1064,um^2,Spot,2,Untracked,1000000223,20561,
0,um^2,Spot,2,Untracked,1000020562,20562,
9.79878,um^2,Spot,2,Untracked,1000000230,20563,
21.29,um^2,Spot,2,Untracked,1000000232,20564,
16.5797,um^2,Spot,2,Untracked,1000000231,20565,
32.6376,um^2,Spot,2,Untracked,1000000537,20566,
219.53,um^2,Spot,2,Untracked,1000000552,20567,
20.1581,um^2,Spot,2,Untracked,1000000539,20568,
12.4413,um^2,Spot,2,Untracked,1000000540,20569,
21.1837,um^2,Spot,2,Untracked,1000000541,20570,
2.67329,um^2,Spot,2,Untracked,1000000242,20571,
8.54405,um^2,Spot,2,Untracked,1000000243,20572,
14.1857,um^2,Spot,2,Untracked,1000000253,20573,
5.60908,um^2,Spot,2,Untracked,1000000250,20574,
2.27644,um^2,Spot,2,Untracked,1000000251,20575,
54.3619,um^2,Spot,2,Untracked,1000000260,20576,
1.13998,um^2,Spot,2,Untracked,1000000254,20577,
0.892325,um^2,Spot,2,Untracked,1000000258,20578,
24.1015,um^2,Spot,2,Untracked,1000000261,20579,
0,um^2,Spot,2,Untracked,1000020580,20580,
3.09078,um^2,Spot,2,Untracked,1000000257,20581,
3.35027,um^2,Spot,2,Untracked,1000000263,20582,
3.60423,um^2,Spot,2,Untracked,1000000266,20583,
15.5878,um^2,Spot,2,Untracked,1000000268,20584,
