
Intensity Min Ch=7 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,Set 1,TrackID,ID,
0,,Spot,7,Image 1,1,Untrecked,1000000151,151,
0,,Spot,7,Image 1,1,Untrecked,1000000159,159,
0,,Spot,7,Image 1,1,Untrecked,1000000160,160,
0,,Spot,7,Image 1,1,Untrecked,1000000162,162,
0,,Spot,7,Image 1,1,Tracked,1000000166,166,
0,,Spot,7,Image 1,1,Untrecked,1000000168,168,
0,,Spot,7,Image 1,1,Untrecked,1000000170,170,
0,,Spot,7,Image 1,1,Tracked,1000000178,178,
0,,Spot,7,Image 1,1,Tracked,1000000180,180,
0,,Spot,7,Image 1,1,Tracked,1000000181,181,
0,,Spot,7,Image 1,1,Tracked,1000000182,182,
0,,Spot,7,Image 1,1,Tracked,1000000183,183,
0,,Spot,7,Image 1,1,,1000000186,186,
0,,Spot,7,Image 1,1,Untrecked,1000000187,187,
0,,Spot,7,Image 1,1,Untrecked,1000000188,188,
0,,Spot,7,Image 1,1,Tracked,1000000189,189,
0,,Spot,7,Image 1,1,Untrecked,1000000190,190,
0,,Spot,7,Image 1,1,Untrecked,1000000191,191,
0,,Spot,7,Image 1,1,,1000000193,193,
0,,Spot,7,Image 1,1,Untrecked,1000000195,195,
0,,Spot,7,Image 1,1,Tracked,1000000196,196,
0,,Spot,7,Image 1,1,Untrecked,1000000197,197,
0,,Spot,7,Image 1,1,Untrecked,1000000198,198,
0,,Spot,7,Image 1,1,Tracked,1000000199,199,
0,,Spot,7,Image 1,1,Untrecked,1000000201,201,
0,,Spot,7,Image 1,1,Tracked,1000000204,204,
0,,Spot,7,Image 1,1,Tracked,1000000208,208,
0,,Spot,7,Image 1,1,Tracked,1000000209,209,
0,,Spot,7,Image 1,1,Tracked,1000000210,210,
0,,Spot,7,Image 1,1,Untrecked,1000000212,212,
0,,Spot,7,Image 1,1,Untrecked,1000000213,213,
0,,Spot,7,Image 1,1,Untrecked,1000000215,215,
0,,Spot,7,Image 1,1,Untrecked,1000000216,216,
0,,Spot,7,Image 1,1,Untrecked,1000000218,218,
0,,Spot,7,Image 1,1,Untrecked,1000000221,221,
0,,Spot,7,Image 1,1,Untrecked,1000000222,222,
0,,Spot,7,Image 1,1,Untrecked,1000000223,223,
0,,Spot,7,Image 1,1,Untrecked,1000000224,224,
0,,Spot,7,Image 1,1,,1000000226,226,
0,,Spot,7,Image 1,1,Untrecked,1000000227,227,
0,,Spot,7,Image 1,1,Untrecked,1000000228,228,
