
Intensity Mean Ch=6 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,Set 1,TrackID,ID,
431,,Spot,6,Image 1,1,Untrecked,1000000001,1,
508.476,,Spot,6,Image 1,1,Untrecked,1000000002,2,
618.673,,Spot,6,Image 1,1,Untrecked,1000000003,3,
743.487,,Spot,6,Image 1,1,,1000000004,4,
423.854,,Spot,6,Image 1,1,Untrecked,1000000005,5,
341.741,,Spot,6,Image 1,1,Tracked,1000000006,6,
228.508,,Spot,6,Image 1,1,Tracked,1000000007,7,
109.332,,Spot,6,Image 1,1,Tracked,1000000008,8,
28.6278,,Spot,6,Image 1,1,Tracked,1000000009,9,
525.765,,Spot,6,Image 1,1,Untrecked,1000000010,10,
316.653,,Spot,6,Image 1,1,Untrecked,1000000011,11,
752.288,,Spot,6,Image 1,1,Untrecked,1000000012,12,
441.261,,Spot,6,Image 1,1,Untrecked,1000000013,13,
763.644,,Spot,6,Image 1,1,Untrecked,1000000016,16,
575.12,,Spot,6,Image 1,1,,1000000017,17,
51.5962,,Spot,6,Image 1,1,,1000000018,18,
238.672,,Spot,6,Image 1,1,Untrecked,1000000019,19,
412.03,,Spot,6,Image 1,1,Untrecked,1000000021,21,
321.034,,Spot,6,Image 1,1,Untrecked,1000000022,22,
361.254,,Spot,6,Image 1,1,Untrecked,1000000023,23,
654.58,,Spot,6,Image 1,1,Untrecked,1000000024,24,
697.658,,Spot,6,Image 1,1,Untrecked,1000000025,25,
785.153,,Spot,6,Image 1,1,Tracked,1000000026,26,
500.58,,Spot,6,Image 1,1,Untrecked,1000000027,27,
111.858,,Spot,6,Image 1,1,Untrecked,1000000028,28,
135.296,,Spot,6,Image 1,1,Untrecked,1000000029,29,
341.758,,Spot,6,Image 1,1,Untrecked,1000000030,30,
124.03,,Spot,6,Image 1,1,Tracked,1000000034,34,
59.7841,,Spot,6,Image 1,1,Untrecked,1000000035,35,
31.2803,,Spot,6,Image 1,1,Untrecked,1000000036,36,
40.432,,Spot,6,Image 1,1,Untrecked,1000000037,37,
35.7795,,Spot,6,Image 1,1,Untrecked,1000000038,38,
41.9847,,Spot,6,Image 1,1,Tracked,1000000045,45,
133.672,,Spot,6,Image 1,1,Tracked,1000000046,46,
159.065,,Spot,6,Image 1,1,Tracked,1000000047,47,
85.6316,,Spot,6,Image 1,1,Tracked,1000000048,48,
159.361,,Spot,6,Image 1,1,Tracked,1000000049,49,
265.952,,Spot,6,Image 1,1,Tracked,1000000051,51,
127.251,,Spot,6,Image 1,1,Tracked,1000000052,52,
54.0568,,Spot,6,Image 1,1,Tracked,1000000053,53,
78.782,,Spot,6,Image 1,1,Tracked,1000000054,54,
206.152,,Spot,6,Image 1,1,Untrecked,1000000055,55,
494.748,,Spot,6,Image 1,1,Untrecked,1000000056,56,
341.927,,Spot,6,Image 1,1,Tracked,1000000057,57,
710.739,,Spot,6,Image 1,1,Untrecked,1000000058,58,
475.398,,Spot,6,Image 1,1,Untrecked,1000000060,60,
278.936,,Spot,6,Image 1,1,,1000000061,61,
509.865,,Spot,6,Image 1,1,Untrecked,1000000062,62,
470.113,,Spot,6,Image 1,1,Untrecked,1000000063,63,
435.972,,Spot,6,Image 1,1,Tracked,1000000064,64,
80.053,,Spot,6,Image 1,1,Untrecked,1000000065,65,
102.302,,Spot,6,Image 1,1,Untrecked,1000000066,66,
695.613,,Spot,6,Image 1,1,Untrecked,1000000068,68,
55.8652,,Spot,6,Image 1,1,Untrecked,1000000069,69,
210.641,,Spot,6,Image 1,1,Tracked,1000000070,70,
337.636,,Spot,6,Image 1,1,Untrecked,1000000071,71,
106.791,,Spot,6,Image 1,1,Tracked,1000000073,73,
171.065,,Spot,6,Image 1,1,,1000000074,74,
246.386,,Spot,6,Image 1,1,Untrecked,1000000076,76,
196.639,,Spot,6,Image 1,1,Untrecked,1000000077,77,
103.784,,Spot,6,Image 1,1,,1000000078,78,
581.053,,Spot,6,Image 1,1,Untrecked,1000000079,79,
139.26,,Spot,6,Image 1,1,Untrecked,1000000080,80,
122.596,,Spot,6,Image 1,1,Tracked,1000000081,81,
197.693,,Spot,6,Image 1,1,Untrecked,1000000083,83,
614.988,,Spot,6,Image 1,1,Untrecked,1000000084,84,
95.9545,,Spot,6,Image 1,1,Tracked,1000000088,88,
340.692,,Spot,6,Image 1,1,Tracked,1000000089,89,
443.643,,Spot,6,Image 1,1,Tracked,1000000090,90,
88.8421,,Spot,6,Image 1,1,Tracked,1000000092,92,
48.9887,,Spot,6,Image 1,1,Tracked,1000000094,94,
386.981,,Spot,6,Image 1,1,Tracked,1000000095,95,
65.251,,Spot,6,Image 1,1,Tracked,1000000096,96,
155.618,,Spot,6,Image 1,1,Tracked,1000000097,97,
161.748,,Spot,6,Image 1,1,Untrecked,1000000104,104,
464.432,,Spot,6,Image 1,1,Tracked,1000000105,105,
542.3,,Spot,6,Image 1,1,Untrecked,1000000108,108,
781.051,,Spot,6,Image 1,1,Untrecked,1000000111,111,
377.085,,Spot,6,Image 1,1,Untrecked,1000000112,112,
526.496,,Spot,6,Image 1,1,,1000000113,113,
544.345,,Spot,6,Image 1,1,Untrecked,1000000114,114,
659.665,,Spot,6,Image 1,1,Untrecked,1000000115,115,
57.1618,,Spot,6,Image 1,1,Tracked,1000000116,116,
518.897,,Spot,6,Image 1,1,Untrecked,1000000117,117,
99.5037,,Spot,6,Image 1,1,Untrecked,1000000118,118,
571.992,,Spot,6,Image 1,1,Untrecked,1000000120,120,
299.688,,Spot,6,Image 1,1,Untrecked,1000000121,121,
79.5595,,Spot,6,Image 1,1,Untrecked,1000000124,124,
394.544,,Spot,6,Image 1,1,Untrecked,1000000125,125,
97.3244,,Spot,6,Image 1,1,,1000000127,127,
544.335,,Spot,6,Image 1,1,Untrecked,1000000128,128,
160.1,,Spot,6,Image 1,1,Untrecked,1000000129,129,
59.8268,,Spot,6,Image 1,1,Untrecked,1000000130,130,
146.549,,Spot,6,Image 1,1,,1000000133,133,
737.028,,Spot,6,Image 1,1,Untrecked,1000000136,136,
