
Intensity Mean Ch=3 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,Set 1,TrackID,ID,
249.801,,Spot,3,Image 1,1,Untrecked,1000000001,1,
220.76,,Spot,3,Image 1,1,Untrecked,1000000002,2,
230.296,,Spot,3,Image 1,1,Untrecked,1000000003,3,
268.656,,Spot,3,Image 1,1,,1000000004,4,
200.709,,Spot,3,Image 1,1,Untrecked,1000000005,5,
139.919,,Spot,3,Image 1,1,Tracked,1000000006,6,
139.604,,Spot,3,Image 1,1,Tracked,1000000007,7,
168,,Spot,3,Image 1,1,Tracked,1000000008,8,
173.538,,Spot,3,Image 1,1,Tracked,1000000009,9,
343.352,,Spot,3,Image 1,1,Untrecked,1000000010,10,
280.462,,Spot,3,Image 1,1,Untrecked,1000000011,11,
237.35,,Spot,3,Image 1,1,Untrecked,1000000012,12,
367.008,,Spot,3,Image 1,1,Untrecked,1000000013,13,
262.629,,Spot,3,Image 1,1,Untrecked,1000000016,16,
194.834,,Spot,3,Image 1,1,,1000000017,17,
268.155,,Spot,3,Image 1,1,,1000000018,18,
242.004,,Spot,3,Image 1,1,Untrecked,1000000019,19,
198.174,,Spot,3,Image 1,1,Untrecked,1000000021,21,
197.617,,Spot,3,Image 1,1,Untrecked,1000000022,22,
195.004,,Spot,3,Image 1,1,Untrecked,1000000023,23,
213.683,,Spot,3,Image 1,1,Untrecked,1000000024,24,
224.335,,Spot,3,Image 1,1,Untrecked,1000000025,25,
222.268,,Spot,3,Image 1,1,Tracked,1000000026,26,
239.33,,Spot,3,Image 1,1,Untrecked,1000000027,27,
153.159,,Spot,3,Image 1,1,Untrecked,1000000028,28,
203.081,,Spot,3,Image 1,1,Untrecked,1000000029,29,
170.608,,Spot,3,Image 1,1,Untrecked,1000000030,30,
124.113,,Spot,3,Image 1,1,Tracked,1000000034,34,
150.015,,Spot,3,Image 1,1,Untrecked,1000000035,35,
147.689,,Spot,3,Image 1,1,Untrecked,1000000036,36,
146.22,,Spot,3,Image 1,1,Untrecked,1000000037,37,
130.752,,Spot,3,Image 1,1,Untrecked,1000000038,38,
137.111,,Spot,3,Image 1,1,Tracked,1000000045,45,
137.102,,Spot,3,Image 1,1,Tracked,1000000046,46,
127.782,,Spot,3,Image 1,1,Tracked,1000000047,47,
139.846,,Spot,3,Image 1,1,Tracked,1000000048,48,
137.857,,Spot,3,Image 1,1,Tracked,1000000049,49,
