
Position
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,Set 1,TrackID,ID,
1988.12,1320.21,4201.55,um,Spot,Position,1,Tracked,1000026846,26846,
2005.12,1313,4231.55,um,Spot,Position,1,Tracked,1000026854,26854,
2040.06,1323.4,4227.55,um,Spot,Position,1,Tracked,1000026862,26862,
2088.47,1315.26,4203.55,um,Spot,Position,1,Tracked,1000026870,26870,
2059.03,1298.27,4251.55,um,Spot,Position,1,Tracked,1000026878,26878,
2061.07,1307.66,4241.55,um,Spot,Position,1,Tracked,1000026886,26886,
2018.38,1279.77,4221.55,um,Spot,Position,1,Tracked,1000026894,26894,
2024.33,1289.85,4219.55,um,Spot,Position,1,Tracked,1000026902,26902,
1989.16,1250.6,4253.55,um,Spot,Position,1,Tracked,1000026914,26914,
2061.26,1207.26,4223.55,um,Spot,Position,1,Tracked,1000026917,26917,
2110.52,1313.14,4239.55,um,Spot,Position,1,Tracked,1000026925,26925,
1959.04,1181.53,4226.09,um,Spot,Position,1,Untracked,1000012267,12267,
1963.31,1153.58,4228.7,um,Spot,Position,1,Untracked,1000012268,12268,
1976.03,1152.03,4234.35,um,Spot,Position,1,Untracked,1000012269,12269,
1933.42,1169.34,4234.07,um,Spot,Position,1,Untracked,1000012270,12270,
1951.99,1202.67,4234.9,um,Spot,Position,1,Untracked,1000012272,12272,
1941.45,1158.9,4242.13,um,Spot,Position,1,Untracked,1000012273,12273,
1987.04,1178.14,4250.19,um,Spot,Position,1,Untracked,1000012274,12274,
1973.33,1196.44,4267.18,um,Spot,Position,1,Untracked,1000012279,12279,
1937.9,1156.82,4273.45,um,Spot,Position,1,Untracked,1000012280,12280,
1961.88,1148.66,4274.57,um,Spot,Position,1,Untracked,1000012281,12281,
2016.59,1152.83,4226.18,um,Spot,Position,1,Untracked,1000012284,12284,
1971.44,1267.23,4214.5,um,Spot,Position,1,Untracked,1000012290,12290,
1977.82,1247.81,4219.38,um,Spot,Position,1,Untracked,1000012291,12291,
1988.9,1252.69,4219.82,um,Spot,Position,1,Untracked,1000012292,12292,
1944.08,1235.51,4223.84,um,Spot,Position,1,Untracked,1000012293,12293,
1952.69,1224.52,4226.11,um,Spot,Position,1,Untracked,1000012294,12294,
1965.55,1244.08,4225.69,um,Spot,Position,1,Untracked,1000012295,12295,
1959.35,1211.3,4232.1,um,Spot,Position,1,Untracked,1000012296,12296,
1976.76,1233.57,4231.72,um,Spot,Position,1,Untracked,1000012297,12297,
1965.52,1265.41,4232.17,um,Spot,Position,1,Untracked,1000012298,12298,
1969.31,1219.65,4232.77,um,Spot,Position,1,Untracked,1000012299,12299,
1988.55,1245.25,4237.1,um,Spot,Position,1,Untracked,1000012300,12300,
1971.28,1222.26,4245.72,um,Spot,Position,1,Untracked,1000012301,12301,
1939.99,1235.8,4254.36,um,Spot,Position,1,Untracked,1000012303,12303,
1947.75,1240.35,4271.44,um,Spot,Position,1,Untracked,1000012307,12307,
1951.2,1327.91,4210.93,um,Spot,Position,1,Untracked,1000012328,12328,
1939.86,1287.48,4239.2,um,Spot,Position,1,Untracked,1000012332,12332,
1981.28,1322.37,4261.06,um,Spot,Position,1,Untracked,1000012333,12333,
1987.89,1391.54,4202.46,um,Spot,Position,1,Untracked,1000012357,12357,
