empty,,,,,,
Speed,,,,,,
 ==================== ,,,,,,
Speed,Unit,Category,Time,Set 1,TrackID,ID
25.08156,,Spot,1,Untracked,1000000000,0
12.31596,,Spot,1,Untracked,1000000001,1
27.3555,,Spot,1,Untracked,1000000003,3
37.35684,,Spot,1,Untracked,1000000004,4
28.927404,,Spot,1,Untracked,1000000006,6
44.78724,,Spot,1,Untracked,1000000007,7
33.079212,,Spot,1,Untracked,1000000008,8
27.925128,,Spot,1,Untracked,1000000009,9
25.60194,,Spot,1,Untracked,1000000011,11
3.3510744,,Spot,1,Untracked,1000000015,15
9.895464,,Spot,1,Untracked,1000000020,20
22.964868,,Spot,1,Untracked,1000000023,23
21.2472,,Spot,1,Untracked,1000000026,26
33.7266,,Spot,1,Untracked,1000000031,31
13.547268,,Spot,1,Untracked,1000000032,32
18.418968,,Spot,1,Untracked,1000000037,37
43.45488,,Spot,1,Untracked,1000000042,42
36.71964,,Spot,1,Untracked,1000000044,44
20.045304,,Spot,1,Untracked,1000000060,60
20.951856,,Spot,1,Untracked,1000000066,66
25.98786,,Spot,1,Untracked,1000000069,69
20.15694,,Spot,1,Untracked,1000000080,80
11.92716,,Spot,1,Untracked,1000000082,82
9.111456,,Spot,1,Untracked,1000000083,83
5.862744,,Spot,1,Untracked,1000000084,84
19.4859,,Spot,1,Untracked,1000000087,87
11.244816,,Spot,1,Untracked,1000000089,89
16.500996,,Spot,1,Untracked,1000000091,91
17.272116,,Spot,1,Untracked,1000000096,96
28.736532,,Spot,1,Untracked,1000000097,97
41.41008,,Spot,1,Untracked,1000000101,101
38.78964,,Spot,1,Untracked,1000000105,105
3.658572,,Spot,1,Untracked,1000000108,108
15.000696,,Spot,1,Untracked,1000000118,118
32.274792,,Spot,1,Untracked,1000000119,119
24.761844,,Spot,1,Untracked,1000000120,120
18.071892,,Spot,1,Untracked,1000000121,121
29.676924,,Spot,1,Untracked,1000000122,122
24.997212,,Spot,1,Untracked,1000000123,123
21.791052,,Spot,1,Untracked,1000000125,125
27.931248,,Spot,1,Untracked,1000000126,126
41.38812,,Spot,1,Untracked,1000000128,128
23.618196,,Spot,1,Untracked,1000000129,129
34.708284,,Spot,1,Untracked,1000000130,130
38.98692,,Spot,1,Untracked,1000000131,131
16.021836,,Spot,1,Untracked,1000000132,132
15.17454,,Spot,1,Untracked,1000000133,133
14.704452,,Spot,1,Untracked,1000000134,134
31.712112,,Spot,1,Untracked,1000000135,135
17.591976,,Spot,1,Untracked,1000000136,136
24.142824,,Spot,1,Untracked,1000000138,138
27.857376,,Spot,1,Untracked,1000000139,139
17.187516,,Spot,1,Untracked,1000000140,140
35.614692,,Spot,1,Untracked,1000000141,141
20.238228,,Spot,1,Untracked,1000000143,143
24.115896,,Spot,1,Untracked,1000000144,144
28.228032,,Spot,1,Untracked,1000000156,156
26.381988,,Spot,1,Untracked,1000000157,157
16.92,,Spot,1,Untracked,1000000165,165
20.526732,,Spot,1,Untracked,1000000169,169
17.012736,,Spot,1,Untracked,1000000172,172
13.900824,,Spot,1,Untracked,1000000174,174
34.891704,,Spot,1,Untracked,1000000175,175
47.11572,,Spot,1,Untracked,1000000186,186
21.476664,,Spot,1,Untracked,1000000187,187
12.31236,,Spot,1,Untracked,1000000188,188
7.899876,,Spot,1,Untracked,1000000192,192
44.20944,,Spot,1,Untracked,1000000193,193
9.656712,,Spot,1,Untracked,1000000194,194
31.322664,,Spot,1,Untracked,1000000195,195
28.58454,,Spot,1,Untracked,1000000199,199
16.914708,,Spot,1,Untracked,1000000200,200
38.61864,,Spot,1,Untracked,1000000202,202
34.187184,,Spot,1,Untracked,1000000203,203
23.771808,,Spot,1,Untracked,1000000206,206
16.556004,,Spot,1,Untracked,1000000208,208
31.151988,,Spot,1,Untracked,1000000211,211
32.054364,,Spot,1,Untracked,1000000212,212
29.19276,,Spot,1,Untracked,1000000214,214
31.281588,,Spot,1,Untracked,1000000215,215
31.068792,,Spot,1,Untracked,1000000216,216
22.765536,,Spot,1,Untracked,1000000217,217
22.77108,,Spot,1,Untracked,1000000219,219
41.25672,,Spot,1,Untracked,1000000221,221
13.03164,,Spot,1,Untracked,1000000224,224
42.29208,,Spot,1,Untracked,1000000227,227
26.391708,,Spot,1,Untracked,1000000232,232
25.609824,,Spot,1,Untracked,1000000233,233
32.021892,,Spot,1,Untracked,1000000236,236
39.29256,,Spot,1,Untracked,1000000237,237
15.796584,,Spot,1,Untracked,1000000238,238
33.167736,,Spot,1,Untracked,1000000239,239
33.6474,,Spot,1,Untracked,1000000240,240
40.62024,,Spot,1,Untracked,1000000242,242
32.840028,,Spot,1,Untracked,1000000244,244
20.16522,,Spot,1,Untracked,1000000245,245
14.793336,,Spot,1,Untracked,1000000246,246
20.779236,,Spot,1,Untracked,1000000248,248
10.335816,,Spot,1,Untracked,1000000250,250
32.936004,,Spot,1,Untracked,1000000251,251
30.92616,,Spot,1,Untracked,1000000253,253
27.002844,,Spot,1,Untracked,1000000254,254
23.776452,,Spot,1,Untracked,1000000255,255
20.718036,,Spot,1,Untracked,1000000258,258
25.887996,,Spot,1,Untracked,1000000259,259
23.835384,,Spot,1,Untracked,1000000260,260
18.927684,,Spot,1,Untracked,1000000261,261
25.274376,,Spot,1,Untracked,1000000262,262
15.22962,,Spot,1,Untracked,1000000263,263
27.240768,,Spot,1,Untracked,1000000265,265
22.156308,,Spot,1,Untracked,1000000266,266
21.58992,,Spot,1,Untracked,1000000268,268
9.563796,,Spot,1,Untracked,1000000269,269
34.060428,,Spot,1,Untracked,1000000270,270
35.112456,,Spot,1,Untracked,1000000271,271
23.6583,,Spot,1,Untracked,1000000273,273
24.944688,,Spot,1,Untracked,1000000291,291
20.233188,,Spot,1,Untracked,1000000297,297
34.741728,,Spot,1,Untracked,1000000299,299
27.827712,,Spot,1,Untracked,1000000301,301
12.21462,,Spot,1,Untracked,1000000303,303
46.10844,,Spot,1,Untracked,1000000304,304
36.85176,,Spot,1,Untracked,1000000305,305
41.9058,,Spot,1,Untracked,1000000306,306
39.05388,,Spot,1,Untracked,1000000308,308
22.720896,,Spot,1,Untracked,1000000309,309
45.66996,,Spot,1,Untracked,1000000312,312
43.79652,,Spot,1,Untracked,1000000314,314
10.832544,,Spot,1,Untracked,1000000315,315
29.988864,,Spot,1,Untracked,1000000318,318
38.24208,,Spot,1,Untracked,1000000319,319
46.78632,,Spot,1,Untracked,1000000321,321
39.52476,,Spot,1,Untracked,1000000322,322
36.9558,,Spot,1,Untracked,1000000328,328
18.884376,,Spot,1,Untracked,1000000329,329
20.356128,,Spot,1,Untracked,1000000334,334
29.386332,,Spot,1,Untracked,1000000338,338
38.24172,,Spot,1,Untracked,1000000340,340
40.41252,,Spot,1,Untracked,1000000341,341
38.32308,,Spot,1,Untracked,1000000342,342
13.818456,,Spot,1,Untracked,1000000344,344
35.81568,,Spot,1,Untracked,1000000347,347
29.873196,,Spot,1,Untracked,1000000350,350
31.78206,,Spot,1,Untracked,1000000351,351
36.31428,,Spot,1,Untracked,1000000352,352
18.852588,,Spot,1,Untracked,1000000353,353
31.41486,,Spot,1,Untracked,1000000354,354
25.865208,,Spot,1,Untracked,1000000355,355
28.381896,,Spot,1,Untracked,1000000356,356
20.53836,,Spot,1,Untracked,1000000358,358
44.9694,,Spot,1,Untracked,1000000359,359
42.67224,,Spot,1,Untracked,1000000360,360
20.34324,,Spot,1,Untracked,1000000361,361
34.971984,,Spot,1,Untracked,1000000362,362
31.943736,,Spot,1,Untracked,1000000363,363
44.9748,,Spot,1,Untracked,1000000364,364
19.299492,,Spot,1,Untracked,1000000365,365
10.719648,,Spot,1,Untracked,1000000366,366
37.90728,,Spot,1,Untracked,1000000367,367
35.205048,,Spot,1,Untracked,1000000368,368
28.152792,,Spot,1,Untracked,1000000369,369
34.052148,,Spot,1,Untracked,1000000370,370
36.76968,,Spot,1,Untracked,1000000371,371
38.69352,,Spot,1,Untracked,1000000372,372
38.75004,,Spot,1,Untracked,1000000373,373
10.875924,,Spot,1,Untracked,1000000374,374
32.72256,,Spot,1,Untracked,1000000376,376
38.73168,,Spot,1,Untracked,1000000377,377
25.728228,,Spot,1,Untracked,1000000379,379
32.378148,,Spot,1,Untracked,1000000380,380
44.53848,,Spot,1,Untracked,1000000390,390
27.324648,,Spot,1,Untracked,1000000392,392
31.61844,,Spot,1,Untracked,1000000393,393
41.10156,,Spot,1,Untracked,1000000394,394
38.27376,,Spot,1,Untracked,1000000395,395
41.72472,,Spot,1,Untracked,1000000396,396
27.859968,,Spot,1,Untracked,1000000397,397
30.513276,,Spot,1,Untracked,1000000401,401
22.6575,,Spot,1,Untracked,1000000406,406
20.51874,,Spot,1,Untracked,1000000410,410
25.491636,,Spot,1,Untracked,1000000415,415
39.73104,,Spot,1,Untracked,1000000418,418
25.098732,,Spot,1,Untracked,1000000419,419
39.68424,,Spot,1,Untracked,1000000420,420
25.386696,,Spot,1,Untracked,1000000421,421
28.140912,,Spot,1,Untracked,1000000422,422
21.779316,,Spot,1,Untracked,1000000424,424
30.21102,,Spot,1,Untracked,1000000425,425
40.75596,,Spot,1,Untracked,1000000426,426
45.30816,,Spot,1,Untracked,1000000427,427
28.951812,,Spot,1,Untracked,1000000428,428
30.875076,,Spot,1,Untracked,1000000437,437
37.69956,,Spot,1,Untracked,1000000438,438
30.1302,,Spot,1,Untracked,1000000442,442
36.05652,,Spot,1,Untracked,1000000443,443
39.62088,,Spot,1,Untracked,1000000444,444
23.006088,,Spot,1,Untracked,1000000447,447
38.85768,,Spot,1,Untracked,1000000448,448
23.727168,,Spot,1,Untracked,1000000451,451
7.001892,,Spot,1,Untracked,1000000453,453
34.764624,,Spot,1,Untracked,1000000456,456
36.78012,,Spot,1,Untracked,1000000457,457
19.776708,,Spot,1,Untracked,1000000460,460
42.71796,,Spot,1,Untracked,1000000463,463
20.316852,,Spot,1,Untracked,1000000464,464
38.77848,,Spot,1,Untracked,1000000466,466
36.70776,,Spot,1,Untracked,1000000475,475
39.94164,,Spot,1,Untracked,1000000476,476
30.439476,,Spot,1,Untracked,1000000478,478
25.69914,,Spot,1,Untracked,1000000480,480
33.960564,,Spot,1,Untracked,1000000481,481
35.145432,,Spot,1,Untracked,1000000482,482
