
Speed
 ==================== 
Speed,Unit,Category,Time,Set 1,TrackID,ID,
13.6473,um/h,Spot,1,Tracked,1000000166,166,
8.7481,um/h,Spot,1,Untrecked,1000000168,168,
6.54993,um/h,Spot,1,Untrecked,1000000170,170,
18.5345,um/h,Spot,1,Tracked,1000000178,178,
5.65856,um/h,Spot,1,Tracked,1000000180,180,
4.32251,um/h,Spot,1,Tracked,1000000181,181,
12.2894,um/h,Spot,1,Tracked,1000000182,182,
23.9239,um/h,Spot,1,Tracked,1000000183,183,
6.05335,um/h,Spot,1,,1000000186,186,
3.38577,um/h,Spot,1,Untrecked,1000000187,187,
6.45568,um/h,Spot,1,Untrecked,1000000188,188,
15.1448,um/h,Spot,1,Tracked,1000000189,189,
7.25563,um/h,Spot,1,Untrecked,1000000190,190,
35.3974,um/h,Spot,1,Untrecked,1000000191,191,
14.8472,um/h,Spot,1,,1000000193,193,
28.0734,um/h,Spot,1,Untrecked,1000000195,195,
5.05909,um/h,Spot,1,Tracked,1000000196,196,
9.01537,um/h,Spot,1,Untrecked,1000000197,197,
11.1254,um/h,Spot,1,Untrecked,1000000198,198,
18.307,um/h,Spot,1,Tracked,1000000199,199,
13.4566,um/h,Spot,1,Untrecked,1000000201,201,
3.06052,um/h,Spot,1,Tracked,1000000204,204,
5.73839,um/h,Spot,1,Tracked,1000000208,208,
5.32115,um/h,Spot,1,Tracked,1000000209,209,
1.98171,um/h,Spot,1,Tracked,1000000210,210,
17.2168,um/h,Spot,1,Untrecked,1000000212,212,
45.0884,um/h,Spot,1,Untrecked,1000000213,213,
12.7187,um/h,Spot,1,Untrecked,1000000215,215,
5.72699,um/h,Spot,1,Untrecked,1000000216,216,
30.3376,um/h,Spot,1,Untrecked,1000000218,218,
30.5916,um/h,Spot,1,Untrecked,1000000221,221,
6.63266,um/h,Spot,1,Untrecked,1000000222,222,
7.80123,um/h,Spot,1,Untrecked,1000000223,223,
13.8934,um/h,Spot,1,Untrecked,1000000224,224,
7.5171,um/h,Spot,1,,1000000226,226,
14.3736,um/h,Spot,1,Untrecked,1000000227,227,
17.5052,um/h,Spot,1,Untrecked,1000000228,228,
14.8667,um/h,Spot,1,Untrecked,1000000229,229,
30.5578,um/h,Spot,1,Untrecked,1000000230,230,
14.2334,um/h,Spot,1,Untrecked,1000000231,231,
3.30052,um/h,Spot,1,Untrecked,1000000234,234,
10.0853,um/h,Spot,1,,1000000235,235,
10.2763,um/h,Spot,1,Untrecked,1000000240,240,
7.91104,um/h,Spot,1,Untrecked,1000000241,241,
17.8836,um/h,Spot,1,Untrecked,1000000242,242,
22.0175,um/h,Spot,1,Untrecked,1000000243,243,
35.9429,um/h,Spot,1,Untrecked,1000000244,244,
42.6571,um/h,Spot,1,Untrecked,1000000245,245,
47.798,um/h,Spot,1,Untrecked,1000000246,246,
9.09976,um/h,Spot,1,Untrecked,1000000247,247,
51.2278,um/h,Spot,1,Untrecked,1000000249,249,
9.70403,um/h,Spot,1,Untrecked,1000000252,252,
23.4714,um/h,Spot,1,Untrecked,1000000253,253,
6.64931,um/h,Spot,1,Untrecked,1000000255,255,
36.0321,um/h,Spot,1,Untrecked,1000000256,256,
19.0557,um/h,Spot,1,Untrecked,1000000257,257,
17.5188,um/h,Spot,1,Untrecked,1000000263,263,
3.43705,um/h,Spot,1,Tracked,1000000265,265,
6.29626,um/h,Spot,1,Tracked,1000000267,267,
6.2554,um/h,Spot,1,Untrecked,1000000268,268,
11.9557,um/h,Spot,1,Tracked,1000000271,271,
9.47542,um/h,Spot,1,,1000000272,272,
13.1039,um/h,Spot,1,Untrecked,1000000273,273,
24.0869,um/h,Spot,1,Untrecked,1000000278,278,
5.1324,um/h,Spot,1,Tracked,1000000292,292,
18.213,um/h,Spot,1,Untrecked,1000000295,295,
4.80035,um/h,Spot,1,Untrecked,1000000298,298,
53.2627,um/h,Spot,1,Untrecked,1000000300,300,
13.0328,um/h,Spot,1,,1000000301,301,
9.70626,um/h,Spot,1,Untrecked,1000000302,302,
12.8522,um/h,Spot,1,Untrecked,1000000303,303,
9.03999,um/h,Spot,1,Untrecked,1000000311,311,
25.5986,um/h,Spot,1,Untrecked,1000000314,314,
10.1928,um/h,Spot,1,Untrecked,1000000315,315,
16.1652,um/h,Spot,1,Untrecked,1000000317,317,
12.2609,um/h,Spot,1,Untrecked,1000000326,326,
1.42688,um/h,Spot,1,Untrecked,1000000327,327,
17.2359,um/h,Spot,1,Untrecked,1000000329,329,
14.2308,um/h,Spot,1,Untrecked,1000000330,330,
17.5778,um/h,Spot,1,Untrecked,1000000351,351,
15.6757,um/h,Spot,1,Untrecked,1000000359,359,
11.0012,um/h,Spot,1,Untrecked,1000000367,367,
27.3454,um/h,Spot,1,,1000007062,7062,
38.4069,um/h,Spot,1,Tracked,1000007086,7086,
11.7338,um/h,Spot,2,Tracked,1000000045,7087,
7.59162,um/h,Spot,2,Untrecked,1000000005,7088,
7.51663,um/h,Spot,2,Tracked,1000000006,7089,
11.2394,um/h,Spot,2,Tracked,1000007090,7090,
9.41821,um/h,Spot,2,Tracked,1000007091,7091,
4.56176,um/h,Spot,2,Tracked,1000000007,7092,
6.7063,um/h,Spot,2,Tracked,1000000088,7093,
5.01172,um/h,Spot,2,Tracked,1000000008,7094,
6.70761,um/h,Spot,2,Tracked,1000000089,7095,
4.3323,um/h,Spot,2,Tracked,1000000009,7096,
7.68139,um/h,Spot,2,Untrecked,1000000010,7097,
8.88259,um/h,Spot,2,Untrecked,1000000011,7098,
5.40689,um/h,Spot,2,Untrecked,1000000012,7099,
17.6118,um/h,Spot,2,Untrecked,1000000016,7100,
11.4264,um/h,Spot,2,Untrecked,1000000013,7101,
