empty,,,,,,
Speed,,,,,,
 ==================== ,,,,,,
Speed,Unit,Category,Time,Set 1,TrackID,ID
8.319312,,Spot,1,Tracked,1000003270,3270
4.94478,,Spot,1,Tracked,1000003281,3281
6.486732,,Spot,1,Tracked,1000003293,3293
6.643368,,Spot,1,Tracked,1000003305,3305
6.041052,,Spot,1,Tracked,1000003317,3317
7.803216,,Spot,1,Tracked,1000003328,3328
6.729372,,Spot,1,Tracked,1000003339,3339
12.096864,,Spot,1,Tracked,1000003349,3349
21.870288,,Spot,1,Tracked,1000003359,3359
9.15048,,Spot,1,Tracked,1000003370,3370
5.031288,,Spot,1,Tracked,1000003382,3382
4.555224,,Spot,1,Tracked,1000003394,3394
4.757652,,Spot,1,Tracked,1000003406,3406
5.092956,,Spot,1,Tracked,1000003418,3418
6.393096,,Spot,1,Tracked,1000003430,3430
6.75666,,Spot,1,Tracked,1000003442,3442
3.0568428,,Spot,1,Tracked,1000003454,3454
5.263128,,Spot,1,Tracked,1000003478,3478
8.094024,,Spot,1,Tracked,1000003490,3490
12.095892,,Spot,1,Tracked,1000003502,3502
4.422096,,Spot,1,Tracked,1000003505,3505
2.457738,,Spot,1,Tracked,1000003517,3517
7.605468,,Spot,1,Tracked,1000003529,3529
1.9436868,,Spot,1,Tracked,1000003541,3541
12.671208,,Spot,1,Tracked,1000003553,3553
9.088452,,Spot,1,Tracked,1000003565,3565
6.955884,,Spot,1,Tracked,1000003584,3584
2.3145048,,Spot,1,Tracked,1000003595,3595
3.839076,,Spot,1,Tracked,1000003614,3614
4.816908,,Spot,1,Tracked,1000003625,3625
14.085756,,Spot,1,Tracked,1000003637,3637
4.80474,,Spot,1,Tracked,1000003647,3647
9.244944,,Spot,1,Tracked,1000003658,3658
3.854448,,Spot,1,Tracked,1000003669,3669
4.264848,,Spot,1,Tracked,1000003680,3680
3.1651596,,Spot,1,Tracked,1000003691,3691
4.650156,,Spot,1,Tracked,1000003702,3702
11.055744,,Spot,1,Tracked,1000003713,3713
6.197544,,Spot,2,Untracked,1000003714,3714
5.966424,,Spot,2,Untracked,1000003715,3715
3.0129408,,Spot,2,Untracked,1000000023,3716
5.05818,,Spot,2,Untracked,1000000027,3717
2.1161088,,Spot,2,Untracked,1000000061,3718
7.06176,,Spot,2,Untracked,1000000062,3719
9.032616,,Spot,2,Untracked,1000000065,3720
1.8917748,,Spot,2,Untracked,1000000074,3721
4.82562,,Spot,2,Untracked,1000000087,3722
3.428946,,Spot,2,Untracked,1000003723,3723
7.349724,,Spot,2,Untracked,1000003724,3724
2.9802492,,Spot,2,Untracked,1000000095,3725
4.111704,,Spot,2,Untracked,1000000097,3726
5.027112,,Spot,2,Untracked,1000000098,3727
12.123684,,Spot,2,Untracked,1000000103,3728
5.740488,,Spot,2,Untracked,1000000112,3729
4.534524,,Spot,2,Untracked,1000000114,3730
8.489628,,Spot,2,Untracked,1000003731,3731
10.26666,,Spot,2,Untracked,1000003732,3732
2.5549776,,Spot,2,Untracked,1000000136,3733
11.2788,,Spot,2,Untracked,1000000137,3734
4.688028,,Spot,2,Untracked,1000000139,3735
7.282008,,Spot,2,Untracked,1000003736,3736
3.976344,,Spot,2,Untracked,1000000138,3737
3.4227864,,Spot,2,Untracked,1000000140,3738
6.701364,,Spot,2,Untracked,1000000141,3739
5.560704,,Spot,2,Untracked,1000000142,3740
4.660056,,Spot,2,Untracked,1000000143,3741
3.3707232,,Spot,2,Untracked,1000000144,3742
3.682584,,Spot,2,Untracked,1000000148,3743
3.1472208,,Spot,2,Untracked,1000000145,3744
4.931424,,Spot,2,Untracked,1000000147,3745
4.960044,,Spot,2,Untracked,1000000146,3746
2.39067,,Spot,2,Untracked,1000000150,3747
4.373928,,Spot,2,Untracked,1000000149,3748
11.695068,,Spot,2,Untracked,1000000153,3749
9.367272,,Spot,2,Untracked,1000000152,3750
3.5498484,,Spot,2,Untracked,1000000151,3751
15.60438,,Spot,2,Untracked,1000003752,3752
4.730904,,Spot,2,Untracked,1000000154,3753
4.786992,,Spot,2,Untracked,1000000155,3754
7.956828,,Spot,2,Untracked,1000000156,3755
10.279728,,Spot,2,Untracked,1000000158,3756
3.701556,,Spot,2,Untracked,1000003757,3757
1.839654,,Spot,2,Untracked,1000000159,3758
4.380264,,Spot,2,Untracked,1000000160,3759
3.783708,,Spot,2,Untracked,1000000161,3760
7.130232,,Spot,2,Untracked,1000003761,3761
3.1469796,,Spot,2,Untracked,1000000163,3762
3.905064,,Spot,2,Untracked,1000000164,3763
3.191166,,Spot,2,Untracked,1000000165,3764
4.938156,,Spot,2,Untracked,1000000173,3765
2.489742,,Spot,2,Untracked,1000000174,3766
3.3831504,,Spot,2,Untracked,1000000177,3767
3.578976,,Spot,2,Untracked,1000000191,3768
6.002604,,Spot,2,Untracked,1000000193,3769
7.238988,,Spot,2,Untracked,1000000162,3770
5.777532,,Spot,2,Untracked,1000000194,3771
15.398316,,Spot,2,Untracked,1000000196,3772
26.249904,,Spot,2,Untracked,1000003773,3773
4.909896,,Spot,2,Untracked,1000000201,3774
3.834756,,Spot,2,Untracked,1000003775,3775
2.8756224,,Spot,2,Untracked,1000000208,3776
3.818844,,Spot,2,Untracked,1000000209,3777
7.099092,,Spot,2,Untracked,1000000219,3778
4.511916,,Spot,2,Untracked,1000000217,3779
1.6058016,,Spot,2,Untracked,1000000224,3780
3.73554,,Spot,2,Untracked,1000000124,3781
3.728376,,Spot,2,Untracked,1000000250,3782
7.157844,,Spot,2,Untracked,1000003783,3783
1.8449424,,Spot,2,Untracked,1000000257,3784
6.252516,,Spot,2,Untracked,1000000258,3785
8.83872,,Spot,2,Untracked,1000000256,3786
11.413368,,Spot,2,Untracked,1000000280,3787
10.125,,Spot,2,Untracked,1000000288,3788
6.060384,,Spot,2,Untracked,1000000291,3789
4.565268,,Spot,2,Untracked,1000000293,3790
4.444128,,Spot,2,Untracked,1000000292,3791
4.894668,,Spot,2,Untracked,1000000295,3792
3.339342,,Spot,2,Untracked,1000000294,3793
6.428268,,Spot,2,Untracked,1000000212,3794
3.738384,,Spot,2,Untracked,1000000299,3795
4.567464,,Spot,2,Untracked,1000000296,3796
4.917132,,Spot,2,Untracked,1000000297,3797
7.15284,,Spot,2,Untracked,1000003798,3798
4.402404,,Spot,2,Untracked,1000000301,3799
9.957996,,Spot,2,Untracked,1000000302,3800
8.841744,,Spot,2,Untracked,1000000303,3801
2.725524,,Spot,2,Untracked,1000000300,3802
2.8812744,,Spot,2,Untracked,1000000304,3803
7.972848,,Spot,2,Untracked,1000000305,3804
5.357376,,Spot,2,Untracked,1000000306,3805
7.531596,,Spot,2,Untracked,1000000308,3806
9.061884,,Spot,2,Untracked,1000000310,3807
4.679208,,Spot,2,Untracked,1000000311,3808
10.567656,,Spot,2,Untracked,1000000312,3809
4.681764,,Spot,2,Untracked,1000000330,3810
5.639004,,Spot,2,Untracked,1000003811,3811
11.54952,,Spot,2,Untracked,1000000331,3812
5.007528,,Spot,2,Untracked,1000000332,3813
3.741264,,Spot,2,Untracked,1000000333,3814
2.9132964,,Spot,2,Untracked,1000000334,3815
2.3045508,,Spot,2,Untracked,1000000335,3816
0.7717176,,Spot,2,Untracked,1000000337,3817
6.504048,,Spot,2,Untracked,1000000338,3818
2.9530116,,Spot,2,Untracked,1000000339,3819
10.960848,,Spot,2,Untracked,1000003820,3820
7.40826,,Spot,2,Untracked,1000003821,3821
8.825652,,Spot,2,Untracked,1000000464,3822
5.514588,,Spot,2,Untracked,1000003823,3823
4.097412,,Spot,2,Untracked,1000000467,3824
6.291864,,Spot,2,Untracked,1000000469,3825
5.260536,,Spot,2,Untracked,1000000470,3826
5.014008,,Spot,2,Untracked,1000000472,3827
2.8118988,,Spot,2,Untracked,1000000471,3828
18.168516,,Spot,2,Untracked,1000000475,3829
4.666788,,Spot,2,Untracked,1000000519,3830
5.158404,,Spot,2,Untracked,1000000561,3831
3.2004432,,Spot,2,Untracked,1000000522,3832
9.530712,,Spot,2,Untracked,1000003833,3833
5.8914,,Spot,2,Untracked,1000000523,3834
4.870224,,Spot,2,Untracked,1000000524,3835
13.06098,,Spot,2,Untracked,1000000525,3836
4.341852,,Spot,2,Untracked,1000000526,3837
1.8743472,,Spot,2,Untracked,1000000529,3838
17.2557,,Spot,2,Untracked,1000003839,3839
8.670384,,Spot,2,Untracked,1000003840,3840
6.745932,,Spot,2,Untracked,1000003841,3841
4.430628,,Spot,2,Tracked,1000003222,3842
4.517208,,Spot,2,Tracked,1000003234,3843
3.264552,,Spot,2,Tracked,1000003246,3844
6.62364,,Spot,2,Tracked,1000003258,3845
7.247088,,Spot,2,Tracked,1000003270,3846
4.1724,,Spot,2,Tracked,1000003281,3847
2.9198772,,Spot,2,Tracked,1000003293,3848
