Nr,TID,PID,x [inch],y [inch],t [sec],I [val],Len [inch],D2S [inch],D2R [inch],D2P [inch],v [inch/sec],? [deg],?? [deg]
1,1,1,0.797,4.421,0,47.2,0,0,NA,NA,NA,NA,NA
2,1,2,0.801,4.425,0,41.9,0.006,0.006,NA,0.006,NA,45,NA
3,1,3,0.797,4.437,0,68,0.019,0.016,NA,0.013,NA,108.435,63.435
4,1,4,0.797,4.437,0,54.6,0.019,0.016,NA,0,NA,0,-108.435
5,1,5,0.793,4.445,0,129.5,0.028,0.025,NA,0.009,NA,116.565,116.565
6,1,6,0.793,4.449,0,111.1,0.032,0.029,NA,0.004,NA,90,-26.565
7,1,7,0.793,4.469,0,109.5,0.052,0.049,NA,0.02,NA,90,0
8,1,8,0.797,4.473,0,138.1,0.058,0.053,NA,0.006,NA,45,-45
9,1,9,0.789,4.49,0,205.4,0.076,0.07,NA,0.018,NA,116.565,71.565
10,1,10,0.789,4.498,0,205.4,0.084,0.078,NA,0.008,NA,90,-26.565
11,1,11,0.789,4.506,0,173.9,0.092,0.086,NA,0.008,NA,90,0
12,1,12,0.777,4.522,0,170.4,0.113,0.104,NA,0.02,NA,126.87,36.87
13,1,13,0.76,4.535,0,126.9,0.133,0.12,NA,0.02,NA,143.13,16.26
14,1,14,0.756,4.596,0,114.1,0.194,0.18,NA,0.061,NA,93.814,-49.316
15,1,15,0.642,4.689,0,8.2,0.342,0.31,NA,0.148,NA,140.599,46.785
16,1,16,0.573,4.697,0,4.2,0.412,0.356,NA,0.07,NA,173.29,32.691
17,1,17,0.557,4.706,0,28,0.43,0.373,NA,0.018,NA,153.435,-19.855
18,1,18,0.536,4.706,0,48.4,0.45,0.386,NA,0.02,NA,180,26.565
19,1,19,0.516,4.701,0,40.6,0.471,0.397,NA,0.021,NA,-168.69,11.31
20,1,21,0.312,4.697,0,33.1,0.675,0.558,NA,0.204,NA,-178.854,-10.164
21,1,22,0.276,4.726,0,55.8,0.721,0.604,NA,0.046,NA,142.125,-39.021
22,1,23,0.312,4.824,0,58.4,0.825,0.63,NA,0.104,NA,69.444,-72.681
23,1,24,0.296,4.832,0,66.7,0.843,0.648,NA,0.018,NA,153.435,83.991
24,1,25,0.288,4.828,0,63.8,0.853,0.652,NA,0.009,NA,-153.435,53.13
25,1,26,0.276,4.828,0,49.5,0.865,0.661,NA,0.012,NA,180,-26.565
26,1,27,0.255,4.828,0,52.4,0.885,0.677,NA,0.02,NA,180,0
27,1,28,0.243,4.828,0,77.4,0.897,0.687,NA,0.012,NA,180,0
28,1,29,0.219,4.828,0,53.5,0.922,0.707,NA,0.024,NA,180,0
29,1,30,0.207,4.82,0,64,0.936,0.713,NA,0.015,NA,-146.31,33.69
30,1,31,0.186,4.815,0,66.1,0.957,0.727,NA,0.021,NA,-168.69,-22.38
31,2,1,1.684,2.763,0,50.4,0,0,NA,NA,NA,NA,NA
32,2,2,1.676,2.776,0,54.4,0.015,0.015,NA,0.015,NA,123.69,NA
33,2,3,1.676,2.788,0,209.1,0.027,0.026,NA,0.012,NA,90,-33.69
34,2,4,1.672,2.8,0,203.4,0.04,0.039,NA,0.013,NA,108.435,18.435
35,2,5,1.672,2.816,0,103.1,0.056,0.054,NA,0.016,NA,90,-18.435
36,2,6,1.672,2.824,0,125,0.064,0.062,NA,0.008,NA,90,0
37,2,7,1.672,2.841,0,156.6,0.08,0.078,NA,0.016,NA,90,0
38,2,8,1.672,2.849,0,208.1,0.089,0.086,NA,0.008,NA,90,0
39,2,9,1.672,2.849,0,191.8,0.089,0.086,NA,0,NA,0,-90
40,2,10,1.672,2.865,0,222,0.105,0.103,NA,0.016,NA,90,90
41,2,11,1.672,2.865,0,208.5,0.105,0.103,NA,0,NA,0,-90
42,2,12,1.672,2.865,0,211.2,0.105,0.103,NA,0,NA,0,0
43,2,13,1.672,2.869,0,175.5,0.109,0.107,NA,0.004,NA,90,90
44,2,14,1.668,2.881,0,178.3,0.122,0.119,NA,0.013,NA,108.435,18.435
45,2,15,1.672,2.881,0,200.5,0.126,0.119,NA,0.004,NA,0,-108.435
46,2,16,1.672,2.881,0,163.7,0.126,0.119,NA,0,NA,0,0
47,2,17,1.668,2.898,0,185.6,0.143,0.135,NA,0.017,NA,104.036,104.036
48,2,18,1.668,2.898,0,169.5,0.143,0.135,NA,0,NA,0,-104.036
49,2,19,1.656,2.906,0,179.8,0.157,0.145,NA,0.015,NA,146.31,146.31
50,2,20,1.656,2.906,0,156.4,0.157,0.145,NA,0,NA,0,-146.31
51,2,21,1.66,2.906,0,134.9,0.161,0.145,NA,0.004,NA,0,0
52,2,22,1.66,2.91,0,143.9,0.166,0.149,NA,0.004,NA,90,90
53,2,23,1.66,2.91,0,119.4,0.166,0.149,NA,0,NA,0,-90
54,2,24,1.676,2.926,0,63.2,0.189,0.163,NA,0.023,NA,45,45
55,2,25,1.668,2.926,0,67.4,0.197,0.164,NA,0.008,NA,180,135
56,2,26,1.668,2.943,0,84.4,0.213,0.18,NA,0.016,NA,90,-90
57,2,27,1.668,2.943,0,69.4,0.213,0.18,NA,0,NA,0,-90
58,2,28,1.668,2.951,0,68.6,0.221,0.188,NA,0.008,NA,90,90
59,3,1,1.375,1.949,0,45.8,0,0,NA,NA,NA,NA,NA
60,3,2,1.367,1.961,0,47.1,0.015,0.015,NA,0.015,NA,123.69,NA
61,3,3,1.367,1.965,0,59.1,0.019,0.018,NA,0.004,NA,90,-33.69
62,3,4,1.351,1.982,0,64.1,0.042,0.041,NA,0.023,NA,135,45
63,3,5,1.347,1.982,0,56.5,0.046,0.043,NA,0.004,NA,180,45
64,3,6,1.334,1.982,0,63,0.058,0.052,NA,0.012,NA,180,0
65,3,7,1.322,1.994,0,86.1,0.075,0.069,NA,0.017,NA,135,-45
66,3,8,1.318,1.998,0,156.1,0.081,0.075,NA,0.006,NA,135,0
67,3,9,1.306,1.998,0,64,0.093,0.085,NA,0.012,NA,180,45
68,3,10,1.294,2.006,0,50.5,0.108,0.099,NA,0.015,NA,146.31,-33.69
69,3,11,1.285,2.006,0,36,0.116,0.106,NA,0.008,NA,180,33.69
70,3,12,1.281,2.01,0,39.1,0.122,0.112,NA,0.006,NA,135,-45
71,3,13,1.273,2.022,0,35.7,0.137,0.125,NA,0.015,NA,123.69,-11.31
72,3,14,1.273,2.026,0,32.7,0.141,0.128,NA,0.004,NA,90,-33.69
73,3,15,1.265,2.035,0,39,0.152,0.139,NA,0.012,NA,135,45
74,3,16,1.257,2.035,0,31.1,0.16,0.146,NA,0.008,NA,180,45
75,3,17,1.241,2.043,0,31.9,0.179,0.164,NA,0.018,NA,153.435,-26.565
76,3,18,1.228,2.051,0,34.7,0.193,0.178,NA,0.015,NA,146.31,-7.125
77,3,19,1.188,2.071,0,42.1,0.239,0.224,NA,0.046,NA,153.435,7.125
78,3,20,1.18,2.083,0,39.4,0.253,0.237,NA,0.015,NA,123.69,-29.745
79,3,21,1.151,2.104,0,37.8,0.288,0.272,NA,0.035,NA,144.462,20.772
80,3,22,1.119,2.12,0,40.4,0.325,0.308,NA,0.036,NA,153.435,8.973
81,3,23,1.053,2.157,0,30.5,0.4,0.383,NA,0.075,NA,150.642,-2.793
82,3,24,1.037,2.157,0,43.1,0.416,0.397,NA,0.016,NA,180,29.358
83,3,25,1.017,2.157,0,39.9,0.436,0.414,NA,0.02,NA,180,0
84,3,26,0.992,2.165,0,55,0.462,0.439,NA,0.026,NA,161.565,-18.435
