Nr,TID,PID,x [inch],y [inch],t [sec],I [val],Len [inch],D2S [inch],D2R [inch],D2P [inch],v [inch/sec],? [deg],?? [deg]
1,1,1,4.766,4.467,0,44.4,0,0,NA,NA,NA,NA,NA
2,1,2,4.759,4.509,0,68.7,0.042,0.042,NA,0.042,NA,99.462,NA
3,1,3,4.78,4.509,0,50.1,0.063,0.044,NA,0.021,NA,0,-99.462
4,1,4,4.793,4.543,0,42.9,0.1,0.081,NA,0.037,NA,68.199,68.199
5,1,5,4.821,4.543,0,43.2,0.128,0.094,NA,0.028,NA,0,-68.199
6,1,6,4.821,4.543,0,34.2,0.128,0.094,NA,0,NA,0,0
7,1,7,4.842,4.543,0,22.5,0.149,0.108,NA,0.021,NA,0,0
8,1,8,4.828,4.578,0,58.2,0.186,0.127,NA,0.037,NA,111.801,111.801
9,1,9,4.849,4.599,0,54.3,0.216,0.156,NA,0.029,NA,45,-66.801
10,1,10,4.87,4.62,0,54.6,0.245,0.185,NA,0.029,NA,45,0
11,1,11,4.884,4.648,0,80.1,0.276,0.216,NA,0.031,NA,63.435,18.435
12,1,12,4.898,4.675,0,84,0.308,0.247,NA,0.031,NA,63.435,0
13,1,13,4.884,4.689,0,67.2,0.327,0.252,NA,0.02,NA,135,71.565
14,1,14,4.918,4.689,0,72.6,0.362,0.27,NA,0.035,NA,0,-135
15,1,15,4.953,4.71,0,77.7,0.402,0.307,NA,0.04,NA,30.964,30.964
16,1,16,4.953,4.71,0,58.8,0.402,0.307,NA,0,NA,0,-30.964
17,1,17,4.974,4.731,0,66,0.432,0.336,NA,0.029,NA,45,45
18,1,18,5.009,4.745,0,57.9,0.469,0.369,NA,0.037,NA,21.801,-23.199
19,1,19,5.023,4.786,0,60,0.513,0.41,NA,0.044,NA,71.565,49.764
20,2,1,1.127,3.224,0,46.5,0,0,NA,NA,NA,NA,NA
21,2,2,1.127,3.259,0,38.1,0.035,0.035,NA,0.035,NA,90,NA
22,2,3,1.141,3.286,0,41.1,0.066,0.064,NA,0.031,NA,63.435,-26.565
23,2,4,1.134,3.307,0,52.8,0.088,0.084,NA,0.022,NA,108.435,45
24,2,5,1.155,3.321,0,51.3,0.113,0.101,NA,0.025,NA,33.69,-74.745
25,2,6,1.168,3.342,0,48,0.138,0.125,NA,0.025,NA,56.31,22.62
26,2,7,1.168,3.342,0,49.5,0.138,0.125,NA,0,NA,0,-56.31
27,2,8,1.168,3.342,0,49.8,0.138,0.125,NA,0,NA,0,0
28,2,9,1.168,3.342,0,45.3,0.138,0.125,NA,0,NA,0,0
29,2,10,1.168,3.37,0,49,0.166,0.152,NA,0.028,NA,90,90
30,2,11,1.155,3.37,0,47.4,0.179,0.148,NA,0.014,NA,180,90
31,2,12,1.141,3.398,0,45.6,0.211,0.174,NA,0.031,NA,116.565,-63.435
32,2,13,1.134,3.453,0,34.8,0.267,0.229,NA,0.056,NA,97.125,-19.44
33,2,14,1.224,3.606,0,21.9,0.444,0.394,NA,0.177,NA,59.421,-37.704
34,2,15,1.21,3.752,0,48.6,0.59,0.534,NA,0.146,NA,95.44,36.02
35,2,16,1.328,4.127,0,42.9,0.984,0.925,NA,0.393,NA,72.525,-22.915
36,2,17,1.446,4.224,0,83.1,1.137,1.05,NA,0.153,NA,39.472,-33.053
37,2,18,1.536,4.273,0,53.7,1.239,1.126,NA,0.103,NA,28.301,-11.172
38,2,19,1.564,4.314,0,43.8,1.289,1.175,NA,0.05,NA,56.31,28.009
39,3,1,3.439,2.766,0,66.4,0,0,NA,NA,NA,NA,NA
40,3,2,3.446,2.814,0,48.3,0.049,0.049,NA,0.049,NA,81.87,NA
41,3,3,3.474,2.821,0,70.8,0.078,0.066,NA,0.029,NA,14.036,-67.834
42,3,4,3.488,2.828,0,60.3,0.093,0.079,NA,0.016,NA,26.565,12.529
43,3,5,3.488,2.87,0,59.8,0.135,0.115,NA,0.042,NA,90,63.435
44,3,6,3.543,2.967,0,79.9,0.247,0.227,NA,0.112,NA,60.255,-29.745
45,3,7,3.557,2.981,0,80.7,0.267,0.246,NA,0.02,NA,45,-15.255
46,3,8,3.571,2.981,0,78.9,0.28,0.252,NA,0.014,NA,0,-45
47,3,9,3.599,2.995,0,68.4,0.311,0.279,NA,0.031,NA,26.565,26.565
48,3,10,3.606,3.016,0,79.4,0.333,0.3,NA,0.022,NA,71.565,45
49,3,11,3.627,3.036,0,39.3,0.363,0.329,NA,0.029,NA,45,-26.565
50,3,12,3.634,3.071,0,46.5,0.398,0.362,NA,0.035,NA,78.69,33.69
51,3,13,3.655,3.078,0,49.2,0.42,0.379,NA,0.022,NA,18.435,-60.255
52,3,14,3.661,3.085,0,57.9,0.43,0.389,NA,0.01,NA,45,26.565
53,3,15,3.668,3.113,0,64.8,0.459,0.416,NA,0.029,NA,75.964,30.964
54,3,16,3.682,3.12,0,75.9,0.474,0.43,NA,0.016,NA,26.565,-49.399
55,3,17,3.696,3.127,0,77.4,0.49,0.443,NA,0.016,NA,26.565,0
56,3,18,3.703,3.134,0,70.8,0.5,0.453,NA,0.01,NA,45,18.435
57,3,19,3.703,3.134,0,48.6,0.5,0.453,NA,0,NA,0,-45
58,4,1,0.953,2.203,0,32.7,0,0,NA,NA,NA,NA,NA
59,4,2,0.967,2.21,0,24.6,0.016,0.016,NA,0.016,NA,26.565,NA
60,4,3,0.967,2.21,0,26.4,0.016,0.016,NA,0,NA,0,-26.565
61,4,4,0.981,2.224,0,18.3,0.035,0.035,NA,0.02,NA,45,45
62,4,5,1.009,2.238,0,20.4,0.066,0.066,NA,0.031,NA,26.565,-18.435
63,4,6,1.009,2.238,0,24.6,0.066,0.066,NA,0,NA,0,-26.565
64,4,7,1.023,2.238,0,25.8,0.08,0.078,NA,0.014,NA,0,0
65,4,8,1.023,2.238,0,30.6,0.08,0.078,NA,0,NA,0,0
66,4,9,1.036,2.238,0,33,0.094,0.09,NA,0.014,NA,0,0
67,4,10,1.043,2.238,0,27.9,0.101,0.097,NA,0.007,NA,0,0
68,4,11,1.078,2.231,0,29.4,0.136,0.128,NA,0.035,NA,-11.31,-11.31
69,4,12,1.099,2.238,0,28.2,0.158,0.15,NA,0.022,NA,18.435,29.745
70,4,13,1.099,2.238,0,29,0.158,0.15,NA,0,NA,0,-18.435
71,4,14,1.12,2.245,0,40.6,0.18,0.172,NA,0.022,NA,18.435,18.435
