Nr,TID,PID,x [inch],y [inch],t [sec],I [val],Len [inch],D2S [inch],D2R [inch],D2P [inch],v [inch/sec],? [deg],?? [deg]
1,1,1,4.099,4.314,0,12.6,0,0,NA,NA,NA,NA,NA
2,1,2,4.099,4.321,0,11.1,0.007,0.007,NA,0.007,NA,90,NA
3,1,3,4.12,4.349,0,32.4,0.042,0.04,NA,0.035,NA,53.13,-36.87
4,1,4,4.141,4.335,0,27.9,0.067,0.047,NA,0.025,NA,-33.69,-86.82
5,1,5,4.168,4.342,0,27.9,0.095,0.075,NA,0.029,NA,14.036,47.726
6,1,6,4.168,4.342,0,43.7,0.095,0.075,NA,0,NA,0,-14.036
7,1,7,4.189,4.37,0,54.6,0.13,0.106,NA,0.035,NA,53.13,53.13
8,1,8,4.21,4.398,0,51.3,0.165,0.139,NA,0.035,NA,53.13,0
9,1,9,4.217,4.398,0,49.8,0.172,0.145,NA,0.007,NA,0,-53.13
10,1,10,4.238,4.425,0,39.3,0.206,0.178,NA,0.035,NA,53.13,53.13
11,1,11,4.266,4.439,0,54.8,0.238,0.208,NA,0.031,NA,26.565,-26.565
12,1,12,4.286,4.425,0,58.2,0.263,0.218,NA,0.025,NA,-33.69,-60.255
13,1,13,4.293,4.432,0,48,0.272,0.227,NA,0.01,NA,45,78.69
14,1,14,4.293,4.439,0,52.8,0.279,0.231,NA,0.007,NA,90,45
15,1,15,4.293,4.453,0,46.5,0.293,0.239,NA,0.014,NA,90,0
16,1,16,4.307,4.453,0,41.9,0.307,0.25,NA,0.014,NA,0,-90
17,1,17,4.335,4.46,0,40.5,0.336,0.278,NA,0.029,NA,14.036,14.036
18,1,18,4.363,4.453,0,42,0.364,0.298,NA,0.029,NA,-14.036,-28.072
19,1,20,4.425,4.467,0,42,0.428,0.36,NA,0.064,NA,12.529,26.565
20,2,1,4.675,4.155,0,36.4,0,0,NA,NA,NA,NA,NA
21,2,2,4.696,4.189,0,28.8,0.04,0.04,NA,0.04,NA,59.036,NA
22,2,3,4.696,4.203,0,42.5,0.054,0.053,NA,0.014,NA,90,30.964
23,2,4,4.696,4.224,0,42.4,0.075,0.073,NA,0.021,NA,90,0
24,2,5,4.71,4.252,0,39.3,0.106,0.103,NA,0.031,NA,63.435,-26.565
25,2,6,4.759,4.259,0,32.1,0.155,0.133,NA,0.049,NA,8.13,-55.305
26,2,7,4.786,4.245,0,28.9,0.186,0.143,NA,0.031,NA,-26.565,-34.695
27,2,8,4.828,4.231,0,27,0.23,0.171,NA,0.044,NA,-18.435,8.13
28,2,9,4.842,4.231,0,22,0.244,0.183,NA,0.014,NA,0,18.435
29,2,10,4.877,4.245,0,19.8,0.282,0.221,NA,0.037,NA,21.801,21.801
30,2,11,4.898,4.231,0,24.6,0.307,0.235,NA,0.025,NA,-33.69,-55.491
31,2,12,4.911,4.231,0,18.1,0.321,0.248,NA,0.014,NA,0,33.69
32,2,13,4.925,4.203,0,7.2,0.352,0.255,NA,0.031,NA,-63.435,-63.435
33,2,14,4.932,4.196,0,15.6,0.361,0.26,NA,0.01,NA,-45,18.435
34,2,15,4.946,4.189,0,22.5,0.377,0.273,NA,0.016,NA,-26.565,18.435
35,2,16,4.967,4.196,0,19.5,0.399,0.295,NA,0.022,NA,18.435,45
36,2,17,4.988,4.203,0,11.1,0.421,0.316,NA,0.022,NA,18.435,0
37,2,18,4.988,4.203,0,12.9,0.421,0.316,NA,0,NA,0,-18.435
38,2,19,4.988,4.231,0,21,0.449,0.322,NA,0.028,NA,90,90
39,3,1,4.863,0.96,0,23.1,0,0,NA,NA,NA,NA,NA
40,3,2,4.932,0.953,0,24,0.07,0.07,NA,0.07,NA,-5.711,NA
41,3,3,4.946,0.953,0,15.3,0.084,0.084,NA,0.014,NA,0,5.711
42,3,4,4.96,0.953,0,7.2,0.098,0.097,NA,0.014,NA,0,0
43,3,5,4.995,0.96,0,12.6,0.133,0.132,NA,0.035,NA,11.31,11.31
44,3,6,5.03,0.967,0,19.2,0.168,0.167,NA,0.035,NA,11.31,0
45,3,7,5.085,0.953,0,18.4,0.226,0.222,NA,0.057,NA,-14.036,-25.346
46,3,8,5.113,0.939,0,21.3,0.257,0.251,NA,0.031,NA,-26.565,-12.529
47,3,9,5.141,0.932,0,22.2,0.285,0.279,NA,0.029,NA,-14.036,12.529
48,3,10,5.168,0.918,0,16.5,0.316,0.308,NA,0.031,NA,-26.565,-12.529
49,3,11,5.196,0.905,0,17.9,0.347,0.338,NA,0.031,NA,-26.565,0
50,3,12,5.21,0.891,0,15.9,0.367,0.354,NA,0.02,NA,-45,-18.435
51,3,13,5.238,0.863,0,24.3,0.406,0.387,NA,0.039,NA,-45,0
52,3,14,5.259,0.849,0,24.3,0.431,0.411,NA,0.025,NA,-33.69,11.31
53,3,15,5.273,0.821,0,26.7,0.462,0.433,NA,0.031,NA,-63.435,-29.745
54,3,16,5.266,0.821,0,25.2,0.469,0.426,NA,0.007,NA,180,-116.565
55,3,17,5.266,0.786,0,16.5,0.504,0.439,NA,0.035,NA,-90,90
56,3,18,5.266,0.786,0,27.1,0.504,0.439,NA,0,NA,0,90
57,4,1,2.55,3.03,0,63.3,0,0,NA,NA,NA,NA,NA
58,4,2,2.571,3.03,0,78.9,0.021,0.021,NA,0.021,NA,0,NA
59,4,3,2.578,2.995,0,83.6,0.056,0.044,NA,0.035,NA,-78.69,-78.69
60,4,4,2.606,3.016,0,83.4,0.091,0.057,NA,0.035,NA,36.87,115.56
61,4,5,2.641,3.03,0,78.9,0.128,0.09,NA,0.037,NA,21.801,-15.068
62,4,6,2.668,3.05,0,82.5,0.163,0.12,NA,0.035,NA,36.87,15.068
63,4,7,2.689,3.078,0,47.1,0.198,0.147,NA,0.035,NA,53.13,16.26
64,4,8,2.689,3.092,0,53.8,0.212,0.152,NA,0.014,NA,90,36.87
65,4,9,2.71,3.141,0,82.3,0.265,0.195,NA,0.053,NA,66.801,-23.199
66,4,10,2.724,3.148,0,79.5,0.28,0.21,NA,0.016,NA,26.565,-40.236
67,4,11,2.745,3.161,0,79.5,0.305,0.235,NA,0.025,NA,33.69,7.125
68,4,13,2.752,3.161,0,79.5,0.312,0.241,NA,0.007,NA,0,-33.69
69,5,1,2.106,2.898,0,68,0,0,NA,NA,NA,NA,NA
70,5,2,2.12,2.981,0,20.1,0.084,0.084,NA,0.084,NA,80.538,NA
71,5,3,2.161,2.988,0,62.7,0.127,0.106,NA,0.042,NA,9.462,-71.075
72,5,4,2.168,3.002,0,47.4,0.142,0.121,NA,0.016,NA,63.435,53.973
73,5,5,2.203,3.009,0,53.4,0.178,0.148,NA,0.035,NA,11.31,-52.125
74,5,6,2.203,3.009,0,57.6,0.178,0.148,NA,0,NA,0,-11.31
75,5,7,2.203,3.03,0,74.1,0.198,0.164,NA,0.021,NA,90,90
76,5,8,2.238,3.03,0,69,0.233,0.187,NA,0.035,NA,0,-90
77,5,9,2.238,3.057,0,71.6,0.261,0.207,NA,0.028,NA,90,90
78,5,10,2.238,3.071,0,81.1,0.275,0.218,NA,0.014,NA,90,0
79,5,11,2.252,3.078,0,78.7,0.29,0.232,NA,0.016,NA,26.565,-63.435
80,5,12,2.259,3.078,0,65.2,0.297,0.237,NA,0.007,NA,0,-26.565
81,5,13,2.28,3.078,0,5.1,0.318,0.25,NA,0.021,NA,0,0
82,5,14,2.28,3.078,0,28.8,0.318,0.25,NA,0,NA,0,0
83,5,15,2.28,3.085,0,22.5,0.325,0.256,NA,0.007,NA,90,90
84,5,16,2.28,3.092,0,17.6,0.332,0.261,NA,0.007,NA,90,0
85,5,17,2.28,3.106,0,78.3,0.346,0.271,NA,0.014,NA,90,0
86,5,18,2.293,3.106,0,44.7,0.36,0.28,NA,0.014,NA,0,-90
87,5,20,2.342,3.134,0,78.9,0.416,0.334,NA,0.056,NA,29.745,29.745
88,6,1,4.05,2.828,0,25.8,0,0,NA,NA,NA,NA,NA
89,6,2,4.106,2.849,0,24.6,0.059,0.059,NA,0.059,NA,20.556,NA
90,6,3,4.134,2.856,0,44.4,0.088,0.088,NA,0.029,NA,14.036,-6.52
91,6,4,4.168,2.863,0,50.1,0.123,0.123,NA,0.035,NA,11.31,-2.726
92,6,5,4.196,2.863,0,51.3,0.151,0.15,NA,0.028,NA,0,-11.31
93,6,6,4.21,2.856,0,66,0.167,0.162,NA,0.016,NA,-26.565,-26.565
94,6,7,4.224,2.849,0,51.4,0.182,0.175,NA,0.016,NA,-26.565,0
95,6,8,4.224,2.849,0,46.8,0.182,0.175,NA,0,NA,0,26.565
96,6,9,4.217,2.87,0,35,0.204,0.172,NA,0.022,NA,108.435,108.435
97,6,10,4.238,2.884,0,24.9,0.229,0.196,NA,0.025,NA,33.69,-74.745
98,6,11,4.245,2.891,0,19.5,0.239,0.204,NA,0.01,NA,45,11.31
99,6,12,4.293,2.918,0,15.9,0.295,0.259,NA,0.056,NA,29.745,-15.255
100,6,13,4.321,2.911,0,32.3,0.324,0.283,NA,0.029,NA,-14.036,-43.781
101,6,14,4.342,2.911,0,9,0.344,0.303,NA,0.021,NA,0,14.036
102,6,15,4.384,2.884,0,24,0.395,0.338,NA,0.05,NA,-33.69,-33.69
103,6,16,4.398,2.884,0,11.1,0.408,0.352,NA,0.014,NA,0,33.69
104,6,17,4.418,2.877,0,12.3,0.43,0.371,NA,0.022,NA,-18.435,-18.435
105,6,18,4.439,2.891,0,16.5,0.455,0.394,NA,0.025,NA,33.69,52.125
106,6,19,4.488,2.891,0,20.1,0.504,0.442,NA,0.049,NA,0,-33.69
107,7,1,3.814,4.856,0,16.7,0,0,NA,NA,NA,NA,NA
108,7,2,3.842,4.856,0,14.1,0.028,0.028,NA,0.028,NA,0,NA
109,7,3,3.849,4.856,0,17.7,0.035,0.035,NA,0.007,NA,0,0
110,7,4,3.856,4.856,0,18,0.042,0.042,NA,0.007,NA,0,0
111,7,5,3.911,4.863,0,13.6,0.098,0.097,NA,0.056,NA,7.125,7.125
112,7,6,3.911,4.87,0,16.8,0.105,0.098,NA,0.007,NA,90,82.875
113,7,7,3.939,4.87,0,17.3,0.132,0.126,NA,0.028,NA,0,-90
114,7,8,3.96,4.87,0,18,0.153,0.146,NA,0.021,NA,0,0
115,7,9,3.974,4.87,0,22.9,0.167,0.16,NA,0.014,NA,0,0
116,7,10,3.974,4.87,0,22.8,0.167,0.16,NA,0,NA,0,0
117,7,11,4.002,4.863,0,18.6,0.196,0.188,NA,0.029,NA,-14.036,-14.036
118,7,12,4.03,4.863,0,17.7,0.224,0.215,NA,0.028,NA,0,14.036
119,7,13,4.071,4.849,0,14.1,0.267,0.257,NA,0.044,NA,-18.435,-18.435
120,7,14,4.113,4.842,0,22.9,0.31,0.299,NA,0.042,NA,-9.462,8.973
121,7,15,4.148,4.842,0,23.7,0.344,0.334,NA,0.035,NA,0,9.462
122,7,16,4.196,4.835,0,25.2,0.393,0.383,NA,0.049,NA,-8.13,-8.13
123,7,17,4.286,4.842,0,21.9,0.484,0.472,NA,0.091,NA,4.399,12.529
124,7,18,4.307,4.842,0,6.9,0.505,0.493,NA,0.021,NA,0,-4.399
125,7,19,4.321,4.842,0,4.8,0.519,0.507,NA,0.014,NA,0,0
126,8,1,5.057,0.738,0,33,0,0,NA,NA,NA,NA,NA
127,8,2,5.071,0.738,0,46.3,0.014,0.014,NA,0.014,NA,0,NA
128,8,3,5.071,0.745,0,23.7,0.021,0.016,NA,0.007,NA,90,90
129,8,4,5.099,0.724,0,43.2,0.056,0.044,NA,0.035,NA,-36.87,-126.87
130,8,5,5.106,0.724,0,40.5,0.063,0.051,NA,0.007,NA,0,36.87
131,8,6,5.113,0.724,0,40.8,0.069,0.057,NA,0.007,NA,0,0
132,8,7,5.141,0.703,0,20.7,0.104,0.09,NA,0.035,NA,-36.87,-36.87
133,8,8,5.155,0.717,0,15.9,0.124,0.099,NA,0.02,NA,45,81.87
134,8,9,5.175,0.731,0,24.9,0.149,0.118,NA,0.025,NA,33.69,-11.31
135,8,10,5.203,0.731,0,23.7,0.177,0.146,NA,0.028,NA,0,-33.69
136,8,11,5.203,0.731,0,30.6,0.177,0.146,NA,0,NA,0,0
137,8,12,5.203,0.731,0,33,0.177,0.146,NA,0,NA,0,0
138,8,13,5.224,0.717,0,23.4,0.202,0.168,NA,0.025,NA,-33.69,-33.69
139,8,14,5.252,0.689,0,14.1,0.241,0.2,NA,0.039,NA,-45,-11.31
140,8,15,5.259,0.689,0,11.7,0.248,0.207,NA,0.007,NA,0,45
141,8,16,5.293,0.648,0,21.9,0.302,0.253,NA,0.054,NA,-50.194,-50.194
142,8,17,5.307,0.627,0,19.2,0.327,0.274,NA,0.025,NA,-56.31,-6.116
143,8,18,5.328,0.592,0,0,0.368,0.308,NA,0.04,NA,-59.036,-2.726
144,9,1,3.752,2.571,0,72.5,0,0,NA,NA,NA,NA,NA
145,9,2,3.759,2.599,0,67.4,0.029,0.029,NA,0.029,NA,75.964,NA
146,9,3,3.78,2.613,0,73.2,0.054,0.05,NA,0.025,NA,33.69,-42.274
147,9,4,3.786,2.62,0,35.2,0.063,0.06,NA,0.01,NA,45,11.31
148,9,5,3.807,2.634,0,43.7,0.089,0.084,NA,0.025,NA,33.69,-11.31
149,9,6,3.835,2.655,0,50,0.123,0.118,NA,0.035,NA,36.87,3.18
150,9,7,3.905,2.682,0,81.3,0.198,0.189,NA,0.075,NA,21.801,-15.068
151,9,8,3.925,2.682,0,80.1,0.219,0.206,NA,0.021,NA,0,-21.801
152,9,9,3.946,2.696,0,83.5,0.244,0.231,NA,0.025,NA,33.69,33.69
153,9,10,3.974,2.696,0,85.1,0.272,0.255,NA,0.028,NA,0,-33.69
154,9,11,3.995,2.696,0,86.3,0.293,0.273,NA,0.021,NA,0,0
155,9,12,4.016,2.682,0,80.9,0.318,0.286,NA,0.025,NA,-33.69,-33.69
156,9,13,4.023,2.661,0,82.5,0.34,0.285,NA,0.022,NA,-71.565,-37.875
157,9,14,3.995,2.655,0,81.9,0.368,0.257,NA,0.029,NA,-165.964,-94.399
158,9,15,3.96,2.634,0,79.5,0.409,0.218,NA,0.04,NA,-149.036,16.928
159,9,16,3.939,2.627,0,80.7,0.431,0.196,NA,0.022,NA,-161.565,-12.529
160,9,17,3.905,2.599,0,83.6,0.475,0.155,NA,0.044,NA,-141.34,20.225
