Nr,TID,PID,x [inch],y [inch],t [sec],I [val],Len [inch],D2S [inch],D2R [inch],D2P [inch],v [inch/sec],? [deg],?? [deg]
1,1,1,0.875,0.875,0,70.1,0,0,NA,NA,NA,NA,NA
2,1,2,0.899,0.866,0,17.6,0.026,0.026,NA,0.026,NA,-18.435,NA
3,1,3,0.908,0.854,0,28.6,0.041,0.039,NA,0.015,NA,-56.31,-37.875
4,1,4,0.92,0.842,0,20.9,0.058,0.056,NA,0.017,NA,-45,11.31
5,1,5,0.936,0.842,0,27.7,0.075,0.07,NA,0.016,NA,0,45
6,1,6,0.945,0.817,0,33.7,0.101,0.091,NA,0.026,NA,-71.565,-71.565
7,1,7,0.953,0.813,0,24.2,0.11,0.1,NA,0.009,NA,-26.565,45
8,1,8,0.965,0.809,0,29.9,0.123,0.112,NA,0.013,NA,-18.435,8.13
9,1,9,0.982,0.801,0,40.3,0.141,0.13,NA,0.018,NA,-26.565,-8.13
10,1,10,0.982,0.801,0,27.7,0.141,0.13,NA,0,NA,0,26.565
11,1,11,0.99,0.797,0,59.6,0.15,0.139,NA,0.009,NA,-26.565,-26.565
12,1,12,0.998,0.784,0,34.6,0.165,0.153,NA,0.015,NA,-56.31,-29.745
13,1,13,0.998,0.772,0,58.8,0.178,0.161,NA,0.012,NA,-90,-33.69
14,1,14,1.002,0.768,0,44.5,0.183,0.166,NA,0.006,NA,-45,45
15,1,15,1.01,0.764,0,55.4,0.193,0.175,NA,0.009,NA,-26.565,18.435
16,1,16,1.023,0.755,0,82.7,0.207,0.19,NA,0.015,NA,-33.69,-7.125
17,1,17,1.035,0.743,0,89.6,0.225,0.207,NA,0.017,NA,-45,-11.31
18,1,18,1.039,0.739,0,157.2,0.231,0.213,NA,0.006,NA,-45,0
19,1,19,1.051,0.735,0,148.9,0.244,0.225,NA,0.013,NA,-18.435,26.565
20,1,20,1.06,0.727,0,46.9,0.255,0.237,NA,0.012,NA,-45,-26.565
21,1,21,1.06,0.727,0,40,0.255,0.237,NA,0,NA,0,45
22,1,22,1.06,0.727,0,46.8,0.255,0.237,NA,0,NA,0,0
23,1,23,1.06,0.727,0,65.6,0.255,0.237,NA,0,NA,0,0
24,1,24,1.076,0.727,0,80.9,0.272,0.25,NA,0.016,NA,0,0
25,1,25,1.076,0.727,0,151.4,0.272,0.25,NA,0,NA,0,0
26,1,26,1.088,0.723,0,27.1,0.285,0.262,NA,0.013,NA,-18.435,-18.435
27,1,27,1.088,0.723,0,39.6,0.285,0.262,NA,0,NA,0,18.435
28,1,28,1.097,0.723,0,14.2,0.293,0.269,NA,0.008,NA,0,0
29,1,29,1.105,0.723,0,12.5,0.301,0.276,NA,0.008,NA,0,0
30,1,30,1.113,0.723,0,7,0.309,0.283,NA,0.008,NA,0,0
31,2,1,3.107,2.976,0,81,0,0,NA,NA,NA,NA,NA
32,2,2,3.165,3.041,0,87.5,0.087,0.087,NA,0.087,NA,48.814,NA
33,2,3,3.337,3.28,0,22.1,0.382,0.382,NA,0.294,NA,54.09,5.276
34,2,4,3.42,3.341,0,75.6,0.485,0.481,NA,0.103,NA,36.87,-17.22
