Nr,TID,PID,x [inch],y [inch],t [sec],I [val],Len [inch],D2S [inch],D2R [inch],D2P [inch],v [inch/sec],? [deg],?? [deg]
1,1,1,1.372,4.747,0,58.1,0,0,NA,NA,NA,NA,NA
2,1,2,1.347,4.768,0,15.8,0.032,0.032,NA,0.032,NA,140.194,NA
3,1,3,1.319,4.751,0,74.4,0.065,0.053,NA,0.033,NA,-150.255,69.55
4,1,4,1.294,4.735,0,53.8,0.094,0.079,NA,0.029,NA,-146.31,3.945
5,1,5,1.278,4.735,0,28.7,0.111,0.095,NA,0.016,NA,180,-33.69
6,1,6,1.262,4.743,0,10.2,0.129,0.11,NA,0.018,NA,153.435,-26.565
7,1,7,1.249,4.747,0,4.1,0.142,0.123,NA,0.013,NA,161.565,8.13
8,1,8,1.241,4.764,0,12.1,0.16,0.132,NA,0.018,NA,116.565,-45
9,1,9,1.237,4.78,0,11.7,0.177,0.139,NA,0.017,NA,104.036,-12.529
10,1,10,1.225,4.792,0,13.6,0.194,0.154,NA,0.017,NA,135,30.964
11,1,11,1.213,4.805,0,6.9,0.212,0.169,NA,0.017,NA,135,0
12,1,12,1.192,4.817,0,4.2,0.236,0.193,NA,0.024,NA,149.036,14.036
13,1,13,1.172,4.829,0,6.2,0.259,0.216,NA,0.024,NA,149.036,0
14,1,14,1.176,4.858,0,61.5,0.288,0.225,NA,0.029,NA,81.87,-67.166
15,1,15,1.127,4.837,0,104.8,0.341,0.261,NA,0.053,NA,-157.38,120.75
16,1,16,1.09,4.841,0,116.4,0.378,0.297,NA,0.037,NA,173.66,-28.96
17,1,17,1.057,4.837,0,50.7,0.411,0.327,NA,0.033,NA,-172.875,13.465
18,1,18,1.053,4.866,0,55,0.44,0.34,NA,0.029,NA,98.13,-88.995
19,1,19,1.025,4.89,0,35.4,0.478,0.376,NA,0.038,NA,139.399,41.269
20,1,20,1,4.907,0,32.9,0.507,0.405,NA,0.029,NA,146.31,6.911
21,1,21,0.947,4.919,0,44.3,0.562,0.458,NA,0.055,NA,167.005,20.695
22,1,22,0.873,4.919,0,73.9,0.635,0.527,NA,0.074,NA,180,12.995
23,1,23,0.828,4.923,0,71.1,0.681,0.571,NA,0.045,NA,174.806,-5.194
24,1,24,0.8,4.935,0,44,0.712,0.602,NA,0.031,NA,156.801,-18.004
25,1,25,0.755,4.927,0,56.8,0.757,0.643,NA,0.046,NA,-169.695,33.503
26,1,26,0.759,4.952,0,43,0.782,0.646,NA,0.025,NA,80.538,-109.767
27,1,27,0.747,4.988,0,46,0.821,0.67,NA,0.039,NA,108.435,27.897
28,1,28,0.718,5.001,0,50.8,0.852,0.701,NA,0.031,NA,156.801,48.366
29,1,29,0.694,4.964,0,53.2,0.896,0.712,NA,0.044,NA,-123.69,79.509
30,1,30,0.661,4.96,0,19.7,0.929,0.742,NA,0.033,NA,-172.875,-49.185
31,2,27,1.943,2.557,0,42.9,0,0,NA,NA,NA,NA,NA
32,2,28,1.917,2.557,0,48.6,0.026,0.026,NA,0.026,NA,180,NA
33,2,29,1.885,2.536,0,33.9,0.064,0.061,NA,0.038,NA,-146.31,33.69
34,2,30,1.854,2.531,0,90.4,0.095,0.092,NA,0.032,NA,-170.538,-24.228
35,2,31,1.833,2.531,0,84.1,0.116,0.112,NA,0.021,NA,180,-9.462
36,2,32,1.812,2.531,0,110.7,0.137,0.133,NA,0.021,NA,180,0
37,2,33,1.802,2.531,0,105.9,0.147,0.143,NA,0.01,NA,180,0
38,2,4,1.771,2.557,0,86.3,0.188,0.172,NA,0.041,NA,140.194,-39.806
39,2,5,1.734,2.526,0,78.7,0.236,0.211,NA,0.048,NA,-139.399,80.407
40,2,6,1.714,2.578,0,100.4,0.292,0.23,NA,0.056,NA,111.801,-108.8
41,2,7,1.698,2.594,0,88,0.314,0.247,NA,0.022,NA,135,23.199
42,2,8,1.682,2.604,0,77.7,0.333,0.265,NA,0.019,NA,146.31,11.31
43,2,9,1.641,2.589,0,18.8,0.378,0.304,NA,0.045,NA,-159.444,54.246
44,2,10,1.609,2.609,0,55,0.415,0.337,NA,0.038,NA,146.31,-54.246
45,2,11,1.573,2.635,0,117,0.46,0.378,NA,0.045,NA,144.462,-1.848
46,2,12,1.526,2.651,0,77.7,0.509,0.427,NA,0.049,NA,161.565,17.103
47,2,13,1.474,2.641,0,69.8,0.562,0.476,NA,0.053,NA,-168.69,29.745
48,2,14,1.438,2.625,0,93,0.602,0.51,NA,0.04,NA,-156.801,11.889
49,2,15,1.396,2.604,0,68.2,0.649,0.549,NA,0.047,NA,-153.435,3.366
50,2,16,1.37,2.594,0,7.1,0.677,0.574,NA,0.028,NA,-158.199,-4.764
51,2,17,1.339,2.573,0,66.2,0.714,0.604,NA,0.038,NA,-146.31,11.889
52,2,18,1.328,2.573,0,88.3,0.725,0.615,NA,0.01,NA,180,-33.69
53,2,19,1.307,2.568,0,35.7,0.746,0.636,NA,0.021,NA,-165.964,14.036
54,2,20,1.292,2.568,0,27.6,0.762,0.651,NA,0.016,NA,180,-14.036
55,2,21,1.318,2.578,0,68.7,0.79,0.625,NA,0.028,NA,21.801,-158.199
56,2,22,1.281,2.578,0,40.5,0.826,0.662,NA,0.036,NA,180,158.199
57,2,23,1.281,2.578,0,31.9,0.826,0.662,NA,0,NA,0,-180
58,2,24,1.266,2.578,0,48.9,0.842,0.677,NA,0.016,NA,180,180
59,2,25,1.25,2.578,0,28,0.858,0.693,NA,0.016,NA,180,0
60,2,26,1.25,2.589,0,25.1,0.868,0.693,NA,0.01,NA,90,-90
61,3,9,2.859,1.771,0,43.1,0,0,NA,NA,NA,NA,NA
62,3,1,2.818,1.786,0,209.7,0.045,0.045,NA,0.045,NA,159.444,NA
63,3,2,2.76,1.818,0,200.5,0.11,0.109,NA,0.065,NA,151.39,-8.054
64,3,3,2.729,1.839,0,208.2,0.147,0.147,NA,0.038,NA,146.31,-5.08
65,3,4,2.708,1.865,0,206.2,0.181,0.178,NA,0.033,NA,128.66,-17.65
66,3,5,2.734,1.906,0,52.9,0.23,0.184,NA,0.049,NA,57.995,-70.665
67,3,6,2.688,1.932,0,114.6,0.283,0.236,NA,0.054,NA,150.945,92.951
68,3,7,2.599,1.953,0,23.2,0.374,0.318,NA,0.091,NA,166.759,15.814
69,3,8,2.547,1.974,0,29.8,0.43,0.373,NA,0.056,NA,158.199,-8.561
70,4,1,3.135,3.776,0,14.2,0,0,NA,NA,NA,NA,NA
71,4,2,3.109,3.802,0,14.5,0.037,0.037,NA,0.037,NA,135,NA
72,4,3,3.078,3.828,0,6.4,0.078,0.077,NA,0.041,NA,140.194,5.194
73,4,4,3.052,3.849,0,8.7,0.111,0.111,NA,0.033,NA,141.34,1.146
74,4,5,3.036,3.859,0,5.7,0.13,0.129,NA,0.019,NA,146.31,4.97
75,4,6,3.026,3.88,0,10.8,0.153,0.151,NA,0.023,NA,116.565,-29.745
76,4,7,3.01,3.901,0,31.1,0.179,0.177,NA,0.026,NA,126.87,10.305
77,4,8,2.979,3.927,0,29,0.22,0.217,NA,0.041,NA,140.194,13.325
78,4,9,2.766,4.234,0,27.6,0.594,0.589,NA,0.374,NA,124.796,-15.398
79,4,10,2.484,4.38,0,43.9,0.911,0.888,NA,0.317,NA,152.592,27.796
80,4,11,2.443,4.422,0,30.7,0.97,0.947,NA,0.059,NA,135,-17.592
81,4,12,2.365,4.5,0,34.6,1.08,1.057,NA,0.11,NA,135,0
82,4,13,2.323,4.536,0,39.2,1.135,1.113,NA,0.055,NA,138.814,3.814
83,4,14,2.302,4.573,0,36.3,1.177,1.153,NA,0.042,NA,119.745,-19.069
84,4,15,2.297,4.688,0,25.2,1.292,1.239,NA,0.115,NA,92.603,-27.142
85,4,16,2.172,4.823,0,42.7,1.476,1.423,NA,0.184,NA,132.709,40.107
86,4,17,2.13,4.859,0,33.2,1.532,1.478,NA,0.055,NA,138.814,6.105
87,4,18,2.083,4.839,0,41.7,1.583,1.495,NA,0.051,NA,-156.038,65.148
88,4,19,2.042,4.839,0,40.4,1.625,1.525,NA,0.042,NA,180,-23.962
89,4,20,2.021,4.786,0,57.8,1.681,1.504,NA,0.056,NA,-111.801,68.199
90,4,21,1.979,4.76,0,52.4,1.73,1.519,NA,0.049,NA,-147.995,-36.193
91,4,22,1.984,4.719,0,36.5,1.772,1.488,NA,0.042,NA,-82.875,65.12
92,4,23,1.948,4.714,0,30.1,1.809,1.513,NA,0.037,NA,-171.87,-88.995
93,5,1,2.271,1.182,0,84.2,0,0,NA,NA,NA,NA,NA
94,5,2,2.24,1.182,0,98.5,0.031,0.031,NA,0.031,NA,180,NA
95,5,3,2.203,1.167,0,67.8,0.071,0.069,NA,0.04,NA,-156.801,23.199
96,5,4,2.099,1.146,0,104.4,0.177,0.176,NA,0.106,NA,-168.69,-11.889
97,5,5,2.083,1.083,0,53.8,0.242,0.212,NA,0.064,NA,-104.036,64.654
98,5,6,2.031,1.062,0,49.3,0.298,0.268,NA,0.056,NA,-158.199,-54.162
99,5,7,1.974,1.026,0,34.6,0.366,0.335,NA,0.068,NA,-147.529,10.67
100,5,8,1.932,0.984,0,62.4,0.424,0.392,NA,0.059,NA,-135,12.529
101,5,9,1.906,0.932,0,29.2,0.483,0.442,NA,0.058,NA,-116.565,18.435
102,5,10,1.812,0.958,0,48.2,0.58,0.51,NA,0.097,NA,164.476,-78.959
103,5,11,1.771,0.964,0,32.3,0.622,0.546,NA,0.042,NA,172.875,8.399
104,5,12,1.724,0.964,0,34,0.669,0.589,NA,0.047,NA,180,7.125
