Nr,TID,PID,x [inch],y [inch],t [sec],I [val],Len [inch],D2S [inch],D2R [inch],D2P [inch],v [inch/sec],? [deg],?? [deg]
1,1,1,1.429,0.222,0,28.8,0,0,NA,NA,NA,NA,NA
2,1,2,1.381,0.21,0,5.5,0.05,0.05,NA,0.05,NA,-165.964,NA
3,1,3,1.295,0.214,0,73.5,0.136,0.134,NA,0.085,NA,177.274,-16.763
4,1,4,1.263,0.214,0,67.2,0.168,0.167,NA,0.033,NA,180,2.726
5,1,5,1.238,0.198,0,74.7,0.198,0.193,NA,0.029,NA,-146.31,33.69
6,1,6,1.21,0.198,0,69.9,0.226,0.221,NA,0.028,NA,180,-33.69
7,1,7,1.182,0.182,0,57.3,0.259,0.251,NA,0.033,NA,-150.255,29.745
8,1,8,1.161,0.174,0,29.7,0.281,0.273,NA,0.022,NA,-158.199,-7.943
9,1,9,1.153,0.17,0,22.2,0.29,0.281,NA,0.009,NA,-153.435,4.764
10,1,10,1.133,0.17,0,13.8,0.31,0.301,NA,0.02,NA,180,-26.565
11,1,11,1.108,0.17,0,21.9,0.334,0.325,NA,0.024,NA,180,0
12,1,12,1.096,0.165,0,9.9,0.347,0.338,NA,0.013,NA,-161.565,18.435
13,1,13,1.08,0.161,0,17.7,0.364,0.355,NA,0.017,NA,-165.964,-4.399
14,1,14,1.043,0.145,0,48.6,0.404,0.394,NA,0.04,NA,-156.038,9.926
15,1,15,1.027,0.141,0,31,0.421,0.41,NA,0.017,NA,-165.964,-9.926
16,1,16,0.999,0.121,0,21.3,0.456,0.443,NA,0.035,NA,-144.462,21.501
17,1,17,0.982,0.129,0,10.8,0.474,0.457,NA,0.018,NA,153.435,-62.103
18,1,18,0.97,0.113,0,7.8,0.494,0.472,NA,0.02,NA,-126.87,79.695
19,1,19,0.97,0.109,0,10.2,0.498,0.473,NA,0.004,NA,-90,36.87
20,1,20,0.921,0.064,0,1.2,0.565,0.532,NA,0.066,NA,-137.49,-47.49
21,1,21,0.881,0.096,0,6,0.617,0.563,NA,0.052,NA,141.34,-81.17
22,1,23,0.828,0.117,0,84,0.673,0.611,NA,0.057,NA,158.962,17.622
23,2,1,4.262,4.531,0,45,0,0,NA,NA,NA,NA,NA
24,2,2,4.23,4.547,0,107.5,0.036,0.036,NA,0.036,NA,153.435,NA
25,2,3,4.209,4.559,0,76.5,0.06,0.06,NA,0.024,NA,149.036,-4.399
26,2,4,4.185,4.567,0,67.2,0.086,0.085,NA,0.026,NA,161.565,12.529
27,2,5,4.108,4.587,0,37.5,0.166,0.165,NA,0.08,NA,165.256,3.691
28,2,6,4.079,4.624,0,24.9,0.212,0.205,NA,0.046,NA,127.875,-37.381
29,2,7,4.051,4.636,0,45.9,0.243,0.236,NA,0.031,NA,156.801,28.926
30,2,8,4.006,4.644,0,4.2,0.288,0.28,NA,0.045,NA,169.695,12.894
31,2,9,3.998,4.697,0,18,0.342,0.312,NA,0.053,NA,98.746,-70.949
32,2,10,3.97,4.705,0,14.8,0.371,0.341,NA,0.03,NA,164.055,65.308
33,2,11,3.957,4.717,0,0,0.389,0.358,NA,0.017,NA,135,-29.055
34,2,12,3.962,4.742,0,18.6,0.413,0.368,NA,0.025,NA,80.538,-54.462
35,2,13,3.953,4.774,0,13.9,0.447,0.394,NA,0.034,NA,104.036,23.499
36,2,14,3.917,4.787,0,45,0.485,0.43,NA,0.039,NA,161.565,57.529
37,2,15,3.901,4.787,0,66.6,0.502,0.443,NA,0.016,NA,180,18.435
38,2,16,3.892,4.787,0,24.1,0.51,0.45,NA,0.008,NA,180,0
39,2,17,3.88,4.791,0,22.5,0.523,0.462,NA,0.013,NA,161.565,-18.435
40,2,18,3.884,4.807,0,30.3,0.539,0.468,NA,0.017,NA,75.964,-85.601
41,2,19,3.888,4.815,0,8.7,0.549,0.47,NA,0.009,NA,63.435,-12.529
42,2,20,3.876,4.819,0,22.5,0.561,0.482,NA,0.013,NA,161.565,98.13
43,2,21,3.852,4.843,0,5.4,0.596,0.516,NA,0.034,NA,135,-26.565
44,2,22,3.84,4.835,0,10.5,0.61,0.521,NA,0.015,NA,-146.31,78.69
45,2,23,3.836,4.823,0,11.2,0.623,0.517,NA,0.013,NA,-108.435,37.875
46,2,24,3.815,4.811,0,10.8,0.647,0.528,NA,0.024,NA,-149.036,-40.601
47,3,1,3.214,0.694,0,186.7,0,0,NA,NA,NA,NA,NA
48,3,2,3.193,0.686,0,124.3,0.022,0.022,NA,0.022,NA,-158.199,NA
49,3,3,3.173,0.686,0,162,0.042,0.041,NA,0.02,NA,180,-21.801
50,3,4,3.157,0.674,0,141.9,0.063,0.06,NA,0.02,NA,-143.13,36.87
51,3,5,3.145,0.669,0,147.7,0.075,0.073,NA,0.013,NA,-161.565,-18.435
52,3,6,3.128,0.661,0,178.5,0.094,0.091,NA,0.018,NA,-153.435,8.13
53,3,7,3.116,0.653,0,178.5,0.108,0.106,NA,0.015,NA,-146.31,7.125
54,3,8,3.108,0.653,0,151.4,0.116,0.113,NA,0.008,NA,180,-33.69
55,3,9,3.1,0.653,0,150.6,0.124,0.121,NA,0.008,NA,180,0
56,3,10,3.084,0.653,0,165.9,0.141,0.136,NA,0.016,NA,180,0
57,3,11,3.071,0.653,0,150.9,0.153,0.148,NA,0.012,NA,180,0
58,3,12,3.059,0.657,0,132.9,0.166,0.159,NA,0.013,NA,161.565,-18.435
59,3,13,3.043,0.674,0,99.2,0.189,0.172,NA,0.023,NA,135,-26.565
60,3,14,3.043,0.665,0,84.2,0.197,0.173,NA,0.008,NA,-90,135
61,3,15,3.039,0.657,0,151.1,0.206,0.179,NA,0.009,NA,-116.565,-26.565
62,3,16,3.027,0.653,0,133.8,0.219,0.191,NA,0.013,NA,-161.565,-45
63,3,17,3.019,0.653,0,76.5,0.227,0.199,NA,0.008,NA,180,-18.435
64,3,18,3.01,0.653,0,105.6,0.235,0.207,NA,0.008,NA,180,0
65,3,19,3.01,0.653,0,47.4,0.235,0.207,NA,0,NA,0,-180
66,3,20,3.002,0.645,0,55.5,0.247,0.217,NA,0.011,NA,-135,-135
67,3,21,2.99,0.649,0,56,0.259,0.228,NA,0.013,NA,161.565,-63.435
68,3,22,2.982,0.653,0,53.7,0.269,0.235,NA,0.009,NA,153.435,-8.13
69,3,23,2.929,0.653,0,32.7,0.321,0.287,NA,0.053,NA,180,26.565
70,3,24,2.864,0.669,0,65.7,0.388,0.35,NA,0.067,NA,165.964,-14.036
71,3,25,2.811,0.686,0,55.5,0.444,0.402,NA,0.055,NA,162.897,-3.066
72,3,26,2.791,0.706,0,93.3,0.472,0.423,NA,0.029,NA,135,-27.897
73,3,27,2.75,0.706,0,150,0.513,0.463,NA,0.041,NA,180,45
74,3,28,2.718,0.698,0,60,0.547,0.496,NA,0.034,NA,-165.964,14.036
75,4,1,4.238,3.441,0,15.3,0,0,NA,NA,NA,NA,NA
76,4,2,4.209,3.462,0,15,0.035,0.035,NA,0.035,NA,144.462,NA
