Nr,TID,PID,x [inch],y [inch],t [sec],I [val],Len [inch],D2S [inch],D2R [inch],D2P [inch],v [inch/sec],? [deg],?? [deg]
1,1,1,2.03,4.703,0,19.3,0,0,NA,NA,NA,NA,NA
2,1,2,2.002,4.675,0,17.4,0.039,0.039,NA,0.039,NA,-135,NA
3,1,3,1.898,4.557,0,20.4,0.197,0.197,NA,0.157,NA,-131.424,3.576
4,1,4,1.863,4.439,0,22.5,0.32,0.312,NA,0.123,NA,-106.39,25.034
5,1,5,1.689,4.245,0,30.8,0.58,0.571,NA,0.261,NA,-131.76,-25.371
6,1,6,1.675,4.099,0,28.5,0.727,0.7,NA,0.146,NA,-95.44,36.32
7,1,7,1.606,4.05,0,29.4,0.812,0.778,NA,0.085,NA,-145.008,-49.568
8,1,8,1.599,4.009,0,29.8,0.854,0.817,NA,0.042,NA,-99.462,45.546
9,1,9,1.592,3.918,0,17.1,0.944,0.898,NA,0.091,NA,-94.399,5.064
10,1,10,1.557,3.814,0,30,1.054,1.007,NA,0.11,NA,-108.435,-14.036
11,1,11,1.536,3.766,0,35.4,1.107,1.059,NA,0.053,NA,-113.199,-4.764
12,1,12,1.411,3.675,0,26.7,1.261,1.199,NA,0.154,NA,-144.162,-30.964
13,1,13,1.196,3.634,0,26.7,1.481,1.356,NA,0.219,NA,-169.046,-24.884
14,1,14,1.148,3.62,0,37.4,1.531,1.397,NA,0.051,NA,-164.055,4.991
15,1,15,1.016,3.62,0,12.5,1.663,1.484,NA,0.132,NA,180,-15.945
16,2,1,4.62,4.043,0,43.2,0,0,NA,NA,NA,NA,NA
17,2,2,4.613,4.113,0,33.3,0.07,0.07,NA,0.07,NA,95.711,NA
18,2,3,4.606,4.155,0,39,0.112,0.112,NA,0.042,NA,99.462,3.752
19,2,4,4.557,4.155,0,38.7,0.161,0.127,NA,0.049,NA,180,80.538
20,2,5,4.536,4.155,0,36.2,0.181,0.139,NA,0.021,NA,180,0
21,2,6,4.516,4.155,0,30.6,0.202,0.152,NA,0.021,NA,180,0
22,2,7,4.488,4.175,0,21.7,0.237,0.187,NA,0.035,NA,143.13,-36.87
23,2,8,4.446,4.182,0,27.2,0.279,0.222,NA,0.042,NA,170.538,27.408
24,2,9,4.425,4.148,0,29.4,0.32,0.221,NA,0.04,NA,-120.964,68.499
25,2,10,4.391,4.12,0,27,0.364,0.242,NA,0.044,NA,-141.34,-20.376
26,2,11,4.342,4.078,0,35.6,0.428,0.28,NA,0.064,NA,-139.399,1.941
27,2,12,4.321,4.05,0,20.4,0.463,0.299,NA,0.035,NA,-126.87,12.529
28,2,13,4.314,4.009,0,32.2,0.505,0.308,NA,0.042,NA,-99.462,27.408
29,2,14,4.3,4.002,0,15.6,0.521,0.322,NA,0.016,NA,-153.435,-53.973
30,2,15,4.252,3.974,0,30.6,0.577,0.375,NA,0.056,NA,-150.255,3.18
31,2,16,4.196,3.953,0,27.6,0.636,0.433,NA,0.059,NA,-159.444,-9.189
32,2,17,4.141,3.995,0,35.7,0.706,0.482,NA,0.069,NA,143.13,-57.426
33,2,18,4.141,4.057,0,31.8,0.768,0.479,NA,0.062,NA,90,-53.13
34,3,1,3.634,5.314,0,31.2,0,0,NA,NA,NA,NA,NA
35,3,2,3.634,5.238,0,24.9,0.076,0.076,NA,0.076,NA,-90,NA
36,3,3,3.641,5.189,0,24.4,0.125,0.125,NA,0.049,NA,-81.87,8.13
37,3,4,3.634,5.155,0,28.8,0.161,0.16,NA,0.035,NA,-101.31,-19.44
38,3,5,3.641,5.106,0,29.3,0.21,0.208,NA,0.049,NA,-81.87,19.44
39,4,1,2.036,0.793,0,24.9,0,0,NA,NA,NA,NA,NA
40,4,2,1.967,0.793,0,30.6,0.069,0.069,NA,0.069,NA,180,NA
41,4,3,1.911,0.786,0,32.1,0.125,0.125,NA,0.056,NA,-172.875,7.125
42,4,4,1.87,0.793,0,24.9,0.168,0.167,NA,0.042,NA,170.538,-16.587
43,4,5,1.828,0.793,0,35.7,0.209,0.208,NA,0.042,NA,180,9.462
44,4,6,1.786,0.8,0,41.1,0.252,0.25,NA,0.042,NA,170.538,-9.462
45,4,7,1.724,0.8,0,42.3,0.314,0.313,NA,0.062,NA,180,9.462
46,4,8,1.661,0.8,0,40.1,0.377,0.375,NA,0.062,NA,180,0
47,4,9,1.627,0.793,0,26.1,0.412,0.41,NA,0.035,NA,-168.69,11.31
48,4,10,1.599,0.793,0,30,0.44,0.438,NA,0.028,NA,180,-11.31
49,4,11,1.55,0.773,0,40.2,0.493,0.487,NA,0.053,NA,-156.801,23.199
50,4,12,1.523,0.773,0,21,0.52,0.514,NA,0.028,NA,180,-23.199
51,4,13,1.481,0.8,0,33,0.571,0.556,NA,0.05,NA,146.31,-33.69
52,4,14,1.467,0.821,0,46.2,0.596,0.57,NA,0.025,NA,123.69,-22.62
53,4,15,1.432,0.821,0,24.6,0.63,0.605,NA,0.035,NA,180,56.31
54,4,16,1.405,0.8,0,31.3,0.665,0.632,NA,0.035,NA,-143.13,36.87
55,4,17,1.425,0.703,0,28.5,0.764,0.618,NA,0.099,NA,-77.905,65.225
56,4,18,1.405,0.648,0,24.7,0.824,0.649,NA,0.059,NA,-110.556,-32.651
57,5,1,1.543,0.363,0,44.4,0,0,NA,NA,NA,NA,NA
58,5,2,1.398,0.273,0,30.3,0.172,0.172,NA,0.172,NA,-148.241,NA
59,5,3,1.328,0.273,0,35.7,0.241,0.233,NA,0.069,NA,180,-31.759
60,5,4,1.293,0.273,0,58.8,0.276,0.266,NA,0.035,NA,180,0
61,5,5,1.266,0.273,0,57,0.303,0.292,NA,0.028,NA,180,0
62,5,6,1.245,0.266,0,57,0.325,0.314,NA,0.022,NA,-161.565,18.435
63,5,7,1.21,0.286,0,46.2,0.366,0.342,NA,0.04,NA,149.036,-49.399
64,5,8,1.196,0.3,0,50.7,0.386,0.353,NA,0.02,NA,135,-14.036
65,6,1,3.668,1.613,0,16.6,0,0,NA,NA,NA,NA,NA
66,6,2,3.648,1.634,0,36.3,0.029,0.029,NA,0.029,NA,135,NA
67,6,3,3.613,1.641,0,58.2,0.065,0.062,NA,0.035,NA,168.69,33.69
68,6,4,3.606,1.655,0,49.9,0.08,0.075,NA,0.016,NA,116.565,-52.125
69,6,5,3.578,1.682,0,56.4,0.12,0.114,NA,0.039,NA,135,18.435
70,6,6,3.509,1.717,0,33.6,0.197,0.191,NA,0.078,NA,153.435,18.435
71,6,7,3.474,1.738,0,68.9,0.238,0.231,NA,0.04,NA,149.036,-4.399
72,6,8,3.425,1.842,0,48.8,0.353,0.334,NA,0.115,NA,115.017,-34.019
73,6,9,3.425,1.877,0,65.1,0.387,0.359,NA,0.035,NA,90,-25.017
74,6,10,3.418,1.905,0,63.6,0.416,0.384,NA,0.029,NA,104.036,14.036
75,6,11,3.391,1.911,0,55.1,0.445,0.408,NA,0.029,NA,165.964,61.928
76,6,12,3.37,1.932,0,57.9,0.474,0.437,NA,0.029,NA,135,-30.964
77,6,13,3.349,1.96,0,63.9,0.509,0.472,NA,0.035,NA,126.87,-8.13
78,6,14,3.307,2.043,0,70.5,0.602,0.562,NA,0.093,NA,116.565,-10.305
79,6,15,3.3,2.085,0,44.5,0.644,0.599,NA,0.042,NA,99.462,-17.103
80,6,16,3.293,2.113,0,27,0.673,0.625,NA,0.029,NA,104.036,4.574
81,7,1,3.349,0.905,0,84.6,0,0,NA,NA,NA,NA,NA
82,7,2,3.342,0.932,0,78.9,0.029,0.029,NA,0.029,NA,104.036,NA
83,7,3,3.307,0.96,0,61.8,0.073,0.069,NA,0.044,NA,141.34,37.304
84,7,4,3.293,0.96,0,57.9,0.087,0.079,NA,0.014,NA,180,38.66
85,7,5,3.293,0.974,0,60.2,0.101,0.089,NA,0.014,NA,90,-90
86,7,6,3.286,0.974,0,63.4,0.108,0.093,NA,0.007,NA,180,90
87,7,7,3.28,1.002,0,81.8,0.136,0.119,NA,0.029,NA,104.036,-75.964
88,7,8,3.266,0.995,0,84.4,0.152,0.123,NA,0.016,NA,-153.435,102.529
89,7,9,3.259,0.988,0,80.7,0.162,0.123,NA,0.01,NA,-135,18.435
90,7,10,3.231,0.974,0,80.7,0.193,0.137,NA,0.031,NA,-153.435,-18.435
91,7,11,3.231,0.981,0,80.1,0.2,0.141,NA,0.007,NA,90,-116.565
92,7,12,3.231,0.981,0,80.7,0.2,0.141,NA,0,NA,0,-90
93,7,13,3.217,0.995,0,79.5,0.219,0.16,NA,0.02,NA,135,135
94,7,14,3.203,0.988,0,82,0.235,0.168,NA,0.016,NA,-153.435,71.565
95,7,15,3.155,0.974,0,55.8,0.286,0.206,NA,0.051,NA,-164.055,-10.62
96,7,16,3.141,0.988,0,67.8,0.305,0.224,NA,0.02,NA,135,-60.945
97,7,17,3.113,0.988,0,80.1,0.333,0.25,NA,0.028,NA,180,45
98,7,18,3.085,1.009,0,78.6,0.368,0.284,NA,0.035,NA,143.13,-36.87
99,8,1,4.418,3.057,0,25.5,0,0,NA,NA,NA,NA,NA
100,8,2,4.391,2.967,0,29.1,0.094,0.094,NA,0.094,NA,-107.103,NA
101,8,3,4.363,2.884,0,30.9,0.182,0.182,NA,0.088,NA,-108.435,-1.332
102,8,4,4.377,2.835,0,32.4,0.233,0.226,NA,0.051,NA,-74.055,34.38
103,8,5,4.377,2.786,0,24.3,0.281,0.274,NA,0.049,NA,-90,-15.945
104,8,6,4.363,2.703,0,29.7,0.366,0.358,NA,0.084,NA,-99.462,-9.462
105,8,7,4.363,2.675,0,32.4,0.394,0.386,NA,0.028,NA,-90,9.462
106,8,8,4.363,2.641,0,27.3,0.428,0.42,NA,0.035,NA,-90,0
107,8,9,4.363,2.613,0,25.8,0.456,0.448,NA,0.028,NA,-90,0
108,8,10,4.363,2.585,0,25.3,0.484,0.475,NA,0.028,NA,-90,0
109,8,11,4.356,2.571,0,18,0.5,0.49,NA,0.016,NA,-116.565,-26.565
110,8,12,4.349,2.557,0,11.7,0.515,0.505,NA,0.016,NA,-116.565,0
111,8,13,4.321,2.543,0,18.8,0.546,0.523,NA,0.031,NA,-153.435,-36.87
112,8,14,4.307,2.536,0,26.4,0.562,0.533,NA,0.016,NA,-153.435,0
113,8,15,4.28,2.53,0,13.1,0.59,0.546,NA,0.029,NA,-165.964,-12.529
114,8,16,4.252,2.53,0,18,0.618,0.553,NA,0.028,NA,180,-14.036
115,9,1,3.863,5.002,0,9.9,0,0,NA,NA,NA,NA,NA
116,9,2,3.807,4.981,0,4.5,0.059,0.059,NA,0.059,NA,-159.444,NA
117,9,3,3.745,4.953,0,13.1,0.128,0.128,NA,0.068,NA,-156.038,3.406
118,9,4,3.717,4.898,0,21.9,0.19,0.179,NA,0.062,NA,-116.565,39.472
119,9,5,3.696,4.821,0,14.6,0.269,0.246,NA,0.079,NA,-105.255,11.31
120,9,6,3.675,4.752,0,10.5,0.342,0.312,NA,0.073,NA,-106.699,-1.444
