Nr,TID,PID,x [inch],y [inch],t [sec],I [val],Len [inch],D2S [inch],D2R [inch],D2P [inch],v [inch/sec],? [deg],?? [deg]
1,1,1,1.584,1.172,0,38.8,0,0,NA,NA,NA,NA,NA
2,1,2,1.63,1.14,0,29.9,0.056,0.056,NA,0.056,NA,-36.027,NA
3,1,3,1.671,1.127,0,16.3,0.099,0.098,NA,0.043,NA,-16.699,19.328
4,1,4,1.753,1.074,0,16.8,0.197,0.196,NA,0.098,NA,-33.024,-16.325
5,1,5,1.815,0.995,0,20.7,0.297,0.291,NA,0.1,NA,-51.71,-18.686
6,1,6,1.877,0.979,0,25.5,0.361,0.351,NA,0.064,NA,-14.931,36.778
7,1,7,1.922,0.938,0,18.6,0.422,0.411,NA,0.061,NA,-42.274,-27.342
8,1,8,1.942,0.888,0,15.4,0.476,0.457,NA,0.054,NA,-67.38,-25.106
9,1,9,1.934,0.843,0,30,0.522,0.481,NA,0.046,NA,-100.305,-32.925
10,1,10,1.942,0.806,0,19.8,0.56,0.512,NA,0.038,NA,-77.471,22.834
11,1,11,1.967,0.769,0,25.3,0.604,0.556,NA,0.045,NA,-56.31,21.161
12,1,12,1.996,0.728,0,23.8,0.654,0.606,NA,0.05,NA,-55.008,1.302
13,1,13,2.029,0.703,0,18.9,0.696,0.647,NA,0.041,NA,-36.87,18.138
14,1,14,2.045,0.65,0,16.6,0.752,0.697,NA,0.056,NA,-72.897,-36.027
15,1,15,2.058,0.608,0,25.8,0.795,0.737,NA,0.043,NA,-73.301,-0.403
16,1,16,2.074,0.575,0,26.7,0.831,0.772,NA,0.037,NA,-63.435,9.866
17,1,17,2.095,0.547,0,11.6,0.867,0.808,NA,0.035,NA,-54.462,8.973
18,1,18,2.115,0.547,0,10.5,0.887,0.821,NA,0.021,NA,0,54.462
19,1,19,2.157,0.526,0,13.5,0.933,0.863,NA,0.046,NA,-26.565,-26.565
20,1,20,2.181,0.522,0,19.8,0.958,0.883,NA,0.025,NA,-9.462,17.103
21,1,21,2.181,0.485,0,13.5,0.996,0.911,NA,0.037,NA,-90,-80.538
22,1,22,2.198,0.46,0,21.5,1.025,0.94,NA,0.03,NA,-56.31,33.69
23,1,23,2.222,0.431,0,15.3,1.063,0.978,NA,0.038,NA,-49.399,6.911
24,1,24,2.231,0.501,0,11.4,1.134,0.932,NA,0.07,NA,83.29,132.689
25,2,1,2.342,0.967,0,42.5,0,0,NA,NA,NA,NA,NA
26,2,2,2.33,0.995,0,46.5,0.031,0.031,NA,0.031,NA,113.199,NA
27,2,3,2.321,1.02,0,45.8,0.057,0.057,NA,0.026,NA,108.435,-4.764
28,2,4,2.309,1.028,0,50.3,0.072,0.07,NA,0.015,NA,146.31,37.875
29,2,5,2.292,1.049,0,48.9,0.099,0.096,NA,0.026,NA,128.66,-17.65
30,2,6,2.272,1.07,0,34.5,0.128,0.124,NA,0.029,NA,135,6.34
31,2,7,2.255,1.07,0,47.2,0.144,0.134,NA,0.016,NA,180,45
32,2,8,2.231,1.074,0,43.6,0.169,0.154,NA,0.025,NA,170.538,-9.462
33,2,9,2.202,1.078,0,24.9,0.198,0.179,NA,0.029,NA,171.87,1.332
34,2,10,2.198,1.102,0,42.6,0.223,0.198,NA,0.025,NA,99.462,-72.408
35,2,11,2.19,1.123,0,36.9,0.246,0.218,NA,0.022,NA,111.801,12.339
36,2,12,2.181,1.144,0,32.2,0.268,0.239,NA,0.022,NA,111.801,0
37,2,13,2.161,1.16,0,30.3,0.294,0.265,NA,0.026,NA,141.34,29.539
38,2,14,2.136,1.168,0,35.7,0.32,0.288,NA,0.026,NA,161.565,20.225
39,2,15,2.124,1.189,0,32.8,0.344,0.312,NA,0.024,NA,120.964,-40.601
40,2,16,2.107,1.185,0,36,0.361,0.32,NA,0.017,NA,-165.964,73.072
41,2,17,2.074,1.177,0,33.7,0.395,0.34,NA,0.034,NA,-165.964,0
42,2,18,2.054,1.177,0,32.5,0.416,0.357,NA,0.021,NA,180,-14.036
43,2,19,2.041,1.177,0,21.2,0.428,0.367,NA,0.012,NA,180,0
44,2,20,2.029,1.193,0,31.8,0.449,0.386,NA,0.021,NA,126.87,-53.13
45,2,21,2.054,1.21,0,25.9,0.478,0.377,NA,0.03,NA,33.69,-93.18
46,2,22,2.008,1.21,0,24.6,0.524,0.413,NA,0.045,NA,180,146.31
47,2,23,1.996,1.185,0,19.5,0.551,0.409,NA,0.028,NA,-116.565,63.435
48,2,24,2.008,1.164,0,10.8,0.575,0.388,NA,0.024,NA,-59.036,57.529
49,2,25,2.033,1.14,0,13.5,0.61,0.354,NA,0.035,NA,-45,14.036
50,3,1,1.168,0.192,0,13.2,0,0,NA,NA,NA,NA,NA
51,3,2,1.127,0.205,0,24.2,0.043,0.043,NA,0.043,NA,163.301,NA
52,3,3,1.119,0.234,0,19.2,0.073,0.064,NA,0.03,NA,105.945,-57.355
53,3,4,1.107,0.267,0,13.7,0.108,0.096,NA,0.035,NA,110.556,4.611
54,3,5,1.074,0.283,0,16.2,0.145,0.131,NA,0.037,NA,153.435,42.879
55,3,6,1.045,0.32,0,12.6,0.192,0.178,NA,0.047,NA,127.875,-25.56
56,3,7,1.016,0.341,0,14.7,0.227,0.213,NA,0.035,NA,144.462,16.587
57,3,8,0.962,0.382,0,6.2,0.295,0.28,NA,0.068,NA,142.431,-2.031
58,3,9,0.938,0.419,0,13.8,0.339,0.323,NA,0.045,NA,123.69,-18.741
59,3,10,0.909,0.46,0,19.2,0.39,0.373,NA,0.05,NA,124.992,1.302
60,3,11,0.831,0.46,0,9.9,0.468,0.431,NA,0.078,NA,180,55.008
61,3,12,0.868,0.398,0,5.7,0.54,0.364,NA,0.072,NA,-59.036,120.964
62,3,13,0.888,0.345,0,32,0.597,0.319,NA,0.057,NA,-68.962,-9.926
63,3,14,0.909,0.312,0,39.7,0.636,0.286,NA,0.039,NA,-57.995,10.968
64,3,15,0.917,0.287,0,2.1,0.662,0.268,NA,0.026,NA,-71.565,-13.57
65,3,16,0.888,0.308,0,49.1,0.698,0.303,NA,0.035,NA,144.462,-143.973
66,3,17,0.938,0.271,0,21.6,0.759,0.243,NA,0.062,NA,-36.87,178.668
67,4,1,2.852,1.074,0,15,0,0,NA,NA,NA,NA,NA
68,4,2,2.807,1.115,0,11.7,0.061,0.061,NA,0.061,NA,137.726,NA
69,4,3,2.799,1.131,0,33.8,0.08,0.079,NA,0.018,NA,116.565,-21.161
70,4,4,2.774,1.14,0,19.5,0.106,0.102,NA,0.026,NA,161.565,45
71,4,5,2.75,1.131,0,12,0.132,0.118,NA,0.026,NA,-161.565,36.87
72,4,6,2.754,1.152,0,20.7,0.153,0.126,NA,0.021,NA,78.69,-119.745
73,4,7,2.733,1.156,0,56.3,0.174,0.145,NA,0.021,NA,168.69,90
74,4,8,2.721,1.181,0,53.1,0.201,0.17,NA,0.028,NA,116.565,-52.125
75,4,9,2.717,1.21,0,50.1,0.23,0.192,NA,0.029,NA,98.13,-18.435
76,4,10,2.733,1.218,0,44.4,0.249,0.187,NA,0.018,NA,26.565,-71.565
77,4,11,2.7,1.21,0,56.6,0.283,0.204,NA,0.034,NA,-165.964,167.471
78,4,12,2.811,1.086,0,36.5,0.449,0.043,NA,0.166,NA,-48.013,117.951
