Volume,Centroid_Z,Centroid_Y,Centroid_X,Major_Axis_Length,Minor_Axis_Length,Elongation,LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
2302.0,26.874022589053,348.2936576889661,465.11815812337096,35.1693313297414,8.493694021649622,4.140640249118711,ID4900,4900,0.0,2302.0,465.11815812337096,348.2936576889661,26.874022589053,0.0,0,8.191037294746117,1,,2.112803622890078,4.0,0.0,4.0,5132.0,1.9972274653436128,0.7751125966219193,0.9238479251737616
1765.0,28.10481586402266,506.8011331444759,453.94390934844193,20.835623645668885,9.6628764168522,2.15625479896765,ID4901,4901,1.0,1765.0,453.94390934844193,506.8011331444759,28.10481586402266,0.0,0,7.496962988660457,1,,3.601478112563957,5.0,0.0,5.0,6335.0,2.244907795602057,0.8565399598178954,1.4803199591439895
1249.0,27.9111289031225,318.9927942353883,454.26180944755805,20.004111293336038,8.944583247202342,2.2364497864775155,ID4902,4902,2.0,1249.0,454.2618094475581,318.9927942353883,27.9111289031225,0.0,0,6.68074060629016,1,,3.540648095508812,6.0,0.0,6.0,6228.0,2.9517203156895686,0.8735194773618742,1.1185410738145094
2393.0,28.905557877141664,475.0727120768909,469.7417467613874,31.363178366779792,8.976985672106535,3.4937315834458857,ID4903,4903,3.0,2393.0,469.7417467613874,475.0727120768909,28.905557877141664,0.0,0,8.297578372390673,1,,4.1469740634005765,7.0,0.0,7.0,10073.0,3.440392051919061,0.4995608445174893,0.8031148907594639
439.0,26.006833712984054,370.39863325740316,478.5968109339408,26.962393026676857,3.494163867488305,7.716407715605541,ID4904,4904,4.0,439.0,478.5968109339408,370.3986332574032,26.00683371298405,0.0,0,4.714749650390264,1,,2.489626556016597,0.0,0.0,8.0,1800.0,3.706450205930804,0.6454651696804281,0.5269751688587915
1177.0,29.546304163126592,224.37892948173322,375.34919286321156,21.870096187712228,8.251047114926761,2.6505843298540364,ID4906,4906,5.0,1177.0,375.3491928632116,224.3789294817332,29.546304163126592,0.0,0,6.549818785878596,1,,5.235929505400796,10.0,0.0,10.0,9210.0,4.995850909634615,0.8399143929865932,0.9568673233415552
1581.0,31.098671726755217,528.1024667931689,431.2549019607843,27.49559287826655,9.394786336311359,2.926686344317868,ID4907,4907,6.0,1581.0,431.2549019607843,528.1024667931689,31.098671726755217,0.0,0,7.226828582424836,1,,7.84138715179079,13.0,0.0,13.0,13793.0,6.361893585824357,0.8451840065784272,1.129140748696682
1017.0,30.65880039331367,218.07079646017698,347.5614552605703,17.78537160855054,8.67595411376115,2.049961465372519,ID4908,4908,7.0,1017.0,347.5614552605703,218.07079646017695,30.65880039331367,0.0,0,6.238460762330193,1,,10.217270194986073,14.0,0.0,14.0,11004.0,6.219734061657784,0.9033257035142048,1.5592807364115728
238.0,27.516806722689076,294.0924369747899,450.0966386554622,16.663568261744206,2.2020920933887176,7.5671532138791076,ID4909,4909,8.0,238.0,450.0966386554622,294.0924369747899,27.51680672268908,0.0,0,3.844407795771051,1,,5.366568914956011,0.0,0.0,15.0,1830.0,7.200730944439421,0.6807681603117172,0.6037283161866527
1944.0,30.60648148148148,316.57510288065845,379.4897119341564,26.30093517699513,8.91656814170866,2.9496701824066522,ID4910,4910,9.0,1944.0,379.4897119341564,316.57510288065845,30.60648148148148,0.0,0,7.742286124452896,1,,9.169205434335115,16.0,0.0,16.0,22272.0,7.915728315435852,0.8313194195211909,1.051658276006166
478.0,28.52092050209205,326.23221757322176,434.2489539748954,19.257351790617676,4.509112514098295,4.2707632001657085,ID4911,4911,10.0,478.0,434.2489539748954,326.23221757322176,28.52092050209205,0.0,0,4.850424651192556,1,,7.73582295988935,0.0,0.0,17.0,5593.0,8.471439894463687,0.7984479220033416,0.8108266461186059
270.0,28.44074074074074,490.27037037037036,446.25925925925924,20.701735813700257,2.1386518118182094,9.67980654882776,ID4913,4913,11.0,270.0,446.2592592592592,490.2703703703704,28.44074074074074,0.0,0,4.009513852715927,1,,7.390029325513196,0.0,0.0,21.0,2520.0,10.043599966807491,0.6538071065989848,0.5817702834498347
1416.0,34.24505649717514,309.7401129943503,328.4689265536723,22.816823807166763,9.702754992500648,2.3515819810767256,ID4914,4914,12.0,1416.0,328.4689265536723,309.7401129943503,34.24505649717514,0.0,0,6.966129569086082,1,,13.675383740761797,22.0,0.0,22.0,24055.0,10.643826267308016,0.6251730460303404,0.9884902154533866
1825.0,32.31123287671233,347.02520547945204,367.66739726027396,33.96180843257851,8.39905310396159,4.043528242077635,ID4915,4915,13.0,1825.0,367.667397260274,347.02520547945204,32.31123287671233,0.0,0,7.580969566118672,1,,10.718814326883493,0.0,0.0,23.0,26036.0,11.475799157516317,0.7744161371490336,0.8152911358706025
252.0,29.535714285714285,468.13492063492066,422.4761904761905,19.431468923098393,2.204450457493349,8.81465439926178,ID4916,4916,14.0,252.0,422.4761904761905,468.1349206349207,29.535714285714285,0.0,0,3.9183567771032712,1,,8.375366568914956,0.0,0.0,24.0,2856.0,11.45630485021739,0.6501805607231184,0.5760919041121543
1078.0,34.09925788497217,328.0844155844156,336.80797773654916,23.740045446459103,7.712338381536674,3.0781903324279356,ID4917,4917,15.0,1078.0,336.8079777365492,328.0844155844156,34.09925788497217,0.0,0,6.360775248802168,1,,17.598885793871865,27.0,0.0,27.0,18954.0,12.868678968163008,0.8620176721031027,1.2662328396499145
