empty,,,,
Time,,,,
 ==================== ,,,,
Time,Unit,Category,Time,ID
0,,Surface,1,1663
0,,Surface,1,1664
0,,Surface,1,1665
0,,Surface,1,1666
0,,Surface,1,1667
0,,Surface,1,1668
0,,Surface,1,1669
0,,Surface,1,1670
0,,Surface,1,1671
0,,Surface,1,1672
0,,Surface,1,1673
0,,Surface,1,1674
0,,Surface,1,1675
0,,Surface,1,1676
0,,Surface,1,1677
0,,Surface,1,1678
0,,Surface,1,1679
0,,Surface,1,1680
0,,Surface,1,1681
0,,Surface,1,1682
0,,Surface,1,1683
0,,Surface,1,1684
0,,Surface,1,1685
0,,Surface,1,1686
0,,Surface,1,1687
0,,Surface,1,1688
0,,Surface,1,1689
0,,Surface,1,1690
0,,Surface,1,1691
0,,Surface,1,1692
0,,Surface,1,1693
0,,Surface,1,1694
0,,Surface,1,1695
0,,Surface,1,1696
0,,Surface,1,1697
0.432658333,,Surface,2,1698
0.432658333,,Surface,2,1699
0.432658333,,Surface,2,1700
0.432658333,,Surface,2,1701
0.432658333,,Surface,2,1702
0.432658333,,Surface,2,1703
0.432658333,,Surface,2,1704
0.432658333,,Surface,2,1705
0.432658333,,Surface,2,1706
0.432658333,,Surface,2,1707
0.432658333,,Surface,2,1708
0.432658333,,Surface,2,1709
0.432658333,,Surface,2,1710
0.432658333,,Surface,2,1711
0.432658333,,Surface,2,1712
0.432658333,,Surface,2,1713
0.432658333,,Surface,2,1714
0.432658333,,Surface,2,1715
0.432658333,,Surface,2,1716
0.432658333,,Surface,2,1717
0.432658333,,Surface,2,1718
0.432658333,,Surface,2,1719
0.432658333,,Surface,2,1720
0.432658333,,Surface,2,1721
0.432658333,,Surface,2,1722
0.432658333,,Surface,2,1723
0.432658333,,Surface,2,1724
0.865316667,,Surface,3,1725
0.865316667,,Surface,3,1726
0.865316667,,Surface,3,1727
0.865316667,,Surface,3,1728
0.865316667,,Surface,3,1729
0.865316667,,Surface,3,1730
0.865316667,,Surface,3,1731
0.865316667,,Surface,3,1732
0.865316667,,Surface,3,1733
0.865316667,,Surface,3,1734
0.865316667,,Surface,3,1735
0.865316667,,Surface,3,1736
0.865316667,,Surface,3,1737
0.865316667,,Surface,3,1738
0.865316667,,Surface,3,1739
0.865316667,,Surface,3,1740
0.865316667,,Surface,3,1741
0.865316667,,Surface,3,1742
0.865316667,,Surface,3,1743
0.865316667,,Surface,3,1744
0.865316667,,Surface,3,1745
0.865316667,,Surface,3,1746
0.865316667,,Surface,3,1747
0.865316667,,Surface,3,1748
0.865316667,,Surface,3,1749
0.865316667,,Surface,3,1750
0.865316667,,Surface,3,1751
0.865316667,,Surface,3,1752
0.865316667,,Surface,3,1753
0.865316667,,Surface,3,1754
0.865316667,,Surface,3,1755
0.865316667,,Surface,3,1756
1.297975,,Surface,4,1757
1.297975,,Surface,4,1758
1.297975,,Surface,4,1759
1.297975,,Surface,4,1760
1.297975,,Surface,4,1761
1.297975,,Surface,4,1762
1.297975,,Surface,4,1763
1.297975,,Surface,4,1764
1.297975,,Surface,4,1765
1.297975,,Surface,4,1766
1.297975,,Surface,4,1767
1.297975,,Surface,4,1768
1.297975,,Surface,4,1769
1.297975,,Surface,4,1770
1.297975,,Surface,4,1771
1.297975,,Surface,4,1772
1.297975,,Surface,4,1773
1.297975,,Surface,4,1774
1.297975,,Surface,4,1775
1.297975,,Surface,4,1776
1.297975,,Surface,4,1777
1.297975,,Surface,4,1778
1.297975,,Surface,4,1779
1.297975,,Surface,4,1780
1.297975,,Surface,4,1781
1.297975,,Surface,4,1782
1.297975,,Surface,4,1783
1.297975,,Surface,4,1784
1.297975,,Surface,4,1785
1.297975,,Surface,4,1786
1.730636111,,Surface,5,1787
1.730636111,,Surface,5,1788
1.730636111,,Surface,5,1789
1.730636111,,Surface,5,1790
1.730636111,,Surface,5,1791
1.730636111,,Surface,5,1792
1.730636111,,Surface,5,1793
1.730636111,,Surface,5,1794
1.730636111,,Surface,5,1795
1.730636111,,Surface,5,1796
1.730636111,,Surface,5,1797
1.730636111,,Surface,5,1798
1.730636111,,Surface,5,1799
1.730636111,,Surface,5,1800
1.730636111,,Surface,5,1801
1.730636111,,Surface,5,1802
1.730636111,,Surface,5,1803
1.730636111,,Surface,5,1804
1.730636111,,Surface,5,1805
1.730636111,,Surface,5,1806
1.730636111,,Surface,5,1807
2.163294444,,Surface,6,1808
2.163294444,,Surface,6,1809
2.163294444,,Surface,6,1810
2.163294444,,Surface,6,1811
2.163294444,,Surface,6,1812
2.163294444,,Surface,6,1813
2.163294444,,Surface,6,1814
2.163294444,,Surface,6,1815
2.163294444,,Surface,6,1816
2.163294444,,Surface,6,1817
2.595952778,,Surface,7,1818
2.595952778,,Surface,7,1819
2.595952778,,Surface,7,1820
2.595952778,,Surface,7,1821
2.595952778,,Surface,7,1822
2.595952778,,Surface,7,1823
2.595952778,,Surface,7,1824
2.595952778,,Surface,7,1825
2.595952778,,Surface,7,1826
2.595952778,,Surface,7,1827
2.595952778,,Surface,7,1828
2.595952778,,Surface,7,1829
2.595952778,,Surface,7,1830
2.595952778,,Surface,7,1831
2.595952778,,Surface,7,1832
2.595952778,,Surface,7,1833
2.595952778,,Surface,7,1834
2.595952778,,Surface,7,1835
2.595952778,,Surface,7,1836
2.595952778,,Surface,7,1837
2.595952778,,Surface,7,1838
2.595952778,,Surface,7,1839
2.595952778,,Surface,7,1840
2.595952778,,Surface,7,1841
2.595952778,,Surface,7,1842
2.595952778,,Surface,7,1843
2.595952778,,Surface,7,1844
2.595952778,,Surface,7,1845
2.595952778,,Surface,7,1846
2.595952778,,Surface,7,1847
2.595952778,,Surface,7,1848
2.595952778,,Surface,7,1849
2.595952778,,Surface,7,1850
2.595952778,,Surface,7,1851
2.595952778,,Surface,7,1852
2.595952778,,Surface,7,1853
2.595952778,,Surface,7,1854
2.595952778,,Surface,7,1855
2.595952778,,Surface,7,1856
2.595952778,,Surface,7,1857
2.595952778,,Surface,7,1858
2.595952778,,Surface,7,1859
2.595952778,,Surface,7,1860
2.595952778,,Surface,7,1861
2.595952778,,Surface,7,1862
2.595952778,,Surface,7,1863
2.595952778,,Surface,7,1864
2.595952778,,Surface,7,1865
2.595952778,,Surface,7,1866
2.595952778,,Surface,7,1867
2.595952778,,Surface,7,1868
2.595952778,,Surface,7,1869
2.595952778,,Surface,7,1870
3.028611111,,Surface,8,1871
3.028611111,,Surface,8,1872
3.028611111,,Surface,8,1873
3.028611111,,Surface,8,1874
3.028611111,,Surface,8,1875
3.028611111,,Surface,8,1876
3.028611111,,Surface,8,1877
3.028611111,,Surface,8,1878
3.028611111,,Surface,8,1879
3.028611111,,Surface,8,1880
3.028611111,,Surface,8,1881
3.028611111,,Surface,8,1882
3.028611111,,Surface,8,1883
3.028611111,,Surface,8,1884
3.028611111,,Surface,8,1885
3.028611111,,Surface,8,1886
3.028611111,,Surface,8,1887
3.028611111,,Surface,8,1888
3.028611111,,Surface,8,1889
3.028611111,,Surface,8,1890
3.028611111,,Surface,8,1891
3.028611111,,Surface,8,1892
3.028611111,,Surface,8,1893
3.028611111,,Surface,8,1894
