empty,,,,
Time,,,,
 ==================== ,,,,
Time,Unit,Category,Time,ID
0,,Spot,1,37
0,,Spot,1,53
0,,Spot,1,90
0,,Spot,1,94
0,,Spot,1,97
0,,Spot,1,100
0,,Spot,1,106
0,,Spot,1,107
0,,Spot,1,144
0,,Spot,1,148
0,,Spot,1,453
0,,Spot,1,861
0,,Spot,1,885
0,,Spot,1,968
0,,Spot,1,982
0,,Spot,1,994
0,,Spot,1,1001
0,,Spot,1,1280
0.416944444,,Spot,2,1538
0.416944444,,Spot,2,1544
0.416944444,,Spot,2,1577
0.416944444,,Spot,2,1601
0.416944444,,Spot,2,1633
0.416944444,,Spot,2,1668
0.416944444,,Spot,2,1698
0.416944444,,Spot,2,1715
0.416944444,,Spot,2,1719
0.416944444,,Spot,2,1723
0.416944444,,Spot,2,1733
0.416944444,,Spot,2,1743
0.416944444,,Spot,2,1746
0.416944444,,Spot,2,1776
0.416944444,,Spot,2,1777
0.416944444,,Spot,2,1779
0.416944444,,Spot,2,1780
0.416944444,,Spot,2,1781
0.416944444,,Spot,2,1805
0.416944444,,Spot,2,1853
0.416944444,,Spot,2,1854
0.416944444,,Spot,2,1884
0.416944444,,Spot,2,2040
0.416944444,,Spot,2,2061
0.416944444,,Spot,2,2067
0.416944444,,Spot,2,2130
0.416944444,,Spot,2,2159
0.416944444,,Spot,2,2175
0.416944444,,Spot,2,2181
0.416944444,,Spot,2,2199
0.416944444,,Spot,2,2418
0.416944444,,Spot,2,2516
0.416944444,,Spot,2,2536
0.416944444,,Spot,2,2563
0.416944444,,Spot,2,2579
0.416944444,,Spot,2,2622
0.416944444,,Spot,2,2689
0.416944444,,Spot,2,2691
0.416944444,,Spot,2,2697
0.416944444,,Spot,2,2709
0.416944444,,Spot,2,3036
0.833888889,,Spot,3,3189
0.833888889,,Spot,3,3212
0.833888889,,Spot,3,3263
0.833888889,,Spot,3,3317
0.833888889,,Spot,3,3328
0.833888889,,Spot,3,3340
0.833888889,,Spot,3,3370
0.833888889,,Spot,3,3395
0.833888889,,Spot,3,3396
0.833888889,,Spot,3,3415
0.833888889,,Spot,3,3419
0.833888889,,Spot,3,3435
0.833888889,,Spot,3,3436
0.833888889,,Spot,3,3440
0.833888889,,Spot,3,3444
0.833888889,,Spot,3,3448
0.833888889,,Spot,3,3453
0.833888889,,Spot,3,3460
0.833888889,,Spot,3,3467
0.833888889,,Spot,3,3468
0.833888889,,Spot,3,3472
0.833888889,,Spot,3,3473
0.833888889,,Spot,3,3475
0.833888889,,Spot,3,3479
0.833888889,,Spot,3,3484
0.833888889,,Spot,3,3489
0.833888889,,Spot,3,3496
0.833888889,,Spot,3,3502
0.833888889,,Spot,3,3506
0.833888889,,Spot,3,3533
0.833888889,,Spot,3,3555
0.833888889,,Spot,3,3608
0.833888889,,Spot,3,3611
0.833888889,,Spot,3,3626
0.833888889,,Spot,3,3680
0.833888889,,Spot,3,3713
0.833888889,,Spot,3,3732
0.833888889,,Spot,3,3740
0.833888889,,Spot,3,3786
0.833888889,,Spot,3,3799
0.833888889,,Spot,3,3812
0.833888889,,Spot,3,3871
0.833888889,,Spot,3,3877
0.833888889,,Spot,3,3895
0.833888889,,Spot,3,4240
0.833888889,,Spot,3,4266
0.833888889,,Spot,3,4273
0.833888889,,Spot,3,4322
0.833888889,,Spot,3,4339
0.833888889,,Spot,3,4355
0.833888889,,Spot,3,4363
0.833888889,,Spot,3,4392
0.833888889,,Spot,3,4751
1.250833333,,Spot,4,4928
1.250833333,,Spot,4,4967
1.250833333,,Spot,4,4969
1.250833333,,Spot,4,4992
1.250833333,,Spot,4,5018
1.250833333,,Spot,4,5025
1.250833333,,Spot,4,5029
1.250833333,,Spot,4,5034
1.250833333,,Spot,4,5062
1.250833333,,Spot,4,5064
1.250833333,,Spot,4,5065
1.250833333,,Spot,4,5154
1.250833333,,Spot,4,5155
1.250833333,,Spot,4,5218
1.250833333,,Spot,4,5261
1.250833333,,Spot,4,5265
1.250833333,,Spot,4,5297
1.250833333,,Spot,4,5315
1.250833333,,Spot,4,5317
1.250833333,,Spot,4,5322
1.250833333,,Spot,4,5339
1.250833333,,Spot,4,5349
1.250833333,,Spot,4,5359
1.250833333,,Spot,4,5383
1.250833333,,Spot,4,5405
1.250833333,,Spot,4,5418
1.250833333,,Spot,4,5459
1.250833333,,Spot,4,5460
1.250833333,,Spot,4,5496
1.250833333,,Spot,4,5501
1.250833333,,Spot,4,5506
1.250833333,,Spot,4,5647
