
Intensity Sum of Square Ch=3 Img=1
 ==================== 
Intensity Sum of Square,Unit,Category,Channel,Image,Time,ID,
9.96708e+06,,Spot,3,Image 1,1,5,
5.08779e+07,,Spot,3,Image 1,1,23,
2.24512e+07,,Spot,3,Image 1,1,29,
8.38476e+07,,Spot,3,Image 1,1,68,
1.46357e+07,,Spot,3,Image 1,1,75,
5.18279e+07,,Spot,3,Image 1,1,77,
4.66514e+07,,Spot,3,Image 1,1,88,
2.3178e+07,,Spot,3,Image 1,1,127,
2.46953e+07,,Spot,3,Image 1,1,142,
3.33997e+07,,Spot,3,Image 1,1,143,
2.11018e+07,,Spot,3,Image 1,1,162,
1.64794e+07,,Spot,3,Image 1,1,164,
4.23592e+07,,Spot,3,Image 1,1,167,
5.96829e+07,,Spot,3,Image 1,1,171,
7.78102e+07,,Spot,3,Image 1,1,173,
1.71593e+07,,Spot,3,Image 1,1,174,
1.91704e+07,,Spot,3,Image 1,1,182,
3.17046e+07,,Spot,3,Image 1,1,188,
3.91706e+07,,Spot,3,Image 1,1,190,
3.07669e+07,,Spot,3,Image 1,1,192,
6.60584e+07,,Spot,3,Image 1,1,201,
7.02667e+07,,Spot,3,Image 1,1,217,
2.58984e+07,,Spot,3,Image 1,1,222,
2.34325e+07,,Spot,3,Image 1,1,237,
2.4199e+07,,Spot,3,Image 1,1,239,
4.02486e+07,,Spot,3,Image 1,1,241,
7.72876e+07,,Spot,3,Image 1,1,242,
3.55111e+07,,Spot,3,Image 1,1,244,
2.61567e+07,,Spot,3,Image 1,1,246,
3.73005e+07,,Spot,3,Image 1,1,250,
3.27113e+07,,Spot,3,Image 1,1,257,
2.04077e+07,,Spot,3,Image 1,1,300,
3.44196e+07,,Spot,3,Image 1,1,303,
1.48846e+07,,Spot,3,Image 1,1,305,
1.36922e+07,,Spot,3,Image 1,1,309,
2.50031e+07,,Spot,3,Image 1,1,313,
1.20544e+07,,Spot,3,Image 1,1,350,
1.51045e+07,,Spot,3,Image 1,1,354,
5.20463e+07,,Spot,3,Image 1,1,364,
5.13958e+07,,Spot,3,Image 1,1,369,
1.41781e+07,,Spot,3,Image 1,1,378,
2.31445e+07,,Spot,3,Image 1,1,380,
5.62345e+07,,Spot,3,Image 1,1,387,
1.75803e+07,,Spot,3,Image 1,1,397,
5.58278e+07,,Spot,3,Image 1,1,400,
2.6277e+07,,Spot,3,Image 1,1,404,
4.76698e+07,,Spot,3,Image 1,1,406,
3.71116e+07,,Spot,3,Image 1,1,412,
6.55953e+07,,Spot,3,Image 1,1,413,
6.53125e+07,,Spot,3,Image 1,1,457,
5.49363e+07,,Spot,3,Image 1,1,458,
4.7823e+07,,Spot,3,Image 1,1,461,
2.66534e+07,,Spot,3,Image 1,1,484,
4.72308e+07,,Spot,3,Image 1,1,485,
2.15351e+07,,Spot,3,Image 1,1,487,
1.69208e+07,,Spot,3,Image 1,1,498,
8.46081e+06,,Spot,3,Image 1,1,509,
7.15884e+06,,Spot,3,Image 1,1,510,
