
Distance from Origin
 ==================== 
Distance from Origin,Unit,Category,Collection,Time,ID,
5235.82,µm,Spot,Distance from Origin,1,917,
5257.27,µm,Spot,Distance from Origin,1,921,
5254.06,µm,Spot,Distance from Origin,1,923,
5252.46,µm,Spot,Distance from Origin,1,933,
5276.52,µm,Spot,Distance from Origin,1,936,
5248.21,µm,Spot,Distance from Origin,1,937,
5242.74,µm,Spot,Distance from Origin,1,939,
5245.65,µm,Spot,Distance from Origin,1,941,
5261.08,µm,Spot,Distance from Origin,1,949,
5283.6,µm,Spot,Distance from Origin,1,952,
5315.48,µm,Spot,Distance from Origin,1,965,
5307.36,µm,Spot,Distance from Origin,1,978,
5284.2,µm,Spot,Distance from Origin,1,989,
5321.71,µm,Spot,Distance from Origin,1,994,
5330.81,µm,Spot,Distance from Origin,1,997,
5101.77,µm,Spot,Distance from Origin,1,1010,
5131.08,µm,Spot,Distance from Origin,1,1018,
5137.63,µm,Spot,Distance from Origin,1,1021,
5120.31,µm,Spot,Distance from Origin,1,1033,
5131.92,µm,Spot,Distance from Origin,1,1041,
5134.01,µm,Spot,Distance from Origin,1,1043,
5145.26,µm,Spot,Distance from Origin,1,1048,
5156.85,µm,Spot,Distance from Origin,1,1054,
5158.66,µm,Spot,Distance from Origin,1,1064,
5151.27,µm,Spot,Distance from Origin,1,1065,
5177.35,µm,Spot,Distance from Origin,1,1070,
5157.15,µm,Spot,Distance from Origin,1,1073,
5140.81,µm,Spot,Distance from Origin,1,1076,
5158.62,µm,Spot,Distance from Origin,1,1077,
5158.2,µm,Spot,Distance from Origin,1,1085,
5204.82,µm,Spot,Distance from Origin,1,1091,
5211.86,µm,Spot,Distance from Origin,1,1093,
5170.95,µm,Spot,Distance from Origin,1,1094,
5211.05,µm,Spot,Distance from Origin,1,1096,
5189.92,µm,Spot,Distance from Origin,1,1098,
5206.44,µm,Spot,Distance from Origin,1,1101,
5183.2,µm,Spot,Distance from Origin,1,1105,
5185.97,µm,Spot,Distance from Origin,1,1108,
5187.78,µm,Spot,Distance from Origin,1,1109,
5201.08,µm,Spot,Distance from Origin,1,1113,
5225.72,µm,Spot,Distance from Origin,1,1124,
5215.39,µm,Spot,Distance from Origin,1,1132,
5214.2,µm,Spot,Distance from Origin,1,1133,
5194.12,µm,Spot,Distance from Origin,1,1139,
5227.68,µm,Spot,Distance from Origin,1,1146,
5211.16,µm,Spot,Distance from Origin,1,1149,
5215.85,µm,Spot,Distance from Origin,1,1150,
5214.22,µm,Spot,Distance from Origin,1,1153,
5221.98,µm,Spot,Distance from Origin,1,1154,
5249.86,µm,Spot,Distance from Origin,1,1158,
5237.26,µm,Spot,Distance from Origin,1,1165,
5218.6,µm,Spot,Distance from Origin,1,1169,
5229.76,µm,Spot,Distance from Origin,1,1180,
5232.08,µm,Spot,Distance from Origin,1,1184,
5264.88,µm,Spot,Distance from Origin,1,1185,
5252.4,µm,Spot,Distance from Origin,1,1189,
5232.62,µm,Spot,Distance from Origin,1,1193,
5232.78,µm,Spot,Distance from Origin,1,1196,
5232.04,µm,Spot,Distance from Origin,1,1198,
5233.88,µm,Spot,Distance from Origin,1,1199,
5261.63,µm,Spot,Distance from Origin,1,1201,
5258.46,µm,Spot,Distance from Origin,1,1203,
5251.61,µm,Spot,Distance from Origin,1,1209,
5227.98,µm,Spot,Distance from Origin,1,1210,
5247.15,µm,Spot,Distance from Origin,1,1211,
5236.28,µm,Spot,Distance from Origin,1,1213,
5243.14,µm,Spot,Distance from Origin,1,1216,
5257.94,µm,Spot,Distance from Origin,1,1217,
5247.16,µm,Spot,Distance from Origin,1,1218,
5245.28,µm,Spot,Distance from Origin,1,1226,
5236.16,µm,Spot,Distance from Origin,1,1228,
5244.92,µm,Spot,Distance from Origin,1,1229,
5257.8,µm,Spot,Distance from Origin,1,1232,
5263.11,µm,Spot,Distance from Origin,1,1237,
5272.81,µm,Spot,Distance from Origin,1,1241,
5255.02,µm,Spot,Distance from Origin,1,1242,
5267.54,µm,Spot,Distance from Origin,1,1243,
5263.2,µm,Spot,Distance from Origin,1,1246,
5303.64,µm,Spot,Distance from Origin,1,1258,
5308.34,µm,Spot,Distance from Origin,1,1262,
5305.67,µm,Spot,Distance from Origin,1,1264,
5293.57,µm,Spot,Distance from Origin,1,1271,
5315.12,µm,Spot,Distance from Origin,1,1284,
5319.38,µm,Spot,Distance from Origin,1,1288,
5292.63,µm,Spot,Distance from Origin,1,1291,
5317.39,µm,Spot,Distance from Origin,1,1301,
5120.97,µm,Spot,Distance from Origin,1,1303,
5156.36,µm,Spot,Distance from Origin,1,1326,
5157.59,µm,Spot,Distance from Origin,1,1327,
5156.75,µm,Spot,Distance from Origin,1,1328,
5145.96,µm,Spot,Distance from Origin,1,1331,
5159.96,µm,Spot,Distance from Origin,1,1332,
5155.71,µm,Spot,Distance from Origin,1,1334,
5150.1,µm,Spot,Distance from Origin,1,1336,
5156.38,µm,Spot,Distance from Origin,1,1339,
5178.27,µm,Spot,Distance from Origin,1,1341,
5175.9,µm,Spot,Distance from Origin,1,1346,
5172.64,µm,Spot,Distance from Origin,1,1347,
5153.03,µm,Spot,Distance from Origin,1,1351,
5170.9,µm,Spot,Distance from Origin,1,1353,
5169.31,µm,Spot,Distance from Origin,1,1354,
5155.52,µm,Spot,Distance from Origin,1,1355,
5151.38,µm,Spot,Distance from Origin,1,1357,
5186.65,µm,Spot,Distance from Origin,1,1358,
5162.25,µm,Spot,Distance from Origin,1,1359,
5163.55,µm,Spot,Distance from Origin,1,1361,
5186.05,µm,Spot,Distance from Origin,1,1362,
5153.53,µm,Spot,Distance from Origin,1,1364,
5159.74,µm,Spot,Distance from Origin,1,1370,
5164.1,µm,Spot,Distance from Origin,1,1371,
5163.2,µm,Spot,Distance from Origin,1,1372,
5161.86,µm,Spot,Distance from Origin,1,1373,
5164.34,µm,Spot,Distance from Origin,1,1375,
5159.61,µm,Spot,Distance from Origin,1,1376,
5169.21,µm,Spot,Distance from Origin,1,1382,
5186.91,µm,Spot,Distance from Origin,1,1383,
5195.64,µm,Spot,Distance from Origin,1,1389,
5208.42,µm,Spot,Distance from Origin,1,1390,
5182.04,µm,Spot,Distance from Origin,1,1392,
5200.13,µm,Spot,Distance from Origin,1,1399,
5211.5,µm,Spot,Distance from Origin,1,1402,
5219.52,µm,Spot,Distance from Origin,1,1406,
5208.97,µm,Spot,Distance from Origin,1,1410,
5205.66,µm,Spot,Distance from Origin,1,1411,
5223.82,µm,Spot,Distance from Origin,1,1415,
5204.39,µm,Spot,Distance from Origin,1,1420,
5240.74,µm,Spot,Distance from Origin,1,1435,
5233.76,µm,Spot,Distance from Origin,1,1436,
5236.98,µm,Spot,Distance from Origin,1,1439,
5265.61,µm,Spot,Distance from Origin,1,1440,
5272.74,µm,Spot,Distance from Origin,1,1444,
5251.18,µm,Spot,Distance from Origin,1,1445,
5263.88,µm,Spot,Distance from Origin,1,1446,
5263.02,µm,Spot,Distance from Origin,1,1447,
5259.32,µm,Spot,Distance from Origin,1,1448,
5270.05,µm,Spot,Distance from Origin,1,1452,
5232.37,µm,Spot,Distance from Origin,1,1456,
5260.01,µm,Spot,Distance from Origin,1,1457,
5248.73,µm,Spot,Distance from Origin,1,1460,
5247.18,µm,Spot,Distance from Origin,1,1461,
5252.92,µm,Spot,Distance from Origin,1,1463,
5255.17,µm,Spot,Distance from Origin,1,1471,
5265.98,µm,Spot,Distance from Origin,1,1478,
5277.85,µm,Spot,Distance from Origin,1,1480,
5280,µm,Spot,Distance from Origin,1,1489,
5268.97,µm,Spot,Distance from Origin,1,1493,
5272.65,µm,Spot,Distance from Origin,1,1495,
5279.75,µm,Spot,Distance from Origin,1,1496,
5291.39,µm,Spot,Distance from Origin,1,1506,
5269.46,µm,Spot,Distance from Origin,1,1508,
5297.75,µm,Spot,Distance from Origin,1,1509,
5282.39,µm,Spot,Distance from Origin,1,1513,
5124.87,µm,Spot,Distance from Origin,1,1534,
5153.44,µm,Spot,Distance from Origin,1,1537,
5141.54,µm,Spot,Distance from Origin,1,1543,
5157.56,µm,Spot,Distance from Origin,1,1546,
5142.08,µm,Spot,Distance from Origin,1,1547,
5144.29,µm,Spot,Distance from Origin,1,1552,
5144.66,µm,Spot,Distance from Origin,1,1553,
5155.75,µm,Spot,Distance from Origin,1,1555,
5144.09,µm,Spot,Distance from Origin,1,1567,
5173.82,µm,Spot,Distance from Origin,1,1569,
5169.32,µm,Spot,Distance from Origin,1,1572,
5158.97,µm,Spot,Distance from Origin,1,1576,
5164.84,µm,Spot,Distance from Origin,1,1589,
5176.84,µm,Spot,Distance from Origin,1,1595,
5186.12,µm,Spot,Distance from Origin,1,1615,
5179.71,µm,Spot,Distance from Origin,1,1620,
5221.52,µm,Spot,Distance from Origin,1,1634,
5250.43,µm,Spot,Distance from Origin,1,1650,
5261.74,µm,Spot,Distance from Origin,1,1651,
5256.1,µm,Spot,Distance from Origin,1,1656,
5266.57,µm,Spot,Distance from Origin,1,1657,
5283.54,µm,Spot,Distance from Origin,1,1662,
5263.57,µm,Spot,Distance from Origin,1,1665,
5153.72,µm,Spot,Distance from Origin,1,1684,
5155.9,µm,Spot,Distance from Origin,1,1690,
5148.91,µm,Spot,Distance from Origin,1,1692,
5162.9,µm,Spot,Distance from Origin,1,1694,
5176.51,µm,Spot,Distance from Origin,1,1695,
5152.77,µm,Spot,Distance from Origin,1,1697,
5172.14,µm,Spot,Distance from Origin,1,1699,
5166.04,µm,Spot,Distance from Origin,1,1700,
5171.61,µm,Spot,Distance from Origin,1,1706,
5184.29,µm,Spot,Distance from Origin,1,1710,
5177.05,µm,Spot,Distance from Origin,1,1721,
5210.79,µm,Spot,Distance from Origin,1,1725,
5177.25,µm,Spot,Distance from Origin,1,1726,
5189.1,µm,Spot,Distance from Origin,1,1732,
5190.6,µm,Spot,Distance from Origin,1,1752,
5243.9,µm,Spot,Distance from Origin,1,1768,
5249.64,µm,Spot,Distance from Origin,1,1769,
5225.06,µm,Spot,Distance from Origin,1,1775,
5273.64,µm,Spot,Distance from Origin,1,1788,
5346.61,µm,Spot,Distance from Origin,1,1815,
5349.1,µm,Spot,Distance from Origin,1,1818,
5355.44,µm,Spot,Distance from Origin,1,1824,
5344.31,µm,Spot,Distance from Origin,1,1825,
5157.34,µm,Spot,Distance from Origin,1,1837,
5140.72,µm,Spot,Distance from Origin,1,1844,
5141.25,µm,Spot,Distance from Origin,1,1845,
5143.52,µm,Spot,Distance from Origin,1,1851,
5172.06,µm,Spot,Distance from Origin,1,1857,
5147.81,µm,Spot,Distance from Origin,1,1858,
5154.94,µm,Spot,Distance from Origin,1,1864,
5167.68,µm,Spot,Distance from Origin,1,1865,
5162.42,µm,Spot,Distance from Origin,1,1870,
5179.51,µm,Spot,Distance from Origin,1,1871,
5186.4,µm,Spot,Distance from Origin,1,1893,
5212.53,µm,Spot,Distance from Origin,1,1896,
5212.56,µm,Spot,Distance from Origin,1,1898,
5223.68,µm,Spot,Distance from Origin,1,1902,
5214.36,µm,Spot,Distance from Origin,1,1914,
5231.71,µm,Spot,Distance from Origin,1,1915,
5249.66,µm,Spot,Distance from Origin,1,1920,
5254.41,µm,Spot,Distance from Origin,1,1929,
5243.33,µm,Spot,Distance from Origin,1,1936,
5242.62,µm,Spot,Distance from Origin,1,1938,
