
Intensity Median Ch=9 Img=1
 ==================== 
Intensity Median,Unit,Category,Channel,Image,Time,ID,
0.02075,,Spot,9,Image 1,1,5,
0.042,,Spot,9,Image 1,1,23,
0.016,,Spot,9,Image 1,1,29,
0.0809937,,Spot,9,Image 1,1,68,
0.065,,Spot,9,Image 1,1,75,
0.224,,Spot,9,Image 1,1,77,
0.2065,,Spot,9,Image 1,1,88,
0.264,,Spot,9,Image 1,1,127,
0.08,,Spot,9,Image 1,1,142,
0.11,,Spot,9,Image 1,1,143,
0.141,,Spot,9,Image 1,1,162,
0.036,,Spot,9,Image 1,1,164,
0.162,,Spot,9,Image 1,1,167,
0.212006,,Spot,9,Image 1,1,171,
0.251,,Spot,9,Image 1,1,173,
0.0695,,Spot,9,Image 1,1,174,
0.1055,,Spot,9,Image 1,1,182,
0.176,,Spot,9,Image 1,1,188,
0.266,,Spot,9,Image 1,1,190,
0.18,,Spot,9,Image 1,1,192,
79.17,,Spot,9,Image 1,1,201,
0.209,,Spot,9,Image 1,1,217,
0.082,,Spot,9,Image 1,1,222,
0.168,,Spot,9,Image 1,1,237,
0.15,,Spot,9,Image 1,1,239,
0.344,,Spot,9,Image 1,1,241,
185.92,,Spot,9,Image 1,1,242,
0.135,,Spot,9,Image 1,1,244,
0.150002,,Spot,9,Image 1,1,246,
0,,Spot,9,Image 1,1,250,
0.144,,Spot,9,Image 1,1,257,
0.066,,Spot,9,Image 1,1,300,
0.0935,,Spot,9,Image 1,1,303,
0.044,,Spot,9,Image 1,1,305,
0.096,,Spot,9,Image 1,1,309,
0,,Spot,9,Image 1,1,313,
0.091,,Spot,9,Image 1,1,350,
0.12,,Spot,9,Image 1,1,354,
0.284,,Spot,9,Image 1,1,364,
0.392,,Spot,9,Image 1,1,369,
0.16,,Spot,9,Image 1,1,378,
0.1085,,Spot,9,Image 1,1,380,
0.35,,Spot,9,Image 1,1,387,
0.132,,Spot,9,Image 1,1,397,
0.288,,Spot,9,Image 1,1,400,
0.152,,Spot,9,Image 1,1,404,
0.17675,,Spot,9,Image 1,1,406,
0.189,,Spot,9,Image 1,1,412,
48.672,,Spot,9,Image 1,1,413,
9.6,,Spot,9,Image 1,1,457,
164.9,,Spot,9,Image 1,1,458,
0.2605,,Spot,9,Image 1,1,461,
0,,Spot,9,Image 1,1,484,
0.00525,,Spot,9,Image 1,1,485,
0.039,,Spot,9,Image 1,1,487,
0.029,,Spot,9,Image 1,1,498,
0.048,,Spot,9,Image 1,1,509,
0.02325,,Spot,9,Image 1,1,510,
0.016,,Spot,9,Image 1,1,513,
0.062,,Spot,9,Image 1,1,518,
0,,Spot,9,Image 1,1,520,
0.0065,,Spot,9,Image 1,1,522,
0.058,,Spot,9,Image 1,1,528,
0.0555,,Spot,9,Image 1,1,552,
0.082,,Spot,9,Image 1,1,565,
0.117,,Spot,9,Image 1,1,572,
0.17,,Spot,9,Image 1,1,604,
0.04175,,Spot,9,Image 1,1,615,
0.067,,Spot,9,Image 1,1,616,
0.03,,Spot,9,Image 1,1,626,
0.12,,Spot,9,Image 1,1,631,
0.04,,Spot,9,Image 1,1,661,
0.02325,,Spot,9,Image 1,1,688,
0.208,,Spot,9,Image 1,1,693,
0.1115,,Spot,9,Image 1,1,696,
180.465,,Spot,9,Image 1,1,704,
0.438,,Spot,9,Image 1,1,707,
0,,Spot,9,Image 1,1,714,
0.278,,Spot,9,Image 1,1,716,
0.172,,Spot,9,Image 1,1,718,
30.15,,Spot,9,Image 1,1,730,
0.216,,Spot,9,Image 1,1,748,
0.069,,Spot,9,Image 1,1,762,
0,,Spot,9,Image 1,1,780,
0.007,,Spot,9,Image 1,1,782,
0,,Spot,9,Image 1,1,783,
0.082,,Spot,9,Image 1,1,789,
0.01425,,Spot,9,Image 1,1,790,
0.0185,,Spot,9,Image 1,1,792,
0.00175,,Spot,9,Image 1,1,794,
0,,Spot,9,Image 1,1,797,
0,,Spot,9,Image 1,1,798,
0.0545,,Spot,9,Image 1,1,800,
0.148,,Spot,9,Image 1,1,809,
0.048,,Spot,9,Image 1,1,812,
0.094,,Spot,9,Image 1,1,814,
0.0365,,Spot,9,Image 1,1,822,
0.042,,Spot,9,Image 1,1,823,
0.0515,,Spot,9,Image 1,1,825,
0.079,,Spot,9,Image 1,1,829,
0.068,,Spot,9,Image 1,1,830,
0.046,,Spot,9,Image 1,1,835,
0.092,,Spot,9,Image 1,1,837,
0.117,,Spot,9,Image 1,1,845,
0.15,,Spot,9,Image 1,1,889,
0.146,,Spot,9,Image 1,1,900,
0.202,,Spot,9,Image 1,1,903,
0.047,,Spot,9,Image 1,1,905,
0.16,,Spot,9,Image 1,1,906,
0.064,,Spot,9,Image 1,1,914,
0.051,,Spot,9,Image 1,1,917,
0.0755,,Spot,9,Image 1,1,921,
0.041,,Spot,9,Image 1,1,923,
0.059,,Spot,9,Image 1,1,933,
0.118,,Spot,9,Image 1,1,936,
0.108,,Spot,9,Image 1,1,937,
0.136,,Spot,9,Image 1,1,939,
0.18,,Spot,9,Image 1,1,941,
0.048,,Spot,9,Image 1,1,949,
0.112,,Spot,9,Image 1,1,952,
0.023,,Spot,9,Image 1,1,965,
0.16,,Spot,9,Image 1,1,978,
0.18375,,Spot,9,Image 1,1,989,
0.038,,Spot,9,Image 1,1,994,
0.06,,Spot,9,Image 1,1,997,
0.039,,Spot,9,Image 1,1,1010,
0.006,,Spot,9,Image 1,1,1018,
0.278015,,Spot,9,Image 1,1,1021,
0.17,,Spot,9,Image 1,1,1033,
0.071,,Spot,9,Image 1,1,1041,
0.291,,Spot,9,Image 1,1,1043,
0.16,,Spot,9,Image 1,1,1048,
40.95,,Spot,9,Image 1,1,1054,
0.264,,Spot,9,Image 1,1,1064,
