
Intensity Sum of Square Ch=5 Img=1
 ==================== 
Intensity Sum of Square,Unit,Category,Channel,Image,Time,ID,
0,,Spot,5,Image 1,1,5,
890,,Spot,5,Image 1,1,23,
320,,Spot,5,Image 1,1,29,
0,,Spot,5,Image 1,1,68,
162,,Spot,5,Image 1,1,75,
0,,Spot,5,Image 1,1,77,
0,,Spot,5,Image 1,1,88,
485,,Spot,5,Image 1,1,127,
6664,,Spot,5,Image 1,1,142,
1521,,Spot,5,Image 1,1,143,
8725,,Spot,5,Image 1,1,162,
1181,,Spot,5,Image 1,1,164,
0,,Spot,5,Image 1,1,167,
398,,Spot,5,Image 1,1,171,
0,,Spot,5,Image 1,1,173,
0,,Spot,5,Image 1,1,174,
625,,Spot,5,Image 1,1,182,
0,,Spot,5,Image 1,1,188,
369,,Spot,5,Image 1,1,190,
6027,,Spot,5,Image 1,1,192,
0,,Spot,5,Image 1,1,201,
0,,Spot,5,Image 1,1,217,
0,,Spot,5,Image 1,1,222,
169,,Spot,5,Image 1,1,237,
0,,Spot,5,Image 1,1,239,
784,,Spot,5,Image 1,1,241,
0,,Spot,5,Image 1,1,242,
1,,Spot,5,Image 1,1,244,
340,,Spot,5,Image 1,1,246,
0,,Spot,5,Image 1,1,250,
1147,,Spot,5,Image 1,1,257,
2104,,Spot,5,Image 1,1,300,
200,,Spot,5,Image 1,1,303,
6913,,Spot,5,Image 1,1,305,
1088,,Spot,5,Image 1,1,309,
196,,Spot,5,Image 1,1,313,
765,,Spot,5,Image 1,1,350,
551,,Spot,5,Image 1,1,354,
340,,Spot,5,Image 1,1,364,
1296,,Spot,5,Image 1,1,369,
3241,,Spot,5,Image 1,1,378,
0,,Spot,5,Image 1,1,380,
0,,Spot,5,Image 1,1,387,
877,,Spot,5,Image 1,1,397,
0,,Spot,5,Image 1,1,400,
0,,Spot,5,Image 1,1,404,
0,,Spot,5,Image 1,1,406,
144,,Spot,5,Image 1,1,412,
0,,Spot,5,Image 1,1,413,
81,,Spot,5,Image 1,1,457,
0,,Spot,5,Image 1,1,458,
325,,Spot,5,Image 1,1,461,
4007,,Spot,5,Image 1,1,484,
