
Intensity Max Ch=9 Img=1
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,ID,
83,,Spot,9,Image 1,1,5,
140,,Spot,9,Image 1,1,23,
39,,Spot,9,Image 1,1,29,
480,,Spot,9,Image 1,1,68,
173,,Spot,9,Image 1,1,75,
565,,Spot,9,Image 1,1,77,
431,,Spot,9,Image 1,1,88,
611,,Spot,9,Image 1,1,127,
270,,Spot,9,Image 1,1,142,
288,,Spot,9,Image 1,1,143,
330,,Spot,9,Image 1,1,162,
134,,Spot,9,Image 1,1,164,
598,,Spot,9,Image 1,1,167,
647,,Spot,9,Image 1,1,171,
802,,Spot,9,Image 1,1,173,
249,,Spot,9,Image 1,1,174,
389,,Spot,9,Image 1,1,182,
612,,Spot,9,Image 1,1,188,
648,,Spot,9,Image 1,1,190,
629,,Spot,9,Image 1,1,192,
1059,,Spot,9,Image 1,1,201,
531,,Spot,9,Image 1,1,217,
311,,Spot,9,Image 1,1,222,
357,,Spot,9,Image 1,1,237,
488,,Spot,9,Image 1,1,239,
863,,Spot,9,Image 1,1,241,
1207,,Spot,9,Image 1,1,242,
360,,Spot,9,Image 1,1,244,
489,,Spot,9,Image 1,1,246,
790,,Spot,9,Image 1,1,250,
330,,Spot,9,Image 1,1,257,
224,,Spot,9,Image 1,1,300,
220,,Spot,9,Image 1,1,303,
141,,Spot,9,Image 1,1,305,
251,,Spot,9,Image 1,1,309,
533,,Spot,9,Image 1,1,313,
298,,Spot,9,Image 1,1,350,
286,,Spot,9,Image 1,1,354,
933,,Spot,9,Image 1,1,364,
938,,Spot,9,Image 1,1,369,
533,,Spot,9,Image 1,1,378,
269,,Spot,9,Image 1,1,380,
771,,Spot,9,Image 1,1,387,
514,,Spot,9,Image 1,1,397,
665,,Spot,9,Image 1,1,400,
526,,Spot,9,Image 1,1,404,
707,,Spot,9,Image 1,1,406,
618,,Spot,9,Image 1,1,412,
920,,Spot,9,Image 1,1,413,
599,,Spot,9,Image 1,1,457,
1022,,Spot,9,Image 1,1,458,
680,,Spot,9,Image 1,1,461,
0,,Spot,9,Image 1,1,484,
21,,Spot,9,Image 1,1,485,
121,,Spot,9,Image 1,1,487,
64,,Spot,9,Image 1,1,498,
103,,Spot,9,Image 1,1,509,
93,,Spot,9,Image 1,1,510,
41,,Spot,9,Image 1,1,513,
220,,Spot,9,Image 1,1,518,
0,,Spot,9,Image 1,1,520,
26,,Spot,9,Image 1,1,522,
191,,Spot,9,Image 1,1,528,
222,,Spot,9,Image 1,1,552,
233,,Spot,9,Image 1,1,565,
