
Intensity Sum of Square Ch=7 Img=1
 ==================== 
Intensity Sum of Square,Unit,Category,Channel,Image,Time,ID,
3.54198e+06,,Spot,7,Image 1,1,5,
3.57912e+07,,Spot,7,Image 1,1,23,
9.2869e+06,,Spot,7,Image 1,1,29,
1.11779e+08,,Spot,7,Image 1,1,68,
1.00333e+07,,Spot,7,Image 1,1,75,
6.55569e+07,,Spot,7,Image 1,1,77,
6.55005e+07,,Spot,7,Image 1,1,88,
3.69579e+07,,Spot,7,Image 1,1,127,
2.69014e+07,,Spot,7,Image 1,1,142,
4.28926e+07,,Spot,7,Image 1,1,143,
1.973e+07,,Spot,7,Image 1,1,162,
1.36841e+07,,Spot,7,Image 1,1,164,
7.30828e+07,,Spot,7,Image 1,1,167,
8.71282e+07,,Spot,7,Image 1,1,171,
1.17422e+08,,Spot,7,Image 1,1,173,
1.78411e+07,,Spot,7,Image 1,1,174,
1.98836e+07,,Spot,7,Image 1,1,182,
5.20172e+07,,Spot,7,Image 1,1,188,
6.82328e+07,,Spot,7,Image 1,1,190,
5.61938e+07,,Spot,7,Image 1,1,192,
1.42833e+08,,Spot,7,Image 1,1,201,
9.66686e+07,,Spot,7,Image 1,1,217,
3.11817e+07,,Spot,7,Image 1,1,222,
3.00702e+07,,Spot,7,Image 1,1,237,
3.35215e+07,,Spot,7,Image 1,1,239,
7.17158e+07,,Spot,7,Image 1,1,241,
1.81546e+08,,Spot,7,Image 1,1,242,
4.53048e+07,,Spot,7,Image 1,1,244,
4.07231e+07,,Spot,7,Image 1,1,246,
7.28717e+07,,Spot,7,Image 1,1,250,
4.28173e+07,,Spot,7,Image 1,1,257,
1.81197e+07,,Spot,7,Image 1,1,300,
3.13541e+07,,Spot,7,Image 1,1,303,
9.52343e+06,,Spot,7,Image 1,1,305,
8.0727e+06,,Spot,7,Image 1,1,309,
3.92002e+07,,Spot,7,Image 1,1,313,
1.12978e+07,,Spot,7,Image 1,1,350,
1.10129e+07,,Spot,7,Image 1,1,354,
9.64507e+07,,Spot,7,Image 1,1,364,
9.55803e+07,,Spot,7,Image 1,1,369,
1.66758e+07,,Spot,7,Image 1,1,378,
2.69919e+07,,Spot,7,Image 1,1,380,
1.0437e+08,,Spot,7,Image 1,1,387,
2.11895e+07,,Spot,7,Image 1,1,397,
9.64216e+07,,Spot,7,Image 1,1,400,
4.46374e+07,,Spot,7,Image 1,1,404,
8.60169e+07,,Spot,7,Image 1,1,406,
6.78813e+07,,Spot,7,Image 1,1,412,
1.35972e+08,,Spot,7,Image 1,1,413,
1.20421e+08,,Spot,7,Image 1,1,457,
1.2279e+08,,Spot,7,Image 1,1,458,
8.656e+07,,Spot,7,Image 1,1,461,
8.46442e+06,,Spot,7,Image 1,1,484,
1.30285e+07,,Spot,7,Image 1,1,485,
6.5423e+06,,Spot,7,Image 1,1,487,
9.05304e+06,,Spot,7,Image 1,1,498,
3.85351e+06,,Spot,7,Image 1,1,509,
4.36317e+06,,Spot,7,Image 1,1,510,
7.73978e+06,,Spot,7,Image 1,1,513,
3.20421e+07,,Spot,7,Image 1,1,518,
9.25579e+06,,Spot,7,Image 1,1,520,
1.11423e+07,,Spot,7,Image 1,1,522,
6.74723e+07,,Spot,7,Image 1,1,528,
1.22459e+07,,Spot,7,Image 1,1,552,
1.08817e+07,,Spot,7,Image 1,1,565,
2.5257e+07,,Spot,7,Image 1,1,572,
2.98337e+07,,Spot,7,Image 1,1,604,
2.47807e+07,,Spot,7,Image 1,1,615,
1.42005e+07,,Spot,7,Image 1,1,616,
9.77735e+06,,Spot,7,Image 1,1,626,
3.5678e+07,,Spot,7,Image 1,1,631,
1.45529e+07,,Spot,7,Image 1,1,661,
2.22245e+07,,Spot,7,Image 1,1,688,
5.54343e+07,,Spot,7,Image 1,1,693,
4.08964e+07,,Spot,7,Image 1,1,696,
2.45389e+08,,Spot,7,Image 1,1,704,
6.21026e+07,,Spot,7,Image 1,1,707,
3.6645e+08,,Spot,7,Image 1,1,714,
8.79388e+07,,Spot,7,Image 1,1,716,
5.3319e+07,,Spot,7,Image 1,1,718,
5.58289e+07,,Spot,7,Image 1,1,730,
8.1547e+07,,Spot,7,Image 1,1,748,
1.36697e+07,,Spot,7,Image 1,1,762,
9.78475e+06,,Spot,7,Image 1,1,780,
5.0185e+06,,Spot,7,Image 1,1,782,
8.00713e+06,,Spot,7,Image 1,1,783,
3.99834e+07,,Spot,7,Image 1,1,789,
8.50436e+06,,Spot,7,Image 1,1,790,
7.6166e+06,,Spot,7,Image 1,1,792,
6.18989e+06,,Spot,7,Image 1,1,794,
3.59272e+07,,Spot,7,Image 1,1,797,
5.42708e+06,,Spot,7,Image 1,1,798,
1.08749e+07,,Spot,7,Image 1,1,800,
3.48476e+07,,Spot,7,Image 1,1,809,
9.09415e+06,,Spot,7,Image 1,1,812,
3.06257e+06,,Spot,7,Image 1,1,814,
1.3218e+07,,Spot,7,Image 1,1,822,
1.64333e+07,,Spot,7,Image 1,1,823,
8.86457e+06,,Spot,7,Image 1,1,825,
1.94179e+07,,Spot,7,Image 1,1,829,
1.23933e+07,,Spot,7,Image 1,1,830,
1.04076e+07,,Spot,7,Image 1,1,835,
1.06861e+07,,Spot,7,Image 1,1,837,
1.58646e+07,,Spot,7,Image 1,1,845,
1.1066e+07,,Spot,7,Image 1,1,889,
1.3909e+07,,Spot,7,Image 1,1,900,
2.54572e+07,,Spot,7,Image 1,1,903,
2.60805e+07,,Spot,7,Image 1,1,905,
3.17157e+07,,Spot,7,Image 1,1,906,
1.31491e+07,,Spot,7,Image 1,1,914,
5.67788e+06,,Spot,7,Image 1,1,917,
9.48836e+06,,Spot,7,Image 1,1,921,
8.4749e+06,,Spot,7,Image 1,1,923,
1.34228e+07,,Spot,7,Image 1,1,933,
2.91517e+07,,Spot,7,Image 1,1,936,
3.66503e+07,,Spot,7,Image 1,1,937,
2.53886e+07,,Spot,7,Image 1,1,939,
3.93141e+07,,Spot,7,Image 1,1,941,
2.21999e+07,,Spot,7,Image 1,1,949,
2.0229e+07,,Spot,7,Image 1,1,952,
1.88771e+06,,Spot,7,Image 1,1,965,
2.19107e+07,,Spot,7,Image 1,1,978,
2.57749e+07,,Spot,7,Image 1,1,989,
4.37742e+06,,Spot,7,Image 1,1,994,
4.70084e+06,,Spot,7,Image 1,1,997,
4.0715e+07,,Spot,7,Image 1,1,1010,
1.79893e+07,,Spot,7,Image 1,1,1018,
6.5302e+07,,Spot,7,Image 1,1,1021,
4.56597e+07,,Spot,7,Image 1,1,1033,
1.10745e+07,,Spot,7,Image 1,1,1041,
6.6123e+07,,Spot,7,Image 1,1,1043,
8.08999e+07,,Spot,7,Image 1,1,1048,
1.51579e+08,,Spot,7,Image 1,1,1054,
5.88994e+07,,Spot,7,Image 1,1,1064,
5.11227e+07,,Spot,7,Image 1,1,1065,
1.55401e+07,,Spot,7,Image 1,1,1070,
4.92565e+07,,Spot,7,Image 1,1,1073,
2.81896e+08,,Spot,7,Image 1,1,1076,
5.65185e+07,,Spot,7,Image 1,1,1077,
2.9652e+08,,Spot,7,Image 1,1,1085,
4.60057e+07,,Spot,7,Image 1,1,1091,
7.65354e+07,,Spot,7,Image 1,1,1093,
1.61612e+08,,Spot,7,Image 1,1,1094,
4.19291e+07,,Spot,7,Image 1,1,1096,
1.47165e+08,,Spot,7,Image 1,1,1098,
6.449e+07,,Spot,7,Image 1,1,1101,
9.98271e+07,,Spot,7,Image 1,1,1105,
2.43192e+08,,Spot,7,Image 1,1,1108,
1.18885e+08,,Spot,7,Image 1,1,1109,
3.22488e+07,,Spot,7,Image 1,1,1113,
7.98444e+07,,Spot,7,Image 1,1,1124,
8.20175e+07,,Spot,7,Image 1,1,1132,
3.07225e+07,,Spot,7,Image 1,1,1133,
3.79926e+08,,Spot,7,Image 1,1,1139,
2.5431e+08,,Spot,7,Image 1,1,1146,
6.10328e+07,,Spot,7,Image 1,1,1149,
3.66939e+07,,Spot,7,Image 1,1,1150,
2.58624e+07,,Spot,7,Image 1,1,1153,
2.19462e+07,,Spot,7,Image 1,1,1154,
2.31217e+08,,Spot,7,Image 1,1,1158,
5.41505e+07,,Spot,7,Image 1,1,1165,
2.0809e+08,,Spot,7,Image 1,1,1169,
6.91065e+07,,Spot,7,Image 1,1,1180,
1.03614e+08,,Spot,7,Image 1,1,1184,
8.89367e+07,,Spot,7,Image 1,1,1185,
2.38966e+08,,Spot,7,Image 1,1,1189,
1.74484e+08,,Spot,7,Image 1,1,1193,
4.80342e+07,,Spot,7,Image 1,1,1196,
3.62452e+07,,Spot,7,Image 1,1,1198,
5.81573e+07,,Spot,7,Image 1,1,1199,
6.04491e+07,,Spot,7,Image 1,1,1201,
1.37362e+08,,Spot,7,Image 1,1,1203,
2.31683e+07,,Spot,7,Image 1,1,1209,
2.54569e+08,,Spot,7,Image 1,1,1210,
3.74315e+07,,Spot,7,Image 1,1,1211,
7.02473e+07,,Spot,7,Image 1,1,1213,
1.16576e+08,,Spot,7,Image 1,1,1216,
2.28354e+08,,Spot,7,Image 1,1,1217,
8.4304e+07,,Spot,7,Image 1,1,1218,
5.14924e+07,,Spot,7,Image 1,1,1226,
1.12723e+08,,Spot,7,Image 1,1,1228,
1.37679e+08,,Spot,7,Image 1,1,1229,
1.62807e+08,,Spot,7,Image 1,1,1232,
3.9558e+07,,Spot,7,Image 1,1,1237,
8.62952e+07,,Spot,7,Image 1,1,1241,
8.24042e+07,,Spot,7,Image 1,1,1242,
6.71003e+07,,Spot,7,Image 1,1,1243,
6.26194e+07,,Spot,7,Image 1,1,1246,
8.24759e+07,,Spot,7,Image 1,1,1258,
1.159e+08,,Spot,7,Image 1,1,1262,
1.04943e+08,,Spot,7,Image 1,1,1264,
2.31415e+07,,Spot,7,Image 1,1,1271,
9.51255e+07,,Spot,7,Image 1,1,1284,
1.2508e+08,,Spot,7,Image 1,1,1288,
4.862e+07,,Spot,7,Image 1,1,1291,
1.60372e+08,,Spot,7,Image 1,1,1301,
1.14176e+07,,Spot,7,Image 1,1,1303,
5.14817e+07,,Spot,7,Image 1,1,1326,
8.33282e+07,,Spot,7,Image 1,1,1327,
3.59502e+07,,Spot,7,Image 1,1,1328,
7.18842e+07,,Spot,7,Image 1,1,1331,
2.53187e+08,,Spot,7,Image 1,1,1332,
