
Intensity Center Ch=7 Img=1
 ==================== 
Intensity Center,Unit,Category,Channel,Image,Time,ID,
1060,,Spot,7,Image 1,1,1094,
1135,,Spot,7,Image 1,1,1096,
868,,Spot,7,Image 1,1,1098,
1041,,Spot,7,Image 1,1,1101,
551,,Spot,7,Image 1,1,1105,
1023,,Spot,7,Image 1,1,1108,
452,,Spot,7,Image 1,1,1109,
1014,,Spot,7,Image 1,1,1113,
1095,,Spot,7,Image 1,1,1124,
605,,Spot,7,Image 1,1,1132,
577,,Spot,7,Image 1,1,1133,
1038,,Spot,7,Image 1,1,1139,
1177,,Spot,7,Image 1,1,1146,
772,,Spot,7,Image 1,1,1149,
1069,,Spot,7,Image 1,1,1150,
325,,Spot,7,Image 1,1,1153,
781,,Spot,7,Image 1,1,1154,
1219,,Spot,7,Image 1,1,1158,
869,,Spot,7,Image 1,1,1165,
1075,,Spot,7,Image 1,1,1169,
1060,,Spot,7,Image 1,1,1180,
1120,,Spot,7,Image 1,1,1184,
656,,Spot,7,Image 1,1,1185,
1129,,Spot,7,Image 1,1,1189,
1165,,Spot,7,Image 1,1,1193,
1004,,Spot,7,Image 1,1,1196,
783,,Spot,7,Image 1,1,1198,
216,,Spot,7,Image 1,1,1199,
1124,,Spot,7,Image 1,1,1201,
1135,,Spot,7,Image 1,1,1203,
742,,Spot,7,Image 1,1,1209,
1096,,Spot,7,Image 1,1,1210,
612,,Spot,7,Image 1,1,1211,
634,,Spot,7,Image 1,1,1213,
1071,,Spot,7,Image 1,1,1216,
1135,,Spot,7,Image 1,1,1217,
672,,Spot,7,Image 1,1,1218,
981,,Spot,7,Image 1,1,1226,
1023,,Spot,7,Image 1,1,1228,
1071,,Spot,7,Image 1,1,1229,
1249,,Spot,7,Image 1,1,1232,
208,,Spot,7,Image 1,1,1237,
1167,,Spot,7,Image 1,1,1241,
1222,,Spot,7,Image 1,1,1242,
541,,Spot,7,Image 1,1,1243,
393,,Spot,7,Image 1,1,1246,
1082,,Spot,7,Image 1,1,1258,
1391,,Spot,7,Image 1,1,1262,
723,,Spot,7,Image 1,1,1264,
249,,Spot,7,Image 1,1,1271,
900,,Spot,7,Image 1,1,1284,
1041,,Spot,7,Image 1,1,1288,
886,,Spot,7,Image 1,1,1291,
1432,,Spot,7,Image 1,1,1301,
456,,Spot,7,Image 1,1,1303,
273,,Spot,7,Image 1,1,1326,
817,,Spot,7,Image 1,1,1327,
476,,Spot,7,Image 1,1,1328,
560,,Spot,7,Image 1,1,1331,
1224,,Spot,7,Image 1,1,1332,
1043,,Spot,7,Image 1,1,1334,
779,,Spot,7,Image 1,1,1336,
537,,Spot,7,Image 1,1,1339,
1476,,Spot,7,Image 1,1,1341,
1151,,Spot,7,Image 1,1,1346,
753,,Spot,7,Image 1,1,1347,
974,,Spot,7,Image 1,1,1351,
1143,,Spot,7,Image 1,1,1353,
479,,Spot,7,Image 1,1,1354,
1185,,Spot,7,Image 1,1,1355,
1086,,Spot,7,Image 1,1,1357,
997,,Spot,7,Image 1,1,1358,
778,,Spot,7,Image 1,1,1359,
1007,,Spot,7,Image 1,1,1361,
781,,Spot,7,Image 1,1,1362,
345,,Spot,7,Image 1,1,1364,
893,,Spot,7,Image 1,1,1370,
554,,Spot,7,Image 1,1,1371,
1067,,Spot,7,Image 1,1,1372,
694,,Spot,7,Image 1,1,1373,
1173,,Spot,7,Image 1,1,1375,
940,,Spot,7,Image 1,1,1376,
493,,Spot,7,Image 1,1,1382,
557,,Spot,7,Image 1,1,1383,
