
Intensity Median Ch=7 Img=1
 ==================== 
Intensity Median,Unit,Category,Channel,Image,Time,ID,
70.528,,Spot,7,Image 1,1,5,
162.84,,Spot,7,Image 1,1,23,
120.2,,Spot,7,Image 1,1,29,
569.7,,Spot,7,Image 1,1,68,
101.904,,Spot,7,Image 1,1,75,
365.388,,Spot,7,Image 1,1,77,
600.896,,Spot,7,Image 1,1,88,
265.738,,Spot,7,Image 1,1,127,
197.5,,Spot,7,Image 1,1,142,
243.576,,Spot,7,Image 1,1,143,
162.88,,Spot,7,Image 1,1,162,
154.195,,Spot,7,Image 1,1,164,
448.506,,Spot,7,Image 1,1,167,
351.136,,Spot,7,Image 1,1,171,
548.788,,Spot,7,Image 1,1,173,
229.968,,Spot,7,Image 1,1,174,
188.6,,Spot,7,Image 1,1,182,
352.912,,Spot,7,Image 1,1,188,
342.232,,Spot,7,Image 1,1,190,
296.494,,Spot,7,Image 1,1,192,
579.248,,Spot,7,Image 1,1,201,
513.776,,Spot,7,Image 1,1,217,
269.728,,Spot,7,Image 1,1,222,
228.8,,Spot,7,Image 1,1,237,
265.4,,Spot,7,Image 1,1,239,
309.264,,Spot,7,Image 1,1,241,
664.648,,Spot,7,Image 1,1,242,
140.04,,Spot,7,Image 1,1,244,
256.232,,Spot,7,Image 1,1,246,
366.16,,Spot,7,Image 1,1,250,
227.072,,Spot,7,Image 1,1,257,
118.04,,Spot,7,Image 1,1,300,
231.533,,Spot,7,Image 1,1,303,
112.867,,Spot,7,Image 1,1,305,
109.104,,Spot,7,Image 1,1,309,
285.152,,Spot,7,Image 1,1,313,
78,,Spot,7,Image 1,1,350,
120.52,,Spot,7,Image 1,1,354,
305.496,,Spot,7,Image 1,1,364,
366.552,,Spot,7,Image 1,1,369,
179.168,,Spot,7,Image 1,1,378,
204.064,,Spot,7,Image 1,1,380,
562.296,,Spot,7,Image 1,1,387,
199.28,,Spot,7,Image 1,1,397,
377.28,,Spot,7,Image 1,1,400,
346.816,,Spot,7,Image 1,1,404,
367.29,,Spot,7,Image 1,1,406,
405.48,,Spot,7,Image 1,1,412,
418.14,,Spot,7,Image 1,1,413,
399.464,,Spot,7,Image 1,1,457,
550.392,,Spot,7,Image 1,1,458,
415.044,,Spot,7,Image 1,1,461,
70.792,,Spot,7,Image 1,1,484,
109.063,,Spot,7,Image 1,1,485,
68.16,,Spot,7,Image 1,1,487,
63.072,,Spot,7,Image 1,1,498,
49.476,,Spot,7,Image 1,1,509,
94.5,,Spot,7,Image 1,1,510,
108.192,,Spot,7,Image 1,1,513,
177.024,,Spot,7,Image 1,1,518,
109.038,,Spot,7,Image 1,1,520,
132.54,,Spot,7,Image 1,1,522,
237.252,,Spot,7,Image 1,1,528,
128.724,,Spot,7,Image 1,1,552,
94.551,,Spot,7,Image 1,1,565,
297.08,,Spot,7,Image 1,1,572,
175.984,,Spot,7,Image 1,1,604,
139.392,,Spot,7,Image 1,1,615,
134.252,,Spot,7,Image 1,1,616,
63.12,,Spot,7,Image 1,1,626,
224.392,,Spot,7,Image 1,1,631,
195.6,,Spot,7,Image 1,1,661,
195.143,,Spot,7,Image 1,1,688,
322.208,,Spot,7,Image 1,1,693,
309.296,,Spot,7,Image 1,1,696,
893.068,,Spot,7,Image 1,1,704,
263.08,,Spot,7,Image 1,1,707,
1182.83,,Spot,7,Image 1,1,714,
349.74,,Spot,7,Image 1,1,716,
374.472,,Spot,7,Image 1,1,718,
447.936,,Spot,7,Image 1,1,730,
300.864,,Spot,7,Image 1,1,748,
129.165,,Spot,7,Image 1,1,762,
101.664,,Spot,7,Image 1,1,780,
59.994,,Spot,7,Image 1,1,782,
87.075,,Spot,7,Image 1,1,783,
282.561,,Spot,7,Image 1,1,789,
89.16,,Spot,7,Image 1,1,790,
0.0559998,,Spot,7,Image 1,1,792,
58.136,,Spot,7,Image 1,1,794,
202.032,,Spot,7,Image 1,1,797,
80.937,,Spot,7,Image 1,1,798,
