
Intensity Center Ch=2 Img=1
 ==================== 
Intensity Center,Unit,Category,Channel,Image,Time,ID,
150,,Spot,2,Image 1,1,5,
89,,Spot,2,Image 1,1,23,
96,,Spot,2,Image 1,1,29,
119,,Spot,2,Image 1,1,68,
111,,Spot,2,Image 1,1,75,
40,,Spot,2,Image 1,1,77,
128,,Spot,2,Image 1,1,88,
322,,Spot,2,Image 1,1,127,
36,,Spot,2,Image 1,1,142,
42,,Spot,2,Image 1,1,143,
309,,Spot,2,Image 1,1,162,
105,,Spot,2,Image 1,1,164,
49,,Spot,2,Image 1,1,167,
66,,Spot,2,Image 1,1,171,
211,,Spot,2,Image 1,1,173,
58,,Spot,2,Image 1,1,174,
331,,Spot,2,Image 1,1,182,
152,,Spot,2,Image 1,1,188,
48,,Spot,2,Image 1,1,190,
44,,Spot,2,Image 1,1,192,
159,,Spot,2,Image 1,1,201,
148,,Spot,2,Image 1,1,217,
52,,Spot,2,Image 1,1,222,
37,,Spot,2,Image 1,1,237,
54,,Spot,2,Image 1,1,239,
42,,Spot,2,Image 1,1,241,
97,,Spot,2,Image 1,1,242,
154,,Spot,2,Image 1,1,244,
63,,Spot,2,Image 1,1,246,
110,,Spot,2,Image 1,1,250,
28,,Spot,2,Image 1,1,257,
99,,Spot,2,Image 1,1,300,
108,,Spot,2,Image 1,1,303,
34,,Spot,2,Image 1,1,305,
31,,Spot,2,Image 1,1,309,
55,,Spot,2,Image 1,1,313,
53,,Spot,2,Image 1,1,350,
222,,Spot,2,Image 1,1,354,
181,,Spot,2,Image 1,1,364,
86,,Spot,2,Image 1,1,369,
73,,Spot,2,Image 1,1,378,
156,,Spot,2,Image 1,1,380,
81,,Spot,2,Image 1,1,387,
35,,Spot,2,Image 1,1,397,
64,,Spot,2,Image 1,1,400,
43,,Spot,2,Image 1,1,404,
63,,Spot,2,Image 1,1,406,
74,,Spot,2,Image 1,1,412,
41,,Spot,2,Image 1,1,413,
47,,Spot,2,Image 1,1,457,
40,,Spot,2,Image 1,1,458,
134,,Spot,2,Image 1,1,461,
75,,Spot,2,Image 1,1,484,
127,,Spot,2,Image 1,1,485,
114,,Spot,2,Image 1,1,487,
57,,Spot,2,Image 1,1,498,
32,,Spot,2,Image 1,1,509,
60,,Spot,2,Image 1,1,510,
31,,Spot,2,Image 1,1,513,
153,,Spot,2,Image 1,1,518,
38,,Spot,2,Image 1,1,520,
215,,Spot,2,Image 1,1,522,
58,,Spot,2,Image 1,1,528,
90,,Spot,2,Image 1,1,552,
42,,Spot,2,Image 1,1,565,
44,,Spot,2,Image 1,1,572,
151,,Spot,2,Image 1,1,604,
37,,Spot,2,Image 1,1,615,
