
Average Distance To 9 Nearest Neighbours
 ==================== 
Average Distance To 9 Nearest Neighbours,Unit,Category,Time,ID,
62.8124,µm,Spot,1,5,
53.9824,µm,Spot,1,23,
53.1396,µm,Spot,1,29,
63.5515,µm,Spot,1,68,
52.0434,µm,Spot,1,75,
47.409,µm,Spot,1,77,
50.3458,µm,Spot,1,88,
45.2662,µm,Spot,1,127,
32.9716,µm,Spot,1,142,
35.8903,µm,Spot,1,143,
36.4067,µm,Spot,1,162,
35.5396,µm,Spot,1,164,
36.1666,µm,Spot,1,167,
40.4345,µm,Spot,1,171,
31.1998,µm,Spot,1,173,
51.0956,µm,Spot,1,174,
32.9198,µm,Spot,1,182,
45.1839,µm,Spot,1,188,
48.8961,µm,Spot,1,190,
38.6676,µm,Spot,1,192,
27.1805,µm,Spot,1,201,
43.8326,µm,Spot,1,217,
39.5189,µm,Spot,1,222,
41.4359,µm,Spot,1,237,
34.9262,µm,Spot,1,239,
32.4485,µm,Spot,1,241,
40.9396,µm,Spot,1,242,
46.5024,µm,Spot,1,244,
36.8296,µm,Spot,1,246,
35.0583,µm,Spot,1,250,
52.5608,µm,Spot,1,257,
35.2926,µm,Spot,1,300,
42.9809,µm,Spot,1,303,
32.5902,µm,Spot,1,305,
42.1463,µm,Spot,1,309,
33.7343,µm,Spot,1,313,
48.8358,µm,Spot,1,350,
44.1561,µm,Spot,1,354,
45.113,µm,Spot,1,364,
39.1779,µm,Spot,1,369,
38.6021,µm,Spot,1,378,
38.2279,µm,Spot,1,380,
40.2645,µm,Spot,1,387,
29.4496,µm,Spot,1,397,
46.3682,µm,Spot,1,400,
28.7527,µm,Spot,1,404,
27.4047,µm,Spot,1,406,
34.9975,µm,Spot,1,412,
29.9006,µm,Spot,1,413,
62.3775,µm,Spot,1,457,
45.4904,µm,Spot,1,458,
42.2777,µm,Spot,1,461,
43.3321,µm,Spot,1,484,
44.1232,µm,Spot,1,485,
44.7168,µm,Spot,1,487,
36.7432,µm,Spot,1,498,
48.9552,µm,Spot,1,509,
46.9116,µm,Spot,1,510,
49.2192,µm,Spot,1,513,
45.2486,µm,Spot,1,518,
43.6391,µm,Spot,1,520,
47.9677,µm,Spot,1,522,
45.7258,µm,Spot,1,528,
41.6199,µm,Spot,1,552,
53.5494,µm,Spot,1,565,
54.8943,µm,Spot,1,572,
55.0992,µm,Spot,1,604,
54.3814,µm,Spot,1,615,
55.6574,µm,Spot,1,616,
54.7927,µm,Spot,1,626,
54.1806,µm,Spot,1,631,
45.3883,µm,Spot,1,661,
47.4889,µm,Spot,1,688,
65.8282,µm,Spot,1,693,
40.0028,µm,Spot,1,696,
40.3171,µm,Spot,1,704,
40.6474,µm,Spot,1,707,
44.4688,µm,Spot,1,714,
37.2179,µm,Spot,1,716,
41.0922,µm,Spot,1,718,
89.2217,µm,Spot,1,730,
65.0785,µm,Spot,1,748,
75.9338,µm,Spot,1,762,
36.4747,µm,Spot,1,780,
39.4159,µm,Spot,1,782,
40.8851,µm,Spot,1,783,
38.3016,µm,Spot,1,789,
34.387,µm,Spot,1,790,
39.3204,µm,Spot,1,792,
36.6219,µm,Spot,1,794,
37.5444,µm,Spot,1,797,
38.8099,µm,Spot,1,798,
40.5877,µm,Spot,1,800,
28.7609,µm,Spot,1,809,
43.7649,µm,Spot,1,812,
40.9977,µm,Spot,1,814,
40.8934,µm,Spot,1,822,
36.9029,µm,Spot,1,823,
39.3282,µm,Spot,1,825,
59.1489,µm,Spot,1,829,
33.3891,µm,Spot,1,830,
46.9215,µm,Spot,1,835,
38.6006,µm,Spot,1,837,
44.3475,µm,Spot,1,845,
55.9066,µm,Spot,1,889,
51.1821,µm,Spot,1,900,
53.8791,µm,Spot,1,903,
50.0073,µm,Spot,1,905,
51.4559,µm,Spot,1,906,
56.1494,µm,Spot,1,914,
43.658,µm,Spot,1,917,
41.2484,µm,Spot,1,921,
43.6637,µm,Spot,1,923,
45.9011,µm,Spot,1,933,
53.1791,µm,Spot,1,936,
46.6106,µm,Spot,1,937,
54.3397,µm,Spot,1,939,
42.0752,µm,Spot,1,941,
39.6915,µm,Spot,1,949,
52.9829,µm,Spot,1,952,
56.6233,µm,Spot,1,965,
56.8311,µm,Spot,1,978,
58.3554,µm,Spot,1,989,
47.2791,µm,Spot,1,994,
52.3727,µm,Spot,1,997,
44.2568,µm,Spot,1,1010,
54.186,µm,Spot,1,1018,
44.4959,µm,Spot,1,1021,
40.0319,µm,Spot,1,1033,
33.9818,µm,Spot,1,1041,
45.2071,µm,Spot,1,1043,
37.9206,µm,Spot,1,1048,
48.4438,µm,Spot,1,1054,
44.6075,µm,Spot,1,1064,
35.094,µm,Spot,1,1065,
43.9642,µm,Spot,1,1070,
39.0347,µm,Spot,1,1073,
45.3131,µm,Spot,1,1076,
36.8287,µm,Spot,1,1077,
41.2432,µm,Spot,1,1085,
