
Shortest Distance to Surfaces Surfaces=tumor_core
 ==================== 
Shortest Distance to Surfaces,Unit,Category,Surfaces,Time,ID,
232.613,µm,Spot,tumor_core,11,23838,
245.066,µm,Spot,tumor_core,11,23840,
265.878,µm,Spot,tumor_core,11,23841,
226.43,µm,Spot,tumor_core,11,23843,
246.307,µm,Spot,tumor_core,11,23844,
261.956,µm,Spot,tumor_core,11,23845,
166.95,µm,Spot,tumor_core,11,23853,
269.982,µm,Spot,tumor_core,11,23857,
-12.6007,µm,Spot,tumor_core,11,23859,
-4.54176,µm,Spot,tumor_core,11,23861,
-8.44738,µm,Spot,tumor_core,11,23871,
-33.2051,µm,Spot,tumor_core,11,23882,
-6.47927,µm,Spot,tumor_core,11,23883,
-35.416,µm,Spot,tumor_core,11,23885,
-11.5512,µm,Spot,tumor_core,11,23902,
23.8772,µm,Spot,tumor_core,11,23949,
6.69015,µm,Spot,tumor_core,11,23960,
123.813,µm,Spot,tumor_core,11,23978,
1.69227,µm,Spot,tumor_core,11,24005,
203.904,µm,Spot,tumor_core,11,24045,
207.997,µm,Spot,tumor_core,11,24048,
203.855,µm,Spot,tumor_core,11,24052,
226.744,µm,Spot,tumor_core,11,24063,
397.382,µm,Spot,tumor_core,11,24091,
340.167,µm,Spot,tumor_core,11,24101,
428.273,µm,Spot,tumor_core,11,24120,
467.127,µm,Spot,tumor_core,11,24123,
50.7782,µm,Spot,tumor_core,11,24131,
80.7347,µm,Spot,tumor_core,11,24138,
119.13,µm,Spot,tumor_core,11,24144,
35.7378,µm,Spot,tumor_core,11,24148,
-0.798825,µm,Spot,tumor_core,11,24153,
27.0253,µm,Spot,tumor_core,11,24159,
12.4304,µm,Spot,tumor_core,11,24160,
6.40393,µm,Spot,tumor_core,11,24161,
55.0369,µm,Spot,tumor_core,11,24165,
4.55286,µm,Spot,tumor_core,11,24166,
187.476,µm,Spot,tumor_core,11,24175,
158.9,µm,Spot,tumor_core,11,24188,
25.5266,µm,Spot,tumor_core,11,24231,
-39.9346,µm,Spot,tumor_core,11,24242,
-26.2905,µm,Spot,tumor_core,11,24244,
-40.4553,µm,Spot,tumor_core,11,24245,
-10.5139,µm,Spot,tumor_core,11,24252,
-25.9372,µm,Spot,tumor_core,11,24254,
-14.376,µm,Spot,tumor_core,11,24258,
-13.2937,µm,Spot,tumor_core,11,24261,
16.8254,µm,Spot,tumor_core,11,24269,
11.3149,µm,Spot,tumor_core,11,24281,
185.439,µm,Spot,tumor_core,11,24285,
-9.38814,µm,Spot,tumor_core,11,24313,
-47.0146,µm,Spot,tumor_core,11,24314,
-48.1797,µm,Spot,tumor_core,11,24315,
-22.9097,µm,Spot,tumor_core,11,24322,
-4.90875,µm,Spot,tumor_core,11,24324,
-8.94058,µm,Spot,tumor_core,11,24330,
-4.44055,µm,Spot,tumor_core,11,24398,
222.569,µm,Spot,tumor_core,11,24414,
218.32,µm,Spot,tumor_core,11,24416,
392.925,µm,Spot,tumor_core,11,24440,
451.861,µm,Spot,tumor_core,11,24451,
-5.27235,µm,Spot,tumor_core,11,24497,
