
Intensity Median Ch=3 Img=1
 ==================== 
Intensity Median,Unit,Category,Channel,Image,Time,ID,
207.596,,Spot,3,Image 1,1,5,
300.816,,Spot,3,Image 1,1,23,
241.016,,Spot,3,Image 1,1,29,
549.36,,Spot,3,Image 1,1,68,
175.92,,Spot,3,Image 1,1,75,
351.042,,Spot,3,Image 1,1,77,
523.22,,Spot,3,Image 1,1,88,
280.964,,Spot,3,Image 1,1,127,
195.08,,Spot,3,Image 1,1,142,
235.024,,Spot,3,Image 1,1,143,
189.28,,Spot,3,Image 1,1,162,
202.45,,Spot,3,Image 1,1,164,
376.956,,Spot,3,Image 1,1,167,
331.08,,Spot,3,Image 1,1,171,
457.136,,Spot,3,Image 1,1,173,
255.4,,Spot,3,Image 1,1,174,
225.216,,Spot,3,Image 1,1,182,
300.864,,Spot,3,Image 1,1,188,
304.6,,Spot,3,Image 1,1,190,
230.9,,Spot,3,Image 1,1,192,
417.408,,Spot,3,Image 1,1,201,
473.072,,Spot,3,Image 1,1,217,
268.664,,Spot,3,Image 1,1,222,
217.68,,Spot,3,Image 1,1,237,
258.124,,Spot,3,Image 1,1,239,
248.6,,Spot,3,Image 1,1,241,
455.48,,Spot,3,Image 1,1,242,
128.424,,Spot,3,Image 1,1,244,
209.504,,Spot,3,Image 1,1,246,
284.72,,Spot,3,Image 1,1,250,
211.24,,Spot,3,Image 1,1,257,
146.76,,Spot,3,Image 1,1,300,
289.788,,Spot,3,Image 1,1,303,
197.942,,Spot,3,Image 1,1,305,
191.068,,Spot,3,Image 1,1,309,
259.168,,Spot,3,Image 1,1,313,
107.384,,Spot,3,Image 1,1,350,
190.04,,Spot,3,Image 1,1,354,
238.56,,Spot,3,Image 1,1,364,
281.32,,Spot,3,Image 1,1,369,
190.912,,Spot,3,Image 1,1,378,
223.164,,Spot,3,Image 1,1,380,
429.208,,Spot,3,Image 1,1,387,
220.92,,Spot,3,Image 1,1,397,
316.88,,Spot,3,Image 1,1,400,
288.51,,Spot,3,Image 1,1,404,
271.426,,Spot,3,Image 1,1,406,
301.088,,Spot,3,Image 1,1,412,
308.224,,Spot,3,Image 1,1,413,
292.724,,Spot,3,Image 1,1,457,
381.704,,Spot,3,Image 1,1,458,
327.412,,Spot,3,Image 1,1,461,
234.096,,Spot,3,Image 1,1,484,
373.698,,Spot,3,Image 1,1,485,
251.76,,Spot,3,Image 1,1,487,
137.44,,Spot,3,Image 1,1,498,
135.832,,Spot,3,Image 1,1,509,
169.36,,Spot,3,Image 1,1,510,
188.048,,Spot,3,Image 1,1,513,
283.904,,Spot,3,Image 1,1,518,
329,,Spot,3,Image 1,1,520,
243.12,,Spot,3,Image 1,1,522,
331.52,,Spot,3,Image 1,1,528,
252.016,,Spot,3,Image 1,1,552,
177.628,,Spot,3,Image 1,1,565,
281,,Spot,3,Image 1,1,572,
177.976,,Spot,3,Image 1,1,604,
175.664,,Spot,3,Image 1,1,615,
198.792,,Spot,3,Image 1,1,616,
104.832,,Spot,3,Image 1,1,626,
222.8,,Spot,3,Image 1,1,631,
276.68,,Spot,3,Image 1,1,661,
336.072,,Spot,3,Image 1,1,688,
270.936,,Spot,3,Image 1,1,693,
332.202,,Spot,3,Image 1,1,696,
620.232,,Spot,3,Image 1,1,704,
251.48,,Spot,3,Image 1,1,707,
985.89,,Spot,3,Image 1,1,714,
280.256,,Spot,3,Image 1,1,716,
311.76,,Spot,3,Image 1,1,718,
340.992,,Spot,3,Image 1,1,730,
280.288,,Spot,3,Image 1,1,748,
143.881,,Spot,3,Image 1,1,762,
341.08,,Spot,3,Image 1,1,780,
304.928,,Spot,3,Image 1,1,782,
278.256,,Spot,3,Image 1,1,783,
450.008,,Spot,3,Image 1,1,789,
248.584,,Spot,3,Image 1,1,790,
96.304,,Spot,3,Image 1,1,792,
213.522,,Spot,3,Image 1,1,794,
500.208,,Spot,3,Image 1,1,797,
224.908,,Spot,3,Image 1,1,798,
257.168,,Spot,3,Image 1,1,800,
264.76,,Spot,3,Image 1,1,809,
219.24,,Spot,3,Image 1,1,812,
154.944,,Spot,3,Image 1,1,814,
233.5,,Spot,3,Image 1,1,822,
228.92,,Spot,3,Image 1,1,823,
161.12,,Spot,3,Image 1,1,825,
149.56,,Spot,3,Image 1,1,829,
180.832,,Spot,3,Image 1,1,830,
196.28,,Spot,3,Image 1,1,835,
196.8,,Spot,3,Image 1,1,837,
195.99,,Spot,3,Image 1,1,845,
208.16,,Spot,3,Image 1,1,889,
134.976,,Spot,3,Image 1,1,900,
161.936,,Spot,3,Image 1,1,903,
124.072,,Spot,3,Image 1,1,905,
183.848,,Spot,3,Image 1,1,906,
169.932,,Spot,3,Image 1,1,914,
178.856,,Spot,3,Image 1,1,917,
188.192,,Spot,3,Image 1,1,921,
