
Intensity Sum of Square Ch=2 Img=1
 ==================== 
Intensity Sum of Square,Unit,Category,Channel,Image,Time,ID,
1.40055e+07,,Spot,2,Image 1,1,5,
1.33338e+07,,Spot,2,Image 1,1,23,
1.3074e+07,,Spot,2,Image 1,1,29,
2.37067e+07,,Spot,2,Image 1,1,68,
7.91443e+06,,Spot,2,Image 1,1,75,
1.56634e+07,,Spot,2,Image 1,1,77,
1.13554e+07,,Spot,2,Image 1,1,88,
6.657e+06,,Spot,2,Image 1,1,127,
4.66378e+06,,Spot,2,Image 1,1,142,
6.81693e+06,,Spot,2,Image 1,1,143,
7.43128e+06,,Spot,2,Image 1,1,162,
9.06223e+06,,Spot,2,Image 1,1,164,
7.7279e+06,,Spot,2,Image 1,1,167,
6.04064e+06,,Spot,2,Image 1,1,171,
6.19995e+06,,Spot,2,Image 1,1,173,
7.46044e+06,,Spot,2,Image 1,1,174,
5.7415e+06,,Spot,2,Image 1,1,182,
6.1808e+06,,Spot,2,Image 1,1,188,
4.84892e+06,,Spot,2,Image 1,1,190,
2.31067e+06,,Spot,2,Image 1,1,192,
2.97948e+06,,Spot,2,Image 1,1,201,
5.39325e+06,,Spot,2,Image 1,1,217,
4.86746e+06,,Spot,2,Image 1,1,222,
2.68443e+06,,Spot,2,Image 1,1,237,
5.47934e+06,,Spot,2,Image 1,1,239,
5.71796e+06,,Spot,2,Image 1,1,241,
2.63196e+06,,Spot,2,Image 1,1,242,
2.16837e+06,,Spot,2,Image 1,1,244,
2.53469e+06,,Spot,2,Image 1,1,246,
3.03873e+06,,Spot,2,Image 1,1,250,
3.13068e+06,,Spot,2,Image 1,1,257,
5.71914e+06,,Spot,2,Image 1,1,300,
6.21967e+06,,Spot,2,Image 1,1,303,
5.54339e+06,,Spot,2,Image 1,1,305,
2.16166e+06,,Spot,2,Image 1,1,309,
3.90967e+06,,Spot,2,Image 1,1,313,
2.12462e+06,,Spot,2,Image 1,1,350,
6.27187e+06,,Spot,2,Image 1,1,354,
2.34496e+06,,Spot,2,Image 1,1,364,
1.94766e+06,,Spot,2,Image 1,1,369,
2.98683e+06,,Spot,2,Image 1,1,378,
3.1e+06,,Spot,2,Image 1,1,380,
3.34075e+06,,Spot,2,Image 1,1,387,
2.53604e+06,,Spot,2,Image 1,1,397,
2.69314e+06,,Spot,2,Image 1,1,400,
1.44867e+06,,Spot,2,Image 1,1,404,
1.95115e+06,,Spot,2,Image 1,1,406,
2.72537e+06,,Spot,2,Image 1,1,412,
2.03266e+06,,Spot,2,Image 1,1,413,
1.60818e+06,,Spot,2,Image 1,1,457,
1.96678e+06,,Spot,2,Image 1,1,458,
2.06195e+06,,Spot,2,Image 1,1,461,
8.76078e+06,,Spot,2,Image 1,1,484,
9.28029e+06,,Spot,2,Image 1,1,485,
5.01928e+06,,Spot,2,Image 1,1,487,
1.04726e+07,,Spot,2,Image 1,1,498,
3.94276e+06,,Spot,2,Image 1,1,509,
1.25562e+06,,Spot,2,Image 1,1,510,
2.3155e+06,,Spot,2,Image 1,1,513,
5.43621e+06,,Spot,2,Image 1,1,518,
5.88343e+06,,Spot,2,Image 1,1,520,
4.21568e+06,,Spot,2,Image 1,1,522,
5.34155e+06,,Spot,2,Image 1,1,528,
5.68477e+06,,Spot,2,Image 1,1,552,
1.6433e+06,,Spot,2,Image 1,1,565,
3.338e+06,,Spot,2,Image 1,1,572,
3.33639e+06,,Spot,2,Image 1,1,604,
2.58158e+06,,Spot,2,Image 1,1,615,
2.02339e+06,,Spot,2,Image 1,1,616,
3.21846e+06,,Spot,2,Image 1,1,626,
1.93123e+06,,Spot,2,Image 1,1,631,
1.89336e+06,,Spot,2,Image 1,1,661,
2.38345e+06,,Spot,2,Image 1,1,688,
1.62313e+06,,Spot,2,Image 1,1,693,
1.9788e+06,,Spot,2,Image 1,1,696,
1.83041e+06,,Spot,2,Image 1,1,704,
1.90721e+06,,Spot,2,Image 1,1,707,
2.01755e+06,,Spot,2,Image 1,1,714,
1.71039e+06,,Spot,2,Image 1,1,716,
1.65756e+06,,Spot,2,Image 1,1,718,
1.09422e+06,,Spot,2,Image 1,1,730,
2.2646e+06,,Spot,2,Image 1,1,748,
1.80192e+06,,Spot,2,Image 1,1,762,
2.65919e+06,,Spot,2,Image 1,1,780,
2.65782e+06,,Spot,2,Image 1,1,782,
2.21186e+06,,Spot,2,Image 1,1,783,
4.60417e+06,,Spot,2,Image 1,1,789,
3.24066e+06,,Spot,2,Image 1,1,790,
6.22797e+06,,Spot,2,Image 1,1,792,
7.13435e+06,,Spot,2,Image 1,1,794,
6.37252e+06,,Spot,2,Image 1,1,797,
3.58453e+06,,Spot,2,Image 1,1,798,
3.07915e+06,,Spot,2,Image 1,1,800,
4.82819e+06,,Spot,2,Image 1,1,809,
2.84536e+06,,Spot,2,Image 1,1,812,
1.85078e+06,,Spot,2,Image 1,1,814,
2.65082e+06,,Spot,2,Image 1,1,822,
2.72857e+06,,Spot,2,Image 1,1,823,
3.14113e+06,,Spot,2,Image 1,1,825,
2.44572e+06,,Spot,2,Image 1,1,829,
3.77054e+06,,Spot,2,Image 1,1,830,
1.85332e+06,,Spot,2,Image 1,1,835,
1.82932e+06,,Spot,2,Image 1,1,837,
1.76359e+06,,Spot,2,Image 1,1,845,
2.16194e+06,,Spot,2,Image 1,1,889,
1.43807e+06,,Spot,2,Image 1,1,900,
1.14513e+06,,Spot,2,Image 1,1,903,
1.49375e+06,,Spot,2,Image 1,1,905,
1.67648e+06,,Spot,2,Image 1,1,906,
1.23488e+06,,Spot,2,Image 1,1,914,
1.3347e+06,,Spot,2,Image 1,1,917,
1.11393e+06,,Spot,2,Image 1,1,921,
1.07678e+06,,Spot,2,Image 1,1,923,
1.66701e+06,,Spot,2,Image 1,1,933,
1.55522e+06,,Spot,2,Image 1,1,936,
1.61957e+06,,Spot,2,Image 1,1,937,
1.29573e+06,,Spot,2,Image 1,1,939,
2.07566e+06,,Spot,2,Image 1,1,941,
1.41675e+06,,Spot,2,Image 1,1,949,
1.22227e+06,,Spot,2,Image 1,1,952,
1.01477e+06,,Spot,2,Image 1,1,965,
