
Intensity Sum Ch=6 Img=1
 ==================== 
Intensity Sum,Unit,Category,Channel,Image,Time,ID,
3475,,Spot,6,Image 1,1,5,
3076,,Spot,6,Image 1,1,23,
3880,,Spot,6,Image 1,1,29,
41,,Spot,6,Image 1,1,68,
4585,,Spot,6,Image 1,1,75,
546,,Spot,6,Image 1,1,77,
52,,Spot,6,Image 1,1,88,
246,,Spot,6,Image 1,1,127,
1028,,Spot,6,Image 1,1,142,
883,,Spot,6,Image 1,1,143,
1467,,Spot,6,Image 1,1,162,
1159,,Spot,6,Image 1,1,164,
61,,Spot,6,Image 1,1,167,
463,,Spot,6,Image 1,1,171,
0,,Spot,6,Image 1,1,173,
240,,Spot,6,Image 1,1,174,
1081,,Spot,6,Image 1,1,182,
151,,Spot,6,Image 1,1,188,
228,,Spot,6,Image 1,1,190,
108,,Spot,6,Image 1,1,192,
120,,Spot,6,Image 1,1,201,
126,,Spot,6,Image 1,1,217,
371,,Spot,6,Image 1,1,222,
552,,Spot,6,Image 1,1,237,
443,,Spot,6,Image 1,1,239,
290,,Spot,6,Image 1,1,241,
0,,Spot,6,Image 1,1,242,
1028,,Spot,6,Image 1,1,244,
385,,Spot,6,Image 1,1,246,
179,,Spot,6,Image 1,1,250,
309,,Spot,6,Image 1,1,257,
2142,,Spot,6,Image 1,1,300,
1367,,Spot,6,Image 1,1,303,
3208,,Spot,6,Image 1,1,305,
3485,,Spot,6,Image 1,1,309,
657,,Spot,6,Image 1,1,313,
2918,,Spot,6,Image 1,1,350,
2663,,Spot,6,Image 1,1,354,
755,,Spot,6,Image 1,1,364,
330,,Spot,6,Image 1,1,369,
788,,Spot,6,Image 1,1,378,
421,,Spot,6,Image 1,1,380,
0,,Spot,6,Image 1,1,387,
744,,Spot,6,Image 1,1,397,
104,,Spot,6,Image 1,1,400,
215,,Spot,6,Image 1,1,404,
86,,Spot,6,Image 1,1,406,
55,,Spot,6,Image 1,1,412,
90,,Spot,6,Image 1,1,413,
91,,Spot,6,Image 1,1,457,
11,,Spot,6,Image 1,1,458,
179,,Spot,6,Image 1,1,461,
7969,,Spot,6,Image 1,1,484,
6863,,Spot,6,Image 1,1,485,
8760,,Spot,6,Image 1,1,487,
3787,,Spot,6,Image 1,1,498,
3055,,Spot,6,Image 1,1,509,
2538,,Spot,6,Image 1,1,510,
1905,,Spot,6,Image 1,1,513,
2873,,Spot,6,Image 1,1,518,
5229,,Spot,6,Image 1,1,520,
4813,,Spot,6,Image 1,1,522,
1745,,Spot,6,Image 1,1,528,
3592,,Spot,6,Image 1,1,552,
6499,,Spot,6,Image 1,1,565,
398,,Spot,6,Image 1,1,572,
505,,Spot,6,Image 1,1,604,
