
Intensity Min Ch=11 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,ID,
179.805,,Spot,11,Image 1,1,5,
160.924,,Spot,11,Image 1,1,23,
217.806,,Spot,11,Image 1,1,29,
303.54,,Spot,11,Image 1,1,68,
180.018,,Spot,11,Image 1,1,75,
250.79,,Spot,11,Image 1,1,77,
280.349,,Spot,11,Image 1,1,88,
345.34,,Spot,11,Image 1,1,127,
309.085,,Spot,11,Image 1,1,142,
318.724,,Spot,11,Image 1,1,143,
355.36,,Spot,11,Image 1,1,162,
344.491,,Spot,11,Image 1,1,164,
399.437,,Spot,11,Image 1,1,167,
409.336,,Spot,11,Image 1,1,171,
365.877,,Spot,11,Image 1,1,173,
389.569,,Spot,11,Image 1,1,174,
384.745,,Spot,11,Image 1,1,182,
403.804,,Spot,11,Image 1,1,188,
438.595,,Spot,11,Image 1,1,190,
324.065,,Spot,11,Image 1,1,192,
356.408,,Spot,11,Image 1,1,201,
509.106,,Spot,11,Image 1,1,217,
493.837,,Spot,11,Image 1,1,222,
448.95,,Spot,11,Image 1,1,237,
387.664,,Spot,11,Image 1,1,239,
457.534,,Spot,11,Image 1,1,241,
530.598,,Spot,11,Image 1,1,242,
470.426,,Spot,11,Image 1,1,244,
497.64,,Spot,11,Image 1,1,246,
495.674,,Spot,11,Image 1,1,250,
533.423,,Spot,11,Image 1,1,257,
93.533,,Spot,11,Image 1,1,300,
185.583,,Spot,11,Image 1,1,303,
84.2788,,Spot,11,Image 1,1,305,
111.488,,Spot,11,Image 1,1,309,
149.134,,Spot,11,Image 1,1,313,
191.322,,Spot,11,Image 1,1,350,
204.061,,Spot,11,Image 1,1,354,
191.667,,Spot,11,Image 1,1,364,
178.943,,Spot,11,Image 1,1,369,
300.24,,Spot,11,Image 1,1,378,
276.632,,Spot,11,Image 1,1,380,
270.938,,Spot,11,Image 1,1,387,
259.448,,Spot,11,Image 1,1,397,
216.899,,Spot,11,Image 1,1,400,
