
Intensity Max Ch=10 Img=1
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,ID,
434,,Spot,10,Image 1,1,5,
803,,Spot,10,Image 1,1,23,
567,,Spot,10,Image 1,1,29,
456,,Spot,10,Image 1,1,68,
530,,Spot,10,Image 1,1,75,
800,,Spot,10,Image 1,1,77,
397,,Spot,10,Image 1,1,88,
707,,Spot,10,Image 1,1,127,
816,,Spot,10,Image 1,1,142,
566,,Spot,10,Image 1,1,143,
568,,Spot,10,Image 1,1,162,
451,,Spot,10,Image 1,1,164,
464,,Spot,10,Image 1,1,167,
769,,Spot,10,Image 1,1,171,
624,,Spot,10,Image 1,1,173,
532,,Spot,10,Image 1,1,174,
426,,Spot,10,Image 1,1,182,
410,,Spot,10,Image 1,1,188,
492,,Spot,10,Image 1,1,190,
513,,Spot,10,Image 1,1,192,
445,,Spot,10,Image 1,1,201,
643,,Spot,10,Image 1,1,217,
483,,Spot,10,Image 1,1,222,
542,,Spot,10,Image 1,1,237,
458,,Spot,10,Image 1,1,239,
509,,Spot,10,Image 1,1,241,
419,,Spot,10,Image 1,1,242,
826,,Spot,10,Image 1,1,244,
509,,Spot,10,Image 1,1,246,
458,,Spot,10,Image 1,1,250,
585,,Spot,10,Image 1,1,257,
612,,Spot,10,Image 1,1,300,
582,,Spot,10,Image 1,1,303,
483,,Spot,10,Image 1,1,305,
464,,Spot,10,Image 1,1,309,
375,,Spot,10,Image 1,1,313,
657,,Spot,10,Image 1,1,350,
599,,Spot,10,Image 1,1,354,
696,,Spot,10,Image 1,1,364,
602,,Spot,10,Image 1,1,369,
541,,Spot,10,Image 1,1,378,
421,,Spot,10,Image 1,1,380,
499,,Spot,10,Image 1,1,387,
387,,Spot,10,Image 1,1,397,
611,,Spot,10,Image 1,1,400,
392,,Spot,10,Image 1,1,404,
664,,Spot,10,Image 1,1,406,
407,,Spot,10,Image 1,1,412,
601,,Spot,10,Image 1,1,413,
682,,Spot,10,Image 1,1,457,
498,,Spot,10,Image 1,1,458,
553,,Spot,10,Image 1,1,461,
677,,Spot,10,Image 1,1,484,
756,,Spot,10,Image 1,1,485,
665,,Spot,10,Image 1,1,487,
643,,Spot,10,Image 1,1,498,
661,,Spot,10,Image 1,1,509,
388,,Spot,10,Image 1,1,510,
413,,Spot,10,Image 1,1,513,
758,,Spot,10,Image 1,1,518,
657,,Spot,10,Image 1,1,520,
677,,Spot,10,Image 1,1,522,
789,,Spot,10,Image 1,1,528,
544,,Spot,10,Image 1,1,552,
363,,Spot,10,Image 1,1,565,
456,,Spot,10,Image 1,1,572,
504,,Spot,10,Image 1,1,604,
609,,Spot,10,Image 1,1,615,
690,,Spot,10,Image 1,1,616,
731,,Spot,10,Image 1,1,626,
589,,Spot,10,Image 1,1,631,
720,,Spot,10,Image 1,1,661,
810,,Spot,10,Image 1,1,688,
543,,Spot,10,Image 1,1,693,
609,,Spot,10,Image 1,1,696,
606,,Spot,10,Image 1,1,704,
442,,Spot,10,Image 1,1,707,
869,,Spot,10,Image 1,1,714,
720,,Spot,10,Image 1,1,716,
472,,Spot,10,Image 1,1,718,
329,,Spot,10,Image 1,1,730,
764,,Spot,10,Image 1,1,748,
448,,Spot,10,Image 1,1,762,
662,,Spot,10,Image 1,1,780,
675,,Spot,10,Image 1,1,782,
743,,Spot,10,Image 1,1,783,
671,,Spot,10,Image 1,1,789,
656,,Spot,10,Image 1,1,790,
819,,Spot,10,Image 1,1,792,
697,,Spot,10,Image 1,1,794,
798,,Spot,10,Image 1,1,797,
563,,Spot,10,Image 1,1,798,
693,,Spot,10,Image 1,1,800,
713,,Spot,10,Image 1,1,809,
495,,Spot,10,Image 1,1,812,
375,,Spot,10,Image 1,1,814,
600,,Spot,10,Image 1,1,822,
892,,Spot,10,Image 1,1,823,
603,,Spot,10,Image 1,1,825,
633,,Spot,10,Image 1,1,829,
645,,Spot,10,Image 1,1,830,
617,,Spot,10,Image 1,1,835,
496,,Spot,10,Image 1,1,837,
496,,Spot,10,Image 1,1,845,
386,,Spot,10,Image 1,1,889,
599,,Spot,10,Image 1,1,900,
464,,Spot,10,Image 1,1,903,
728,,Spot,10,Image 1,1,905,
549,,Spot,10,Image 1,1,906,
609,,Spot,10,Image 1,1,914,
423,,Spot,10,Image 1,1,917,
485,,Spot,10,Image 1,1,921,
584,,Spot,10,Image 1,1,923,
610,,Spot,10,Image 1,1,933,
806,,Spot,10,Image 1,1,936,
600,,Spot,10,Image 1,1,937,
549,,Spot,10,Image 1,1,939,
777,,Spot,10,Image 1,1,941,
692,,Spot,10,Image 1,1,949,
604,,Spot,10,Image 1,1,952,
739,,Spot,10,Image 1,1,965,
515,,Spot,10,Image 1,1,978,
536,,Spot,10,Image 1,1,989,
377,,Spot,10,Image 1,1,994,
678,,Spot,10,Image 1,1,997,
736,,Spot,10,Image 1,1,1010,
748,,Spot,10,Image 1,1,1018,
471,,Spot,10,Image 1,1,1021,
644,,Spot,10,Image 1,1,1033,
591,,Spot,10,Image 1,1,1041,
424,,Spot,10,Image 1,1,1043,
393,,Spot,10,Image 1,1,1048,
727,,Spot,10,Image 1,1,1054,
607,,Spot,10,Image 1,1,1064,
633,,Spot,10,Image 1,1,1065,
627,,Spot,10,Image 1,1,1070,
