
Intensity Min Ch=9 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,ID,
0,,Spot,9,Image 1,1,5,
0,,Spot,9,Image 1,1,23,
0,,Spot,9,Image 1,1,29,
0,,Spot,9,Image 1,1,68,
0,,Spot,9,Image 1,1,75,
0,,Spot,9,Image 1,1,77,
0,,Spot,9,Image 1,1,88,
0,,Spot,9,Image 1,1,127,
0,,Spot,9,Image 1,1,142,
0,,Spot,9,Image 1,1,143,
0,,Spot,9,Image 1,1,162,
0,,Spot,9,Image 1,1,164,
0,,Spot,9,Image 1,1,167,
0,,Spot,9,Image 1,1,171,
0,,Spot,9,Image 1,1,173,
0,,Spot,9,Image 1,1,174,
0,,Spot,9,Image 1,1,182,
0,,Spot,9,Image 1,1,188,
0,,Spot,9,Image 1,1,190,
0,,Spot,9,Image 1,1,192,
0,,Spot,9,Image 1,1,201,
0,,Spot,9,Image 1,1,217,
0,,Spot,9,Image 1,1,222,
0,,Spot,9,Image 1,1,237,
0,,Spot,9,Image 1,1,239,
0,,Spot,9,Image 1,1,241,
0,,Spot,9,Image 1,1,242,
0,,Spot,9,Image 1,1,244,
0,,Spot,9,Image 1,1,246,
0,,Spot,9,Image 1,1,250,
0,,Spot,9,Image 1,1,257,
0,,Spot,9,Image 1,1,300,
0,,Spot,9,Image 1,1,303,
0,,Spot,9,Image 1,1,305,
0,,Spot,9,Image 1,1,309,
0,,Spot,9,Image 1,1,313,
0,,Spot,9,Image 1,1,350,
0,,Spot,9,Image 1,1,354,
0,,Spot,9,Image 1,1,364,
0,,Spot,9,Image 1,1,369,
0,,Spot,9,Image 1,1,378,
0,,Spot,9,Image 1,1,380,
0,,Spot,9,Image 1,1,387,
0,,Spot,9,Image 1,1,397,
0,,Spot,9,Image 1,1,400,
0,,Spot,9,Image 1,1,404,
0,,Spot,9,Image 1,1,406,
0,,Spot,9,Image 1,1,412,
0,,Spot,9,Image 1,1,413,
0,,Spot,9,Image 1,1,457,
0,,Spot,9,Image 1,1,458,
0,,Spot,9,Image 1,1,461,
0,,Spot,9,Image 1,1,484,
0,,Spot,9,Image 1,1,485,
0,,Spot,9,Image 1,1,487,
0,,Spot,9,Image 1,1,498,
0,,Spot,9,Image 1,1,509,
0,,Spot,9,Image 1,1,510,
0,,Spot,9,Image 1,1,513,
0,,Spot,9,Image 1,1,518,
0,,Spot,9,Image 1,1,520,
0,,Spot,9,Image 1,1,522,
0,,Spot,9,Image 1,1,528,
0,,Spot,9,Image 1,1,552,
0,,Spot,9,Image 1,1,565,
0,,Spot,9,Image 1,1,572,
0,,Spot,9,Image 1,1,604,
0,,Spot,9,Image 1,1,615,
0,,Spot,9,Image 1,1,616,
0,,Spot,9,Image 1,1,626,
0,,Spot,9,Image 1,1,631,
0,,Spot,9,Image 1,1,661,
0,,Spot,9,Image 1,1,688,
0,,Spot,9,Image 1,1,693,
0,,Spot,9,Image 1,1,696,
0,,Spot,9,Image 1,1,704,
0,,Spot,9,Image 1,1,707,
0,,Spot,9,Image 1,1,714,
0,,Spot,9,Image 1,1,716,
0,,Spot,9,Image 1,1,718,
0,,Spot,9,Image 1,1,730,
0,,Spot,9,Image 1,1,748,
0,,Spot,9,Image 1,1,762,
0,,Spot,9,Image 1,1,780,
