
Intensity StdDev Ch=8 Img=1
 ==================== 
Intensity StdDev,Unit,Category,Channel,Image,Time,ID,
160.233,,Spot,8,Image 1,1,5,
295.454,,Spot,8,Image 1,1,23,
200.139,,Spot,8,Image 1,1,29,
136.889,,Spot,8,Image 1,1,68,
143.856,,Spot,8,Image 1,1,75,
219.758,,Spot,8,Image 1,1,77,
109.393,,Spot,8,Image 1,1,88,
160.878,,Spot,8,Image 1,1,127,
182.585,,Spot,8,Image 1,1,142,
178.765,,Spot,8,Image 1,1,143,
166.191,,Spot,8,Image 1,1,162,
131.795,,Spot,8,Image 1,1,164,
113.251,,Spot,8,Image 1,1,167,
220.085,,Spot,8,Image 1,1,171,
159.411,,Spot,8,Image 1,1,173,
190.045,,Spot,8,Image 1,1,174,
122.123,,Spot,8,Image 1,1,182,
107.666,,Spot,8,Image 1,1,188,
135.067,,Spot,8,Image 1,1,190,
118.59,,Spot,8,Image 1,1,192,
114.944,,Spot,8,Image 1,1,201,
190.465,,Spot,8,Image 1,1,217,
120.861,,Spot,8,Image 1,1,222,
143.98,,Spot,8,Image 1,1,237,
99.8014,,Spot,8,Image 1,1,239,
151.994,,Spot,8,Image 1,1,241,
123.938,,Spot,8,Image 1,1,242,
233.419,,Spot,8,Image 1,1,244,
134.066,,Spot,8,Image 1,1,246,
108.629,,Spot,8,Image 1,1,250,
211.577,,Spot,8,Image 1,1,257,
189.712,,Spot,8,Image 1,1,300,
189.96,,Spot,8,Image 1,1,303,
124.046,,Spot,8,Image 1,1,305,
135.329,,Spot,8,Image 1,1,309,
99.3256,,Spot,8,Image 1,1,313,
150.083,,Spot,8,Image 1,1,350,
157.023,,Spot,8,Image 1,1,354,
170.205,,Spot,8,Image 1,1,364,
166.351,,Spot,8,Image 1,1,369,
108.51,,Spot,8,Image 1,1,378,
131.987,,Spot,8,Image 1,1,380,
104.884,,Spot,8,Image 1,1,387,
100.514,,Spot,8,Image 1,1,397,
166.952,,Spot,8,Image 1,1,400,
88.3173,,Spot,8,Image 1,1,404,
155.23,,Spot,8,Image 1,1,406,
111.22,,Spot,8,Image 1,1,412,
159.928,,Spot,8,Image 1,1,413,
200.547,,Spot,8,Image 1,1,457,
106.79,,Spot,8,Image 1,1,458,
143.334,,Spot,8,Image 1,1,461,
234.412,,Spot,8,Image 1,1,484,
255.219,,Spot,8,Image 1,1,485,
180.964,,Spot,8,Image 1,1,487,
215.478,,Spot,8,Image 1,1,498,
183.755,,Spot,8,Image 1,1,509,
119.442,,Spot,8,Image 1,1,510,
145.155,,Spot,8,Image 1,1,513,
293.418,,Spot,8,Image 1,1,518,
183.417,,Spot,8,Image 1,1,520,
154.789,,Spot,8,Image 1,1,522,
340.687,,Spot,8,Image 1,1,528,
170.39,,Spot,8,Image 1,1,552,
84.4382,,Spot,8,Image 1,1,565,
120.147,,Spot,8,Image 1,1,572,
139.486,,Spot,8,Image 1,1,604,
169.044,,Spot,8,Image 1,1,615,
128.997,,Spot,8,Image 1,1,616,
185.948,,Spot,8,Image 1,1,626,
134.724,,Spot,8,Image 1,1,631,
244.444,,Spot,8,Image 1,1,661,
