
Intensity Median Ch=11 Img=1
 ==================== 
Intensity Median,Unit,Category,Channel,Image,Time,ID,
183.757,,Spot,11,Image 1,1,5,
165.455,,Spot,11,Image 1,1,23,
222.491,,Spot,11,Image 1,1,29,
308.173,,Spot,11,Image 1,1,68,
184.661,,Spot,11,Image 1,1,75,
255.313,,Spot,11,Image 1,1,77,
283.705,,Spot,11,Image 1,1,88,
348.787,,Spot,11,Image 1,1,127,
313.903,,Spot,11,Image 1,1,142,
323.313,,Spot,11,Image 1,1,143,
360.152,,Spot,11,Image 1,1,162,
349.015,,Spot,11,Image 1,1,164,
404.214,,Spot,11,Image 1,1,167,
413.926,,Spot,11,Image 1,1,171,
370.51,,Spot,11,Image 1,1,173,
392.857,,Spot,11,Image 1,1,174,
389.395,,Spot,11,Image 1,1,182,
408.331,,Spot,11,Image 1,1,188,
443.269,,Spot,11,Image 1,1,190,
328.439,,Spot,11,Image 1,1,192,
360.944,,Spot,11,Image 1,1,201,
513.768,,Spot,11,Image 1,1,217,
498.242,,Spot,11,Image 1,1,222,
453.362,,Spot,11,Image 1,1,237,
392.079,,Spot,11,Image 1,1,239,
461.848,,Spot,11,Image 1,1,241,
535.392,,Spot,11,Image 1,1,242,
475.034,,Spot,11,Image 1,1,244,
502.361,,Spot,11,Image 1,1,246,
500.23,,Spot,11,Image 1,1,250,
537.961,,Spot,11,Image 1,1,257,
98.047,,Spot,11,Image 1,1,300,
190.488,,Spot,11,Image 1,1,303,
88.9715,,Spot,11,Image 1,1,305,
116.22,,Spot,11,Image 1,1,309,
153.898,,Spot,11,Image 1,1,313,
196.145,,Spot,11,Image 1,1,350,
208.596,,Spot,11,Image 1,1,354,
196.516,,Spot,11,Image 1,1,364,
183.865,,Spot,11,Image 1,1,369,
304.88,,Spot,11,Image 1,1,378,
281.294,,Spot,11,Image 1,1,380,
275.455,,Spot,11,Image 1,1,387,
263.773,,Spot,11,Image 1,1,397,
221.574,,Spot,11,Image 1,1,400,
334.191,,Spot,11,Image 1,1,404,
293.967,,Spot,11,Image 1,1,406,
335.696,,Spot,11,Image 1,1,412,
323.59,,Spot,11,Image 1,1,413,
455.159,,Spot,11,Image 1,1,457,
419.822,,Spot,11,Image 1,1,458,
421.591,,Spot,11,Image 1,1,461,
5.87145,,Spot,11,Image 1,1,484,
5.87145,,Spot,11,Image 1,1,485,
3.90778,,Spot,11,Image 1,1,487,
6.59371,,Spot,11,Image 1,1,498,
44.4582,,Spot,11,Image 1,1,509,
56.5278,,Spot,11,Image 1,1,510,
41.6855,,Spot,11,Image 1,1,513,
59.1593,,Spot,11,Image 1,1,518,
34.4118,,Spot,11,Image 1,1,520,
77.7258,,Spot,11,Image 1,1,522,
24.5098,,Spot,11,Image 1,1,528,
55.5602,,Spot,11,Image 1,1,552,
81.3138,,Spot,11,Image 1,1,565,
210.37,,Spot,11,Image 1,1,572,
164.432,,Spot,11,Image 1,1,604,
107.198,,Spot,11,Image 1,1,615,
109.851,,Spot,11,Image 1,1,616,
151.635,,Spot,11,Image 1,1,626,
121.304,,Spot,11,Image 1,1,631,
149.931,,Spot,11,Image 1,1,661,
190.089,,Spot,11,Image 1,1,688,
221.735,,Spot,11,Image 1,1,693,
163.968,,Spot,11,Image 1,1,696,
139.274,,Spot,11,Image 1,1,704,
135.25,,Spot,11,Image 1,1,707,
177.455,,Spot,11,Image 1,1,714,
229.145,,Spot,11,Image 1,1,716,
234.974,,Spot,11,Image 1,1,718,
293.827,,Spot,11,Image 1,1,730,
274.375,,Spot,11,Image 1,1,748,
318.297,,Spot,11,Image 1,1,762,
15.6477,,Spot,11,Image 1,1,780,
15.6477,,Spot,11,Image 1,1,782,
15.6477,,Spot,11,Image 1,1,783,
9.77532,,Spot,11,Image 1,1,789,
9.77532,,Spot,11,Image 1,1,790,
7.82534,,Spot,11,Image 1,1,792,
5.87145,,Spot,11,Image 1,1,794,
1.9578,,Spot,11,Image 1,1,797,
1.9578,,Spot,11,Image 1,1,798,
0,,Spot,11,Image 1,1,800,
0,,Spot,11,Image 1,1,809,
24.9508,,Spot,11,Image 1,1,812,
17.3582,,Spot,11,Image 1,1,814,
15.6487,,Spot,11,Image 1,1,822,
13.6929,,Spot,11,Image 1,1,823,
9.77532,,Spot,11,Image 1,1,825,
7.82534,,Spot,11,Image 1,1,829,
5.87145,,Spot,11,Image 1,1,830,
0,,Spot,11,Image 1,1,835,
0.000488961,,Spot,11,Image 1,1,837,
2.13604,,Spot,11,Image 1,1,845,
82.5085,,Spot,11,Image 1,1,889,
53.5307,,Spot,11,Image 1,1,900,
46.572,,Spot,11,Image 1,1,903,
7.69407,,Spot,11,Image 1,1,905,
24.488,,Spot,11,Image 1,1,906,
174.602,,Spot,11,Image 1,1,914,
98.1475,,Spot,11,Image 1,1,917,
136.033,,Spot,11,Image 1,1,921,
114.816,,Spot,11,Image 1,1,923,
92.6796,,Spot,11,Image 1,1,933,
148.174,,Spot,11,Image 1,1,936,
141.535,,Spot,11,Image 1,1,937,
58.1038,,Spot,11,Image 1,1,939,
118.121,,Spot,11,Image 1,1,941,
100.962,,Spot,11,Image 1,1,949,
169.607,,Spot,11,Image 1,1,952,
291.442,,Spot,11,Image 1,1,965,
273.421,,Spot,11,Image 1,1,978,
