
Intensity Center Ch=3 Img=1
 ==================== 
Intensity Center,Unit,Category,Channel,Image,Time,ID,
225,,Spot,3,Image 1,1,5,
727,,Spot,3,Image 1,1,23,
303,,Spot,3,Image 1,1,29,
725,,Spot,3,Image 1,1,68,
386,,Spot,3,Image 1,1,75,
839,,Spot,3,Image 1,1,77,
732,,Spot,3,Image 1,1,88,
733,,Spot,3,Image 1,1,127,
462,,Spot,3,Image 1,1,142,
542,,Spot,3,Image 1,1,143,
494,,Spot,3,Image 1,1,162,
476,,Spot,3,Image 1,1,164,
463,,Spot,3,Image 1,1,167,
985,,Spot,3,Image 1,1,171,
682,,Spot,3,Image 1,1,173,
698,,Spot,3,Image 1,1,174,
333,,Spot,3,Image 1,1,182,
371,,Spot,3,Image 1,1,188,
655,,Spot,3,Image 1,1,190,
727,,Spot,3,Image 1,1,192,
836,,Spot,3,Image 1,1,201,
814,,Spot,3,Image 1,1,217,
371,,Spot,3,Image 1,1,222,
402,,Spot,3,Image 1,1,237,
450,,Spot,3,Image 1,1,239,
941,,Spot,3,Image 1,1,241,
851,,Spot,3,Image 1,1,242,
1023,,Spot,3,Image 1,1,244,
372,,Spot,3,Image 1,1,246,
604,,Spot,3,Image 1,1,250,
944,,Spot,3,Image 1,1,257,
639,,Spot,3,Image 1,1,300,
652,,Spot,3,Image 1,1,303,
393,,Spot,3,Image 1,1,305,
300,,Spot,3,Image 1,1,309,
451,,Spot,3,Image 1,1,313,
821,,Spot,3,Image 1,1,350,
463,,Spot,3,Image 1,1,354,
929,,Spot,3,Image 1,1,364,
654,,Spot,3,Image 1,1,369,
399,,Spot,3,Image 1,1,378,
657,,Spot,3,Image 1,1,380,
580,,Spot,3,Image 1,1,387,
315,,Spot,3,Image 1,1,397,
606,,Spot,3,Image 1,1,400,
273,,Spot,3,Image 1,1,404,
1023,,Spot,3,Image 1,1,406,
525,,Spot,3,Image 1,1,412,
907,,Spot,3,Image 1,1,413,
1023,,Spot,3,Image 1,1,457,
475,,Spot,3,Image 1,1,458,
763,,Spot,3,Image 1,1,461,
451,,Spot,3,Image 1,1,484,
