
Intensity Sum of Square Ch=9 Img=1
 ==================== 
Intensity Sum of Square,Unit,Category,Channel,Image,Time,ID,
14865,,Spot,9,Image 1,1,5,
72463,,Spot,9,Image 1,1,23,
4639,,Spot,9,Image 1,1,29,
2.20909e+06,,Spot,9,Image 1,1,68,
156881,,Spot,9,Image 1,1,75,
1.84645e+06,,Spot,9,Image 1,1,77,
1.24105e+06,,Spot,9,Image 1,1,88,
2.32388e+06,,Spot,9,Image 1,1,127,
677750,,Spot,9,Image 1,1,142,
671089,,Spot,9,Image 1,1,143,
310527,,Spot,9,Image 1,1,162,
78104,,Spot,9,Image 1,1,164,
5.16263e+06,,Spot,9,Image 1,1,167,
3.16753e+06,,Spot,9,Image 1,1,171,
3.80357e+06,,Spot,9,Image 1,1,173,
180063,,Spot,9,Image 1,1,174,
835970,,Spot,9,Image 1,1,182,
3.37346e+06,,Spot,9,Image 1,1,188,
5.3844e+06,,Spot,9,Image 1,1,190,
4.73772e+06,,Spot,9,Image 1,1,192,
2.31377e+07,,Spot,9,Image 1,1,201,
2.30963e+06,,Spot,9,Image 1,1,217,
548921,,Spot,9,Image 1,1,222,
750455,,Spot,9,Image 1,1,237,
1.91791e+06,,Spot,9,Image 1,1,239,
6.47293e+06,,Spot,9,Image 1,1,241,
3.64831e+07,,Spot,9,Image 1,1,242,
692257,,Spot,9,Image 1,1,244,
2.34964e+06,,Spot,9,Image 1,1,246,
8.39981e+06,,Spot,9,Image 1,1,250,
595877,,Spot,9,Image 1,1,257,
182181,,Spot,9,Image 1,1,300,
190664,,Spot,9,Image 1,1,303,
59600,,Spot,9,Image 1,1,305,
76461,,Spot,9,Image 1,1,309,
3.01311e+06,,Spot,9,Image 1,1,313,
293517,,Spot,9,Image 1,1,350,
176014,,Spot,9,Image 1,1,354,
8.12744e+06,,Spot,9,Image 1,1,364,
9.27499e+06,,Spot,9,Image 1,1,369,
540309,,Spot,9,Image 1,1,378,
333143,,Spot,9,Image 1,1,380,
1.01919e+07,,Spot,9,Image 1,1,387,
857277,,Spot,9,Image 1,1,397,
4.9008e+06,,Spot,9,Image 1,1,400,
4.33208e+06,,Spot,9,Image 1,1,404,
6.60248e+06,,Spot,9,Image 1,1,406,
6.63127e+06,,Spot,9,Image 1,1,412,
1.86511e+07,,Spot,9,Image 1,1,413,
8.87117e+06,,Spot,9,Image 1,1,457,
2.28151e+07,,Spot,9,Image 1,1,458,
7.49056e+06,,Spot,9,Image 1,1,461,
0,,Spot,9,Image 1,1,484,
441,,Spot,9,Image 1,1,485,
16162,,Spot,9,Image 1,1,487,
19866,,Spot,9,Image 1,1,498,
16888,,Spot,9,Image 1,1,509,
34000,,Spot,9,Image 1,1,510,
5027,,Spot,9,Image 1,1,513,
82760,,Spot,9,Image 1,1,518,
0,,Spot,9,Image 1,1,520,
676,,Spot,9,Image 1,1,522,
73420,,Spot,9,Image 1,1,528,
51070,,Spot,9,Image 1,1,552,
181620,,Spot,9,Image 1,1,565,
1.10905e+06,,Spot,9,Image 1,1,572,
1.41178e+06,,Spot,9,Image 1,1,604,
123774,,Spot,9,Image 1,1,615,
292692,,Spot,9,Image 1,1,616,
17234,,Spot,9,Image 1,1,626,
1.74414e+06,,Spot,9,Image 1,1,631,
8850,,Spot,9,Image 1,1,661,
8905,,Spot,9,Image 1,1,688,
4.09753e+06,,Spot,9,Image 1,1,693,
268551,,Spot,9,Image 1,1,696,
2.99518e+07,,Spot,9,Image 1,1,704,
6.81936e+06,,Spot,9,Image 1,1,707,
9.44147e+06,,Spot,9,Image 1,1,714,
4.39169e+06,,Spot,9,Image 1,1,716,
3.82367e+06,,Spot,9,Image 1,1,718,
8.91273e+06,,Spot,9,Image 1,1,730,
2.2808e+06,,Spot,9,Image 1,1,748,
224655,,Spot,9,Image 1,1,762,
0,,Spot,9,Image 1,1,780,
784,,Spot,9,Image 1,1,782,
0,,Spot,9,Image 1,1,783,
116789,,Spot,9,Image 1,1,789,
3505,,Spot,9,Image 1,1,790,
6632,,Spot,9,Image 1,1,792,
49,,Spot,9,Image 1,1,794,
0,,Spot,9,Image 1,1,797,
0,,Spot,9,Image 1,1,798,
29183,,Spot,9,Image 1,1,800,
128791,,Spot,9,Image 1,1,809,
16652,,Spot,9,Image 1,1,812,
57814,,Spot,9,Image 1,1,814,
33557,,Spot,9,Image 1,1,822,
34310,,Spot,9,Image 1,1,823,
27482,,Spot,9,Image 1,1,825,
104623,,Spot,9,Image 1,1,829,
40443,,Spot,9,Image 1,1,830,
16899,,Spot,9,Image 1,1,835,
58908,,Spot,9,Image 1,1,837,
388239,,Spot,9,Image 1,1,845,
245365,,Spot,9,Image 1,1,889,
543578,,Spot,9,Image 1,1,900,
1.91646e+06,,Spot,9,Image 1,1,903,
57786,,Spot,9,Image 1,1,905,
795897,,Spot,9,Image 1,1,906,
117804,,Spot,9,Image 1,1,914,
107110,,Spot,9,Image 1,1,917,
152222,,Spot,9,Image 1,1,921,
47305,,Spot,9,Image 1,1,923,
57736,,Spot,9,Image 1,1,933,
299611,,Spot,9,Image 1,1,936,
576724,,Spot,9,Image 1,1,937,
322583,,Spot,9,Image 1,1,939,
447302,,Spot,9,Image 1,1,941,
39326,,Spot,9,Image 1,1,949,
220863,,Spot,9,Image 1,1,952,
10516,,Spot,9,Image 1,1,965,
822329,,Spot,9,Image 1,1,978,
1.63109e+06,,Spot,9,Image 1,1,989,
33828,,Spot,9,Image 1,1,994,
57287,,Spot,9,Image 1,1,997,
33155,,Spot,9,Image 1,1,1010,
576,,Spot,9,Image 1,1,1018,
5.45401e+06,,Spot,9,Image 1,1,1021,
2.5416e+06,,Spot,9,Image 1,1,1033,
186332,,Spot,9,Image 1,1,1041,
2.6841e+06,,Spot,9,Image 1,1,1043,
2.0124e+06,,Spot,9,Image 1,1,1048,
1.61005e+07,,Spot,9,Image 1,1,1054,
5.5279e+06,,Spot,9,Image 1,1,1064,
2.90709e+06,,Spot,9,Image 1,1,1065,
188873,,Spot,9,Image 1,1,1070,
4.45609e+06,,Spot,9,Image 1,1,1073,
2.19801e+07,,Spot,9,Image 1,1,1076,
3.02349e+06,,Spot,9,Image 1,1,1077,
1.23696e+07,,Spot,9,Image 1,1,1085,
1.61941e+06,,Spot,9,Image 1,1,1091,
4.56828e+06,,Spot,9,Image 1,1,1093,
3.87759e+06,,Spot,9,Image 1,1,1094,
1.44804e+06,,Spot,9,Image 1,1,1096,
1.31537e+07,,Spot,9,Image 1,1,1098,
2.09867e+06,,Spot,9,Image 1,1,1101,
8.34282e+06,,Spot,9,Image 1,1,1105,
6.21678e+06,,Spot,9,Image 1,1,1108,
8.18007e+06,,Spot,9,Image 1,1,1109,
484583,,Spot,9,Image 1,1,1113,
3.23963e+06,,Spot,9,Image 1,1,1124,
4.9874e+06,,Spot,9,Image 1,1,1132,
1.31888e+06,,Spot,9,Image 1,1,1133,
1.68836e+07,,Spot,9,Image 1,1,1139,
2.35967e+07,,Spot,9,Image 1,1,1146,
699305,,Spot,9,Image 1,1,1149,
1.31275e+06,,Spot,9,Image 1,1,1150,
501697,,Spot,9,Image 1,1,1153,
432768,,Spot,9,Image 1,1,1154,
2.78261e+07,,Spot,9,Image 1,1,1158,
2.27894e+06,,Spot,9,Image 1,1,1165,
1.21667e+07,,Spot,9,Image 1,1,1169,
