
Intensity Sum of Square Ch=4 Img=1
 ==================== 
Intensity Sum of Square,Unit,Category,Channel,Image,Time,ID,
2.67955e+07,,Spot,4,Image 1,1,5,
8.12716e+07,,Spot,4,Image 1,1,23,
5.23421e+07,,Spot,4,Image 1,1,29,
6.83404e+07,,Spot,4,Image 1,1,68,
2.8248e+07,,Spot,4,Image 1,1,75,
4.54965e+07,,Spot,4,Image 1,1,77,
3.53046e+07,,Spot,4,Image 1,1,88,
1.4816e+07,,Spot,4,Image 1,1,127,
2.74621e+07,,Spot,4,Image 1,1,142,
3.02928e+07,,Spot,4,Image 1,1,143,
2.77452e+07,,Spot,4,Image 1,1,162,
2.51379e+07,,Spot,4,Image 1,1,164,
2.33752e+07,,Spot,4,Image 1,1,167,
4.20494e+07,,Spot,4,Image 1,1,171,
5.16679e+07,,Spot,4,Image 1,1,173,
1.9381e+07,,Spot,4,Image 1,1,174,
2.46526e+07,,Spot,4,Image 1,1,182,
1.97896e+07,,Spot,4,Image 1,1,188,
2.15822e+07,,Spot,4,Image 1,1,190,
1.51631e+07,,Spot,4,Image 1,1,192,
2.15242e+07,,Spot,4,Image 1,1,201,
5.41827e+07,,Spot,4,Image 1,1,217,
2.46415e+07,,Spot,4,Image 1,1,222,
2.13259e+07,,Spot,4,Image 1,1,237,
2.06757e+07,,Spot,4,Image 1,1,239,
2.10568e+07,,Spot,4,Image 1,1,241,
1.87622e+07,,Spot,4,Image 1,1,242,
2.97345e+07,,Spot,4,Image 1,1,244,
1.79848e+07,,Spot,4,Image 1,1,246,
1.60941e+07,,Spot,4,Image 1,1,250,
2.69529e+07,,Spot,4,Image 1,1,257,
2.8031e+07,,Spot,4,Image 1,1,300,
4.43332e+07,,Spot,4,Image 1,1,303,
2.90821e+07,,Spot,4,Image 1,1,305,
2.89479e+07,,Spot,4,Image 1,1,309,
1.79131e+07,,Spot,4,Image 1,1,313,
1.67991e+07,,Spot,4,Image 1,1,350,
2.68588e+07,,Spot,4,Image 1,1,354,
2.50552e+07,,Spot,4,Image 1,1,364,
2.41537e+07,,Spot,4,Image 1,1,369,
1.51624e+07,,Spot,4,Image 1,1,378,
2.27748e+07,,Spot,4,Image 1,1,380,
2.64876e+07,,Spot,4,Image 1,1,387,
1.83021e+07,,Spot,4,Image 1,1,397,
2.91885e+07,,Spot,4,Image 1,1,400,
1.65822e+07,,Spot,4,Image 1,1,404,
2.34949e+07,,Spot,4,Image 1,1,406,
1.85221e+07,,Spot,4,Image 1,1,412,
2.34978e+07,,Spot,4,Image 1,1,413,
2.9665e+07,,Spot,4,Image 1,1,457,
1.61604e+07,,Spot,4,Image 1,1,458,
2.41109e+07,,Spot,4,Image 1,1,461,
7.12575e+07,,Spot,4,Image 1,1,484,
1.24665e+08,,Spot,4,Image 1,1,485,
6.25753e+07,,Spot,4,Image 1,1,487,
3.47028e+07,,Spot,4,Image 1,1,498,
2.03804e+07,,Spot,4,Image 1,1,509,
1.52144e+07,,Spot,4,Image 1,1,510,
1.73461e+07,,Spot,4,Image 1,1,513,
