
Intensity Max Ch=6 Img=1
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,ID,
329,,Spot,6,Image 1,1,5,
227,,Spot,6,Image 1,1,23,
280,,Spot,6,Image 1,1,29,
27,,Spot,6,Image 1,1,68,
268,,Spot,6,Image 1,1,75,
143,,Spot,6,Image 1,1,77,
26,,Spot,6,Image 1,1,88,
91,,Spot,6,Image 1,1,127,
128,,Spot,6,Image 1,1,142,
154,,Spot,6,Image 1,1,143,
232,,Spot,6,Image 1,1,162,
113,,Spot,6,Image 1,1,164,
50,,Spot,6,Image 1,1,167,
91,,Spot,6,Image 1,1,171,
0,,Spot,6,Image 1,1,173,
85,,Spot,6,Image 1,1,174,
199,,Spot,6,Image 1,1,182,
131,,Spot,6,Image 1,1,188,
71,,Spot,6,Image 1,1,190,
41,,Spot,6,Image 1,1,192,
84,,Spot,6,Image 1,1,201,
68,,Spot,6,Image 1,1,217,
127,,Spot,6,Image 1,1,222,
104,,Spot,6,Image 1,1,237,
116,,Spot,6,Image 1,1,239,
85,,Spot,6,Image 1,1,241,
0,,Spot,6,Image 1,1,242,
155,,Spot,6,Image 1,1,244,
71,,Spot,6,Image 1,1,246,
77,,Spot,6,Image 1,1,250,
80,,Spot,6,Image 1,1,257,
169,,Spot,6,Image 1,1,300,
160,,Spot,6,Image 1,1,303,
228,,Spot,6,Image 1,1,305,
258,,Spot,6,Image 1,1,309,
122,,Spot,6,Image 1,1,313,
162,,Spot,6,Image 1,1,350,
280,,Spot,6,Image 1,1,354,
146,,Spot,6,Image 1,1,364,
77,,Spot,6,Image 1,1,369,
124,,Spot,6,Image 1,1,378,
82,,Spot,6,Image 1,1,380,
0,,Spot,6,Image 1,1,387,
135,,Spot,6,Image 1,1,397,
100,,Spot,6,Image 1,1,400,
108,,Spot,6,Image 1,1,404,
44,,Spot,6,Image 1,1,406,
46,,Spot,6,Image 1,1,412,
48,,Spot,6,Image 1,1,413,
54,,Spot,6,Image 1,1,457,
11,,Spot,6,Image 1,1,458,
79,,Spot,6,Image 1,1,461,
401,,Spot,6,Image 1,1,484,
329,,Spot,6,Image 1,1,485,
352,,Spot,6,Image 1,1,487,
226,,Spot,6,Image 1,1,498,
239,,Spot,6,Image 1,1,509,
182,,Spot,6,Image 1,1,510,
175,,Spot,6,Image 1,1,513,
388,,Spot,6,Image 1,1,518,
230,,Spot,6,Image 1,1,520,
309,,Spot,6,Image 1,1,522,
212,,Spot,6,Image 1,1,528,
362,,Spot,6,Image 1,1,552,
350,,Spot,6,Image 1,1,565,
108,,Spot,6,Image 1,1,572,
114,,Spot,6,Image 1,1,604,
181,,Spot,6,Image 1,1,615,
151,,Spot,6,Image 1,1,616,
193,,Spot,6,Image 1,1,626,
149,,Spot,6,Image 1,1,631,
88,,Spot,6,Image 1,1,661,
208,,Spot,6,Image 1,1,688,
98,,Spot,6,Image 1,1,693,
188,,Spot,6,Image 1,1,696,
0,,Spot,6,Image 1,1,704,
235,,Spot,6,Image 1,1,707,
0,,Spot,6,Image 1,1,714,
120,,Spot,6,Image 1,1,716,
69,,Spot,6,Image 1,1,718,
0,,Spot,6,Image 1,1,730,
53,,Spot,6,Image 1,1,748,
186,,Spot,6,Image 1,1,762,
195,,Spot,6,Image 1,1,780,
263,,Spot,6,Image 1,1,782,
252,,Spot,6,Image 1,1,783,
238,,Spot,6,Image 1,1,789,
271,,Spot,6,Image 1,1,790,
309,,Spot,6,Image 1,1,792,
343,,Spot,6,Image 1,1,794,
279,,Spot,6,Image 1,1,797,
207,,Spot,6,Image 1,1,798,
373,,Spot,6,Image 1,1,800,
161,,Spot,6,Image 1,1,809,
245,,Spot,6,Image 1,1,812,
218,,Spot,6,Image 1,1,814,
217,,Spot,6,Image 1,1,822,
232,,Spot,6,Image 1,1,823,
259,,Spot,6,Image 1,1,825,
165,,Spot,6,Image 1,1,829,
275,,Spot,6,Image 1,1,830,
238,,Spot,6,Image 1,1,835,
239,,Spot,6,Image 1,1,837,
299,,Spot,6,Image 1,1,845,
285,,Spot,6,Image 1,1,889,
138,,Spot,6,Image 1,1,900,
109,,Spot,6,Image 1,1,903,
395,,Spot,6,Image 1,1,905,
215,,Spot,6,Image 1,1,906,
172,,Spot,6,Image 1,1,914,
198,,Spot,6,Image 1,1,917,
124,,Spot,6,Image 1,1,921,
122,,Spot,6,Image 1,1,923,
213,,Spot,6,Image 1,1,933,
159,,Spot,6,Image 1,1,936,
136,,Spot,6,Image 1,1,937,
232,,Spot,6,Image 1,1,939,
200,,Spot,6,Image 1,1,941,
146,,Spot,6,Image 1,1,949,
215,,Spot,6,Image 1,1,952,
315,,Spot,6,Image 1,1,965,
74,,Spot,6,Image 1,1,978,
278,,Spot,6,Image 1,1,989,
292,,Spot,6,Image 1,1,994,
306,,Spot,6,Image 1,1,997,
147,,Spot,6,Image 1,1,1010,
117,,Spot,6,Image 1,1,1018,
201,,Spot,6,Image 1,1,1021,
100,,Spot,6,Image 1,1,1033,
269,,Spot,6,Image 1,1,1041,
5,,Spot,6,Image 1,1,1043,
0,,Spot,6,Image 1,1,1048,
0,,Spot,6,Image 1,1,1054,
29,,Spot,6,Image 1,1,1064,
109,,Spot,6,Image 1,1,1065,
185,,Spot,6,Image 1,1,1070,
42,,Spot,6,Image 1,1,1073,
81,,Spot,6,Image 1,1,1076,
56,,Spot,6,Image 1,1,1077,
0,,Spot,6,Image 1,1,1085,
118,,Spot,6,Image 1,1,1091,
145,,Spot,6,Image 1,1,1093,
5,,Spot,6,Image 1,1,1094,
130,,Spot,6,Image 1,1,1096,
92,,Spot,6,Image 1,1,1098,
70,,Spot,6,Image 1,1,1101,
0,,Spot,6,Image 1,1,1105,
0,,Spot,6,Image 1,1,1108,
26,,Spot,6,Image 1,1,1109,
133,,Spot,6,Image 1,1,1113,
109,,Spot,6,Image 1,1,1124,
55,,Spot,6,Image 1,1,1132,
85,,Spot,6,Image 1,1,1133,
0,,Spot,6,Image 1,1,1139,
9,,Spot,6,Image 1,1,1146,
121,,Spot,6,Image 1,1,1149,
170,,Spot,6,Image 1,1,1150,
173,,Spot,6,Image 1,1,1153,
170,,Spot,6,Image 1,1,1154,
0,,Spot,6,Image 1,1,1158,
152,,Spot,6,Image 1,1,1165,
73,,Spot,6,Image 1,1,1169,
56,,Spot,6,Image 1,1,1180,
47,,Spot,6,Image 1,1,1184,
84,,Spot,6,Image 1,1,1185,
0,,Spot,6,Image 1,1,1189,
28,,Spot,6,Image 1,1,1193,
52,,Spot,6,Image 1,1,1196,
92,,Spot,6,Image 1,1,1198,
82,,Spot,6,Image 1,1,1199,
99,,Spot,6,Image 1,1,1201,
47,,Spot,6,Image 1,1,1203,
236,,Spot,6,Image 1,1,1209,
48,,Spot,6,Image 1,1,1210,
27,,Spot,6,Image 1,1,1211,
28,,Spot,6,Image 1,1,1213,
58,,Spot,6,Image 1,1,1216,
0,,Spot,6,Image 1,1,1217,
21,,Spot,6,Image 1,1,1218,
139,,Spot,6,Image 1,1,1226,
101,,Spot,6,Image 1,1,1228,
14,,Spot,6,Image 1,1,1229,
51,,Spot,6,Image 1,1,1232,
108,,Spot,6,Image 1,1,1237,
0,,Spot,6,Image 1,1,1241,
178,,Spot,6,Image 1,1,1242,
25,,Spot,6,Image 1,1,1243,
92,,Spot,6,Image 1,1,1246,
0,,Spot,6,Image 1,1,1258,
70,,Spot,6,Image 1,1,1262,
17,,Spot,6,Image 1,1,1264,
105,,Spot,6,Image 1,1,1271,
23,,Spot,6,Image 1,1,1284,
36,,Spot,6,Image 1,1,1288,
143,,Spot,6,Image 1,1,1291,
0,,Spot,6,Image 1,1,1301,
109,,Spot,6,Image 1,1,1303,
123,,Spot,6,Image 1,1,1326,
43,,Spot,6,Image 1,1,1327,
70,,Spot,6,Image 1,1,1328,
72,,Spot,6,Image 1,1,1331,
117,,Spot,6,Image 1,1,1332,
80,,Spot,6,Image 1,1,1334,
0,,Spot,6,Image 1,1,1336,
106,,Spot,6,Image 1,1,1339,
0,,Spot,6,Image 1,1,1341,
102,,Spot,6,Image 1,1,1346,
133,,Spot,6,Image 1,1,1347,
0,,Spot,6,Image 1,1,1351,
29,,Spot,6,Image 1,1,1353,
100,,Spot,6,Image 1,1,1354,
0,,Spot,6,Image 1,1,1355,
43,,Spot,6,Image 1,1,1357,
171,,Spot,6,Image 1,1,1358,
43,,Spot,6,Image 1,1,1359,
112,,Spot,6,Image 1,1,1361,
141,,Spot,6,Image 1,1,1362,
104,,Spot,6,Image 1,1,1364,
0,,Spot,6,Image 1,1,1370,
112,,Spot,6,Image 1,1,1371,
0,,Spot,6,Image 1,1,1372,
0,,Spot,6,Image 1,1,1373,
0,,Spot,6,Image 1,1,1375,
49,,Spot,6,Image 1,1,1376,
169,,Spot,6,Image 1,1,1382,
427,,Spot,6,Image 1,1,1383,
222,,Spot,6,Image 1,1,1389,
34,,Spot,6,Image 1,1,1390,
51,,Spot,6,Image 1,1,1392,
0,,Spot,6,Image 1,1,1399,
148,,Spot,6,Image 1,1,1402,
144,,Spot,6,Image 1,1,1406,
28,,Spot,6,Image 1,1,1410,
136,,Spot,6,Image 1,1,1411,
292,,Spot,6,Image 1,1,1415,
155,,Spot,6,Image 1,1,1420,
0,,Spot,6,Image 1,1,1435,
0,,Spot,6,Image 1,1,1436,
0,,Spot,6,Image 1,1,1439,
91,,Spot,6,Image 1,1,1440,
1,,Spot,6,Image 1,1,1444,
