
Intensity StdDev Ch=10 Img=1
 ==================== 
Intensity StdDev,Unit,Category,Channel,Image,Time,ID,
100.55,,Spot,10,Image 1,1,5,
184.368,,Spot,10,Image 1,1,23,
128.536,,Spot,10,Image 1,1,29,
116.641,,Spot,10,Image 1,1,68,
101.075,,Spot,10,Image 1,1,75,
149.423,,Spot,10,Image 1,1,77,
107.877,,Spot,10,Image 1,1,88,
111.233,,Spot,10,Image 1,1,127,
124.355,,Spot,10,Image 1,1,142,
124.684,,Spot,10,Image 1,1,143,
117.101,,Spot,10,Image 1,1,162,
94.9075,,Spot,10,Image 1,1,164,
98.5899,,Spot,10,Image 1,1,167,
161.966,,Spot,10,Image 1,1,171,
155.502,,Spot,10,Image 1,1,173,
124.664,,Spot,10,Image 1,1,174,
97.1579,,Spot,10,Image 1,1,182,
88.1775,,Spot,10,Image 1,1,188,
103.29,,Spot,10,Image 1,1,190,
95.4657,,Spot,10,Image 1,1,192,
97.7318,,Spot,10,Image 1,1,201,
158.951,,Spot,10,Image 1,1,217,
91.0741,,Spot,10,Image 1,1,222,
110.613,,Spot,10,Image 1,1,237,
85.2534,,Spot,10,Image 1,1,239,
111.455,,Spot,10,Image 1,1,241,
101.103,,Spot,10,Image 1,1,242,
181.956,,Spot,10,Image 1,1,244,
105.954,,Spot,10,Image 1,1,246,
90.803,,Spot,10,Image 1,1,250,
132.466,,Spot,10,Image 1,1,257,
124.118,,Spot,10,Image 1,1,300,
144.574,,Spot,10,Image 1,1,303,
98.431,,Spot,10,Image 1,1,305,
118.544,,Spot,10,Image 1,1,309,
83.6893,,Spot,10,Image 1,1,313,
108.816,,Spot,10,Image 1,1,350,
106.857,,Spot,10,Image 1,1,354,
145.629,,Spot,10,Image 1,1,364,
127.766,,Spot,10,Image 1,1,369,
94.4438,,Spot,10,Image 1,1,378,
97.5886,,Spot,10,Image 1,1,380,
105.941,,Spot,10,Image 1,1,387,
90.8702,,Spot,10,Image 1,1,397,
144.352,,Spot,10,Image 1,1,400,
85.9512,,Spot,10,Image 1,1,404,
130.6,,Spot,10,Image 1,1,406,
94.18,,Spot,10,Image 1,1,412,
133.88,,Spot,10,Image 1,1,413,
160.343,,Spot,10,Image 1,1,457,
98.2334,,Spot,10,Image 1,1,458,
118.336,,Spot,10,Image 1,1,461,
163.783,,Spot,10,Image 1,1,484,
200.639,,Spot,10,Image 1,1,485,
141.766,,Spot,10,Image 1,1,487,
128.548,,Spot,10,Image 1,1,498,
118.345,,Spot,10,Image 1,1,509,
88.3343,,Spot,10,Image 1,1,510,
103.196,,Spot,10,Image 1,1,513,
180.576,,Spot,10,Image 1,1,518,
149.354,,Spot,10,Image 1,1,520,
121.213,,Spot,10,Image 1,1,522,
218.018,,Spot,10,Image 1,1,528,
125.958,,Spot,10,Image 1,1,552,
86.4914,,Spot,10,Image 1,1,565,
106.449,,Spot,10,Image 1,1,572,
99.731,,Spot,10,Image 1,1,604,
120.238,,Spot,10,Image 1,1,615,
105.032,,Spot,10,Image 1,1,616,
126.41,,Spot,10,Image 1,1,626,
100.019,,Spot,10,Image 1,1,631,
169.556,,Spot,10,Image 1,1,661,
183.671,,Spot,10,Image 1,1,688,
119.863,,Spot,10,Image 1,1,693,
137.843,,Spot,10,Image 1,1,696,
126.873,,Spot,10,Image 1,1,704,
88.7456,,Spot,10,Image 1,1,707,
203.501,,Spot,10,Image 1,1,714,
151.308,,Spot,10,Image 1,1,716,
94.0964,,Spot,10,Image 1,1,718,
78.6064,,Spot,10,Image 1,1,730,
181.662,,Spot,10,Image 1,1,748,
94.1174,,Spot,10,Image 1,1,762,
189.883,,Spot,10,Image 1,1,780,
176.739,,Spot,10,Image 1,1,782,
173.305,,Spot,10,Image 1,1,783,
180.775,,Spot,10,Image 1,1,789,
136.649,,Spot,10,Image 1,1,790,
169.849,,Spot,10,Image 1,1,792,
144.596,,Spot,10,Image 1,1,794,
218.492,,Spot,10,Image 1,1,797,
94.8037,,Spot,10,Image 1,1,798,
144.779,,Spot,10,Image 1,1,800,
168.297,,Spot,10,Image 1,1,809,
122.61,,Spot,10,Image 1,1,812,
82.6104,,Spot,10,Image 1,1,814,
135.936,,Spot,10,Image 1,1,822,
170.086,,Spot,10,Image 1,1,823,
100.12,,Spot,10,Image 1,1,825,
143.271,,Spot,10,Image 1,1,829,
148.273,,Spot,10,Image 1,1,830,
133.683,,Spot,10,Image 1,1,835,
101.818,,Spot,10,Image 1,1,837,
96.2337,,Spot,10,Image 1,1,845,
100.855,,Spot,10,Image 1,1,889,
95.5948,,Spot,10,Image 1,1,900,
89.2955,,Spot,10,Image 1,1,903,
142.098,,Spot,10,Image 1,1,905,
108.476,,Spot,10,Image 1,1,906,
153.682,,Spot,10,Image 1,1,914,
101.465,,Spot,10,Image 1,1,917,
99.0848,,Spot,10,Image 1,1,921,
104.792,,Spot,10,Image 1,1,923,
122.751,,Spot,10,Image 1,1,933,
151.316,,Spot,10,Image 1,1,936,
115.61,,Spot,10,Image 1,1,937,
138.444,,Spot,10,Image 1,1,939,
179.516,,Spot,10,Image 1,1,941,
164.206,,Spot,10,Image 1,1,949,
136.515,,Spot,10,Image 1,1,952,
108.488,,Spot,10,Image 1,1,965,
120.772,,Spot,10,Image 1,1,978,
103.944,,Spot,10,Image 1,1,989,
85.2976,,Spot,10,Image 1,1,994,
140.417,,Spot,10,Image 1,1,997,
186.114,,Spot,10,Image 1,1,1010,
155.473,,Spot,10,Image 1,1,1018,
99.1919,,Spot,10,Image 1,1,1021,
113.464,,Spot,10,Image 1,1,1033,
111.59,,Spot,10,Image 1,1,1041,
109.63,,Spot,10,Image 1,1,1043,
98.8141,,Spot,10,Image 1,1,1048,
129.618,,Spot,10,Image 1,1,1054,
91.6091,,Spot,10,Image 1,1,1064,
127.42,,Spot,10,Image 1,1,1065,
137.662,,Spot,10,Image 1,1,1070,
88.0963,,Spot,10,Image 1,1,1073,
226.296,,Spot,10,Image 1,1,1076,
102.54,,Spot,10,Image 1,1,1077,
173.555,,Spot,10,Image 1,1,1085,
118.626,,Spot,10,Image 1,1,1091,
117.12,,Spot,10,Image 1,1,1093,
187.722,,Spot,10,Image 1,1,1094,
130.367,,Spot,10,Image 1,1,1096,
156.677,,Spot,10,Image 1,1,1098,
125.117,,Spot,10,Image 1,1,1101,
96.4343,,Spot,10,Image 1,1,1105,
204.728,,Spot,10,Image 1,1,1108,
149.244,,Spot,10,Image 1,1,1109,
143.215,,Spot,10,Image 1,1,1113,
150.908,,Spot,10,Image 1,1,1124,
118.398,,Spot,10,Image 1,1,1132,
112.724,,Spot,10,Image 1,1,1133,
214.16,,Spot,10,Image 1,1,1139,
181.804,,Spot,10,Image 1,1,1146,
156.298,,Spot,10,Image 1,1,1149,
131.854,,Spot,10,Image 1,1,1150,
150.037,,Spot,10,Image 1,1,1153,
113.645,,Spot,10,Image 1,1,1154,
146.48,,Spot,10,Image 1,1,1158,
147.119,,Spot,10,Image 1,1,1165,
185.664,,Spot,10,Image 1,1,1169,
131.547,,Spot,10,Image 1,1,1180,
144.443,,Spot,10,Image 1,1,1184,
94.1631,,Spot,10,Image 1,1,1185,
198.949,,Spot,10,Image 1,1,1189,
226.728,,Spot,10,Image 1,1,1193,
143.067,,Spot,10,Image 1,1,1196,
104.362,,Spot,10,Image 1,1,1198,
160.374,,Spot,10,Image 1,1,1199,
101.95,,Spot,10,Image 1,1,1201,
97.7094,,Spot,10,Image 1,1,1203,
92.4705,,Spot,10,Image 1,1,1209,
159.429,,Spot,10,Image 1,1,1210,
104.477,,Spot,10,Image 1,1,1211,
96.6699,,Spot,10,Image 1,1,1213,
164.158,,Spot,10,Image 1,1,1216,
210.714,,Spot,10,Image 1,1,1217,
91.6784,,Spot,10,Image 1,1,1218,
159.14,,Spot,10,Image 1,1,1226,
211.794,,Spot,10,Image 1,1,1228,
189.615,,Spot,10,Image 1,1,1229,
127.218,,Spot,10,Image 1,1,1232,
98.5834,,Spot,10,Image 1,1,1237,
79.5601,,Spot,10,Image 1,1,1241,
97.4179,,Spot,10,Image 1,1,1242,
82.0675,,Spot,10,Image 1,1,1243,
103.89,,Spot,10,Image 1,1,1246,
98.2586,,Spot,10,Image 1,1,1258,
150.504,,Spot,10,Image 1,1,1262,
154.404,,Spot,10,Image 1,1,1264,
97.5743,,Spot,10,Image 1,1,1271,
109.877,,Spot,10,Image 1,1,1284,
151.578,,Spot,10,Image 1,1,1288,
99.8015,,Spot,10,Image 1,1,1291,
181.287,,Spot,10,Image 1,1,1301,
93.5197,,Spot,10,Image 1,1,1303,
113.322,,Spot,10,Image 1,1,1326,
166.251,,Spot,10,Image 1,1,1327,
86.1775,,Spot,10,Image 1,1,1328,
174.22,,Spot,10,Image 1,1,1331,
225.348,,Spot,10,Image 1,1,1332,
179.584,,Spot,10,Image 1,1,1334,
153.407,,Spot,10,Image 1,1,1336,
197.104,,Spot,10,Image 1,1,1339,
136.416,,Spot,10,Image 1,1,1341,
93.4988,,Spot,10,Image 1,1,1346,
113.285,,Spot,10,Image 1,1,1347,
118.595,,Spot,10,Image 1,1,1351,
135.496,,Spot,10,Image 1,1,1353,
163.393,,Spot,10,Image 1,1,1354,
134.979,,Spot,10,Image 1,1,1355,
235.305,,Spot,10,Image 1,1,1357,
168.921,,Spot,10,Image 1,1,1358,
99.1248,,Spot,10,Image 1,1,1359,
143.339,,Spot,10,Image 1,1,1361,
134.718,,Spot,10,Image 1,1,1362,
112.488,,Spot,10,Image 1,1,1364,
119.789,,Spot,10,Image 1,1,1370,
176.287,,Spot,10,Image 1,1,1371,
234.004,,Spot,10,Image 1,1,1372,
122.56,,Spot,10,Image 1,1,1373,
208.476,,Spot,10,Image 1,1,1375,
178.906,,Spot,10,Image 1,1,1376,
132.322,,Spot,10,Image 1,1,1382,
165.262,,Spot,10,Image 1,1,1383,
177.973,,Spot,10,Image 1,1,1389,
115.691,,Spot,10,Image 1,1,1390,
139.81,,Spot,10,Image 1,1,1392,
224.612,,Spot,10,Image 1,1,1399,
106.616,,Spot,10,Image 1,1,1402,
149.597,,Spot,10,Image 1,1,1406,
212.846,,Spot,10,Image 1,1,1410,
127.846,,Spot,10,Image 1,1,1411,
157.79,,Spot,10,Image 1,1,1415,
95.1647,,Spot,10,Image 1,1,1420,
78.7964,,Spot,10,Image 1,1,1435,
124.698,,Spot,10,Image 1,1,1436,
84.401,,Spot,10,Image 1,1,1439,
95.8386,,Spot,10,Image 1,1,1440,
148.948,,Spot,10,Image 1,1,1444,
94.7894,,Spot,10,Image 1,1,1445,
145.058,,Spot,10,Image 1,1,1446,
181.408,,Spot,10,Image 1,1,1447,
101.79,,Spot,10,Image 1,1,1448,
87.0078,,Spot,10,Image 1,1,1452,
202.607,,Spot,10,Image 1,1,1456,
100.941,,Spot,10,Image 1,1,1457,
120.842,,Spot,10,Image 1,1,1460,
148.012,,Spot,10,Image 1,1,1461,
95.7587,,Spot,10,Image 1,1,1463,
103.855,,Spot,10,Image 1,1,1471,
212.412,,Spot,10,Image 1,1,1478,
127.734,,Spot,10,Image 1,1,1480,
155.987,,Spot,10,Image 1,1,1489,
118.618,,Spot,10,Image 1,1,1493,
110.017,,Spot,10,Image 1,1,1495,
114.395,,Spot,10,Image 1,1,1496,
130.593,,Spot,10,Image 1,1,1506,
104.233,,Spot,10,Image 1,1,1508,
172.872,,Spot,10,Image 1,1,1509,
186.008,,Spot,10,Image 1,1,1513,
169.446,,Spot,10,Image 1,1,1534,
103.753,,Spot,10,Image 1,1,1537,
92.2594,,Spot,10,Image 1,1,1543,
193.618,,Spot,10,Image 1,1,1546,
127.114,,Spot,10,Image 1,1,1547,
99.5348,,Spot,10,Image 1,1,1552,
122.749,,Spot,10,Image 1,1,1553,
111.022,,Spot,10,Image 1,1,1555,
213.497,,Spot,10,Image 1,1,1567,
97.1363,,Spot,10,Image 1,1,1569,
124.217,,Spot,10,Image 1,1,1572,
117.037,,Spot,10,Image 1,1,1576,
111.906,,Spot,10,Image 1,1,1589,
126.522,,Spot,10,Image 1,1,1595,
161.516,,Spot,10,Image 1,1,1615,
157.636,,Spot,10,Image 1,1,1620,
119.317,,Spot,10,Image 1,1,1634,
114.532,,Spot,10,Image 1,1,1650,
134.547,,Spot,10,Image 1,1,1651,
116.882,,Spot,10,Image 1,1,1656,
135.117,,Spot,10,Image 1,1,1657,
170.267,,Spot,10,Image 1,1,1662,
145.291,,Spot,10,Image 1,1,1665,
102.12,,Spot,10,Image 1,1,1684,
111.443,,Spot,10,Image 1,1,1690,
164.959,,Spot,10,Image 1,1,1692,
173.402,,Spot,10,Image 1,1,1694,
78.874,,Spot,10,Image 1,1,1695,
158.804,,Spot,10,Image 1,1,1697,
105.639,,Spot,10,Image 1,1,1699,
99.7924,,Spot,10,Image 1,1,1700,
183.293,,Spot,10,Image 1,1,1706,
90.1193,,Spot,10,Image 1,1,1710,
138.85,,Spot,10,Image 1,1,1721,
135.72,,Spot,10,Image 1,1,1725,
107.701,,Spot,10,Image 1,1,1726,
132.359,,Spot,10,Image 1,1,1732,
141.043,,Spot,10,Image 1,1,1752,
88.1078,,Spot,10,Image 1,1,1768,
117.273,,Spot,10,Image 1,1,1769,
117.341,,Spot,10,Image 1,1,1775,
128.313,,Spot,10,Image 1,1,1788,
169.682,,Spot,10,Image 1,1,1815,
144.494,,Spot,10,Image 1,1,1818,
103.043,,Spot,10,Image 1,1,1824,
84.9542,,Spot,10,Image 1,1,1825,
108.773,,Spot,10,Image 1,1,1837,
202.616,,Spot,10,Image 1,1,1844,
143.305,,Spot,10,Image 1,1,1845,
200.52,,Spot,10,Image 1,1,1851,
152.09,,Spot,10,Image 1,1,1857,
69.4106,,Spot,10,Image 1,1,1858,
90.3329,,Spot,10,Image 1,1,1864,
247.062,,Spot,10,Image 1,1,1865,
121.11,,Spot,10,Image 1,1,1870,
114.308,,Spot,10,Image 1,1,1871,
118.265,,Spot,10,Image 1,1,1893,
134.779,,Spot,10,Image 1,1,1896,
193.505,,Spot,10,Image 1,1,1898,
111.21,,Spot,10,Image 1,1,1902,
