
Intensity Sum Ch=2 Img=1
 ==================== 
Intensity Sum,Unit,Category,Channel,Image,Time,ID,
22840,,Spot,2,Image 1,1,1073,
25377,,Spot,2,Image 1,1,1076,
27266,,Spot,2,Image 1,1,1077,
24771,,Spot,2,Image 1,1,1085,
33413,,Spot,2,Image 1,1,1091,
24163,,Spot,2,Image 1,1,1093,
29873,,Spot,2,Image 1,1,1094,
27854,,Spot,2,Image 1,1,1096,
24901,,Spot,2,Image 1,1,1098,
29714,,Spot,2,Image 1,1,1101,
37285,,Spot,2,Image 1,1,1105,
28898,,Spot,2,Image 1,1,1108,
25119,,Spot,2,Image 1,1,1109,
27866,,Spot,2,Image 1,1,1113,
19999,,Spot,2,Image 1,1,1124,
22461,,Spot,2,Image 1,1,1132,
21200,,Spot,2,Image 1,1,1133,
22728,,Spot,2,Image 1,1,1139,
18323,,Spot,2,Image 1,1,1146,
19074,,Spot,2,Image 1,1,1149,
16870,,Spot,2,Image 1,1,1150,
17143,,Spot,2,Image 1,1,1153,
18257,,Spot,2,Image 1,1,1154,
25420,,Spot,2,Image 1,1,1158,
24184,,Spot,2,Image 1,1,1165,
25640,,Spot,2,Image 1,1,1169,
20035,,Spot,2,Image 1,1,1180,
22229,,Spot,2,Image 1,1,1184,
19679,,Spot,2,Image 1,1,1185,
20711,,Spot,2,Image 1,1,1189,
20817,,Spot,2,Image 1,1,1193,
24162,,Spot,2,Image 1,1,1196,
21594,,Spot,2,Image 1,1,1198,
19781,,Spot,2,Image 1,1,1199,
17315,,Spot,2,Image 1,1,1201,
15449,,Spot,2,Image 1,1,1203,
16437,,Spot,2,Image 1,1,1209,
20666,,Spot,2,Image 1,1,1210,
18913,,Spot,2,Image 1,1,1211,
16919,,Spot,2,Image 1,1,1213,
17357,,Spot,2,Image 1,1,1216,
20373,,Spot,2,Image 1,1,1217,
17389,,Spot,2,Image 1,1,1218,
16920,,Spot,2,Image 1,1,1226,
16151,,Spot,2,Image 1,1,1228,
16894,,Spot,2,Image 1,1,1229,
25840,,Spot,2,Image 1,1,1232,
19212,,Spot,2,Image 1,1,1237,
17634,,Spot,2,Image 1,1,1241,
21175,,Spot,2,Image 1,1,1242,
19918,,Spot,2,Image 1,1,1243,
23267,,Spot,2,Image 1,1,1246,
16425,,Spot,2,Image 1,1,1258,
18081,,Spot,2,Image 1,1,1262,
17186,,Spot,2,Image 1,1,1264,
15869,,Spot,2,Image 1,1,1271,
15185,,Spot,2,Image 1,1,1284,
