
Intensity Mean Ch=6 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
19.0934,,Spot,6,Image 1,1,5,
10.8693,,Spot,6,Image 1,1,23,
13.8571,,Spot,6,Image 1,1,29,
0.157692,,Spot,6,Image 1,1,68,
16.4337,,Spot,6,Image 1,1,75,
1.92933,,Spot,6,Image 1,1,77,
0.33121,,Spot,6,Image 1,1,88,
1.54717,,Spot,6,Image 1,1,127,
3.67143,,Spot,6,Image 1,1,142,
3.15357,,Spot,6,Image 1,1,143,
5.53585,,Spot,6,Image 1,1,162,
4.19928,,Spot,6,Image 1,1,164,
0.223443,,Spot,6,Image 1,1,167,
1.66547,,Spot,6,Image 1,1,171,
0,,Spot,6,Image 1,1,173,
1.52866,,Spot,6,Image 1,1,174,
3.86071,,Spot,6,Image 1,1,182,
0.541219,,Spot,6,Image 1,1,188,
0.823105,,Spot,6,Image 1,1,190,
0.387097,,Spot,6,Image 1,1,192,
0.427046,,Spot,6,Image 1,1,201,
0.45,,Spot,6,Image 1,1,217,
1.33453,,Spot,6,Image 1,1,222,
2.0369,,Spot,6,Image 1,1,237,
1.61091,,Spot,6,Image 1,1,239,
1.04317,,Spot,6,Image 1,1,241,
0,,Spot,6,Image 1,1,242,
3.79336,,Spot,6,Image 1,1,244,
1.36525,,Spot,6,Image 1,1,246,
0.643885,,Spot,6,Image 1,1,250,
1.11552,,Spot,6,Image 1,1,257,
7.93333,,Spot,6,Image 1,1,300,
4.9529,,Spot,6,Image 1,1,303,
11.9257,,Spot,6,Image 1,1,305,
13.5603,,Spot,6,Image 1,1,309,
2.37184,,Spot,6,Image 1,1,313,
10.4588,,Spot,6,Image 1,1,350,
9.44326,,Spot,6,Image 1,1,354,
2.83835,,Spot,6,Image 1,1,364,
1.20879,,Spot,6,Image 1,1,369,
3.2428,,Spot,6,Image 1,1,378,
1.60076,,Spot,6,Image 1,1,380,
0,,Spot,6,Image 1,1,387,
2.78652,,Spot,6,Image 1,1,397,
0.371429,,Spot,6,Image 1,1,400,
0.778986,,Spot,6,Image 1,1,404,
0.317343,,Spot,6,Image 1,1,406,
0.199275,,Spot,6,Image 1,1,412,
0.319149,,Spot,6,Image 1,1,413,
0.32971,,Spot,6,Image 1,1,457,
0.0410448,,Spot,6,Image 1,1,458,
0.646209,,Spot,6,Image 1,1,461,
28.2589,,Spot,6,Image 1,1,484,
24.3369,,Spot,6,Image 1,1,485,
31.6245,,Spot,6,Image 1,1,487,
14.2368,,Spot,6,Image 1,1,498,
16.7857,,Spot,6,Image 1,1,509,
14.1,,Spot,6,Image 1,1,510,
10.5833,,Spot,6,Image 1,1,513,
10.4473,,Spot,6,Image 1,1,518,
19.3667,,Spot,6,Image 1,1,520,
17.1893,,Spot,6,Image 1,1,522,
6.25448,,Spot,6,Image 1,1,528,
12.9675,,Spot,6,Image 1,1,552,
22.7238,,Spot,6,Image 1,1,565,
2.22346,,Spot,6,Image 1,1,572,
1.80357,,Spot,6,Image 1,1,604,
9.82847,,Spot,6,Image 1,1,615,
5.69751,,Spot,6,Image 1,1,616,
12.0636,,Spot,6,Image 1,1,626,
2.85053,,Spot,6,Image 1,1,631,
5.73333,,Spot,6,Image 1,1,661,
8.54613,,Spot,6,Image 1,1,688,
0.889299,,Spot,6,Image 1,1,693,
1.33922,,Spot,6,Image 1,1,696,
