
Average Distance To 3 Nearest Neighbours
 ==================== 
Average Distance To 3 Nearest Neighbours,Unit,Category,Time,ID,
47.8951,µm,Spot,1,5,
41.7253,µm,Spot,1,23,
42.9297,µm,Spot,1,29,
51.2242,µm,Spot,1,68,
42.0325,µm,Spot,1,75,
31.3708,µm,Spot,1,77,
32.8682,µm,Spot,1,88,
34.1691,µm,Spot,1,127,
23.6326,µm,Spot,1,142,
25.2972,µm,Spot,1,143,
21.1463,µm,Spot,1,162,
20.962,µm,Spot,1,164,
28.0394,µm,Spot,1,167,
32.788,µm,Spot,1,171,
19.6164,µm,Spot,1,173,
45.3792,µm,Spot,1,174,
21.7181,µm,Spot,1,182,
40.8284,µm,Spot,1,188,
37.7185,µm,Spot,1,190,
30.8143,µm,Spot,1,192,
20.2711,µm,Spot,1,201,
28.859,µm,Spot,1,217,
21.6744,µm,Spot,1,222,
30.3608,µm,Spot,1,237,
21.0065,µm,Spot,1,239,
16.9126,µm,Spot,1,241,
34.6634,µm,Spot,1,242,
29.4834,µm,Spot,1,244,
22.5136,µm,Spot,1,246,
20.6414,µm,Spot,1,250,
42.092,µm,Spot,1,257,
27.0259,µm,Spot,1,300,
34.8679,µm,Spot,1,303,
23.832,µm,Spot,1,305,
29.581,µm,Spot,1,309,
26.0508,µm,Spot,1,313,
35.3461,µm,Spot,1,350,
33.8065,µm,Spot,1,354,
30.3082,µm,Spot,1,364,
27.0429,µm,Spot,1,369,
31.0894,µm,Spot,1,378,
30.195,µm,Spot,1,380,
26.5679,µm,Spot,1,387,
20.7685,µm,Spot,1,397,
34.2115,µm,Spot,1,400,
17.0601,µm,Spot,1,404,
18.3352,µm,Spot,1,406,
26.9378,µm,Spot,1,412,
23.6853,µm,Spot,1,413,
48.7483,µm,Spot,1,457,
23.6,µm,Spot,1,458,
22.2553,µm,Spot,1,461,
27.0109,µm,Spot,1,484,
26.4285,µm,Spot,1,485,
29.7555,µm,Spot,1,487,
24.8496,µm,Spot,1,498,
32.9128,µm,Spot,1,509,
34.0013,µm,Spot,1,510,
27.878,µm,Spot,1,513,
32.1174,µm,Spot,1,518,
31.3942,µm,Spot,1,520,
32.3794,µm,Spot,1,522,
29.2829,µm,Spot,1,528,
28.0997,µm,Spot,1,552,
31.1019,µm,Spot,1,565,
34.8271,µm,Spot,1,572,
47.0979,µm,Spot,1,604,
27.2801,µm,Spot,1,615,
30.2272,µm,Spot,1,616,
