
Intensity Max Ch=2 Img=1
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,ID,
641,,Spot,2,Image 1,1,5,
659,,Spot,2,Image 1,1,23,
551,,Spot,2,Image 1,1,29,
726,,Spot,2,Image 1,1,68,
532,,Spot,2,Image 1,1,75,
615,,Spot,2,Image 1,1,77,
740,,Spot,2,Image 1,1,88,
496,,Spot,2,Image 1,1,127,
419,,Spot,2,Image 1,1,142,
495,,Spot,2,Image 1,1,143,
595,,Spot,2,Image 1,1,162,
583,,Spot,2,Image 1,1,164,
429,,Spot,2,Image 1,1,167,
465,,Spot,2,Image 1,1,171,
446,,Spot,2,Image 1,1,173,
497,,Spot,2,Image 1,1,174,
450,,Spot,2,Image 1,1,182,
404,,Spot,2,Image 1,1,188,
421,,Spot,2,Image 1,1,190,
300,,Spot,2,Image 1,1,192,
338,,Spot,2,Image 1,1,201,
421,,Spot,2,Image 1,1,217,
399,,Spot,2,Image 1,1,222,
426,,Spot,2,Image 1,1,237,
388,,Spot,2,Image 1,1,239,
515,,Spot,2,Image 1,1,241,
390,,Spot,2,Image 1,1,242,
319,,Spot,2,Image 1,1,244,
310,,Spot,2,Image 1,1,246,
376,,Spot,2,Image 1,1,250,
364,,Spot,2,Image 1,1,257,
385,,Spot,2,Image 1,1,300,
494,,Spot,2,Image 1,1,303,
428,,Spot,2,Image 1,1,305,
300,,Spot,2,Image 1,1,309,
436,,Spot,2,Image 1,1,313,
291,,Spot,2,Image 1,1,350,
461,,Spot,2,Image 1,1,354,
403,,Spot,2,Image 1,1,364,
314,,Spot,2,Image 1,1,369,
347,,Spot,2,Image 1,1,378,
315,,Spot,2,Image 1,1,380,
471,,Spot,2,Image 1,1,387,
308,,Spot,2,Image 1,1,397,
392,,Spot,2,Image 1,1,400,
245,,Spot,2,Image 1,1,404,
302,,Spot,2,Image 1,1,406,
429,,Spot,2,Image 1,1,412,
249,,Spot,2,Image 1,1,413,
313,,Spot,2,Image 1,1,457,
310,,Spot,2,Image 1,1,458,
236,,Spot,2,Image 1,1,461,
487,,Spot,2,Image 1,1,484,
568,,Spot,2,Image 1,1,485,
569,,Spot,2,Image 1,1,487,
577,,Spot,2,Image 1,1,498,
466,,Spot,2,Image 1,1,509,
288,,Spot,2,Image 1,1,510,
351,,Spot,2,Image 1,1,513,
393,,Spot,2,Image 1,1,518,
368,,Spot,2,Image 1,1,520,
392,,Spot,2,Image 1,1,522,
500,,Spot,2,Image 1,1,528,
443,,Spot,2,Image 1,1,552,
290,,Spot,2,Image 1,1,565,
447,,Spot,2,Image 1,1,572,
448,,Spot,2,Image 1,1,604,
397,,Spot,2,Image 1,1,615,
283,,Spot,2,Image 1,1,616,
325,,Spot,2,Image 1,1,626,
293,,Spot,2,Image 1,1,631,
348,,Spot,2,Image 1,1,661,
378,,Spot,2,Image 1,1,688,
323,,Spot,2,Image 1,1,693,
