
Intensity Min Ch=3 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,ID,
25,,Spot,3,Image 1,1,5,
12,,Spot,3,Image 1,1,23,
37,,Spot,3,Image 1,1,29,
203,,Spot,3,Image 1,1,68,
33,,Spot,3,Image 1,1,75,
37,,Spot,3,Image 1,1,77,
214,,Spot,3,Image 1,1,88,
43,,Spot,3,Image 1,1,127,
20,,Spot,3,Image 1,1,142,
37,,Spot,3,Image 1,1,143,
22,,Spot,3,Image 1,1,162,
37,,Spot,3,Image 1,1,164,
35,,Spot,3,Image 1,1,167,
16,,Spot,3,Image 1,1,171,
134,,Spot,3,Image 1,1,173,
41,,Spot,3,Image 1,1,174,
44,,Spot,3,Image 1,1,182,
59,,Spot,3,Image 1,1,188,
35,,Spot,3,Image 1,1,190,
28,,Spot,3,Image 1,1,192,
63,,Spot,3,Image 1,1,201,
49,,Spot,3,Image 1,1,217,
49,,Spot,3,Image 1,1,222,
34,,Spot,3,Image 1,1,237,
63,,Spot,3,Image 1,1,239,
24,,Spot,3,Image 1,1,241,
38,,Spot,3,Image 1,1,242,
26,,Spot,3,Image 1,1,244,
24,,Spot,3,Image 1,1,246,
36,,Spot,3,Image 1,1,250,
0,,Spot,3,Image 1,1,257,
13,,Spot,3,Image 1,1,300,
31,,Spot,3,Image 1,1,303,
41,,Spot,3,Image 1,1,305,
24,,Spot,3,Image 1,1,309,
34,,Spot,3,Image 1,1,313,
14,,Spot,3,Image 1,1,350,
17,,Spot,3,Image 1,1,354,
22,,Spot,3,Image 1,1,364,
33,,Spot,3,Image 1,1,369,
28,,Spot,3,Image 1,1,378,
25,,Spot,3,Image 1,1,380,
122,,Spot,3,Image 1,1,387,
50,,Spot,3,Image 1,1,397,
35,,Spot,3,Image 1,1,400,
82,,Spot,3,Image 1,1,404,
52,,Spot,3,Image 1,1,406,
49,,Spot,3,Image 1,1,412,
34,,Spot,3,Image 1,1,413,
31,,Spot,3,Image 1,1,457,
70,,Spot,3,Image 1,1,458,
46,,Spot,3,Image 1,1,461,
13,,Spot,3,Image 1,1,484,
44,,Spot,3,Image 1,1,485,
23,,Spot,3,Image 1,1,487,
17,,Spot,3,Image 1,1,498,
19,,Spot,3,Image 1,1,509,
11,,Spot,3,Image 1,1,510,
26,,Spot,3,Image 1,1,513,
35,,Spot,3,Image 1,1,518,
30,,Spot,3,Image 1,1,520,
28,,Spot,3,Image 1,1,522,
15,,Spot,3,Image 1,1,528,
30,,Spot,3,Image 1,1,552,
16,,Spot,3,Image 1,1,565,
56,,Spot,3,Image 1,1,572,
23,,Spot,3,Image 1,1,604,
18,,Spot,3,Image 1,1,615,
32,,Spot,3,Image 1,1,616,
10,,Spot,3,Image 1,1,626,
25,,Spot,3,Image 1,1,631,
26,,Spot,3,Image 1,1,661,
66,,Spot,3,Image 1,1,688,
22,,Spot,3,Image 1,1,693,
37,,Spot,3,Image 1,1,696,
164,,Spot,3,Image 1,1,704,
19,,Spot,3,Image 1,1,707,
210,,Spot,3,Image 1,1,714,
35,,Spot,3,Image 1,1,716,
63,,Spot,3,Image 1,1,718,
76,,Spot,3,Image 1,1,730,
15,,Spot,3,Image 1,1,748,
31,,Spot,3,Image 1,1,762,
35,,Spot,3,Image 1,1,780,
33,,Spot,3,Image 1,1,782,
47,,Spot,3,Image 1,1,783,
