
Intensity Center Ch=11 Img=1
 ==================== 
Intensity Center,Unit,Category,Channel,Image,Time,ID,
184.379,,Spot,11,Image 1,1,5,
165.67,,Spot,11,Image 1,1,23,
222.222,,Spot,11,Image 1,1,29,
308.707,,Spot,11,Image 1,1,68,
184.25,,Spot,11,Image 1,1,75,
255.022,,Spot,11,Image 1,1,77,
284.923,,Spot,11,Image 1,1,88,
350.122,,Spot,11,Image 1,1,127,
314.463,,Spot,11,Image 1,1,142,
323.117,,Spot,11,Image 1,1,143,
360.118,,Spot,11,Image 1,1,162,
348.815,,Spot,11,Image 1,1,164,
404.212,,Spot,11,Image 1,1,167,
414.115,,Spot,11,Image 1,1,171,
370.171,,Spot,11,Image 1,1,173,
394.319,,Spot,11,Image 1,1,174,
388.951,,Spot,11,Image 1,1,182,
408.099,,Spot,11,Image 1,1,188,
443.369,,Spot,11,Image 1,1,190,
328.31,,Spot,11,Image 1,1,192,
361.287,,Spot,11,Image 1,1,201,
513.885,,Spot,11,Image 1,1,217,
498.795,,Spot,11,Image 1,1,222,
453.18,,Spot,11,Image 1,1,237,
391.907,,Spot,11,Image 1,1,239,
461.737,,Spot,11,Image 1,1,241,
535.446,,Spot,11,Image 1,1,242,
475.412,,Spot,11,Image 1,1,244,
502.42,,Spot,11,Image 1,1,246,
500.567,,Spot,11,Image 1,1,250,
538.325,,Spot,11,Image 1,1,257,
98.1622,,Spot,11,Image 1,1,300,
190.318,,Spot,11,Image 1,1,303,
89.4061,,Spot,11,Image 1,1,305,
116.215,,Spot,11,Image 1,1,309,
153.807,,Spot,11,Image 1,1,313,
196.322,,Spot,11,Image 1,1,350,
208.101,,Spot,11,Image 1,1,354,
196.409,,Spot,11,Image 1,1,364,
184.031,,Spot,11,Image 1,1,369,
304.991,,Spot,11,Image 1,1,378,
280.735,,Spot,11,Image 1,1,380,
275.74,,Spot,11,Image 1,1,387,
263.599,,Spot,11,Image 1,1,397,
221.681,,Spot,11,Image 1,1,400,
334.795,,Spot,11,Image 1,1,404,
294.464,,Spot,11,Image 1,1,406,
335.871,,Spot,11,Image 1,1,412,
323.041,,Spot,11,Image 1,1,413,
455.478,,Spot,11,Image 1,1,457,
419.809,,Spot,11,Image 1,1,458,
421.926,,Spot,11,Image 1,1,461,
5.86754,,Spot,11,Image 1,1,484,
5.86754,,Spot,11,Image 1,1,485,
3.91169,,Spot,11,Image 1,1,487,
5.94308,,Spot,11,Image 1,1,498,
45.4298,,Spot,11,Image 1,1,509,
57.5283,,Spot,11,Image 1,1,510,
42.3454,,Spot,11,Image 1,1,513,
58.7743,,Spot,11,Image 1,1,518,
35.0783,,Spot,11,Image 1,1,520,
77.7068,,Spot,11,Image 1,1,522,
24.543,,Spot,11,Image 1,1,528,
55.192,,Spot,11,Image 1,1,552,
80.727,,Spot,11,Image 1,1,565,
210.367,,Spot,11,Image 1,1,572,
164.343,,Spot,11,Image 1,1,604,
107.233,,Spot,11,Image 1,1,615,
109.36,,Spot,11,Image 1,1,616,
151.494,,Spot,11,Image 1,1,626,
121.272,,Spot,11,Image 1,1,631,
150.096,,Spot,11,Image 1,1,661,
190.089,,Spot,11,Image 1,1,688,
221.806,,Spot,11,Image 1,1,693,
163.549,,Spot,11,Image 1,1,696,
139.631,,Spot,11,Image 1,1,704,
135.426,,Spot,11,Image 1,1,707,
177.56,,Spot,11,Image 1,1,714,
228.925,,Spot,11,Image 1,1,716,
234.685,,Spot,11,Image 1,1,718,
293.958,,Spot,11,Image 1,1,730,
274.396,,Spot,11,Image 1,1,748,
318.143,,Spot,11,Image 1,1,762,
17.6026,,Spot,11,Image 1,1,780,
17.6026,,Spot,11,Image 1,1,782,
17.6026,,Spot,11,Image 1,1,783,
9.77923,,Spot,11,Image 1,1,789,
