
Intensity Mean Ch=8 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
324.885,,Spot,8,Image 1,1,5,
439.177,,Spot,8,Image 1,1,23,
366.725,,Spot,8,Image 1,1,29,
493.915,,Spot,8,Image 1,1,68,
264.796,,Spot,8,Image 1,1,75,
334.392,,Spot,8,Image 1,1,77,
461.038,,Spot,8,Image 1,1,88,
258.528,,Spot,8,Image 1,1,127,
251.918,,Spot,8,Image 1,1,142,
272.889,,Spot,8,Image 1,1,143,
272.947,,Spot,8,Image 1,1,162,
266.779,,Spot,8,Image 1,1,164,
269.648,,Spot,8,Image 1,1,167,
319.932,,Spot,8,Image 1,1,171,
403.927,,Spot,8,Image 1,1,173,
294.529,,Spot,8,Image 1,1,174,
265.786,,Spot,8,Image 1,1,182,
242.821,,Spot,8,Image 1,1,188,
243.751,,Spot,8,Image 1,1,190,
200.52,,Spot,8,Image 1,1,192,
251.441,,Spot,8,Image 1,1,201,
396.271,,Spot,8,Image 1,1,217,
270.644,,Spot,8,Image 1,1,222,
239.077,,Spot,8,Image 1,1,237,
253.545,,Spot,8,Image 1,1,239,
228.856,,Spot,8,Image 1,1,241,
231.555,,Spot,8,Image 1,1,242,
232.185,,Spot,8,Image 1,1,244,
213.184,,Spot,8,Image 1,1,246,
214.223,,Spot,8,Image 1,1,250,
228.137,,Spot,8,Image 1,1,257,
253.252,,Spot,8,Image 1,1,300,
349.373,,Spot,8,Image 1,1,303,
291.918,,Spot,8,Image 1,1,305,
292.603,,Spot,8,Image 1,1,309,
232.278,,Spot,8,Image 1,1,313,
183.161,,Spot,8,Image 1,1,350,
256.745,,Spot,8,Image 1,1,354,
253.323,,Spot,8,Image 1,1,364,
245.762,,Spot,8,Image 1,1,369,
221.708,,Spot,8,Image 1,1,378,
261.954,,Spot,8,Image 1,1,380,
295.747,,Spot,8,Image 1,1,387,
238.547,,Spot,8,Image 1,1,397,
276.193,,Spot,8,Image 1,1,400,
227.844,,Spot,8,Image 1,1,404,
249.948,,Spot,8,Image 1,1,406,
233.71,,Spot,8,Image 1,1,412,
240.06,,Spot,8,Image 1,1,413,
259.199,,Spot,8,Image 1,1,457,
221.097,,Spot,8,Image 1,1,458,
257.509,,Spot,8,Image 1,1,461,
418.248,,Spot,8,Image 1,1,484,
591.812,,Spot,8,Image 1,1,485,
405.238,,Spot,8,Image 1,1,487,
276.402,,Spot,8,Image 1,1,498,
263.835,,Spot,8,Image 1,1,509,
249.183,,Spot,8,Image 1,1,510,
264.439,,Spot,8,Image 1,1,513,
472.655,,Spot,8,Image 1,1,518,
524.074,,Spot,8,Image 1,1,520,
366.946,,Spot,8,Image 1,1,522,
467.05,,Spot,8,Image 1,1,528,
386.801,,Spot,8,Image 1,1,552,
244.836,,Spot,8,Image 1,1,565,
268.81,,Spot,8,Image 1,1,572,
213.154,,Spot,8,Image 1,1,604,
250.653,,Spot,8,Image 1,1,615,
253.473,,Spot,8,Image 1,1,616,
215.41,,Spot,8,Image 1,1,626,
228.957,,Spot,8,Image 1,1,631,
393.328,,Spot,8,Image 1,1,661,
488.125,,Spot,8,Image 1,1,688,
229.454,,Spot,8,Image 1,1,693,
373.251,,Spot,8,Image 1,1,696,
356.839,,Spot,8,Image 1,1,704,
245.224,,Spot,8,Image 1,1,707,
672.662,,Spot,8,Image 1,1,714,
274.523,,Spot,8,Image 1,1,716,
250.419,,Spot,8,Image 1,1,718,
215.141,,Spot,8,Image 1,1,730,
297.29,,Spot,8,Image 1,1,748,
207.073,,Spot,8,Image 1,1,762,
497.242,,Spot,8,Image 1,1,780,
500.716,,Spot,8,Image 1,1,782,
471.804,,Spot,8,Image 1,1,783,
567.226,,Spot,8,Image 1,1,789,
393.126,,Spot,8,Image 1,1,790,
273.199,,Spot,8,Image 1,1,792,
368.295,,Spot,8,Image 1,1,794,
752.58,,Spot,8,Image 1,1,797,
353.159,,Spot,8,Image 1,1,798,
403.695,,Spot,8,Image 1,1,800,
381.385,,Spot,8,Image 1,1,809,
315.5,,Spot,8,Image 1,1,812,
247.564,,Spot,8,Image 1,1,814,
357.201,,Spot,8,Image 1,1,822,
411.893,,Spot,8,Image 1,1,823,
256.125,,Spot,8,Image 1,1,825,
291.399,,Spot,8,Image 1,1,829,
331.538,,Spot,8,Image 1,1,830,
287.558,,Spot,8,Image 1,1,835,
272.668,,Spot,8,Image 1,1,837,
250.404,,Spot,8,Image 1,1,845,
279.325,,Spot,8,Image 1,1,889,
188.28,,Spot,8,Image 1,1,900,
186.652,,Spot,8,Image 1,1,903,
232.152,,Spot,8,Image 1,1,905,
225.252,,Spot,8,Image 1,1,906,
266.289,,Spot,8,Image 1,1,914,
247.357,,Spot,8,Image 1,1,917,
250.118,,Spot,8,Image 1,1,921,
288.249,,Spot,8,Image 1,1,923,
322.548,,Spot,8,Image 1,1,933,
287.953,,Spot,8,Image 1,1,936,
287.522,,Spot,8,Image 1,1,937,
279.217,,Spot,8,Image 1,1,939,
378.416,,Spot,8,Image 1,1,941,
322.17,,Spot,8,Image 1,1,949,
240.648,,Spot,8,Image 1,1,952,
272.544,,Spot,8,Image 1,1,965,
198.456,,Spot,8,Image 1,1,978,
233.53,,Spot,8,Image 1,1,989,
217.439,,Spot,8,Image 1,1,994,
268.094,,Spot,8,Image 1,1,997,
495.723,,Spot,8,Image 1,1,1010,
500.145,,Spot,8,Image 1,1,1018,
257.19,,Spot,8,Image 1,1,1021,
222.336,,Spot,8,Image 1,1,1033,
245.87,,Spot,8,Image 1,1,1041,
389.005,,Spot,8,Image 1,1,1043,
410.184,,Spot,8,Image 1,1,1048,
329.738,,Spot,8,Image 1,1,1054,
241.252,,Spot,8,Image 1,1,1064,
203.993,,Spot,8,Image 1,1,1065,
252.784,,Spot,8,Image 1,1,1070,
247.312,,Spot,8,Image 1,1,1073,
461.372,,Spot,8,Image 1,1,1076,
300.12,,Spot,8,Image 1,1,1077,
505.43,,Spot,8,Image 1,1,1085,
270.427,,Spot,8,Image 1,1,1091,
288.153,,Spot,8,Image 1,1,1093,
476.402,,Spot,8,Image 1,1,1094,
