
Intensity StdDev Ch=4 Img=1
 ==================== 
Intensity StdDev,Unit,Category,Channel,Image,Time,ID,
115.618,,Spot,4,Image 1,1,1043,
137.547,,Spot,4,Image 1,1,1048,
169.423,,Spot,4,Image 1,1,1054,
95.7813,,Spot,4,Image 1,1,1064,
198.682,,Spot,4,Image 1,1,1065,
196.214,,Spot,4,Image 1,1,1070,
96.3511,,Spot,4,Image 1,1,1073,
283.137,,Spot,4,Image 1,1,1076,
107.769,,Spot,4,Image 1,1,1077,
185.309,,Spot,4,Image 1,1,1085,
174.841,,Spot,4,Image 1,1,1091,
123.398,,Spot,4,Image 1,1,1093,
240.439,,Spot,4,Image 1,1,1094,
189.861,,Spot,4,Image 1,1,1096,
199.031,,Spot,4,Image 1,1,1098,
152.278,,Spot,4,Image 1,1,1101,
109.103,,Spot,4,Image 1,1,1105,
252.055,,Spot,4,Image 1,1,1108,
169.733,,Spot,4,Image 1,1,1109,
199.358,,Spot,4,Image 1,1,1113,
193.89,,Spot,4,Image 1,1,1124,
140.612,,Spot,4,Image 1,1,1132,
127.138,,Spot,4,Image 1,1,1133,
217.181,,Spot,4,Image 1,1,1139,
204.023,,Spot,4,Image 1,1,1146,
184.052,,Spot,4,Image 1,1,1149,
165.828,,Spot,4,Image 1,1,1150,
174.572,,Spot,4,Image 1,1,1153,
131.912,,Spot,4,Image 1,1,1154,
155.536,,Spot,4,Image 1,1,1158,
193.468,,Spot,4,Image 1,1,1165,
222.64,,Spot,4,Image 1,1,1169,
160.603,,Spot,4,Image 1,1,1180,
174.123,,Spot,4,Image 1,1,1184,
112.069,,Spot,4,Image 1,1,1185,
219.381,,Spot,4,Image 1,1,1189,
277.009,,Spot,4,Image 1,1,1193,
186.081,,Spot,4,Image 1,1,1196,
122.476,,Spot,4,Image 1,1,1198,
194.976,,Spot,4,Image 1,1,1199,
113.648,,Spot,4,Image 1,1,1201,
110.588,,Spot,4,Image 1,1,1203,
109.318,,Spot,4,Image 1,1,1209,
173.161,,Spot,4,Image 1,1,1210,
126.241,,Spot,4,Image 1,1,1211,
108.231,,Spot,4,Image 1,1,1213,
183.3,,Spot,4,Image 1,1,1216,
227.371,,Spot,4,Image 1,1,1217,
104.92,,Spot,4,Image 1,1,1218,
185.376,,Spot,4,Image 1,1,1226,
260.598,,Spot,4,Image 1,1,1228,
224.309,,Spot,4,Image 1,1,1229,
157.883,,Spot,4,Image 1,1,1232,
116.042,,Spot,4,Image 1,1,1237,
93.1848,,Spot,4,Image 1,1,1241,
114.367,,Spot,4,Image 1,1,1242,
99.1021,,Spot,4,Image 1,1,1243,
131.522,,Spot,4,Image 1,1,1246,
112.047,,Spot,4,Image 1,1,1258,
186.975,,Spot,4,Image 1,1,1262,
168.486,,Spot,4,Image 1,1,1264,
117.198,,Spot,4,Image 1,1,1271,
133.779,,Spot,4,Image 1,1,1284,
192.645,,Spot,4,Image 1,1,1288,
116.574,,Spot,4,Image 1,1,1291,
249.666,,Spot,4,Image 1,1,1301,
138.421,,Spot,4,Image 1,1,1303,
110.495,,Spot,4,Image 1,1,1326,
146.076,,Spot,4,Image 1,1,1327,
95.3935,,Spot,4,Image 1,1,1328,
201.87,,Spot,4,Image 1,1,1331,
257.921,,Spot,4,Image 1,1,1332,
227.607,,Spot,4,Image 1,1,1334,
163.869,,Spot,4,Image 1,1,1336,
236.003,,Spot,4,Image 1,1,1339,
151.968,,Spot,4,Image 1,1,1341,
116.915,,Spot,4,Image 1,1,1346,
124.574,,Spot,4,Image 1,1,1347,
118.805,,Spot,4,Image 1,1,1351,
148.073,,Spot,4,Image 1,1,1353,
159.589,,Spot,4,Image 1,1,1354,
134.043,,Spot,4,Image 1,1,1355,
275.755,,Spot,4,Image 1,1,1357,
191.636,,Spot,4,Image 1,1,1358,
105.129,,Spot,4,Image 1,1,1359,
178.694,,Spot,4,Image 1,1,1361,
142.48,,Spot,4,Image 1,1,1362,
115.331,,Spot,4,Image 1,1,1364,
123.741,,Spot,4,Image 1,1,1370,
189.782,,Spot,4,Image 1,1,1371,
260.251,,Spot,4,Image 1,1,1372,
142.045,,Spot,4,Image 1,1,1373,
219.194,,Spot,4,Image 1,1,1375,
191.001,,Spot,4,Image 1,1,1376,
159.573,,Spot,4,Image 1,1,1382,
150.449,,Spot,4,Image 1,1,1383,
216.55,,Spot,4,Image 1,1,1389,
146.239,,Spot,4,Image 1,1,1390,
147.156,,Spot,4,Image 1,1,1392,
242.154,,Spot,4,Image 1,1,1399,
125.983,,Spot,4,Image 1,1,1402,
182.76,,Spot,4,Image 1,1,1406,
230.971,,Spot,4,Image 1,1,1410,
155.303,,Spot,4,Image 1,1,1411,
196.982,,Spot,4,Image 1,1,1415,
112.393,,Spot,4,Image 1,1,1420,
78.0477,,Spot,4,Image 1,1,1435,
106.155,,Spot,4,Image 1,1,1436,
87.3811,,Spot,4,Image 1,1,1439,
112.844,,Spot,4,Image 1,1,1440,
164.106,,Spot,4,Image 1,1,1444,
99.9711,,Spot,4,Image 1,1,1445,
142.248,,Spot,4,Image 1,1,1446,
210.672,,Spot,4,Image 1,1,1447,
117.81,,Spot,4,Image 1,1,1448,
99.5339,,Spot,4,Image 1,1,1452,
241.061,,Spot,4,Image 1,1,1456,
99.5189,,Spot,4,Image 1,1,1457,
132.035,,Spot,4,Image 1,1,1460,
169.763,,Spot,4,Image 1,1,1461,
114.675,,Spot,4,Image 1,1,1463,
134.474,,Spot,4,Image 1,1,1471,
246.53,,Spot,4,Image 1,1,1478,
161.721,,Spot,4,Image 1,1,1480,
178.798,,Spot,4,Image 1,1,1489,
134.56,,Spot,4,Image 1,1,1493,
116.601,,Spot,4,Image 1,1,1495,
140.533,,Spot,4,Image 1,1,1496,
148.524,,Spot,4,Image 1,1,1506,
125.437,,Spot,4,Image 1,1,1508,
170.405,,Spot,4,Image 1,1,1509,
215.237,,Spot,4,Image 1,1,1513,
243.274,,Spot,4,Image 1,1,1534,
133.617,,Spot,4,Image 1,1,1537,
