
Intensity Min Ch=7 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,ID,
0,,Spot,7,Image 1,1,5,
0,,Spot,7,Image 1,1,23,
0,,Spot,7,Image 1,1,29,
0,,Spot,7,Image 1,1,68,
0,,Spot,7,Image 1,1,75,
0,,Spot,7,Image 1,1,77,
0,,Spot,7,Image 1,1,88,
0,,Spot,7,Image 1,1,127,
0,,Spot,7,Image 1,1,142,
0,,Spot,7,Image 1,1,143,
0,,Spot,7,Image 1,1,162,
0,,Spot,7,Image 1,1,164,
0,,Spot,7,Image 1,1,167,
0,,Spot,7,Image 1,1,171,
45,,Spot,7,Image 1,1,173,
0,,Spot,7,Image 1,1,174,
0,,Spot,7,Image 1,1,182,
0,,Spot,7,Image 1,1,188,
0,,Spot,7,Image 1,1,190,
0,,Spot,7,Image 1,1,192,
0,,Spot,7,Image 1,1,201,
0,,Spot,7,Image 1,1,217,
0,,Spot,7,Image 1,1,222,
0,,Spot,7,Image 1,1,237,
0,,Spot,7,Image 1,1,239,
0,,Spot,7,Image 1,1,241,
2,,Spot,7,Image 1,1,242,
0,,Spot,7,Image 1,1,244,
0,,Spot,7,Image 1,1,246,
0,,Spot,7,Image 1,1,250,
0,,Spot,7,Image 1,1,257,
0,,Spot,7,Image 1,1,300,
0,,Spot,7,Image 1,1,303,
0,,Spot,7,Image 1,1,305,
0,,Spot,7,Image 1,1,309,
0,,Spot,7,Image 1,1,313,
0,,Spot,7,Image 1,1,350,
0,,Spot,7,Image 1,1,354,
0,,Spot,7,Image 1,1,364,
0,,Spot,7,Image 1,1,369,
0,,Spot,7,Image 1,1,378,
0,,Spot,7,Image 1,1,380,
85,,Spot,7,Image 1,1,387,
0,,Spot,7,Image 1,1,397,
0,,Spot,7,Image 1,1,400,
0,,Spot,7,Image 1,1,404,
0,,Spot,7,Image 1,1,406,
0,,Spot,7,Image 1,1,412,
0,,Spot,7,Image 1,1,413,
0,,Spot,7,Image 1,1,457,
0,,Spot,7,Image 1,1,458,
0,,Spot,7,Image 1,1,461,
0,,Spot,7,Image 1,1,484,
0,,Spot,7,Image 1,1,485,
0,,Spot,7,Image 1,1,487,
0,,Spot,7,Image 1,1,498,
0,,Spot,7,Image 1,1,509,
0,,Spot,7,Image 1,1,510,
0,,Spot,7,Image 1,1,513,
0,,Spot,7,Image 1,1,518,
0,,Spot,7,Image 1,1,520,
0,,Spot,7,Image 1,1,522,
0,,Spot,7,Image 1,1,528,
0,,Spot,7,Image 1,1,552,
0,,Spot,7,Image 1,1,565,
0,,Spot,7,Image 1,1,572,
0,,Spot,7,Image 1,1,604,
0,,Spot,7,Image 1,1,615,
0,,Spot,7,Image 1,1,616,
0,,Spot,7,Image 1,1,626,
0,,Spot,7,Image 1,1,631,
0,,Spot,7,Image 1,1,661,
0,,Spot,7,Image 1,1,688,
0,,Spot,7,Image 1,1,693,
0,,Spot,7,Image 1,1,696,
126,,Spot,7,Image 1,1,704,
0,,Spot,7,Image 1,1,707,
210,,Spot,7,Image 1,1,714,
0,,Spot,7,Image 1,1,716,
0,,Spot,7,Image 1,1,718,
62,,Spot,7,Image 1,1,730,
0,,Spot,7,Image 1,1,748,
0,,Spot,7,Image 1,1,762,
0,,Spot,7,Image 1,1,780,
0,,Spot,7,Image 1,1,782,
0,,Spot,7,Image 1,1,783,
0,,Spot,7,Image 1,1,789,
0,,Spot,7,Image 1,1,790,
0,,Spot,7,Image 1,1,792,
0,,Spot,7,Image 1,1,794,
0,,Spot,7,Image 1,1,797,
0,,Spot,7,Image 1,1,798,
0,,Spot,7,Image 1,1,800,
0,,Spot,7,Image 1,1,809,
0,,Spot,7,Image 1,1,812,
0,,Spot,7,Image 1,1,814,
0,,Spot,7,Image 1,1,822,
0,,Spot,7,Image 1,1,823,
0,,Spot,7,Image 1,1,825,
0,,Spot,7,Image 1,1,829,
0,,Spot,7,Image 1,1,830,
0,,Spot,7,Image 1,1,835,
0,,Spot,7,Image 1,1,837,
0,,Spot,7,Image 1,1,845,
0,,Spot,7,Image 1,1,889,
0,,Spot,7,Image 1,1,900,
0,,Spot,7,Image 1,1,903,
0,,Spot,7,Image 1,1,905,
0,,Spot,7,Image 1,1,906,
0,,Spot,7,Image 1,1,914,
0,,Spot,7,Image 1,1,917,
0,,Spot,7,Image 1,1,921,
0,,Spot,7,Image 1,1,923,
0,,Spot,7,Image 1,1,933,
0,,Spot,7,Image 1,1,936,
0,,Spot,7,Image 1,1,937,
0,,Spot,7,Image 1,1,939,
0,,Spot,7,Image 1,1,941,
0,,Spot,7,Image 1,1,949,
0,,Spot,7,Image 1,1,952,
0,,Spot,7,Image 1,1,965,
0,,Spot,7,Image 1,1,978,
0,,Spot,7,Image 1,1,989,
0,,Spot,7,Image 1,1,994,
0,,Spot,7,Image 1,1,997,
0,,Spot,7,Image 1,1,1010,
0,,Spot,7,Image 1,1,1018,
0,,Spot,7,Image 1,1,1021,
0,,Spot,7,Image 1,1,1033,
0,,Spot,7,Image 1,1,1041,
0,,Spot,7,Image 1,1,1043,
27,,Spot,7,Image 1,1,1048,
65,,Spot,7,Image 1,1,1054,
0,,Spot,7,Image 1,1,1064,
0,,Spot,7,Image 1,1,1065,
0,,Spot,7,Image 1,1,1070,
0,,Spot,7,Image 1,1,1073,
0,,Spot,7,Image 1,1,1076,
0,,Spot,7,Image 1,1,1077,
48,,Spot,7,Image 1,1,1085,
0,,Spot,7,Image 1,1,1091,
0,,Spot,7,Image 1,1,1093,
0,,Spot,7,Image 1,1,1094,
0,,Spot,7,Image 1,1,1096,
