
Shortest Distance to Spots Spots=Spots 1
 ==================== 
Shortest Distance to Spots,Unit,Category,Spots,Time,ID,
94.9036,µm,Spot,Spots 1,1,965,
77.4834,µm,Spot,Spots 1,1,978,
30.2027,µm,Spot,Spots 1,1,989,
65.9007,µm,Spot,Spots 1,1,994,
76.3024,µm,Spot,Spots 1,1,997,
58.5095,µm,Spot,Spots 1,1,1010,
61.3375,µm,Spot,Spots 1,1,1018,
43.201,µm,Spot,Spots 1,1,1021,
32.9409,µm,Spot,Spots 1,1,1033,
32.6937,µm,Spot,Spots 1,1,1041,
86.2911,µm,Spot,Spots 1,1,1043,
82.6581,µm,Spot,Spots 1,1,1048,
67.8755,µm,Spot,Spots 1,1,1054,
45.3995,µm,Spot,Spots 1,1,1064,
67.4619,µm,Spot,Spots 1,1,1065,
29.1661,µm,Spot,Spots 1,1,1070,
49.4552,µm,Spot,Spots 1,1,1073,
40.6896,µm,Spot,Spots 1,1,1076,
64.1359,µm,Spot,Spots 1,1,1077,
45.8162,µm,Spot,Spots 1,1,1085,
32.8239,µm,Spot,Spots 1,1,1091,
36.2934,µm,Spot,Spots 1,1,1093,
111.333,µm,Spot,Spots 1,1,1094,
24.4322,µm,Spot,Spots 1,1,1096,
38.267,µm,Spot,Spots 1,1,1098,
37.6827,µm,Spot,Spots 1,1,1101,
68.3952,µm,Spot,Spots 1,1,1105,
98.1757,µm,Spot,Spots 1,1,1108,
91.8381,µm,Spot,Spots 1,1,1109,
84.4429,µm,Spot,Spots 1,1,1113,
14.9054,µm,Spot,Spots 1,1,1124,
80.7928,µm,Spot,Spots 1,1,1132,
67.7607,µm,Spot,Spots 1,1,1133,
21.2043,µm,Spot,Spots 1,1,1139,
76.8539,µm,Spot,Spots 1,1,1146,
36.9277,µm,Spot,Spots 1,1,1149,
44.4071,µm,Spot,Spots 1,1,1150,
75.2313,µm,Spot,Spots 1,1,1153,
54.2612,µm,Spot,Spots 1,1,1154,
59.0859,µm,Spot,Spots 1,1,1158,
69.4307,µm,Spot,Spots 1,1,1165,
23.2397,µm,Spot,Spots 1,1,1169,
29.912,µm,Spot,Spots 1,1,1180,
40.9934,µm,Spot,Spots 1,1,1184,
49.1819,µm,Spot,Spots 1,1,1185,
56.2337,µm,Spot,Spots 1,1,1189,
23.0612,µm,Spot,Spots 1,1,1193,
92.0263,µm,Spot,Spots 1,1,1196,
64.7773,µm,Spot,Spots 1,1,1198,
12.2307,µm,Spot,Spots 1,1,1199,
43.4491,µm,Spot,Spots 1,1,1201,
64.2608,µm,Spot,Spots 1,1,1203,
50.0649,µm,Spot,Spots 1,1,1209,
76.9569,µm,Spot,Spots 1,1,1210,
93.5905,µm,Spot,Spots 1,1,1211,
56.5862,µm,Spot,Spots 1,1,1213,
34.7084,µm,Spot,Spots 1,1,1216,
61.5932,µm,Spot,Spots 1,1,1217,
59.587,µm,Spot,Spots 1,1,1218,
95.7298,µm,Spot,Spots 1,1,1226,
54.631,µm,Spot,Spots 1,1,1228,
52.8428,µm,Spot,Spots 1,1,1229,
55.6633,µm,Spot,Spots 1,1,1232,
94.8696,µm,Spot,Spots 1,1,1237,
65.7063,µm,Spot,Spots 1,1,1241,
90.0099,µm,Spot,Spots 1,1,1242,
92.1664,µm,Spot,Spots 1,1,1243,
87.3488,µm,Spot,Spots 1,1,1246,
134.313,µm,Spot,Spots 1,1,1258,
153.344,µm,Spot,Spots 1,1,1262,
110.76,µm,Spot,Spots 1,1,1264,
63.4723,µm,Spot,Spots 1,1,1271,
141.832,µm,Spot,Spots 1,1,1284,
165.714,µm,Spot,Spots 1,1,1288,
85.7663,µm,Spot,Spots 1,1,1291,
154.806,µm,Spot,Spots 1,1,1301,
50.163,µm,Spot,Spots 1,1,1303,
31.1047,µm,Spot,Spots 1,1,1326,
36.6265,µm,Spot,Spots 1,1,1327,
24.0288,µm,Spot,Spots 1,1,1328,
25.0082,µm,Spot,Spots 1,1,1331,
16.7388,µm,Spot,Spots 1,1,1332,
32.9639,µm,Spot,Spots 1,1,1334,
21.8043,µm,Spot,Spots 1,1,1336,
21.3287,µm,Spot,Spots 1,1,1339,
22.851,µm,Spot,Spots 1,1,1341,
26.542,µm,Spot,Spots 1,1,1346,
36.7956,µm,Spot,Spots 1,1,1347,
49.7664,µm,Spot,Spots 1,1,1351,
42.5188,µm,Spot,Spots 1,1,1353,
37.4473,µm,Spot,Spots 1,1,1354,
